<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBSB.US,D,20230421,000000,99.74,99.74,99.6868,99.6868,1058,0
BBSB.US,D,20230424,000000,99.78,99.82,99.78,99.805,4201,0
BBSB.US,D,20230425,000000,100.01,100.1989,99.99,100.1989,7508,0
BBSB.US,D,20230426,000000,100.01,100.0904,100.01,100.0904,7100,0
BBSB.US,D,20230427,000000,99.925,99.93,99.85,99.86,7722,0
BBSB.US,D,20230428,000000,99.9507,99.9507,99.9507,99.9507,1,0
BBSB.US,D,20230501,000000,99.6409,99.6409,99.6409,99.6409,1,0
BBSB.US,D,20230502,000000,99.72,99.96,99.72,99.96,1001,0
BBSB.US,D,20230503,000000,100.04,100.195,100.04,100.195,1000,0
BBSB.US,D,20230504,000000,100.23,100.395,100.23,100.395,1024,0
BBSB.US,D,20230505,000000,100.13,100.13,100.117,100.117,1002,0
BBSB.US,D,20230508,000000,99.98,99.98,99.98,99.98,1,0
BBSB.US,D,20230509,000000,99.93,99.955,99.92,99.955,2800,0
BBSB.US,D,20230510,000000,100.11,100.19,100.11,100.1857,300,0
BBSB.US,D,20230511,000000,100.24,100.24,100.24,100.24,14,0
BBSB.US,D,20230512,000000,100.22,100.22,100.0751,100.0751,9600,0
BBSB.US,D,20230515,000000,100.08,100.08,100.07,100.075,4243,0
BBSB.US,D,20230516,000000,100.01,100.01,99.91,99.9578,4270,0
BBSB.US,D,20230517,000000,99.93,99.93,99.832,99.832,1480,0
BBSB.US,D,20230518,000000,99.6611,99.6611,99.6611,99.6611,4,0
BBSB.US,D,20230519,000000,99.54,99.595,99.54,99.595,1302,0
BBSB.US,D,20230522,000000,99.61,99.61,99.573,99.573,3000,0
BBSB.US,D,20230523,000000,99.5616,99.5616,99.5616,99.5616,7,0
BBSB.US,D,20230524,000000,99.4539,99.4539,99.4539,99.4539,7,0
BBSB.US,D,20230525,000000,99.335,99.385,99.215,99.215,6500,0
BBSB.US,D,20230526,000000,99.12,99.175,99.12,99.175,4900,0
BBSB.US,D,20230530,000000,99.2,99.372,99.2,99.372,1000,0
BBSB.US,D,20230531,000000,99.5,99.5209,99.4,99.5209,8500,0
BBSB.US,D,20230601,000000,99.21,99.2595,99.21,99.2595,1100,0
BBSB.US,D,20230602,000000,99.15,99.15,98.975,98.975,3026,0
BBSB.US,D,20230605,000000,98.88,99.0449,98.88,99.0449,5701,0
BBSB.US,D,20230606,000000,98.985,98.985,98.985,98.985,1,0
BBSB.US,D,20230607,000000,98.9297,98.9297,98.915,98.915,118,0
BBSB.US,D,20230608,000000,99.04,99.0511,99.02,99.0511,4000,0
BBSB.US,D,20230609,000000,98.93,98.93,98.905,98.905,110,0
BBSB.US,D,20230612,000000,98.9639,98.9639,98.9639,98.9639,7,0
BBSB.US,D,20230613,000000,98.95,98.97,98.785,98.785,10414,0
BBSB.US,D,20230614,000000,98.78,98.78,98.7548,98.7548,4200,0
BBSB.US,D,20230615,000000,98.93,98.93,98.93,98.93,7,0
BBSB.US,D,20230616,000000,98.79,98.79,98.79,98.79,4,0
BBSB.US,D,20230620,000000,98.856,98.856,98.855,98.855,402,0
BBSB.US,D,20230621,000000,98.85,98.85,98.85,98.85,2,0
BBSB.US,D,20230622,000000,98.7468,98.7468,98.7468,98.7468,2,0
BBSB.US,D,20230623,000000,98.81,98.82,98.81,98.82,100,0
BBSB.US,D,20230626,000000,98.89,98.89,98.89,98.89,2,0
BBSB.US,D,20230627,000000,98.7454,98.7454,98.7454,98.7454,2,0
BBSB.US,D,20230628,000000,98.8392,98.8392,98.8392,98.8392,2,0
BBSB.US,D,20230629,000000,98.62,98.62,98.62,98.62,25,0
BBSB.US,D,20230630,000000,98.65,98.65,98.6332,98.6332,137,0
BBSB.US,D,20230703,000000,98.2598,98.2598,98.2598,98.2598,50,0
BBSB.US,D,20230705,000000,98.2396,98.2396,98.2396,98.2396,2,0
BBSB.US,D,20230706,000000,98.18,98.18,98.18,98.18,1,0
BBSB.US,D,20230707,000000,98.28,98.28,98.27,98.27,566,0
BBSB.US,D,20230710,000000,98.42,98.42,98.42,98.42,103,0
BBSB.US,D,20230711,000000,98.405,98.405,98.405,98.405,15,0
BBSB.US,D,20230712,000000,98.6834,98.6834,98.6834,98.6834,12,0
BBSB.US,D,20230713,000000,98.89,98.9581,98.89,98.9581,102,0
BBSB.US,D,20230714,000000,98.94,98.94,98.72,98.72,400,0
BBSB.US,D,20230717,000000,98.7602,98.7602,98.7602,98.7602,68,0
BBSB.US,D,20230718,000000,98.765,98.765,98.765,98.765,1,0
BBSB.US,D,20230719,000000,98.7798,98.7798,98.7798,98.7798,15,0
BBSB.US,D,20230720,000000,98.6897,98.6897,98.6897,98.6897,1,0
BBSB.US,D,20230721,000000,98.67,98.67,98.67,98.67,1,0
BBSB.US,D,20230724,000000,98.585,98.585,98.585,98.585,15,0
BBSB.US,D,20230725,000000,98.5686,98.5686,98.5686,98.5686,6,0
BBSB.US,D,20230726,000000,98.665,98.665,98.665,98.665,1,0
BBSB.US,D,20230727,000000,98.535,98.535,98.535,98.535,15,0
BBSB.US,D,20230728,000000,98.6101,98.6101,98.6101,98.6101,1,0
BBSB.US,D,20230731,000000,98.6461,98.6461,98.6461,98.6461,1,0
BBSB.US,D,20230801,000000,97.845,97.845,97.845,97.845,56,0
BBSB.US,D,20230802,000000,97.83,97.895,97.83,97.895,4051,0
BBSB.US,D,20230803,000000,97.9104,97.9104,97.9104,97.9104,1,0
