<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIPI.US,D,20220127,000000,25.45,25.45,24.9,24.95,678248,0
BIPI.US,D,20220128,000000,25.1,25.1,23.75,24.87,237798,0
BIPI.US,D,20220131,000000,24.77,24.99,24.54,24.57,1885708,0
BIPI.US,D,20220201,000000,24.76,24.76,24.19,24.32,93582,0
BIPI.US,D,20220202,000000,24.285,24.39,24.06,24.07,80344,0
BIPI.US,D,20220203,000000,23.9,24.04,23.52,23.6,83547,0
BIPI.US,D,20220204,000000,23.54,23.54,22.36,22.79,136081,0
BIPI.US,D,20220207,000000,22.97,23.37,22.08,22.43,178526,0
BIPI.US,D,20220208,000000,22.41,22.65,22.21,22.21,197478,0
BIPI.US,D,20220209,000000,22.85,22.85,22.32,22.65,109015,0
BIPI.US,D,20220210,000000,22.46,22.67,22.25,22.42,115691,0
BIPI.US,D,20220211,000000,22.44,22.6568,22.42,22.55,42947,0
BIPI.US,D,20220214,000000,22.73,22.83,21.43,21.78,56060,0
BIPI.US,D,20220215,000000,22,22.74,21.88,22.67,82495,0
BIPI.US,D,20220216,000000,22.66,22.97,22.32,22.85,59779,0
BIPI.US,D,20220217,000000,22.84,23.13,22.495,22.8,52667,0
BIPI.US,D,20220218,000000,22.83,23.18,22.8052,23.12,30592,0
BIPI.US,D,20220222,000000,22.9657,23.34,22.9657,23.18,59476,0
BIPI.US,D,20220223,000000,23.2,23.29,23.06,23.06,8116,0
BIPI.US,D,20220224,000000,22.41,23.19,22.41,23.17,15392,0
BIPI.US,D,20220225,000000,23.2,23.73,23.2,23.2,68826,0
BIPI.US,D,20220228,000000,23.25,23.72,23.25,23.56,351343,0
BIPI.US,D,20220301,000000,23.62,23.74,23.45,23.65,23778,0
BIPI.US,D,20220302,000000,23.27,23.55,23.04,23.25,25245,0
BIPI.US,D,20220303,000000,23.41,23.43,23.15,23.25,11336,0
BIPI.US,D,20220304,000000,23.1702,23.5154,23.1702,23.25,9122,0
BIPI.US,D,20220307,000000,23.14,23.5,23,23.22,20879,0
BIPI.US,D,20220308,000000,23.1,23.4999,23,23.33,30496,0
BIPI.US,D,20220309,000000,23.41,23.55,23.1112,23.47,36856,0
BIPI.US,D,20220310,000000,23.3,23.43,23.27,23.37,269745,0
BIPI.US,D,20220311,000000,23.37,23.4436,23,23.12,63046,0
BIPI.US,D,20220314,000000,23.12,23.12,22.78,22.78,106032,0
BIPI.US,D,20220315,000000,22.8,22.83,22.0991,22.28,38599,0
BIPI.US,D,20220316,000000,22.55,22.55,22.32,22.43,14930,0
BIPI.US,D,20220317,000000,22.5198,22.68,22.42,22.47,28704,0
BIPI.US,D,20220318,000000,22.56,22.69,22.48,22.56,17746,0
BIPI.US,D,20220321,000000,22.51,22.72,22.33,22.525,13097,0
BIPI.US,D,20220322,000000,22.39,22.5,21.99,22.46,12454,0
BIPI.US,D,20220323,000000,22.3596,22.37,21.88,22.06,34110,0
BIPI.US,D,20220324,000000,22.11,22.3,21.85,22.3,8754,0
BIPI.US,D,20220325,000000,22.21,22.21,21.75,22.13,8878,0
BIPI.US,D,20220328,000000,22.02,22.3,22.02,22.1735,8097,0
BIPI.US,D,20220329,000000,22.3,22.77,22.22,22.75,13951,0
BIPI.US,D,20220330,000000,22.8,22.8,22.3,22.44,13039,0
BIPI.US,D,20220331,000000,22.49,22.7937,22.4608,22.62,14880,0
BIPI.US,D,20220401,000000,22.65,22.65,22.16,22.48,14916,0
BIPI.US,D,20220404,000000,22.1,22.2281,21.98,22.05,15027,0
BIPI.US,D,20220405,000000,21.96,22.1155,21.4,21.4,21222,0
BIPI.US,D,20220406,000000,21.3,21.38,21,21,12639,0
BIPI.US,D,20220407,000000,21,21.305,21,21.305,7282,0
BIPI.US,D,20220408,000000,21.1397,21.4751,20.75,20.8699,16456,0
BIPI.US,D,20220411,000000,20.83,20.91,20.51,20.58,22322,0
BIPI.US,D,20220412,000000,20.65,20.8145,20.5,20.55,28148,0
BIPI.US,D,20220413,000000,20.5413,21.06,20.3602,20.95,70700,0
BIPI.US,D,20220414,000000,20.74,20.95,20.53,20.54,14735,0
BIPI.US,D,20220418,000000,20.83,20.98,20.47,20.47,5424,0
BIPI.US,D,20220419,000000,20.47,20.9113,20.15,20.7373,27026,0
