<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRDS-WS.US,D,20211105,000000,2,2.1,1.75,1.95,259046,0
BRDS-WS.US,D,20211108,000000,1.86,1.9899,1.62,1.62,191335,0
BRDS-WS.US,D,20211109,000000,1.6,1.6101,1.31,1.5306,134496,0
BRDS-WS.US,D,20211110,000000,1.54,1.56,1.4101,1.55,70878,0
BRDS-WS.US,D,20211111,000000,1.59,1.7,1.41,1.45,81906,0
BRDS-WS.US,D,20211112,000000,1.51,1.86,1.5,1.73,130417,0
BRDS-WS.US,D,20211115,000000,1.65,1.85,1.53,1.59,96520,0
BRDS-WS.US,D,20211116,000000,1.62,1.62,1.45,1.5,142762,0
BRDS-WS.US,D,20211117,000000,1.4,1.62,1.4,1.45,116309,0
BRDS-WS.US,D,20211118,000000,1.5,1.5031,1.4,1.46,109077,0
BRDS-WS.US,D,20211119,000000,1.45,1.4505,1.38,1.45,70349,0
BRDS-WS.US,D,20211122,000000,1.45,1.47,1.33,1.45,98763,0
BRDS-WS.US,D,20211123,000000,1.45,1.45,1.23,1.29,53073,0
BRDS-WS.US,D,20211124,000000,1.29,1.4,1.215,1.4,60856,0
BRDS-WS.US,D,20211126,000000,1.41,1.43,1.31,1.3701,16849,0
BRDS-WS.US,D,20211129,000000,1.39,1.39,1.27,1.33,12699,0
BRDS-WS.US,D,20211130,000000,1.27,1.34,1.22,1.3,34830,0
BRDS-WS.US,D,20211201,000000,1.18,1.39,1.18,1.33,24640,0
BRDS-WS.US,D,20211202,000000,1.3,1.67,1.25,1.45,194501,0
BRDS-WS.US,D,20211203,000000,1.34,1.44,1.26,1.42,65899,0
BRDS-WS.US,D,20211206,000000,1.24,1.31,1.13,1.16,36000,0
BRDS-WS.US,D,20211207,000000,1.2101,1.59,1.2101,1.46,124053,0
BRDS-WS.US,D,20211208,000000,1.57,1.73,1.56,1.6705,38657,0
BRDS-WS.US,D,20211209,000000,1.51,1.88,1.51,1.68,55105,0
BRDS-WS.US,D,20211210,000000,1.6,1.96,1.6,1.66,66800,0
BRDS-WS.US,D,20211213,000000,1.66,1.8001,1.55,1.55,13696,0
BRDS-WS.US,D,20211214,000000,1.69,1.79,1.55,1.65,53515,0
BRDS-WS.US,D,20211215,000000,1.63,2.01,1.63,1.99,81920,0
BRDS-WS.US,D,20211216,000000,2,2,1.395,1.54,58463,0
BRDS-WS.US,D,20211217,000000,1.54,1.56,1.48,1.54,21950,0
BRDS-WS.US,D,20211220,000000,1.46,1.62,1.46,1.53,5983,0
BRDS-WS.US,D,20211221,000000,1.6496,1.6496,1.34,1.38,80772,0
BRDS-WS.US,D,20211222,000000,1.64,1.64,1.37,1.39,138043,0
BRDS-WS.US,D,20211223,000000,1.46,1.47,1.395,1.43,9652,0
BRDS-WS.US,D,20211227,000000,1.48,1.48,1.2,1.22,14684,0
BRDS-WS.US,D,20211228,000000,1.2,1.2868,1.145,1.2,34418,0
BRDS-WS.US,D,20211229,000000,1.15,1.1699,1.1,1.1,18555,0
BRDS-WS.US,D,20211230,000000,1.16,1.18,1.15,1.15,16855,0
BRDS-WS.US,D,20211231,000000,1.08,1.21,1,1.03,56933,0
BRDS-WS.US,D,20220103,000000,0.9701,1.14,0.9701,1.14,11441,0
BRDS-WS.US,D,20220104,000000,1.0901,1.1399,1.0901,1.1399,781,0
BRDS-WS.US,D,20220105,000000,1.04,1.15,0.96,0.96,15043,0
BRDS-WS.US,D,20220106,000000,1.17,1.17,0.95,1.01,35061,0
BRDS-WS.US,D,20220107,000000,0.951,0.9989,0.951,0.9718,3385,0
BRDS-WS.US,D,20220110,000000,0.820201,0.9,0.6999,0.78,22465,0
BRDS-WS.US,D,20220111,000000,0.700101,0.785,0.700101,0.75,27829,0
BRDS-WS.US,D,20220112,000000,0.7151,0.72,0.65,0.7,20677,0
BRDS-WS.US,D,20220113,000000,0.685,0.685,0.58,0.58,22380,0
BRDS-WS.US,D,20220114,000000,0.55,0.6899,0.5199,0.56,1810989,0
BRDS-WS.US,D,20220118,000000,0.5102,0.54,0.48,0.48,60808,0
BRDS-WS.US,D,20220119,000000,0.444,0.65,0.444,0.5366,92031,0
BRDS-WS.US,D,20220120,000000,0.619799,0.6724,0.5617,0.5617,11376,0
BRDS-WS.US,D,20220121,000000,0.6432,0.6432,0.5201,0.5316,24281,0
BRDS-WS.US,D,20220124,000000,0.5033,0.5418,0.48,0.52,33315,0
BRDS-WS.US,D,20220125,000000,0.53,0.5695,0.5102,0.5157,17972,0
BRDS-WS.US,D,20220126,000000,0.5452,0.571801,0.5,0.5224,29513,0
BRDS-WS.US,D,20220127,000000,0.565,0.5699,0.4931,0.5041,16765,0
BRDS-WS.US,D,20220128,000000,0.48,0.55,0.48,0.520299,7146,0
BRDS-WS.US,D,20220131,000000,0.559899,0.559899,0.4702,0.4702,14420,0
BRDS-WS.US,D,20220201,000000,0.5402,0.5402,0.5103,0.54,2017,0
BRDS-WS.US,D,20220202,000000,0.64,0.64,0.54,0.54,1776,0
BRDS-WS.US,D,20220203,000000,0.56,0.56,0.4202,0.4202,29199,0
BRDS-WS.US,D,20220204,000000,0.4702,0.533,0.4701,0.5145,23413,0
BRDS-WS.US,D,20220207,000000,0.53505,0.53505,0.45,0.47,13004,0
BRDS-WS.US,D,20220208,000000,0.4552,0.5479,0.4552,0.501701,23746,0
BRDS-WS.US,D,20220209,000000,0.550001,0.5575,0.5117,0.54,13049,0
BRDS-WS.US,D,20220210,000000,0.57,0.57,0.5301,0.5301,12995,0
BRDS-WS.US,D,20220211,000000,0.49,0.49,0.4384,0.4384,1881,0
BRDS-WS.US,D,20220214,000000,0.48,0.48,0.4276,0.43,29370,0
BRDS-WS.US,D,20220215,000000,0.5017,0.55,0.4702,0.4983,129894,0
BRDS-WS.US,D,20220216,000000,0.51,0.5584,0.5002,0.51,31248,0
BRDS-WS.US,D,20220217,000000,0.51,0.54,0.47,0.49,12277,0
BRDS-WS.US,D,20220218,000000,0.47,0.47,0.4369,0.4369,1340,0
BRDS-WS.US,D,20220222,000000,0.4756,0.4827,0.45,0.477143,1266,0
BRDS-WS.US,D,20220223,000000,0.4444,0.4444,0.444255,0.444255,1139,0
BRDS-WS.US,D,20220224,000000,0.4,0.4325,0.3951,0.4325,50633,0
BRDS-WS.US,D,20220225,000000,0.45,0.45,0.45,0.45,1130,0
BRDS-WS.US,D,20220228,000000,0.436,0.466,0.436,0.45,13889,0
BRDS-WS.US,D,20220302,000000,0.4899,0.5,0.45,0.462,16125,0
BRDS-WS.US,D,20220303,000000,0.466,0.4939,0.4602,0.4641,3600,0
BRDS-WS.US,D,20220304,000000,0.4613,0.47,0.43,0.44,5856,0
BRDS-WS.US,D,20220307,000000,0.45,0.545877,0.441,0.534,56919,0
BRDS-WS.US,D,20220308,000000,0.52005,0.52175,0.5,0.52,12754,0
BRDS-WS.US,D,20220309,000000,0.5499,0.5897,0.546101,0.546101,13678,0
BRDS-WS.US,D,20220310,000000,0.5401,0.5401,0.51555,0.5156,2256,0
BRDS-WS.US,D,20220311,000000,0.54,0.5644,0.54,0.5644,4389,0
BRDS-WS.US,D,20220314,000000,0.5434,0.5434,0.54,0.54,907,0
BRDS-WS.US,D,20220315,000000,0.56,0.5601,0.5051,0.5051,2020,0
BRDS-WS.US,D,20220316,000000,0.476,0.476,0.3701,0.3998,8175,0
BRDS-WS.US,D,20220317,000000,0.35,0.4,0.35,0.37,3182,0
BRDS-WS.US,D,20220318,000000,0.36,0.379599,0.35,0.354899,7256,0
BRDS-WS.US,D,20220321,000000,0.3699,0.3699,0.3399,0.3698,1495,0
BRDS-WS.US,D,20220322,000000,0.3401,0.3759,0.34,0.3476,18775,0
BRDS-WS.US,D,20220323,000000,0.3401,0.340201,0.3401,0.340201,1478,0
BRDS-WS.US,D,20220324,000000,0.4799,0.4799,0.3901,0.3901,2702,0
BRDS-WS.US,D,20220328,000000,0.38,0.39,0.365,0.365,15505,0
BRDS-WS.US,D,20220329,000000,0.42,0.42,0.362,0.37,18675,0
BRDS-WS.US,D,20220330,000000,0.39,0.409799,0.39,0.4,2255,0
BRDS-WS.US,D,20220331,000000,0.39,0.41,0.36,0.38,18937,0
BRDS-WS.US,D,20220401,000000,0.38995,0.4,0.3899,0.389999,3755,0
BRDS-WS.US,D,20220404,000000,0.380299,0.39,0.3739,0.3741,18057,0
BRDS-WS.US,D,20220405,000000,0.38,0.39,0.3799,0.39,7125,0
BRDS-WS.US,D,20220406,000000,0.3607,0.361433,0.3516,0.3516,8553,0
BRDS-WS.US,D,20220407,000000,0.348,0.349899,0.29,0.29,6570,0
BRDS-WS.US,D,20220408,000000,0.2925,0.33,0.2763,0.3054,6156,0
BRDS-WS.US,D,20220411,000000,0.3,0.315,0.3,0.315,13492,0
BRDS-WS.US,D,20220412,000000,0.3,0.3008,0.3,0.3008,421,0
BRDS-WS.US,D,20220413,000000,0.3,0.3449,0.2873,0.3038,2186,0
BRDS-WS.US,D,20220414,000000,0.299799,0.3036,0.2849,0.2979,13375,0
BRDS-WS.US,D,20220418,000000,0.26,0.3,0.2501,0.2998,72776,0
BRDS-WS.US,D,20220419,000000,0.3099,0.3099,0.3099,0.3099,1013,0
BRDS-WS.US,D,20220421,000000,0.3799,0.3799,0.2894,0.3,26531,0
BRDS-WS.US,D,20220422,000000,0.3,0.3223,0.3,0.3223,14301,0
BRDS-WS.US,D,20220425,000000,0.3,0.3076,0.2901,0.3,10951,0
BRDS-WS.US,D,20220426,000000,0.334951,0.334951,0.3,0.3,3971,0
BRDS-WS.US,D,20220427,000000,0.271,0.3,0.271,0.3,24442,0
BRDS-WS.US,D,20220428,000000,0.280051,0.3,0.27,0.2964,6355,0
BRDS-WS.US,D,20220502,000000,0.3005,0.301,0.3,0.3,23893,0
BRDS-WS.US,D,20220503,000000,0.2901,0.2901,0.29,0.29,1023,0
BRDS-WS.US,D,20220504,000000,0.31,0.3101,0.29,0.29,8100,0
BRDS-WS.US,D,20220505,000000,0.2601,0.2601,0.2601,0.2601,2000,0
BRDS-WS.US,D,20220506,000000,0.2501,0.2508,0.2396,0.24,2496,0
BRDS-WS.US,D,20220509,000000,0.23,0.23,0.1735,0.1735,18882,0
BRDS-WS.US,D,20220510,000000,0.1701,0.1701,0.1427,0.1501,5962,0
BRDS-WS.US,D,20220511,000000,0.155,0.1599,0.1429,0.15,15471,0
BRDS-WS.US,D,20220512,000000,0.0834,0.1377,0.0834,0.1377,3218,0
BRDS-WS.US,D,20220513,000000,0.1517,0.17,0.1517,0.17,2732,0
BRDS-WS.US,D,20220516,000000,0.158,0.158,0.13,0.15,8785,0
BRDS-WS.US,D,20220517,000000,0.1552,0.168,0.136149,0.136149,9598,0
BRDS-WS.US,D,20220518,000000,0.125,0.125,0.1137,0.12,12424,0
BRDS-WS.US,D,20220519,000000,0.1,0.13,0.1,0.1299,15646,0
BRDS-WS.US,D,20220520,000000,0.11,0.1122,0.1,0.1096,16356,0
BRDS-WS.US,D,20220523,000000,0.11,0.1238,0.1051,0.1115,13076,0
BRDS-WS.US,D,20220524,000000,0.115,0.12,0.1001,0.11,26463,0
BRDS-WS.US,D,20220525,000000,0.1,0.1118,0.1,0.1118,14629,0
BRDS-WS.US,D,20220526,000000,0.1043,0.1208,0.096,0.1198,21188,0
BRDS-WS.US,D,20220527,000000,0.1699,0.1699,0.1699,0.1699,1010,0
BRDS-WS.US,D,20220531,000000,0.14,0.1501,0.1339,0.1501,6858,0
BRDS-WS.US,D,20220601,000000,0.13,0.155,0.13,0.155,20149,0
BRDS-WS.US,D,20220602,000000,0.1598,0.1782,0.1598,0.1782,20643,0
BRDS-WS.US,D,20220603,000000,0.1151,0.1451,0.095,0.12,90170,0
BRDS-WS.US,D,20220606,000000,0.13,0.14,0.1195,0.1195,5847,0
BRDS-WS.US,D,20220607,000000,0.11,0.12,0.0902,0.1114,9975,0
BRDS-WS.US,D,20220608,000000,0.1001,0.11,0.0999,0.11,3560,0
BRDS-WS.US,D,20220609,000000,0.12,0.12,0.12,0.12,1211,0
BRDS-WS.US,D,20220610,000000,0.1149,0.12,0.1149,0.12,5000,0
BRDS-WS.US,D,20220614,000000,0.099799,0.11,0.0903,0.1,53193,0
BRDS-WS.US,D,20220615,000000,0.0902,0.0902,0.0902,0.0902,355,0
BRDS-WS.US,D,20220616,000000,0.09,0.0998,0.0799,0.09225,48540,0
BRDS-WS.US,D,20220617,000000,0.0861,0.0861,0.0818,0.0818,1599,0
BRDS-WS.US,D,20220621,000000,0.081901,0.09,0.0819,0.082501,83828,0
BRDS-WS.US,D,20220622,000000,0.0818,0.0941,0.0818,0.0818,4168,0
BRDS-WS.US,D,20220623,000000,0.0852,0.0852,0.0793,0.0793,1001,0
BRDS-WS.US,D,20220624,000000,0.0852,0.0852,0.08,0.08,26517,0
BRDS-WS.US,D,20220627,000000,0.08,0.08,0.0502,0.0721,6663,0
BRDS-WS.US,D,20220628,000000,0.0846,0.0846,0.0718,0.0718,5903,0
BRDS-WS.US,D,20220629,000000,0.0689,0.07,0.06,0.063,12386,0
BRDS-WS.US,D,20220630,000000,0.060101,0.060101,0.0509,0.055999,8295,0
BRDS-WS.US,D,20220701,000000,0.0599,0.0599,0.056,0.056,1086,0
BRDS-WS.US,D,20220705,000000,0.05,0.073,0.05,0.07,21769,0
BRDS-WS.US,D,20220706,000000,0.05,0.07,0.039776,0.07,28474,0
BRDS-WS.US,D,20220707,000000,0.065,0.0663,0.065,0.0663,4051,0
BRDS-WS.US,D,20220708,000000,0.0785,0.0785,0.0608,0.078,6425,0
BRDS-WS.US,D,20220711,000000,0.0706,0.0706,0.051,0.0603,2311,0
BRDS-WS.US,D,20220712,000000,0.06,0.06,0.05,0.05,6906,0
BRDS-WS.US,D,20220713,000000,0.05,0.0599,0.049299,0.0586,19540,0
BRDS-WS.US,D,20220714,000000,0.06,0.06,0.051,0.051,966,0
BRDS-WS.US,D,20220715,000000,0.051,0.051,0.0491,0.0491,10400,0
BRDS-WS.US,D,20220718,000000,0.04595,0.05,0.04,0.0423,43922,0
BRDS-WS.US,D,20220719,000000,0.059,0.059,0.0559,0.0567,10755,0
BRDS-WS.US,D,20220720,000000,0.053,0.06,0.05,0.054,2100,0
BRDS-WS.US,D,20220721,000000,0.050101,0.05575,0.050101,0.0525,7176,0
BRDS-WS.US,D,20220722,000000,0.057399,0.0575,0.05,0.052,22136,0
BRDS-WS.US,D,20220725,000000,0.042,0.0549,0.042,0.0549,1986,0
BRDS-WS.US,D,20220726,000000,0.05,0.057699,0.05,0.05,10810,0
BRDS-WS.US,D,20220727,000000,0.05,0.05,0.0451,0.05,20882,0
BRDS-WS.US,D,20220728,000000,0.06,0.06,0.044978,0.0539,31264,0
BRDS-WS.US,D,20220729,000000,0.05,0.0516,0.05,0.05,56985,0
BRDS-WS.US,D,20220801,000000,0.0524,0.0524,0.05,0.05,13250,0
BRDS-WS.US,D,20220802,000000,0.046442,0.0599,0.0464,0.05,142627,0
BRDS-WS.US,D,20220803,000000,0.055,0.055,0.042,0.05,43450,0
BRDS-WS.US,D,20220804,000000,0.0525,0.0599,0.05,0.0575,125366,0
BRDS-WS.US,D,20220805,000000,0.05,0.0599,0.0499,0.05,185101,0
BRDS-WS.US,D,20220808,000000,0.06,0.06,0.0478,0.05,71963,0
BRDS-WS.US,D,20220809,000000,0.06,0.0767,0.0531,0.05755,116328,0
BRDS-WS.US,D,20220810,000000,0.0551,0.0648,0.0505,0.053,64570,0
BRDS-WS.US,D,20220811,000000,0.055,0.0648,0.055,0.0592,85638,0
BRDS-WS.US,D,20220812,000000,0.0648,0.108899,0.059736,0.08,180890,0
BRDS-WS.US,D,20220815,000000,0.08,0.1089,0.0502,0.0998,27024,0
BRDS-WS.US,D,20220816,000000,0.06,0.069999,0.0496,0.069999,128484,0
BRDS-WS.US,D,20220817,000000,0.058899,0.059,0.057,0.059,13482,0
BRDS-WS.US,D,20220818,000000,0.0505,0.061,0.0501,0.0606,34300,0
BRDS-WS.US,D,20220823,000000,0.05475,0.05475,0.05475,0.05475,11307,0
BRDS-WS.US,D,20220824,000000,0.0799,0.09,0.0516,0.0516,138633,0
BRDS-WS.US,D,20220825,000000,0.0795,0.0835,0.079231,0.08,33705,0
BRDS-WS.US,D,20220826,000000,0.0534,0.067,0.0534,0.0564,1425,0
BRDS-WS.US,D,20220829,000000,0.057,0.0779,0.057,0.0779,10200,0
BRDS-WS.US,D,20220830,000000,0.0777,0.0778,0.0565,0.062401,47066,0
BRDS-WS.US,D,20220831,000000,0.0569,0.0651,0.056,0.0651,30600,0
BRDS-WS.US,D,20220901,000000,0.067,0.0736,0.063099,0.0736,7573,0
BRDS-WS.US,D,20220906,000000,0.05,0.0779,0.05,0.063101,25992,0
BRDS-WS.US,D,20220907,000000,0.056,0.078,0.056,0.078,61908,0
BRDS-WS.US,D,20220908,000000,0.078,0.08,0.077899,0.079899,31550,0
BRDS-WS.US,D,20220912,000000,0.099,0.099,0.0563,0.0563,16112,0
BRDS-WS.US,D,20220913,000000,0.06,0.0747,0.057,0.057,33327,0
BRDS-WS.US,D,20220914,000000,0.072899,0.073,0.05,0.06,15377,0
BRDS-WS.US,D,20220915,000000,0.075,0.075,0.075,0.075,29799,0
BRDS-WS.US,D,20220919,000000,0.06,0.06,0.0503,0.0563,2150,0
BRDS-WS.US,D,20220920,000000,0.0699,0.07,0.055,0.055,14741,0
BRDS-WS.US,D,20220921,000000,0.060049,0.060049,0.059899,0.059899,682,0
BRDS-WS.US,D,20220922,000000,0.0502,0.07,0.0432,0.0484,43330,0
BRDS-WS.US,D,20220923,000000,0.049,0.049,0.035,0.03579,106110,0
BRDS-WS.US,D,20220926,000000,0.0361,0.058,0.031,0.0372,30982,0
