<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BWA.US,D,20050225,000000,11.4682,11.5086,11.4515,11.4752,902368.14728132,0
BWA.US,D,20050228,000000,11.4752,11.5383,11.4031,11.4752,1064178.7410535,0
BWA.US,D,20050301,000000,11.4989,11.7545,11.4989,11.7545,2755833.3833019,0
BWA.US,D,20050302,000000,11.5945,11.6084,11.2253,11.6084,5506617.5289732,0
BWA.US,D,20050303,000000,11.6312,11.7377,11.5768,11.5945,3476167.6512481,0
BWA.US,D,20050304,000000,11.5985,11.6479,11.3458,11.3902,2528288.5019175,0
BWA.US,D,20050307,000000,11.3784,11.4218,11.3645,11.3981,1585929.5822934,0
BWA.US,D,20050308,000000,11.4899,11.5086,11.2116,11.2648,1835540.1892106,0
BWA.US,D,20050309,000000,11.2066,11.3458,11.096,11.2915,1939889.7497269,0
BWA.US,D,20050310,000000,11.2017,11.3824,11.2017,11.2875,1101870.2617571,0
BWA.US,D,20050311,000000,11.2461,11.5086,11.2461,11.4425,1045794.8568019,0
BWA.US,D,20050314,000000,11.4119,11.567,11.3645,11.5413,1044416.3187045,0
BWA.US,D,20050315,000000,11.5443,11.6696,11.4849,11.5156,751132.08527704,0
BWA.US,D,20050316,000000,10.9213,11.3004,10.9213,11.1454,3838402.0859241,0
BWA.US,D,20050317,000000,11.1148,11.1809,10.9658,11.0556,1414922.9948506,0
BWA.US,D,20050318,000000,11.0426,11.0862,10.8937,10.9805,1820367.1541644,0
BWA.US,D,20050321,000000,10.8986,11.1326,10.8492,11.0329,1606152.8678563,0
BWA.US,D,20050322,000000,10.9855,11.2343,10.9765,11.0269,1236562.8537073,0
BWA.US,D,20050323,000000,10.9706,11.0556,10.7959,10.8255,2066300.9842312,0
BWA.US,D,20050324,000000,10.7663,11.0299,10.7663,10.7861,2065381.2835755,0
BWA.US,D,20050328,000000,10.7861,10.7861,10.6686,10.6903,2934655.4005454,0
BWA.US,D,20050329,000000,10.6903,10.707,10.4878,10.4978,2024467.7719185,0
BWA.US,D,20050330,000000,10.4978,10.5955,10.4761,10.5955,2298904.2192218,0
BWA.US,D,20050331,000000,10.6172,10.626,10.4711,10.5905,1742679.7966869,0
BWA.US,D,20050401,000000,10.631,10.7357,10.4572,10.5016,1583629.317768,0
BWA.US,D,20050404,000000,10.4928,10.551,10.3042,10.5155,1058204.7383363,0
BWA.US,D,20050405,000000,10.5155,10.8008,10.5155,10.6764,1853467.2617929,0
BWA.US,D,20050406,000000,10.7,10.8561,10.7,10.789,1091764.6962927,0
BWA.US,D,20050407,000000,10.7357,10.868,10.7267,10.8403,863298.08848035,0
BWA.US,D,20050408,000000,10.8403,10.868,10.7357,10.7484,1347350.3188133,0
BWA.US,D,20050411,000000,10.7189,10.7189,10.324,10.324,3549721.4202059,0
BWA.US,D,20050412,000000,10.2143,10.253,9.76813,10.0366,8382892.1956071,0
BWA.US,D,20050413,000000,10.3773,10.4217,10.1769,10.1819,5613721.1270255,0
BWA.US,D,20050414,000000,10.2016,10.3418,9.96852,10.0071,4068712.1465925,0
BWA.US,D,20050415,000000,10.0278,10.091,9.85106,9.87969,3285396.615684,0
BWA.US,D,20050418,000000,9.87969,10.1729,9.87969,10.1205,2743426.540426,0
BWA.US,D,20050419,000000,10.3338,10.3733,10.1601,10.3605,2410610.3720972,0
BWA.US,D,20050420,000000,10.3605,10.4187,10.1482,10.1482,2188122.8314329,0
BWA.US,D,20050421,000000,10.324,10.5115,10.2233,10.4572,2115030.9385753,0
BWA.US,D,20050422,000000,10.244,10.2667,10.0584,10.1482,2973270.6734495,0
BWA.US,D,20050425,000000,10.1729,10.1769,9.97649,9.98535,3465135.2949248,0
BWA.US,D,20050426,000000,10.0071,10.1344,9.94981,9.95377,3591550.5809739,0
BWA.US,D,20050427,000000,9.95377,9.99421,9.81354,9.90832,2006542.7251085,0
BWA.US,D,20050428,000000,9.75924,10.0129,9.75924,9.84119,3239890.6780657,0
BWA.US,D,20050429,000000,9.8866,10.0317,9.8866,9.94485,2816513.3688527,0
BWA.US,D,20050502,000000,10.0505,10.2804,9.98535,10.244,2505770.0162601,0
BWA.US,D,20050503,000000,10.244,10.4711,10.2016,10.4217,2538404.1962437,0
BWA.US,D,20050504,000000,10.8492,11.4425,10.8492,11.1543,8508384.742342,0
BWA.US,D,20050505,000000,11.1543,11.2698,10.789,10.864,6126735.8249228,0
BWA.US,D,20050506,000000,10.9855,11.0092,10.8008,10.9261,1845649.8062197,0
BWA.US,D,20050509,000000,11.0092,11.1414,10.9952,11.1276,1356540.2351667,0
BWA.US,D,20050510,000000,11.1414,11.172,10.9706,11.0179,1243460.6086249,0
BWA.US,D,20050511,000000,11.093,11.1227,10.9261,11.0426,1901731.2884921,0
