<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAMX.US,D,20230214,000000,24.0601,24.335,24.06,24.3246,2925,0
CAMX.US,D,20230215,000000,24.215,24.3509,24.2051,24.3509,9919,0
CAMX.US,D,20230216,000000,24.369,24.432,22.96,24.2996,1320,0
CAMX.US,D,20230217,000000,24.03,24.1599,24.03,24.1588,3375,0
CAMX.US,D,20230221,000000,24,24,23.75,23.75,424,0
CAMX.US,D,20230222,000000,23.67,23.82,23.67,23.69,1556,0
CAMX.US,D,20230223,000000,23.9023,23.9023,23.9023,23.9023,85,0
CAMX.US,D,20230224,000000,23.42,23.6399,23.42,23.6186,628,0
CAMX.US,D,20230227,000000,23.751,23.751,23.704,23.704,6538,0
CAMX.US,D,20230228,000000,23.65,23.65,23.5901,23.5901,600,0
CAMX.US,D,20230301,000000,23.65,23.65,23.625,23.625,1,0
CAMX.US,D,20230302,000000,23.9058,23.9058,23.9058,23.9058,91,0
CAMX.US,D,20230303,000000,24.12,24.1244,24.12,24.1244,385,0
CAMX.US,D,20230306,000000,24.0919,24.0919,24.0919,24.0919,43,0
CAMX.US,D,20230307,000000,23.9,23.94,23.7151,23.7151,2734,0
CAMX.US,D,20230308,000000,23.7229,23.7229,23.7229,23.7229,6,0
CAMX.US,D,20230309,000000,23.72,23.72,23.3083,23.3083,906,0
CAMX.US,D,20230310,000000,22.885,22.8967,22.885,22.8967,218,0
CAMX.US,D,20230313,000000,22.885,22.885,22.6128,22.6128,1,0
CAMX.US,D,20230314,000000,22.9538,22.9673,22.85,22.9673,14074,0
CAMX.US,D,20230315,000000,22.2517,22.2881,22.2,22.2881,3123,0
CAMX.US,D,20230316,000000,22.6133,22.6133,22.6133,22.6133,1,0
CAMX.US,D,20230317,000000,22.25,22.25,22.2139,22.2139,6142,0
CAMX.US,D,20230320,000000,22.5757,22.5757,22.5757,22.5757,114,0
CAMX.US,D,20230321,000000,22.9801,23.08,22.9801,23.0728,612,0
CAMX.US,D,20230322,000000,22.971,22.971,22.731,22.731,377,0
CAMX.US,D,20230323,000000,22.83,22.85,22.5802,22.5802,857,0
CAMX.US,D,20230327,000000,22.63,22.71,22.61,22.67,1977,0
CAMX.US,D,20230328,000000,22.829,22.829,22.78,22.8071,354,0
CAMX.US,D,20230329,000000,22.99,23.1395,22.99,23.1395,3633,0
CAMX.US,D,20230330,000000,23.33,23.331,23.3205,23.3205,934,0
CAMX.US,D,20230331,000000,23.45,23.4966,23.45,23.4966,425,0
CAMX.US,D,20230403,000000,23.7715,23.8488,23.7715,23.8488,392,0
CAMX.US,D,20230404,000000,23.645,23.645,23.635,23.635,287,0
CAMX.US,D,20230405,000000,23.6192,23.6192,23.6192,23.6192,4,0
CAMX.US,D,20230406,000000,23.71,23.7174,23.6899,23.6899,1519,0
CAMX.US,D,20230410,000000,23.7513,23.7513,23.7513,23.7513,15,0
CAMX.US,D,20230411,000000,23.83,23.84,23.7835,23.7835,7436,0
CAMX.US,D,20230412,000000,23.8801,23.94,23.835,23.835,2428,0
CAMX.US,D,20230413,000000,24,24.025,24,24.025,162,0
CAMX.US,D,20230414,000000,24.0046,24.0046,24.0046,24.0046,5,0
CAMX.US,D,20230417,000000,24.035,24.035,24.035,24.035,15,0
CAMX.US,D,20230418,000000,24.0629,24.0629,24.0629,24.0629,3,0
CAMX.US,D,20230419,000000,23.945,23.945,23.945,23.945,10,0
CAMX.US,D,20230420,000000,23.8548,23.8548,23.8548,23.8548,16,0
CAMX.US,D,20230421,000000,23.895,23.895,23.895,23.895,13,0
CAMX.US,D,20230424,000000,23.9587,23.9587,23.9587,23.9587,13,0
CAMX.US,D,20230425,000000,23.65,23.65,23.525,23.525,158,0
CAMX.US,D,20230426,000000,23.2644,23.2644,23.2644,23.2644,13,0
CAMX.US,D,20230427,000000,23.6119,23.6119,23.6119,23.6119,3,0
CAMX.US,D,20230428,000000,23.731,23.8239,23.731,23.8239,865,0
CAMX.US,D,20230501,000000,23.85,23.89,23.8441,23.8441,21575,0
CAMX.US,D,20230502,000000,23.25,23.501,23.25,23.501,501,0
CAMX.US,D,20230503,000000,23.4,23.51,23.3503,23.3503,2140,0
CAMX.US,D,20230504,000000,23.15,23.15,23.03,23.1454,1434,0
CAMX.US,D,20230505,000000,23.5909,23.5909,23.5909,23.5909,20,0
CAMX.US,D,20230508,000000,23.62,23.655,23.62,23.655,107,0
CAMX.US,D,20230509,000000,23.37,23.5671,23.37,23.5671,326,0
CAMX.US,D,20230510,000000,23.5223,23.5223,23.5223,23.5223,12,0
CAMX.US,D,20230511,000000,23.24,23.3429,23.24,23.3429,298,0
CAMX.US,D,20230512,000000,23.35,23.39,23.35,23.39,214,0
CAMX.US,D,20230515,000000,23.19,23.595,23.19,23.595,430,0
CAMX.US,D,20230516,000000,23.355,23.355,23.355,23.355,5,0
CAMX.US,D,20230517,000000,23.3701,23.635,23.3701,23.635,335,0
CAMX.US,D,20230518,000000,23.59,23.7346,23.59,23.7346,174,0
CAMX.US,D,20230519,000000,23.79,23.79,23.72,23.7547,308,0
CAMX.US,D,20230522,000000,23.7425,23.7425,23.7425,23.7425,30,0
CAMX.US,D,20230523,000000,23.725,23.7599,23.5952,23.5952,400,0
CAMX.US,D,20230524,000000,23.36,23.3891,23.36,23.3891,135,0
CAMX.US,D,20230525,000000,23.2745,23.2745,23.2745,23.2745,8,0
CAMX.US,D,20230526,000000,23.3901,23.4949,23.3901,23.4949,486,0
CAMX.US,D,20230530,000000,23.2772,23.2772,23.2772,23.2772,11,0
CAMX.US,D,20230531,000000,23.03,23.1322,23.03,23.1322,191,0
CAMX.US,D,20230601,000000,23.447,23.447,23.447,23.447,4,0
CAMX.US,D,20230602,000000,23.98,23.98,23.9687,23.9687,855,0
CAMX.US,D,20230605,000000,23.9031,23.96,23.9031,23.915,496,0
CAMX.US,D,20230606,000000,24.071,24.071,24.071,24.071,1,0
CAMX.US,D,20230607,000000,24.123,24.123,24.123,24.123,166,0
CAMX.US,D,20230608,000000,24.27,24.27,24.2411,24.2411,137,0
CAMX.US,D,20230609,000000,24.185,24.185,24.185,24.185,77,0
CAMX.US,D,20230612,000000,24.2774,24.2774,24.2774,24.2774,5,0
CAMX.US,D,20230613,000000,24.445,24.445,24.445,24.445,4,0
CAMX.US,D,20230614,000000,24.51,24.51,24.3739,24.3739,508,0
CAMX.US,D,20230615,000000,24.65,24.736,24.65,24.736,806,0
CAMX.US,D,20230616,000000,24.675,24.675,24.675,24.675,143,0
CAMX.US,D,20230620,000000,24.36,24.4743,24.36,24.4743,349,0
CAMX.US,D,20230621,000000,24.47,24.4938,24.47,24.4938,100,0
