<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CARD.US,D,20230629,000000,22.4946,22.4946,22.4946,22.4946,10,0
CARD.US,D,20230630,000000,21.3875,21.3875,21.3875,21.3875,14,0
CARD.US,D,20230703,000000,19.7146,19.7146,19.7146,19.7146,124,0
CARD.US,D,20230705,000000,19.6,19.6,19.24,19.3093,201,0
CARD.US,D,20230706,000000,19.8207,19.8207,19.8207,19.8207,10,0
CARD.US,D,20230707,000000,18.28,18.28,18.19,18.19,334,0
CARD.US,D,20230710,000000,17.15,17.15,17.04,17.04,214,0
CARD.US,D,20230711,000000,16.6767,16.6767,16.6767,16.6767,95,0
CARD.US,D,20230712,000000,16.2128,16.2128,16.2128,16.2128,43,0
CARD.US,D,20230713,000000,16.4323,16.4323,16.4323,16.4323,22,0
CARD.US,D,20230714,000000,16.88,16.88,16.88,16.88,22,0
CARD.US,D,20230717,000000,17.2848,17.2848,17.2848,17.2848,22,0
CARD.US,D,20230718,000000,16.6707,16.6707,16.6707,16.6707,3,0
CARD.US,D,20230719,000000,15.14,15.14,15.14,15.14,245,0
CARD.US,D,20230720,000000,16.7538,16.7538,16.7538,16.7538,3,0
CARD.US,D,20230721,000000,17.5177,17.5177,17.5177,17.5177,23,0
CARD.US,D,20230724,000000,16.7377,16.7377,16.7377,16.7377,71,0
CARD.US,D,20230725,000000,17.6447,17.6447,17.6447,17.6447,1,0
CARD.US,D,20230726,000000,16.9283,16.9283,16.9283,16.9283,1,0
CARD.US,D,20230727,000000,17.9143,17.9143,17.9143,17.9143,1,0
CARD.US,D,20230728,000000,17.0277,17.0277,17.0277,17.0277,27,0
CARD.US,D,20230731,000000,16.6345,16.6345,16.6345,16.6345,20,0
CARD.US,D,20230801,000000,16.6024,16.6024,16.6024,16.6024,20,0
CARD.US,D,20230802,000000,17.5429,17.5429,17.5429,17.5429,29,0
CARD.US,D,20230803,000000,17.16,17.16,17.16,17.16,20,0
