<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CC.US,D,20150701,000000,12.4396,12.9693,11.3527,12.8362,15003779.866256,0
CC.US,D,20150702,000000,12.7745,12.8362,12.3642,12.8362,8529932.2562425,0
CC.US,D,20150706,000000,12.4396,12.5786,12.1752,12.4718,4359369.5548376,0
CC.US,D,20150707,000000,12.2447,12.5316,11.5054,11.6552,6208769.2298795,0
CC.US,D,20150708,000000,10.9385,10.963,9.57937,10.1248,12824094.578208,0
CC.US,D,20150709,000000,10.1395,10.2844,9.18369,9.18369,13485704.422164,0
CC.US,D,20150710,000000,9.26839,9.52454,8.66912,9.06482,10968654.170474,0
CC.US,D,20150713,000000,8.72992,9.06482,8.59891,8.86467,8940865.4804094,0
CC.US,D,20150714,000000,8.73796,9.91914,8.73796,9.84474,8118202.4519402,0
CC.US,D,20150715,000000,9.88976,10.5986,9.71744,10.1032,6222155.8611793,0
CC.US,D,20150716,000000,9.96716,10.2384,9.91914,10.1914,5640275.5187159,0
CC.US,D,20150717,000000,10.1395,10.1864,10.0435,10.1395,3499050.7536126,0
CC.US,D,20150720,000000,10.0004,10.0533,9.63323,9.70961,5275772.7038722,0
CC.US,D,20150721,000000,9.61757,9.75857,9.58721,9.62638,2812230.16963,0
CC.US,D,20150722,000000,9.44621,9.68023,9.05052,9.36395,4358600.5486302,0
CC.US,D,20150723,000000,9.37571,9.49419,9.12052,9.21071,2862132.851338,0
CC.US,D,20150724,000000,9.09753,9.14354,8.73796,8.79231,4431399.8029458,0
CC.US,D,20150727,000000,8.73796,8.74608,8.28705,8.35951,4808762.2806919,0
CC.US,D,20150728,000000,8.04568,8.79231,7.66604,8.78418,4106509.4884723,0
CC.US,D,20150729,000000,8.58285,9.56371,8.51951,9.47852,3546379.8687297,0
CC.US,D,20150730,000000,9.40312,9.72136,9.16077,9.43641,2954430.9576071,0
CC.US,D,20150731,000000,9.34829,9.36591,8.81082,8.89335,3272765.8260695,0
CC.US,D,20150803,000000,8.86732,8.91725,8.51607,8.66374,3035668.8550743,0
CC.US,D,20150804,000000,8.54731,8.68812,8.02697,8.11676,4403401.0324458,0
CC.US,D,20150805,000000,7.9463,8.27157,7.59702,7.7107,9300757.3217775,0
CC.US,D,20150806,000000,7.78384,9.98285,7.7433,9.0372,9163164.4435062,0
CC.US,D,20150807,000000,9.12817,9.18564,8.34658,8.9668,4411010.4152513,0
CC.US,D,20150810,000000,9.00606,9.36591,8.79231,9.0372,3591099.6732752,0
CC.US,D,20150811,000000,8.95739,9.06952,8.51607,8.70271,2013134.6793437,0
CC.US,D,20150812,000000,8.3552,8.67176,7.9463,8.15868,3014857.6884107,0
CC.US,D,20150813,000000,8.06791,9.14451,7.83299,8.78418,2917461.4692756,0
CC.US,D,20150814,000000,8.64827,8.95739,8.36343,8.63925,1584679.7559694,0
CC.US,D,20150817,000000,8.61489,9.05346,8.59813,8.94242,2642972.2097232,0
CC.US,D,20150818,000000,8.77869,8.78418,8.02697,8.15868,4637977.5421923,0
CC.US,D,20150819,000000,8.08504,8.1101,7.83299,7.9463,2246653.1672696,0
CC.US,D,20150820,000000,8.16719,8.16719,7.60505,7.83299,3737619.355345,0
CC.US,D,20150821,000000,7.73527,7.93905,7.37699,7.49077,2475699.5726152,0
CC.US,D,20150824,000000,7.1979,7.80813,6.75805,7.49077,2750637.1638078,0
CC.US,D,20150825,000000,7.68632,7.75153,6.75805,6.76617,3511147.537847,0
CC.US,D,20150826,000000,6.95359,7.4422,6.80691,7.42585,3375316.3271827,0
CC.US,D,20150827,000000,7.50712,7.92239,7.4422,7.79187,3396317.4475709,0
CC.US,D,20150828,000000,7.36876,7.90585,7.36876,7.88117,2391936.1076164,0
CC.US,D,20150831,000000,7.62933,7.99515,7.62933,7.87403,2307564.9949504,0
CC.US,D,20150901,000000,7.58066,7.85777,7.53982,7.62933,2750556.4845377,0
CC.US,D,20150902,000000,7.49077,7.66996,7.03496,7.05925,3811677.8190284,0
CC.US,D,20150903,000000,7.1652,8.16719,7.09195,7.64577,4825637.5244816,0
CC.US,D,20150904,000000,7.54805,7.60505,7.29562,7.30364,2067708.5886659,0
CC.US,D,20150908,000000,7.36876,7.45835,7.32,7.42585,2547667.5240716,0
CC.US,D,20150909,000000,7.61317,7.84123,7.53982,7.57234,3657297.5250335,0
CC.US,D,20150910,000000,7.66193,7.71902,7.37699,7.45835,2902215.1297369,0
CC.US,D,20150911,000000,7.51515,7.62933,7.35261,7.38512,2730046.5885664,0
CC.US,D,20150914,000000,7.4093,7.4093,7.15707,7.29562,2045973.1847941,0
CC.US,D,20150915,000000,7.35261,7.68632,7.35261,7.65371,2347723.867593,0
CC.US,D,20150916,000000,7.69444,7.97038,7.62111,7.82477,2364425.4977635,0
CC.US,D,20150917,000000,7.83299,8.02697,7.65371,7.69444,1508532.8225723,0
CC.US,D,20150918,000000,7.58878,7.62933,7.10017,7.13249,4408680.9289838,0
CC.US,D,20150921,000000,7.27927,7.48274,7.1081,7.4422,2426450.4951206,0
CC.US,D,20150922,000000,7.32823,7.34429,6.89669,7.07589,1936418.9060296,0
CC.US,D,20150923,000000,7.03496,7.45004,6.42444,6.49778,3208655.4227684,0
CC.US,D,20150924,000000,6.46497,6.48936,5.86249,6.1719,5418361.5693512,0
CC.US,D,20150925,000000,6.28598,6.30224,5.74048,5.74851,4194243.5990687,0
CC.US,D,20150928,000000,5.69955,5.73254,5.24392,5.27625,4996747.0225749,0
CC.US,D,20150929,000000,5.34146,5.45553,5.00755,5.03194,4970924.549855,0
CC.US,D,20150930,000000,5.08903,5.28407,4.83668,5.26821,5669864.3857168,0
CC.US,D,20151001,000000,5.29269,5.39845,5.13799,5.34939,2721083.0195308,0
CC.US,D,20151002,000000,5.29269,5.87864,5.26018,5.76486,3544556.9257276,0
CC.US,D,20151005,000000,5.88687,6.31839,5.82184,6.15555,5480774.6442102,0
CC.US,D,20151006,000000,6.16368,6.88858,6.14753,6.685,4841356.7058187,0
CC.US,D,20151007,000000,6.71741,7.00264,6.31056,6.40799,5296261.1534554,0
CC.US,D,20151008,000000,6.72554,6.9861,5.69955,6.86409,8135370.7963695,0
CC.US,D,20151009,000000,6.96162,7.06767,6.45704,6.53841,3625733.5477997,0
CC.US,D,20151012,000000,6.53841,6.63594,6.35101,6.55437,1593674.9839591,0
CC.US,D,20151013,000000,6.45704,6.50552,5.96011,5.97636,1947470.9447788,0
CC.US,D,20151014,000000,5.9846,6.04981,5.80559,5.87061,2627988.3331266,0
CC.US,D,20151015,000000,5.86249,5.86249,5.61837,5.75683,2652062.414575,0
CC.US,D,20151016,000000,5.78131,5.8382,5.17039,5.203,3288608.579453,0
CC.US,D,20151019,000000,5.203,5.26018,4.84462,4.95037,3240221.4425153,0
CC.US,D,20151020,000000,4.97514,5.26821,4.89367,5.21926,2321283.5346398,0
CC.US,D,20151021,000000,5.29269,5.33334,5.04839,5.09695,1686739.0326661,0
CC.US,D,20151022,000000,5.21093,5.32491,5.07267,5.17039,1765214.431074,0
CC.US,D,20151023,000000,5.22748,5.42293,5.16236,5.34146,1646821.1765772,0
CC.US,D,20151026,000000,5.49598,5.49598,5.22748,5.25186,1375647.9371522,0
CC.US,D,20151027,000000,5.23571,5.34939,5.05643,5.34146,1403893.8517454,0
CC.US,D,20151028,000000,5.40668,5.56109,5.31688,5.42293,2164364.3967779,0
CC.US,D,20151029,000000,5.40668,5.65881,5.36584,5.6266,1667944.8477553,0
CC.US,D,20151030,000000,5.52065,5.69955,5.45553,5.64276,1728495.1506056,0
CC.US,D,20151102,000000,5.61837,6.28598,5.57735,6.18806,2543881.7259157,0
CC.US,D,20151103,000000,5.9846,7.10017,5.9846,6.90463,4659588.352761,0
CC.US,D,20151104,000000,6.87222,7.1652,6.55437,6.61969,5170074.689968,0
CC.US,D,20151105,000000,6.7744,7.04309,5.94385,6.12314,3145409.0025372,0
CC.US,D,20151106,000000,6.00055,6.10669,5.43105,5.47981,3681125.4836454,0
CC.US,D,20151109,000000,5.37387,5.43908,5.17039,5.23571,2234156.0504542,0
CC.US,D,20151110,000000,5.17832,5.25196,4.99012,5.03097,3117652.2698475,0
CC.US,D,20151111,000000,5.05553,5.08012,4.82651,4.82651,4316231.6767404,0
CC.US,D,20151112,000000,4.84285,4.86744,4.70381,4.78557,2648121.3854183,0
CC.US,D,20151113,000000,4.76119,4.82651,4.6056,4.65486,1670069.0614496,0
CC.US,D,20151116,000000,4.72839,4.88369,4.63018,4.7936,2372586.3591242,0
CC.US,D,20151117,000000,4.76119,4.91649,4.58103,4.59767,7038677.052554,0
CC.US,D,20151118,000000,4.6056,4.81799,4.58945,4.77734,4984039.5269033,0
CC.US,D,20151119,000000,4.78557,5.12104,4.78557,4.94117,4564508.3435579,0
CC.US,D,20151120,000000,4.9492,5.02293,4.81005,4.90015,2587122.7509279,0
CC.US,D,20151123,000000,4.90015,4.92461,4.71184,4.85911,3057019.245214,0
CC.US,D,20151124,000000,4.85911,5.12104,4.85911,5.03097,3210475.3020006,0
CC.US,D,20151125,000000,5.03097,5.22748,4.9821,5.16207,1649773.6293608,0
CC.US,D,20151127,000000,5.21084,5.26831,5.15365,5.18645,615732.95570129,0
CC.US,D,20151130,000000,5.16207,5.23571,5.07179,5.11301,1412624.5742797,0
CC.US,D,20151201,000000,5.11301,5.18645,4.78557,4.9492,2694283.2042603,0
CC.US,D,20151202,000000,4.90826,5.06366,4.82651,5.00668,2426721.1281153,0
CC.US,D,20151203,000000,5.0149,5.11301,4.81005,4.88369,3377684.6212004,0
CC.US,D,20151204,000000,4.86744,5.12936,4.7936,5.08012,2356818.1574713,0
CC.US,D,20151207,000000,5.03909,5.08012,4.90015,4.91649,1989728.499701,0
CC.US,D,20151208,000000,4.84285,4.90826,4.68747,4.72839,2923376.5874087,0
CC.US,D,20151209,000000,4.75278,5.1374,4.75278,4.94117,2455103.8910908,0
CC.US,D,20151210,000000,4.90826,5.09628,4.87576,5.0149,1435726.4194607,0
CC.US,D,20151211,000000,4.91649,4.99012,4.58945,4.65486,3214466.3727298,0
CC.US,D,20151214,000000,4.62196,4.72839,4.24565,4.30264,3126009.2124723,0
CC.US,D,20151215,000000,4.30264,4.43375,4.2948,4.3849,2553871.6578179,0
CC.US,D,20151216,000000,4.45843,4.76119,4.39253,4.62196,2823297.5272281,0
CC.US,D,20151217,000000,4.56467,4.56467,3.74646,3.86103,6394341.7637117,0
CC.US,D,20151218,000000,3.84487,5.14553,3.84487,4.87576,9247093.3520715,0
CC.US,D,20151221,000000,4.90015,5.03909,4.2948,4.55654,5923833.5367319,0
CC.US,D,20151222,000000,4.53207,4.85911,4.46676,4.68747,2586931.7759468,0
CC.US,D,20151223,000000,4.68747,4.85911,4.62196,4.71184,2180791.3089273,0
CC.US,D,20151224,000000,4.67091,4.78557,4.67091,4.69558,536563.10281628,0
CC.US,D,20151228,000000,4.66288,4.66288,4.40516,4.41741,1763712.1626394,0
CC.US,D,20151229,000000,4.44207,4.49926,4.34445,4.48319,1391910.4269917,0
CC.US,D,20151230,000000,4.40125,4.45021,4.26181,4.2948,1623934.8165355,0
CC.US,D,20151231,000000,4.26181,4.50738,4.24565,4.3849,2393760.071875,0
CC.US,D,20160104,000000,4.25368,4.49103,4.25368,4.48319,3402068.143394,0
CC.US,D,20160105,000000,4.48319,4.49103,4.31126,4.43375,3776724.2911932,0
CC.US,D,20160106,000000,4.31929,4.34377,4.13128,4.18837,3711655.9492164,0
CC.US,D,20160107,000000,4.09015,4.27014,3.79571,3.8859,4774706.4373939,0
CC.US,D,20160108,000000,3.95111,4.10651,3.77124,3.92664,3438939.5910934,0
CC.US,D,20160111,000000,3.92664,3.94298,3.50949,3.58304,4341862.1532226,0
CC.US,D,20160112,000000,3.6321,3.65256,3.12507,3.19851,8121335.6671392,0
CC.US,D,20160113,000000,3.24766,3.24766,2.65056,2.69961,5196545.6606186,0
CC.US,D,20160114,000000,2.69961,3.14955,2.6343,2.87147,7728887.1871379,0
CC.US,D,20160115,000000,2.81408,3.26401,2.78137,3.25589,3696163.4868411,0
CC.US,D,20160119,000000,3.29691,3.41109,2.86334,2.93688,3183174.0497474,0
CC.US,D,20160120,000000,2.84708,3.05956,2.6343,2.98573,3251166.2493233,0
CC.US,D,20160121,000000,2.9776,3.37339,2.94589,2.96125,2645173.0176611,0
CC.US,D,20160122,000000,3.05143,3.15758,2.88781,3.10852,2960128.5480879,0
CC.US,D,20160125,000000,3.1004,3.14955,2.84708,2.85482,1832172.0977307,0
CC.US,D,20160126,000000,2.86334,2.87157,2.65889,2.724,4160866.8913988,0
CC.US,D,20160127,000000,2.74866,2.78137,2.5029,2.55225,4768011.0792308,0
CC.US,D,20160128,000000,2.58505,2.68326,2.55225,2.56879,3463434.4302545,0
CC.US,D,20160129,000000,2.59328,3.27225,2.58505,3.22309,37002724.105802,0
CC.US,D,20160201,000000,3.24766,3.67302,3.02676,3.19851,5305348.2945375,0
CC.US,D,20160202,000000,3.16581,3.23944,2.90407,2.99406,4027804.307333,0
CC.US,D,20160203,000000,3.03518,3.34548,3.02676,3.27225,4882530.7075055,0
CC.US,D,20160204,000000,3.2887,3.62407,3.25589,3.59948,3393459.9716495,0
CC.US,D,20160205,000000,3.59126,3.59948,3.31317,3.41109,1992253.045976,0
CC.US,D,20160208,000000,3.3214,3.40326,3.23122,3.38651,2304531.8628967,0
CC.US,D,20160209,000000,3.29691,3.37017,3.10852,3.25589,3119100.4116833,0
CC.US,D,20160210,000000,3.28027,3.2887,2.9448,2.9448,1929942.0967754,0
CC.US,D,20160211,000000,2.93688,3.3214,2.86334,3.16581,1932799.5726968,0
CC.US,D,20160212,000000,3.25589,3.26401,2.9776,3.17403,2255228.6588033,0
CC.US,D,20160216,000000,3.14133,3.15758,2.87949,3.01864,2539601.6395733,0
CC.US,D,20160217,000000,3.05956,3.50138,3.04939,3.40326,3303832.4513469,0
