<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEM.US,D,20100624,000000,38.5995,38.5995,38.5995,38.5995,0,0
CEM.US,D,20100625,000000,38.5995,39.7756,38.5995,39.4209,197822.45296919,0
CEM.US,D,20100628,000000,39.4209,39.5518,38.6563,39.3137,118858.98711693,0
CEM.US,D,20100629,000000,39.5139,39.5139,38.79,39.3137,86083.787989018,0
CEM.US,D,20100630,000000,39.4076,39.4692,38.8973,39.4692,100083.01180515,0
CEM.US,D,20100701,000000,39.5139,39.6448,38.9836,39.3792,141567.26944237,0
CEM.US,D,20100702,000000,39.27,40.1446,39.0983,39.7756,107004.08299672,0
CEM.US,D,20100706,000000,39.7756,40.5364,39.235,39.7112,76040.064418246,0
CEM.US,D,20100707,000000,40.0261,40.0374,39.27,39.5518,53066.114165883,0
CEM.US,D,20100708,000000,39.6448,40.0374,38.8489,39.2482,151948.34911083,0
CEM.US,D,20100709,000000,39.2891,39.8287,39.0813,39.7112,55570.983191195,0
CEM.US,D,20100712,000000,40.0374,40.4719,39.1781,39.3792,126104.76355254,0
CEM.US,D,20100713,000000,39.6941,39.731,39.2027,39.2482,70679.265178467,0
CEM.US,D,20100714,000000,39.235,39.5385,39.0813,39.0983,78883.343779048,0
CEM.US,D,20100715,000000,39.3991,39.6703,38.9059,39.3991,117534.86443353,0
CEM.US,D,20100716,000000,40.1968,40.1968,39.2274,39.3792,145502.73916944,0
CEM.US,D,20100719,000000,39.6941,39.6941,39.0983,39.5139,73621.642892965,0
CEM.US,D,20100720,000000,39.6703,40.0374,39.3137,39.7756,109689.22668673,0
CEM.US,D,20100721,000000,39.9588,40.0906,39.5518,39.731,79305.038901155,0
CEM.US,D,20100722,000000,40.1086,40.1238,39.3792,39.8535,62781.969779217,0
CEM.US,D,20100723,000000,39.9321,39.9321,39.4209,39.7756,71270.69258722,0
CEM.US,D,20100726,000000,39.4692,39.7557,39.2482,39.3991,123529.26059428,0
CEM.US,D,20100727,000000,39.2274,39.677,39.0273,39.5261,79272.357529192,0
CEM.US,D,20100728,000000,39.4692,39.8287,39.0632,39.6703,69288.725513321,0
CEM.US,D,20100729,000000,39.3792,39.5139,38.5995,38.5995,245946.30030399,0
CEM.US,D,20100730,000000,38.7806,39.0453,38.6886,38.9372,102033.35174489,0
CEM.US,D,20100802,000000,39.0813,39.2027,38.79,38.8271,74543.046734767,0
CEM.US,D,20100803,000000,38.9258,39.1781,38.8489,39.0983,86857.598538083,0
CEM.US,D,20100804,000000,39.1781,39.3792,38.9059,38.9836,124760.61035082,0
CEM.US,D,20100805,000000,38.79,39.4447,38.79,39.4209,141175.09297881,0
CEM.US,D,20100806,000000,39.5803,39.8041,39.0813,39.5385,201521.77342787,0
CEM.US,D,20100809,000000,39.6703,39.8535,39.3137,39.8535,129706.03989533,0
CEM.US,D,20100810,000000,39.6703,39.7557,39.1345,39.677,186392.40668449,0
CEM.US,D,20100811,000000,38.8925,38.9618,38.5065,38.6563,207422.34242395,0
CEM.US,D,20100812,000000,38.5995,39.4209,38.5065,39.3792,136309.78550751,0
CEM.US,D,20100813,000000,39.27,39.4892,38.9618,39.3877,93727.012077198,0
CEM.US,D,20100816,000000,39.4892,39.4892,38.9258,39.2891,154909.70310582,0
CEM.US,D,20100817,000000,39.8041,39.8041,39.0273,39.0813,171033.21609956,0
CEM.US,D,20100818,000000,39.1781,39.3792,38.9059,39.3792,135446.364745,0
CEM.US,D,20100819,000000,38.8764,39.1781,38.7806,38.9059,98358.278755733,0
CEM.US,D,20100820,000000,39.235,39.3583,38.6886,38.7645,79871.164602583,0
CEM.US,D,20100823,000000,39.27,39.27,38.8271,39.0453,93633.184912529,0
CEM.US,D,20100824,000000,38.9618,38.9836,38.6563,38.79,79844.808657452,0
CEM.US,D,20100825,000000,39.0813,39.0813,38.6563,38.6563,85122.323110615,0
CEM.US,D,20100826,000000,38.9618,38.9618,38.2296,38.5065,128859.4869377,0
CEM.US,D,20100827,000000,38.5501,38.7806,38.1185,38.6725,83297.437469698,0
CEM.US,D,20100830,000000,38.2296,38.5728,38.1498,38.4458,68486.450543513,0
CEM.US,D,20100831,000000,38.5292,38.8489,38.1925,38.626,83650.607134463,0
CEM.US,D,20100901,000000,38.5728,39.5385,38.4239,39.1544,151663.70490341,0
CEM.US,D,20100902,000000,39.4892,39.4892,38.8764,39.1345,59175.422247402,0
CEM.US,D,20100903,000000,39.3383,39.3383,38.8271,39.1544,51622.862610474,0
CEM.US,D,20100907,000000,39.1544,39.1544,38.6411,38.79,79495.855943908,0
CEM.US,D,20100908,000000,38.9372,39.235,38.6886,38.9059,79387.269449967,0
CEM.US,D,20100909,000000,39.2274,39.27,38.8271,39.0453,64968.458987339,0
CEM.US,D,20100910,000000,39.1345,39.2482,38.9618,39.0064,52273.327336323,0
CEM.US,D,20100913,000000,39.3383,39.4692,39.0273,39.3991,100608.02223217,0
CEM.US,D,20100914,000000,39.4447,39.7557,39.2274,39.6286,144644.58959594,0
CEM.US,D,20100915,000000,39.731,39.8212,39.2891,39.3991,90951.203935932,0
CEM.US,D,20100916,000000,39.3583,39.6448,39.27,39.5518,97289.281621192,0
CEM.US,D,20100917,000000,39.5139,39.7112,39.27,39.6286,79612.876340294,0
CEM.US,D,20100920,000000,39.677,39.7112,39.27,39.3583,88506.426465519,0
CEM.US,D,20100921,000000,39.27,39.5993,39.0813,39.27,98422.587261854,0
CEM.US,D,20100922,000000,39.5518,39.6286,39.0064,39.3877,114182.38821278,0
CEM.US,D,20100923,000000,39.1345,39.3583,39.0064,39.235,85882.428568211,0
CEM.US,D,20100924,000000,39.3383,39.3877,38.9372,39.1345,124663.62047275,0
CEM.US,D,20100927,000000,39.2027,39.2274,38.4885,38.5995,185517.38930612,0
CEM.US,D,20100928,000000,38.5995,39.1127,38.4011,38.5226,139885.76014298,0
CEM.US,D,20100929,000000,38.5728,38.9836,38.4458,38.8489,95162.883967971,0
CEM.US,D,20100930,000000,39.1345,39.4209,38.8044,39.3383,106778.4761064,0
CEM.US,D,20101001,000000,39.27,39.4892,39.0983,39.4447,109952.78613805,0
CEM.US,D,20101004,000000,39.3792,39.731,38.9372,39.6703,136505.87373929,0
CEM.US,D,20101005,000000,38.9372,39.6286,38.9372,39.4892,131554.11876795,0
CEM.US,D,20101006,000000,39.4692,39.8657,39.27,39.8657,136465.8127027,0
CEM.US,D,20101007,000000,39.9588,40.1446,39.6941,40.1446,108603.36174732,0
CEM.US,D,20101008,000000,40.1446,40.4908,39.6941,40.0621,86028.967623144,0
CEM.US,D,20101011,000000,39.8657,40.1731,39.8535,40.156,76311.003534199,0
CEM.US,D,20101012,000000,40.2708,40.2708,39.731,39.9588,80790.459968775,0
CEM.US,D,20101013,000000,40.0374,40.3325,39.971,40.2499,104837.62430689,0
CEM.US,D,20101014,000000,40.2945,40.3078,39.971,40.0014,121517.77486182,0
CEM.US,D,20101015,000000,40.156,40.2945,40.0374,40.2272,109699.76906479,0
CEM.US,D,20101018,000000,40.0374,40.4235,39.9853,40.4017,109511.06049764,0
CEM.US,D,20101019,000000,40.3561,40.4102,40.1086,40.2945,96994.095035718,0
CEM.US,D,20101020,000000,40.0906,40.3561,40.0374,40.0621,109303.37565001,0
CEM.US,D,20101021,000000,40.1086,40.3561,40.0374,40.1731,114033.74068224,0
CEM.US,D,20101022,000000,40.3078,40.3078,40.0621,40.0621,87511.225977348,0
CEM.US,D,20101025,000000,40.2499,40.3325,39.6703,39.7756,126802.66897963,0
CEM.US,D,20101026,000000,39.9321,40.0906,39.6941,39.9321,121942.63269734,0
CEM.US,D,20101027,000000,40.156,40.156,39.6941,39.9103,110401.8914431,0
CEM.US,D,20101028,000000,40.1238,40.1731,39.8212,40.0374,65910.947585247,0
CEM.US,D,20101029,000000,40.1153,40.4235,39.9635,40.4017,59351.47996088,0
CEM.US,D,20101101,000000,40.2945,40.5136,40.1731,40.4415,103033.82342209,0
CEM.US,D,20101102,000000,40.4908,40.5364,40.4017,40.4017,90324.986679604,0
CEM.US,D,20101103,000000,40.4415,40.6882,40.3561,40.6882,102282.15186694,0
CEM.US,D,20101104,000000,41.4888,41.5561,40.9149,41.3152,164754.1757314,0
CEM.US,D,20101105,000000,41.2686,41.3797,40.9869,41.3018,131077.60327998,0
CEM.US,D,20101108,000000,41.4575,47.0928,41.1577,41.6329,205306.48714877,0
CEM.US,D,20101109,000000,41.6937,42.0389,41.5561,41.8377,112655.85187075,0
CEM.US,D,20101110,000000,42.2675,42.2675,41.6937,41.7847,105152.84141067,0
CEM.US,D,20101111,000000,41.6699,42.1727,41.0733,41.7847,98849.553572986,0
CEM.US,D,20101112,000000,41.3018,41.6329,40.8228,40.8399,98999.255341334,0
CEM.US,D,20101115,000000,41.1786,41.6453,40.9149,41.1994,123002.14169164,0
CEM.US,D,20101116,000000,41.281,41.281,39.7112,40.156,176514.19844915,0
CEM.US,D,20101117,000000,40.3809,40.3809,39.0983,39.3792,120694.41513591,0
CEM.US,D,20101118,000000,39.3877,39.8535,39.27,39.7557,168739.19463531,0
CEM.US,D,20101119,000000,39.8535,40.0261,39.3383,39.5385,93076.547351349,0
CEM.US,D,20101122,000000,39.3137,39.5385,38.7094,38.8271,204551.65288021,0
CEM.US,D,20101123,000000,38.626,39.8905,38.5995,39.8041,205592.18559399,0
CEM.US,D,20101124,000000,40.0374,40.2945,39.677,39.8657,92651.689515827,0
CEM.US,D,20101126,000000,39.731,40.2499,39.5139,40.0014,31828.493578794,0
CEM.US,D,20101129,000000,40.2499,40.5364,39.8535,40.5364,70786.797434604,0
CEM.US,D,20101130,000000,40.4378,41.0733,40.267,41.0239,83038.094969603,0
CEM.US,D,20101201,000000,41.281,41.6699,41.114,41.5153,131054.41004825,0
CEM.US,D,20101202,000000,41.4888,41.6937,40.9623,41.3797,110410.32534554,0
CEM.US,D,20101203,000000,41.5561,41.6937,41.0239,41.6937,87182.303782105,0
CEM.US,D,20101206,000000,41.5561,41.6453,41.0239,41.0922,127144.24202853,0
CEM.US,D,20101207,000000,41.4888,41.4888,41.0922,41.4575,87703.097257906,0
CEM.US,D,20101208,000000,41.4575,41.6937,41.2289,41.6937,84341.132896912,0
CEM.US,D,20101209,000000,41.6937,42.0703,41.4166,42.0541,91453.021131239,0
CEM.US,D,20101210,000000,41.6034,42.2675,41.5921,41.5921,90503.152868694,0
CEM.US,D,20101213,000000,41.8749,42.2675,40.7167,40.8626,119607.49595868,0
CEM.US,D,20101214,000000,41.355,41.6984,40.6511,41.1994,104235.6545201,0
CEM.US,D,20101215,000000,40.6682,41.4081,39.7112,39.7756,89579.640551281,0
CEM.US,D,20101216,000000,39.9853,40.2945,39.5518,39.971,140107.15008209,0
CEM.US,D,20101217,000000,40.156,40.7167,39.8905,40.4415,105985.68927684,0
CEM.US,D,20101220,000000,40.7167,40.8228,40.1446,40.5772,63513.610816072,0
CEM.US,D,20101221,000000,40.8228,41.1577,40.3078,40.6882,99531.645432994,0
CEM.US,D,20101222,000000,41.0733,41.8995,40.9149,41.4366,122756.50428301,0
CEM.US,D,20101223,000000,41.4366,41.7847,40.7167,40.9149,62331.810236368,0
CEM.US,D,20101227,000000,40.6682,41.0922,40.4908,40.5772,62270.664443663,0
CEM.US,D,20101228,000000,40.4102,41.0239,40.3325,40.9386,70139.49542217,0
CEM.US,D,20101229,000000,40.856,42.1727,40.729,41.6376,84665.838140934,0
CEM.US,D,20101230,000000,41.9725,42.2021,41.4982,41.9402,66484.452951312,0
CEM.US,D,20101231,000000,42.1527,42.4136,41.9355,42.4136,67126.48377472,0
CEM.US,D,20110103,000000,42.3282,42.4421,41.3342,41.9762,123275.18928321,0
CEM.US,D,20110104,000000,41.8501,42.2675,41.0239,41.4888,123744.32510654,0
