<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEN.US,D,20130926,000000,76.1217,76.2198,76.1217,76.1217,263584.77912618,0
CEN.US,D,20130927,000000,76.1217,76.242,76.1217,76.1217,37665.806416761,0
CEN.US,D,20130930,000000,76.5979,76.6932,76.5508,76.5508,41497.548498228,0
CEN.US,D,20131001,000000,76.2872,76.2872,76.1217,76.1217,12792.219495735,0
CEN.US,D,20131002,000000,76.2198,76.2198,76.1217,76.1217,3564.6529263442,0
CEN.US,D,20131003,000000,76.1514,76.1514,76.1217,76.1217,13707.805276525,0
CEN.US,D,20131004,000000,76.1217,76.1813,76.1217,76.1217,16721.651774017,0
CEN.US,D,20131007,000000,76.1217,76.242,76.1217,76.1217,7662.4449055205,0
CEN.US,D,20131008,000000,76.1514,76.1514,76.1217,76.1217,7830.8046064149,0
CEN.US,D,20131009,000000,76.1217,76.1514,76.1217,76.1217,3258.0719895303,0
CEN.US,D,20131010,000000,76.1514,76.1514,76.1217,76.1217,3859.8020316158,0
CEN.US,D,20131011,000000,76.242,76.3247,76.2198,76.242,2511.8851670478,0
CEN.US,D,20131014,000000,76.1813,76.242,76.1217,76.1217,5821.9200272245,0
CEN.US,D,20131015,000000,76.1217,76.1514,76.1217,76.1217,15336.321642583,0
CEN.US,D,20131016,000000,76.1514,76.1813,76.1217,76.1217,50188.858242548,0
CEN.US,D,20131017,000000,76.3853,76.3853,76.1217,76.242,1742.8346814808,0
CEN.US,D,20131018,000000,76.1514,76.1514,76.1217,76.1217,31442.733028146,0
CEN.US,D,20131021,000000,76.1813,76.1813,76.1217,76.1217,12632.173854144,0
CEN.US,D,20131022,000000,76.1514,76.5056,76.1514,76.4517,6562.9105626424,0
CEN.US,D,20131023,000000,76.1217,76.2872,76.1217,76.1217,20857.896277471,0
CEN.US,D,20131024,000000,76.1217,76.1514,76.1217,76.1217,5071.5761750902,0
CEN.US,D,20131025,000000,74.5888,76.1813,73.846,76.1217,33619.977308232,0
CEN.US,D,20131028,000000,76.1217,76.1514,76.1217,76.1217,95013.069719559,0
CEN.US,D,20131029,000000,76.1217,76.1813,76.1217,76.1217,6557.7142755777,0
CEN.US,D,20131030,000000,76.1217,76.1813,76.1217,76.1217,13349.261469064,0
CEN.US,D,20131031,000000,76.646,76.646,76.5508,76.5508,19644.043619171,0
CEN.US,D,20131101,000000,76.1217,76.5056,76.1217,76.1813,7419.2586708953,0
CEN.US,D,20131104,000000,76.1217,76.1514,76.1217,76.1217,13480.207903094,0
CEN.US,D,20131105,000000,76.242,76.5056,76.1217,76.2198,13996.718837319,0
CEN.US,D,20131106,000000,76.2872,77.8786,76.1217,76.1217,29108.56087871,0
CEN.US,D,20131107,000000,76.7115,76.7115,76.1217,76.1217,7120.9917933849,0
CEN.US,D,20131108,000000,76.1217,76.5056,76.1217,76.1217,26705.797740019,0
CEN.US,D,20131111,000000,75.4076,75.4076,73.3197,73.7718,15535.859065866,0
CEN.US,D,20131112,000000,73.5015,74.2155,73.3746,73.4111,19470.487631212,0
CEN.US,D,20131113,000000,73.6507,73.6507,72.5191,72.9397,10687.723234555,0
CEN.US,D,20131114,000000,72.9397,73.4198,72.6826,72.7433,11977.441683999,0
CEN.US,D,20131115,000000,73.1263,75.0709,72.8924,74.0797,13257.806816726,0
CEN.US,D,20131118,000000,74.3791,75.22,70.9834,71.7215,19760.44044942,0
CEN.US,D,20131119,000000,72.189,72.6538,71.5492,72.4815,21811.93458254,0
CEN.US,D,20131120,000000,72.9397,72.9752,70.4215,70.4215,13646.489089162,0
CEN.US,D,20131121,000000,70.2203,72.0158,66.8275,70.9834,28569.1862814,0
CEN.US,D,20131122,000000,71.7599,71.7599,68.0255,68.1121,38432.778387502,0
CEN.US,D,20131125,000000,69.3621,69.5737,65.4997,67.4425,33570.09295241,0
CEN.US,D,20131126,000000,67.6675,70.1357,67.5781,68.0746,28831.079149457,0
CEN.US,D,20131127,000000,68.519,70.5985,68.2044,70.5609,27735.701836231,0
