<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CGMU.US,D,20221028,000000,25.16,25.1795,25.15,25.1706,9330,0
CGMU.US,D,20221031,000000,25.1415,25.1415,25.1415,25.1415,4,0
CGMU.US,D,20221101,000000,25.229,25.25,25.229,25.25,798,0
CGMU.US,D,20221102,000000,25.279,25.29,25.25,25.29,5142,0
CGMU.US,D,20221103,000000,25.23,25.26,25.216,25.24,17293,0
CGMU.US,D,20221104,000000,25.26,25.28,25.2273,25.2273,6205,0
CGMU.US,D,20221107,000000,25.26,25.27,25.22,25.235,8941,0
CGMU.US,D,20221108,000000,25.315,25.35,25.315,25.33,46124,0
CGMU.US,D,20221109,000000,25.3299,25.4,25.3292,25.4,31165,0
CGMU.US,D,20221110,000000,25.73,28.1,25.705,25.705,67006,0
CGMU.US,D,20221111,000000,25.74,25.77,25.74,25.755,6700,0
CGMU.US,D,20221114,000000,25.699,25.83,25.66,25.6647,50376,0
CGMU.US,D,20221115,000000,25.74,25.94,25.74,25.795,73220,0
CGMU.US,D,20221116,000000,25.85,25.9171,25.85,25.91,25240,0
CGMU.US,D,20221117,000000,25.93,25.97,25.93,25.947,11991,0
CGMU.US,D,20221118,000000,25.98,25.99,25.97,25.97,25758,0
CGMU.US,D,20221121,000000,25.99,26.08,25.96,25.9761,53557,0
CGMU.US,D,20221122,000000,26.12,26.21,25.99,26.02,79240,0
CGMU.US,D,20221123,000000,26.14,26.26,26.0692,26.13,210479,0
CGMU.US,D,20221125,000000,26.1035,26.11,26.1,26.105,40541,0
CGMU.US,D,20221128,000000,26.16,26.26,26.0858,26.13,78416,0
CGMU.US,D,20221129,000000,27.43,27.82,26.125,26.19,43751,0
CGMU.US,D,20221130,000000,26.16,26.27,26.145,26.251,71233,0
CGMU.US,D,20221201,000000,26.26,26.4,26.26,26.3949,114974,0
CGMU.US,D,20221202,000000,26.32,26.459,26.295,26.355,72052,0
CGMU.US,D,20221205,000000,26.33,26.349,26.3,26.31,44674,0
CGMU.US,D,20221206,000000,26.37,26.4,26.35,26.365,105284,0
CGMU.US,D,20221207,000000,26.4,26.46,26.4,26.4329,90771,0
CGMU.US,D,20221208,000000,26.46,26.46,26.41,26.42,49849,0
CGMU.US,D,20221209,000000,26.49,26.49,26.41,26.415,25342,0
CGMU.US,D,20221212,000000,26.49,26.49,26.27,26.405,93993,0
CGMU.US,D,20221213,000000,26.5199,26.53,26.48,26.495,48778,0
CGMU.US,D,20221214,000000,26.49,26.58,26.46,26.51,119023,0
CGMU.US,D,20221215,000000,26.52,26.53,26.4994,26.515,39192,0
CGMU.US,D,20221216,000000,26.46,26.48,26.41,26.43,45757,0
CGMU.US,D,20221219,000000,26.51,26.51,26.3818,26.4029,55347,0
CGMU.US,D,20221220,000000,26.359,26.39,26.33,26.3702,77772,0
CGMU.US,D,20221221,000000,26.34,26.34,26.31,26.3295,60185,0
CGMU.US,D,20221222,000000,26.35,26.38,26.3133,26.32,170051,0
CGMU.US,D,20221223,000000,26.28,26.3,26.2501,26.29,59614,0
CGMU.US,D,20221227,000000,26.28,26.28,26.23,26.235,169054,0
