<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLOX.US,D,20230720,000000,25.109,25.155,25.08,25.08,12261,0
CLOX.US,D,20230721,000000,25.16,25.18,25.131,25.16,23600,0
CLOX.US,D,20230724,000000,25.17,25.17,25.15,25.155,17293,0
CLOX.US,D,20230725,000000,25.19,25.19,25.13,25.15,854,0
CLOX.US,D,20230726,000000,25.2,25.2,25.175,25.175,3325,0
CLOX.US,D,20230727,000000,25.22,25.24,25.19,25.2,22594,0
CLOX.US,D,20230728,000000,25.245,25.245,25.2,25.215,11056,0
CLOX.US,D,20230731,000000,25.27,25.27,25.26,25.27,799,0
CLOX.US,D,20230801,000000,25.29,25.29,25.27,25.29,8210,0
CLOX.US,D,20230802,000000,25.25,25.28,25.25,25.28,3803,0
CLOX.US,D,20230803,000000,25.27,25.29,25.25,25.275,146742,0
CLOX.US,D,20230804,000000,25.28,25.2891,25.25,25.25,17347,0
