<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTV-WS.US,D,20211202,000000,1.7,1.7,1.48,1.55,104597,0
CTV-WS.US,D,20211203,000000,1.48,1.6,1.34,1.35,65097,0
CTV-WS.US,D,20211206,000000,1.34,1.36,1.3,1.33,20271,0
CTV-WS.US,D,20211207,000000,1.345,1.45,1.31,1.315,87592,0
CTV-WS.US,D,20211208,000000,1.21,1.26,1.2,1.26,1650,0
CTV-WS.US,D,20211209,000000,1.38,1.44,1.24,1.26,12740,0
CTV-WS.US,D,20211210,000000,1.31,1.33,1.26,1.29,17430,0
CTV-WS.US,D,20211213,000000,1.2361,1.37,1.2361,1.265,24145,0
CTV-WS.US,D,20211214,000000,1.26,1.32,1.2,1.3,39553,0
CTV-WS.US,D,20211215,000000,1.2725,1.28,1.25,1.25,36712,0
CTV-WS.US,D,20211216,000000,1.16,1.1975,0.9401,0.9401,32720,0
CTV-WS.US,D,20211217,000000,0.9034,0.9039,0.7,0.8207,39810,0
CTV-WS.US,D,20211220,000000,0.81,1.27,0.76,1.27,14759,0
CTV-WS.US,D,20211221,000000,1.17,1.26,1.03,1.26,10757,0
CTV-WS.US,D,20211222,000000,1.15,1.16,1.15,1.16,827,0
CTV-WS.US,D,20211223,000000,1.18,1.18,1.18,1.18,251,0
CTV-WS.US,D,20211228,000000,1.22,1.29,1.17,1.19,4611,0
CTV-WS.US,D,20211229,000000,1.19,1.19,1.11,1.11,7325,0
CTV-WS.US,D,20220103,000000,1.03,1.0302,0.89,0.9752,21541,0
CTV-WS.US,D,20220104,000000,1.01,1.06,0.9801,0.9967,5500,0
CTV-WS.US,D,20220106,000000,0.929799,0.9785,0.8799,0.9785,19883,0
CTV-WS.US,D,20220107,000000,0.9302,1.085,0.9301,0.99,16407,0
CTV-WS.US,D,20220110,000000,1.01,1.01,0.99,0.99,2094,0
CTV-WS.US,D,20220111,000000,1.03,1.15,1.03,1.05,26742,0
CTV-WS.US,D,20220112,000000,1.12,1.18,1.04,1.18,11534,0
CTV-WS.US,D,20220113,000000,1.1,1.17,1.08,1.17,14109,0
CTV-WS.US,D,20220114,000000,1.1,1.1,1.1,1.1,253,0
CTV-WS.US,D,20220118,000000,1.13,1.21,1.04,1.04,2687,0
CTV-WS.US,D,20220119,000000,1.01,1.05,1,1,17526,0
CTV-WS.US,D,20220120,000000,1.06,1.14,1.06,1.14,1591,0
CTV-WS.US,D,20220121,000000,1.06,1.06,0.955,1,15337,0
CTV-WS.US,D,20220124,000000,0.9725,1.01,0.9275,1,13652,0
CTV-WS.US,D,20220125,000000,0.98,1,0.93,1,3569,0
CTV-WS.US,D,20220127,000000,0.91,0.91,0.91,0.91,100,0
CTV-WS.US,D,20220128,000000,0.84,0.85,0.58,0.7551,10577,0
CTV-WS.US,D,20220131,000000,0.7251,0.7799,0.725,0.7799,1509,0
CTV-WS.US,D,20220202,000000,0.72,0.72,0.68,0.68,212,0
CTV-WS.US,D,20220203,000000,0.6201,0.6201,0.5726,0.58,12289,0
CTV-WS.US,D,20220204,000000,0.6199,0.6553,0.6198,0.6499,1248,0
CTV-WS.US,D,20220207,000000,0.59,0.65,0.59,0.65,1703,0
CTV-WS.US,D,20220209,000000,0.59,0.59,0.4301,0.48,1217,0
CTV-WS.US,D,20220210,000000,0.4526,0.4526,0.4202,0.4501,730,0
CTV-WS.US,D,20220214,000000,0.4899,0.4899,0.47,0.476,786,0
CTV-WS.US,D,20220216,000000,0.462,0.5199,0.45,0.5199,3302,0
CTV-WS.US,D,20220217,000000,0.5,0.5022,0.5,0.5022,600,0
CTV-WS.US,D,20220225,000000,0.4467,0.4467,0.4467,0.4467,100,0
CTV-WS.US,D,20220228,000000,0.452,0.452,0.452,0.452,350,0
CTV-WS.US,D,20220301,000000,0.452,0.4612,0.4499,0.46,2942,0
CTV-WS.US,D,20220302,000000,0.452,0.46,0.45,0.45,10863,0
CTV-WS.US,D,20220303,000000,0.4761,0.500401,0.47,0.500401,5676,0
CTV-WS.US,D,20220304,000000,0.484,0.5128,0.2542,0.5128,33290,0
CTV-WS.US,D,20220307,000000,0.56,1.18,0.56,1.01,96441,0
CTV-WS.US,D,20220308,000000,0.99,1.02,0.99,1,10511,0
CTV-WS.US,D,20220309,000000,1.06,1.12,0.86,1.05,38594,0
CTV-WS.US,D,20220310,000000,1.14,1.15,1.14,1.15,994,0
CTV-WS.US,D,20220311,000000,1.22,1.29,1.15,1.27,19569,0
CTV-WS.US,D,20220314,000000,1.21,1.24,1.03,1.03,8624,0
CTV-WS.US,D,20220315,000000,0.9637,1.2,0.9637,1.13,9026,0
CTV-WS.US,D,20220316,000000,1.21,1.29,1.18,1.28,16799,0
CTV-WS.US,D,20220317,000000,1.19,1.32,1.19,1.21,17658,0
CTV-WS.US,D,20220318,000000,1.23,1.23,1.19,1.23,5153,0
CTV-WS.US,D,20220321,000000,1.12,1.12,1.09,1.1,1011,0
CTV-WS.US,D,20220322,000000,1.1476,1.1476,1.1476,1.1476,214,0
CTV-WS.US,D,20220323,000000,1.08,1.08,1.01,1.01,1030,0
CTV-WS.US,D,20220324,000000,1.03,1.06,1.02,1.02,6895,0
CTV-WS.US,D,20220325,000000,1.05,1.05,1.05,1.05,1490,0
CTV-WS.US,D,20220329,000000,1.01,1.01,1.01,1.01,225,0
CTV-WS.US,D,20220404,000000,1.02,1.02,1.01,1.01,4165,0
CTV-WS.US,D,20220420,000000,0.9102,0.9663,0.9102,0.9663,800,0
CTV-WS.US,D,20220425,000000,0.96,1.12,0.96,1.03,943,0
CTV-WS.US,D,20220428,000000,0.95,0.95,0.82,0.9299,1167,0
CTV-WS.US,D,20220502,000000,0.9701,0.9701,0.9701,0.9701,200,0
CTV-WS.US,D,20220503,000000,1.01,1.04,0.9901,1,689,0
CTV-WS.US,D,20220509,000000,0.91,0.91,0.7899,0.7899,570,0
CTV-WS.US,D,20220510,000000,0.7304,0.8232,0.73,0.8232,2600,0
CTV-WS.US,D,20220519,000000,0.8061,0.8062,0.784,0.784,15200,0
CTV-WS.US,D,20220520,000000,0.84,0.9003,0.84,0.9003,610,0
CTV-WS.US,D,20220523,000000,0.96,0.96,0.96,0.96,410,0
CTV-WS.US,D,20220524,000000,0.9,0.9,0.9,0.9,300,0
CTV-WS.US,D,20220526,000000,0.8401,0.8401,0.785,0.786,224936,0
CTV-WS.US,D,20220531,000000,0.73,0.73,0.5191,0.552,101544,0
CTV-WS.US,D,20220601,000000,0.534,0.534,0.43,0.448,103772,0
CTV-WS.US,D,20220602,000000,0.486,0.4999,0.34,0.34,214112,0
CTV-WS.US,D,20220603,000000,0.37,0.4,0.354,0.358,99171,0
CTV-WS.US,D,20220608,000000,0.4099,0.4099,0.3159,0.3159,2104,0
CTV-WS.US,D,20220609,000000,0.3122,0.3957,0.3122,0.3957,2517,0
CTV-WS.US,D,20220622,000000,0.35,0.35,0.2813,0.2861,4653,0
CTV-WS.US,D,20220623,000000,0.2877,0.2877,0.2302,0.2302,210,0
CTV-WS.US,D,20220624,000000,0.2003,0.2202,0.1802,0.2201,1014,0
CTV-WS.US,D,20220705,000000,0.2699,0.2699,0.26542,0.26542,1724,0
CTV-WS.US,D,20220707,000000,0.3199,0.3199,0.3199,0.3199,1468,0
CTV-WS.US,D,20220711,000000,0.25,0.3642,0.25,0.3642,1962,0
CTV-WS.US,D,20220712,000000,0.392299,0.3924,0.373599,0.390841,1100,0
CTV-WS.US,D,20220719,000000,0.35,0.35,0.35,0.35,125,0
CTV-WS.US,D,20220720,000000,0.4,0.504791,0.37,0.37,4911,0
CTV-WS.US,D,20220802,000000,0.34,0.34,0.34,0.34,250,0
CTV-WS.US,D,20220804,000000,0.3898,0.3956,0.365,0.3891,3622,0
CTV-WS.US,D,20220808,000000,0.42,0.4201,0.42,0.42,12342,0
CTV-WS.US,D,20220809,000000,0.4699,0.4699,0.3501,0.3501,2428,0
CTV-WS.US,D,20220810,000000,0.4,0.4741,0.3999,0.46,3687,0
CTV-WS.US,D,20220811,000000,0.455049,0.5996,0.455049,0.5922,3836,0
CTV-WS.US,D,20220812,000000,0.6125,0.6125,0.51,0.51,3867,0
CTV-WS.US,D,20220816,000000,0.5523,0.5523,0.51,0.51,499,0
CTV-WS.US,D,20220817,000000,0.53495,0.53495,0.53495,0.53495,125,0
CTV-WS.US,D,20220823,000000,0.51,0.51,0.51,0.51,4824,0
CTV-WS.US,D,20220906,000000,0.51,0.51,0.50826,0.50826,3514,0
CTV-WS.US,D,20220907,000000,0.5595,0.56,0.5595,0.56,3624,0
CTV-WS.US,D,20220913,000000,0.62,0.62,0.51,0.51,5149,0
CTV-WS.US,D,20220915,000000,0.5152,0.5152,0.5152,0.5152,202,0
CTV-WS.US,D,20220916,000000,0.51,0.5212,0.51,0.5212,6872,0
CTV-WS.US,D,20220921,000000,0.48,0.4801,0.4791,0.48,17000,0
CTV-WS.US,D,20220923,000000,0.480101,0.481188,0.48,0.481188,8886,0
CTV-WS.US,D,20221010,000000,0.44005,0.44005,0.44005,0.44005,73162,0
