<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVII-WS.US,D,20210406,000000,1.41,1.54,1.41,1.49,106600,0
CVII-WS.US,D,20210407,000000,1.48,1.48,1.42,1.42,48707,0
CVII-WS.US,D,20210408,000000,1.42,1.5,1.42,1.49,55209,0
CVII-WS.US,D,20210409,000000,1.45,1.5,1.35,1.4,102782,0
CVII-WS.US,D,20210412,000000,1.45,1.45,1.37,1.38,36728,0
CVII-WS.US,D,20210413,000000,1.35,1.43,1.29,1.3,103717,0
CVII-WS.US,D,20210414,000000,1.32,1.39,1.3,1.31,46801,0
CVII-WS.US,D,20210415,000000,1.28,1.35,1.24,1.24,49847,0
CVII-WS.US,D,20210416,000000,1.26,1.26,1.08,1.15,83475,0
CVII-WS.US,D,20210419,000000,1.15,1.15,1.02,1.08,140337,0
CVII-WS.US,D,20210420,000000,1.08,1.11,1.02,1.11,93996,0
CVII-WS.US,D,20210421,000000,1.1,1.1,1.03,1.07,174405,0
CVII-WS.US,D,20210422,000000,1.05,1.13,1.05,1.1,117724,0
CVII-WS.US,D,20210423,000000,1.1,1.16,1.07,1.14,30785,0
CVII-WS.US,D,20210426,000000,1.15,1.24,1.125,1.15,275218,0
CVII-WS.US,D,20210427,000000,1.2099,1.21,1.12,1.16,105138,0
CVII-WS.US,D,20210428,000000,1.16,1.2399,1.14,1.23,226572,0
CVII-WS.US,D,20210429,000000,1.25,1.29,1.2,1.29,23908,0
CVII-WS.US,D,20210430,000000,1.31,1.31,1.21,1.21,109950,0
CVII-WS.US,D,20210503,000000,1.25,1.25,1.12,1.215,46174,0
CVII-WS.US,D,20210504,000000,1.17,1.2699,1.13,1.15,124908,0
CVII-WS.US,D,20210505,000000,1.16,1.19,1.09,1.1,106405,0
CVII-WS.US,D,20210506,000000,1.1,1.25,1.08,1.14,51393,0
CVII-WS.US,D,20210507,000000,1.11,1.289,1.08,1.19,48608,0
CVII-WS.US,D,20210510,000000,1.12,1.25,1.06,1.0871,106132,0
CVII-WS.US,D,20210511,000000,1.04,1.1699,0.98,1.13,170239,0
CVII-WS.US,D,20210512,000000,1.07,1.16,1,1.1001,119432,0
CVII-WS.US,D,20210513,000000,1.07,1.07,1.0379,1.06,66385,0
CVII-WS.US,D,20210514,000000,1.0896,1.1,1.02,1.075,27327,0
CVII-WS.US,D,20210517,000000,1.06,1.1,1.05,1.09,48826,0
CVII-WS.US,D,20210518,000000,1.06,1.1099,1.06,1.09,111959,0
CVII-WS.US,D,20210519,000000,1.0801,1.15,1.07,1.115,43677,0
CVII-WS.US,D,20210520,000000,1.08,1.14,1.07,1.1,43754,0
CVII-WS.US,D,20210521,000000,1.2,1.2,1.06,1.06,84077,0
CVII-WS.US,D,20210524,000000,1.1,1.1902,1.09,1.09,12798,0
CVII-WS.US,D,20210525,000000,1.18,1.2,1.1,1.1,18833,0
CVII-WS.US,D,20210526,000000,1.1,1.1,0.98,1.01,107261,0
CVII-WS.US,D,20210527,000000,1.01,1.1,1,1.03,133322,0
CVII-WS.US,D,20210528,000000,1.0226,1.15,1.02,1.15,91464,0
CVII-WS.US,D,20210601,000000,1.07,1.1,1.05,1.08,71962,0
CVII-WS.US,D,20210602,000000,1.05,1.36,1.0295,1.14,168914,0
CVII-WS.US,D,20210603,000000,1.14,1.18,1.06,1.08,171581,0
CVII-WS.US,D,20210604,000000,1.1,1.12,1.065,1.1,70251,0
CVII-WS.US,D,20210607,000000,1.1,1.14,1.08,1.09,86626,0
CVII-WS.US,D,20210608,000000,1.16,1.27,1.12,1.15,124833,0
CVII-WS.US,D,20210609,000000,1.22,1.22,1.14,1.16,152734,0
CVII-WS.US,D,20210610,000000,1.13,1.26,1.13,1.2,114813,0
CVII-WS.US,D,20210611,000000,1.2,1.32,1.16,1.31,137533,0
CVII-WS.US,D,20210614,000000,1.37,1.4201,1.31,1.33,94803,0
CVII-WS.US,D,20210615,000000,1.27,1.31,1.25,1.25,92721,0
CVII-WS.US,D,20210616,000000,1.26,1.35,1.2,1.22,92244,0
CVII-WS.US,D,20210617,000000,1.22,1.3,1.22,1.23,49739,0
CVII-WS.US,D,20210618,000000,1.23,1.3652,1.23,1.25,99185,0
CVII-WS.US,D,20210621,000000,1.29,1.3896,1.29,1.34,28014,0
CVII-WS.US,D,20210622,000000,1.375,1.375,1.27,1.36,59515,0
CVII-WS.US,D,20210623,000000,1.36,1.4198,1.34,1.39,67643,0
CVII-WS.US,D,20210624,000000,1.35,1.4,1.35,1.4,22296,0
CVII-WS.US,D,20210625,000000,1.42,1.515,1.385,1.4,132493,0
CVII-WS.US,D,20210628,000000,1.4,1.4,1.35,1.38,72570,0
CVII-WS.US,D,20210629,000000,1.4,1.4,1.38,1.39,78084,0
CVII-WS.US,D,20210630,000000,1.38,1.4,1.38,1.39,18475,0
CVII-WS.US,D,20210701,000000,1.4,1.5,1.39,1.4,22271,0
CVII-WS.US,D,20210702,000000,1.39,1.4,1.38,1.4,87011,0
CVII-WS.US,D,20210706,000000,1.39,1.4,1.34,1.36,46619,0
CVII-WS.US,D,20210707,000000,1.35,1.395,1.339,1.395,46930,0
CVII-WS.US,D,20210708,000000,1.35,1.4,1.301,1.35,65587,0
CVII-WS.US,D,20210709,000000,1.4,1.4,1.32,1.38,58597,0
CVII-WS.US,D,20210712,000000,1.38,1.38,1.34,1.35,52986,0
CVII-WS.US,D,20210713,000000,1.38,1.38,1.31,1.3103,70052,0
CVII-WS.US,D,20210714,000000,1.38,1.38,1.2497,1.25,109199,0
CVII-WS.US,D,20210715,000000,1.26,1.3086,1.24,1.25,119280,0
CVII-WS.US,D,20210716,000000,1.2601,1.35,1.25,1.29,44425,0
CVII-WS.US,D,20210719,000000,1.21,1.2899,1.21,1.26,36025,0
CVII-WS.US,D,20210720,000000,1.23,1.29,1.21,1.2699,46010,0
CVII-WS.US,D,20210721,000000,1.25,1.29,1.25,1.29,74168,0
CVII-WS.US,D,20210722,000000,1.29,1.29,1.25,1.27,9364,0
CVII-WS.US,D,20210723,000000,1.29,1.33,1.265,1.27,28332,0
CVII-WS.US,D,20210726,000000,1.27,1.27,1.23,1.23,23177,0
CVII-WS.US,D,20210727,000000,1.23,1.2699,1.23,1.23,33445,0
CVII-WS.US,D,20210728,000000,1.23,1.27,1.23,1.255,28997,0
CVII-WS.US,D,20210729,000000,1.25,1.27,1.23,1.24,82504,0
CVII-WS.US,D,20210730,000000,1.19,1.25,1.1699,1.18,49268,0
CVII-WS.US,D,20210802,000000,1.15,1.19,1.14,1.1899,77288,0
CVII-WS.US,D,20210803,000000,1.2,1.2299,1.15,1.2,65278,0
CVII-WS.US,D,20210804,000000,1.18,1.25,1.166,1.24,703820,0
CVII-WS.US,D,20210805,000000,1.27,1.275,1.2,1.24,409452,0
CVII-WS.US,D,20210806,000000,1.28,1.28,1.21,1.27,33152,0
CVII-WS.US,D,20210809,000000,1.3,1.3,1.21,1.245,14067,0
CVII-WS.US,D,20210810,000000,1.21,1.24,1.11,1.213,52383,0
CVII-WS.US,D,20210811,000000,1.2,1.2399,1.2,1.2399,11425,0
CVII-WS.US,D,20210812,000000,1.24,1.26,1.17,1.24,261427,0
CVII-WS.US,D,20210813,000000,1.17,1.235,1.17,1.21,23325,0
CVII-WS.US,D,20210816,000000,1.17,1.2,1.13,1.18,25104,0
CVII-WS.US,D,20210817,000000,1.12,1.16,1.04,1.14,64718,0
CVII-WS.US,D,20210818,000000,1.129,1.13,0.9975,1.1101,123595,0
CVII-WS.US,D,20210819,000000,1.1,1.1,0.98,1.04,195690,0
CVII-WS.US,D,20210820,000000,1.01,1.03,0.91,0.97,242006,0
CVII-WS.US,D,20210823,000000,1.02,1.0399,0.9,0.9499,178858,0
CVII-WS.US,D,20210824,000000,0.95,0.9701,0.87,0.9099,520010,0
CVII-WS.US,D,20210825,000000,0.9,0.99,0.882,0.99,64482,0
CVII-WS.US,D,20210826,000000,0.9599,0.9698,0.91,0.935,55949,0
CVII-WS.US,D,20210827,000000,0.9998,1.0017,0.92,0.9251,92893,0
CVII-WS.US,D,20210830,000000,0.951,0.9599,0.9,0.927,27328,0
CVII-WS.US,D,20210831,000000,0.9,0.903,0.8811,0.8949,44138,0
CVII-WS.US,D,20210901,000000,0.9635,0.9635,0.88,0.899899,58739,0
CVII-WS.US,D,20210902,000000,0.92,0.92,0.888,0.9111,61691,0
CVII-WS.US,D,20210903,000000,0.9635,1,0.889964,1,40474,0
CVII-WS.US,D,20210907,000000,1,1.07,0.96,1.07,49818,0
CVII-WS.US,D,20210908,000000,1.0194,1.0194,0.9603,0.99,63293,0
CVII-WS.US,D,20210909,000000,1.02,1.02,0.95,0.98,38953,0
CVII-WS.US,D,20210910,000000,0.95,1,0.93,0.9716,18681,0
CVII-WS.US,D,20210913,000000,1.03,1.03,0.9301,0.9301,27131,0
CVII-WS.US,D,20210914,000000,0.911,1,0.911,0.93,16106,0
CVII-WS.US,D,20210915,000000,0.94,0.947299,0.9303,0.9303,4374,0
CVII-WS.US,D,20210916,000000,0.94,0.952501,0.9101,0.9104,37524,0
CVII-WS.US,D,20210917,000000,0.92,0.95,0.9,0.92,47514,0
CVII-WS.US,D,20210920,000000,0.92,0.949699,0.83,0.9,143751,0
CVII-WS.US,D,20210921,000000,0.9,0.9498,0.8998,0.9212,115640,0
CVII-WS.US,D,20210922,000000,0.9497,0.99,0.91,0.966997,144346,0
CVII-WS.US,D,20210923,000000,0.96,0.9968,0.958,0.958,17838,0
CVII-WS.US,D,20210924,000000,0.95,0.9951,0.95,0.95,34316,0
CVII-WS.US,D,20210927,000000,0.92,0.99,0.92,0.970395,41704,0
CVII-WS.US,D,20210928,000000,0.9501,0.9502,0.9069,0.9375,64851,0
CVII-WS.US,D,20210929,000000,0.93,0.9498,0.8881,0.915,274447,0
CVII-WS.US,D,20210930,000000,0.9004,0.96,0.9,0.9201,63997,0
CVII-WS.US,D,20211001,000000,0.9004,0.95,0.9003,0.91,17370,0
CVII-WS.US,D,20211004,000000,0.8999,1,0.8901,0.94,141457,0
CVII-WS.US,D,20211005,000000,0.9,0.925,0.8804,0.9,52596,0
CVII-WS.US,D,20211006,000000,0.8805,0.92,0.88,0.9,75312,0
CVII-WS.US,D,20211007,000000,0.92,0.92,0.870501,0.9,44006,0
CVII-WS.US,D,20211008,000000,0.94,0.94,0.89,0.9,58693,0
CVII-WS.US,D,20211011,000000,0.9,0.9,0.87,0.887,79063,0
CVII-WS.US,D,20211012,000000,0.894,0.91,0.8601,0.91,106734,0
CVII-WS.US,D,20211013,000000,0.9,0.96,0.88,0.94,76896,0
CVII-WS.US,D,20211014,000000,0.96,1.02,0.9007,0.976701,74118,0
CVII-WS.US,D,20211015,000000,0.9106,1.05,0.9106,1.04,323398,0
CVII-WS.US,D,20211018,000000,1.01,1.0399,0.9603,1.02,518025,0
CVII-WS.US,D,20211019,000000,1.01,1.05,1.01,1.03,99860,0
CVII-WS.US,D,20211020,000000,1.02,1.05,1.02,1.035,240406,0
CVII-WS.US,D,20211021,000000,1.02,1.05,1.02,1.045,38092,0
CVII-WS.US,D,20211022,000000,1.025,1.05,1,1.04,169921,0
CVII-WS.US,D,20211025,000000,1.03,1.07,1.03,1.07,131858,0
CVII-WS.US,D,20211026,000000,1.04,1.16,1.04,1.16,317865,0
CVII-WS.US,D,20211027,000000,1.14,1.16,1.1,1.1499,17128,0
CVII-WS.US,D,20211028,000000,1.12,1.135,1.1,1.13,26480,0
CVII-WS.US,D,20211029,000000,1.135,1.2,1.135,1.2,59448,0
CVII-WS.US,D,20211101,000000,1.06,1.2101,1.06,1.1861,51181,0
CVII-WS.US,D,20211102,000000,1.1614,1.2,1.16,1.2,38067,0
CVII-WS.US,D,20211103,000000,1.18,1.253,1.18,1.18,100821,0
CVII-WS.US,D,20211104,000000,1.24,1.24,1.19,1.215,26006,0
CVII-WS.US,D,20211105,000000,1.22,1.22,1.14,1.1702,30636,0
CVII-WS.US,D,20211108,000000,1.14,1.18,1.11,1.13,62656,0
CVII-WS.US,D,20211109,000000,1.11,1.24,1.11,1.14,75312,0
CVII-WS.US,D,20211110,000000,1.15,1.21,1.15,1.18,80587,0
CVII-WS.US,D,20211111,000000,1.16,1.23,1.11,1.18,95667,0
CVII-WS.US,D,20211112,000000,1.16,1.26,1.15,1.21,82100,0
CVII-WS.US,D,20211115,000000,1.25,1.275,1.2,1.2201,129317,0
CVII-WS.US,D,20211116,000000,1.25,1.28,1.22,1.245,71276,0
CVII-WS.US,D,20211117,000000,1.34,1.34,1.24,1.245,88879,0
CVII-WS.US,D,20211118,000000,1.2201,1.25,1.2,1.21,47292,0
CVII-WS.US,D,20211119,000000,1.21,1.24,1.17,1.24,99557,0
CVII-WS.US,D,20211122,000000,1.21,1.22,1.18,1.1899,47210,0
CVII-WS.US,D,20211123,000000,1.28,1.28,1.14,1.165,65717,0
CVII-WS.US,D,20211124,000000,1.1999,1.295,1.14,1.17,83201,0
CVII-WS.US,D,20211126,000000,1.12,1.15,1.1,1.12,78178,0
CVII-WS.US,D,20211129,000000,1.1,1.17,1.1,1.1501,53632,0
CVII-WS.US,D,20211130,000000,1.14,1.165,1.1,1.1201,43239,0
CVII-WS.US,D,20211201,000000,1.12,1.15,1.1,1.125,98365,0
CVII-WS.US,D,20211202,000000,1.1,1.16,1.1,1.1501,48032,0
CVII-WS.US,D,20211203,000000,1.1,1.18,1.1,1.1306,149338,0
CVII-WS.US,D,20211206,000000,1.05,1.155,1.05,1.14,35435,0
CVII-WS.US,D,20211207,000000,1.11,1.21,1.11,1.21,40470,0
CVII-WS.US,D,20211208,000000,1.21,1.21,1.14,1.15,7702,0
CVII-WS.US,D,20211209,000000,1.18,1.185,1.1,1.1,32259,0
CVII-WS.US,D,20211210,000000,1.11,1.14,1.11,1.11,10236,0
CVII-WS.US,D,20211213,000000,1.1,1.14,0.95,0.9501,256710,0
CVII-WS.US,D,20211214,000000,1,1.0592,0.9805,1.0101,90621,0
CVII-WS.US,D,20211215,000000,1.01,1.03,1,1.01,244479,0
CVII-WS.US,D,20211216,000000,1.05,1.2,1.05,1.11,528341,0
CVII-WS.US,D,20211217,000000,1.1,1.21,1.03,1.15,226100,0
CVII-WS.US,D,20211220,000000,1.15,1.2,1.07,1.09,41487,0
CVII-WS.US,D,20211221,000000,1.07,1.07,1.01,1.02,49747,0
CVII-WS.US,D,20211222,000000,1.0799,1.09,1.06,1.09,46751,0
CVII-WS.US,D,20211223,000000,1.17,1.17,1.01,1.04,49506,0
CVII-WS.US,D,20211227,000000,1.01,1.06,0.9902,1.01,83720,0
CVII-WS.US,D,20211228,000000,0.9901,1.04,0.9404,0.941034,130365,0
CVII-WS.US,D,20211229,000000,0.9549,1.11,0.92,1.09,122386,0
CVII-WS.US,D,20211230,000000,1.1299,1.1299,0.9901,1.025,46327,0
CVII-WS.US,D,20211231,000000,1.03,1.0499,0.99,1.0001,18848,0
CVII-WS.US,D,20220103,000000,1,1.04,1,1.02,5288,0
CVII-WS.US,D,20220104,000000,1.02,1.0799,0.99,0.99,27143,0
CVII-WS.US,D,20220105,000000,0.99,1.02,0.9301,0.9301,25910,0
CVII-WS.US,D,20220106,000000,0.97,0.989899,0.9203,0.9501,28087,0
CVII-WS.US,D,20220107,000000,0.9698,0.9698,0.92,0.93,30028,0
CVII-WS.US,D,20220110,000000,0.93,0.985,0.9,0.959799,56788,0
CVII-WS.US,D,20220111,000000,0.9899,1.0099,0.97,0.99,45980,0
CVII-WS.US,D,20220112,000000,0.99,1.0199,0.97,1,29455,0
CVII-WS.US,D,20220113,000000,1,1.02,0.91,0.9281,59053,0
CVII-WS.US,D,20220114,000000,0.949799,0.949799,0.925,0.944899,22276,0
CVII-WS.US,D,20220118,000000,0.93,0.979799,0.91,0.911,75136,0
CVII-WS.US,D,20220119,000000,0.92,0.99,0.91,0.9105,16065,0
CVII-WS.US,D,20220120,000000,0.9102,0.95,0.91,0.91,92158,0
CVII-WS.US,D,20220121,000000,0.9,0.900496,0.79,0.8649,182280,0
CVII-WS.US,D,20220124,000000,0.8004,0.819499,0.68,0.7984,338542,0
CVII-WS.US,D,20220125,000000,0.7498,0.7956,0.7006,0.7531,135968,0
CVII-WS.US,D,20220126,000000,0.73,0.7468,0.73,0.73,118153,0
CVII-WS.US,D,20220127,000000,0.6911,0.705,0.6704,0.6998,22299,0
CVII-WS.US,D,20220128,000000,0.66,0.6712,0.6315,0.6475,9817,0
CVII-WS.US,D,20220131,000000,0.68,0.68,0.58,0.62,226878,0
