<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFCA.US,D,20230628,000000,50.1399,50.1399,50.1,50.12,2437,0
DFCA.US,D,20230629,000000,50.1,50.11,50.0895,50.095,7750,0
DFCA.US,D,20230630,000000,50.095,50.095,50.095,50.095,200,0
DFCA.US,D,20230703,000000,50.105,50.105,50.105,50.105,1,0
DFCA.US,D,20230705,000000,50.095,50.1,50.095,50.095,567,0
DFCA.US,D,20230706,000000,50.095,50.095,50.095,50.095,434,0
DFCA.US,D,20230707,000000,50.09,50.09,50.04,50.04,200,0
DFCA.US,D,20230710,000000,50.039,50.05,50.0335,50.0335,7243,0
DFCA.US,D,20230711,000000,50.05,50.07,50.035,50.035,9443,0
DFCA.US,D,20230712,000000,50.08,50.11,50.08,50.11,5049,0
DFCA.US,D,20230713,000000,50.1879,50.19,50.185,50.185,2380,0
DFCA.US,D,20230714,000000,50.195,50.23,50.181,50.19,12836,0
DFCA.US,D,20230717,000000,50.218,50.218,50.21,50.21,639,0
DFCA.US,D,20230718,000000,50.181,50.22,50.18,50.215,1351,0
DFCA.US,D,20230719,000000,50.28,50.28,50.2746,50.28,901,0
DFCA.US,D,20230720,000000,50.28,50.5,50.2799,50.2957,13446,0
DFCA.US,D,20230721,000000,50.3,50.31,50.285,50.295,59175,0
DFCA.US,D,20230724,000000,50.3,50.32,50.29,50.29,7768,0
DFCA.US,D,20230725,000000,50.28,50.35,50.28,50.295,4674,0
DFCA.US,D,20230726,000000,50.32,50.55,50.3,50.3,9096,0
DFCA.US,D,20230727,000000,50.28,50.28,50.235,50.235,351,0
DFCA.US,D,20230728,000000,50.49,50.49,50.19,50.19,9861,0
DFCA.US,D,20230731,000000,50.17,50.1799,50.13,50.135,37556,0
DFCA.US,D,20230801,000000,50.14,50.14,50.085,50.09,32580,0
DFCA.US,D,20230802,000000,50.03,50.12,49.99,50.118,10223,0
DFCA.US,D,20230803,000000,49.8999,49.8999,49.84,49.8592,3980,0
DFCA.US,D,20230804,000000,49.92,49.955,49.92,49.955,4902,0
