<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFSI.US,D,20221103,000000,24.61,24.8,24.545,24.5799,806826,0
DFSI.US,D,20221104,000000,25.51,25.575,25.235,25.5336,121341,0
DFSI.US,D,20221107,000000,25.64,25.79,25.64,25.6696,52474,0
DFSI.US,D,20221108,000000,26.0751,26.16,25.86,26.0351,45652,0
DFSI.US,D,20221109,000000,25.97,26.09,25.62,25.65,83227,0
DFSI.US,D,20221110,000000,26.66,27.81,26.66,27.1312,606368,0
DFSI.US,D,20221111,000000,27.37,27.84,27.37,27.725,78000,0
DFSI.US,D,20221114,000000,27.52,27.67,27.437,27.437,37975,0
DFSI.US,D,20221115,000000,27.78,27.905,27.32,27.5142,71053,0
DFSI.US,D,20221116,000000,27.65,27.65,27.35,27.45,92487,0
DFSI.US,D,20221117,000000,27.15,27.42,27.14,27.3673,152792,0
DFSI.US,D,20221118,000000,27.51,27.54,27.34,27.49,86755,0
DFSI.US,D,20221121,000000,27.25,27.32,27.16,27.29,55575,0
DFSI.US,D,20221122,000000,27.41,27.6897,27.41,27.62,103413,0
DFSI.US,D,20221123,000000,27.7085,28.06,27.7085,27.9768,33042,0
DFSI.US,D,20221125,000000,28.05,28.17,28.03,28.0881,3540,0
DFSI.US,D,20221128,000000,28.13,28.13,27.68,27.7206,46716,0
DFSI.US,D,20221129,000000,27.82,27.82,27.6499,27.7074,24501,0
DFSI.US,D,20221130,000000,27.87,28.325,27.65,28.19,90101,0
DFSI.US,D,20221201,000000,28.55,28.61,28.39,28.5198,58668,0
DFSI.US,D,20221202,000000,28.3099,28.64,28.3099,28.5264,126530,0
DFSI.US,D,20221205,000000,28.35,28.39,28.07,28.09,78889,0
DFSI.US,D,20221206,000000,28.08,28.08,27.85,27.9597,54838,0
DFSI.US,D,20221207,000000,28.03,28.11,27.9301,28.01,96525,0
