<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOC.US,D,20130719,000000,7.07817,7.18312,7.07817,7.07817,2645369.5798596,0
DOC.US,D,20130722,000000,7.11014,7.22655,7.09683,7.1526,486462.01334478,0
DOC.US,D,20130723,000000,7.2213,7.25045,7.17019,7.2319,100513.67282495,0
DOC.US,D,20130724,000000,7.201,7.2628,7.1526,7.17019,46857.738806809,0
DOC.US,D,20130725,000000,7.20683,7.20683,7.14006,7.16485,30025.876730422,0
DOC.US,D,20130726,000000,7.18312,7.18836,7.07817,7.07817,195390.99760684,0
DOC.US,D,20130729,000000,7.12724,7.14006,7.10324,7.12724,117593.54656436,0
DOC.US,D,20130730,000000,7.14599,7.14599,7.0908,7.09683,48207.910183933,0
DOC.US,D,20130731,000000,7.09683,7.11014,7.07817,7.07817,158086.33874961,0
DOC.US,D,20130801,000000,7.07817,7.17019,7.07817,7.14006,76665.447601293,0
DOC.US,D,20130802,000000,7.14006,7.14006,7.11014,7.11014,91987.628724755,0
DOC.US,D,20130805,000000,7.1526,7.15872,7.09683,7.15872,108769.06519331,0
DOC.US,D,20130806,000000,7.0908,7.14599,6.91297,7.14006,57308.188757025,0
DOC.US,D,20130807,000000,7.04736,7.15872,7.02958,7.04736,96175.012363103,0
DOC.US,D,20130808,000000,7.15872,7.17019,7.12044,7.14006,76636.632968245,0
DOC.US,D,20130809,000000,7.16485,7.17019,7.09683,7.11549,46232.049632045,0
DOC.US,D,20130812,000000,7.11014,7.17019,7.07817,7.1526,134009.65464962,0
DOC.US,D,20130813,000000,7.15872,7.2319,7.15872,7.18312,121971.31259964,0
DOC.US,D,20130814,000000,7.1526,7.2319,7.14599,7.2213,72600.5261534,0
DOC.US,D,20130815,000000,7.14599,7.29272,7.04153,7.2559,172254.90545709,0
DOC.US,D,20130816,000000,7.21362,7.26969,7.03483,7.07253,207894.49016176,0
DOC.US,D,20130819,000000,7.09683,7.11549,6.94844,7.05339,79161.000642087,0
DOC.US,D,20130820,000000,7.03483,7.17631,7.03483,7.07817,36877.584831705,0
DOC.US,D,20130821,000000,7.12044,7.17019,7.07817,7.11549,42855.5920952,0
DOC.US,D,20130822,000000,7.09683,7.14006,6.98537,7.08419,34624.897983746,0
DOC.US,D,20130823,000000,7.12044,7.12044,7.01714,7.0599,21650.080359688,0
DOC.US,D,20130826,000000,7.07253,7.07817,6.97964,6.99129,35323.652835168,0
DOC.US,D,20130827,000000,7.01122,7.04736,6.77091,7.03483,59901.505731376,0
DOC.US,D,20130828,000000,7.04736,7.11014,7.04736,7.07817,41218.303481631,0
DOC.US,D,20130829,000000,7.11014,7.11014,6.83145,6.90636,39699.360682369,0
DOC.US,D,20130830,000000,6.92444,6.95573,6.80083,6.93105,72232.110487996,0
DOC.US,D,20130903,000000,6.96233,7.14006,6.88771,7.08419,58442.250386285,0
DOC.US,D,20130904,000000,7.14006,7.19439,7.05339,7.16485,30551.743783554,0
DOC.US,D,20130905,000000,7.13258,7.14006,7.07817,7.10324,25534.910351028,0
DOC.US,D,20130906,000000,7.19439,7.19439,7.04153,7.07253,16110.467156141,0
DOC.US,D,20130909,000000,7.07817,7.20683,7.07253,7.18312,76324.8174749,0
DOC.US,D,20130910,000000,7.21362,7.21362,7.08419,7.19439,61164.204115317,0
DOC.US,D,20130911,000000,7.201,7.201,7.09683,7.17631,40775.793045532,0
DOC.US,D,20130912,000000,7.17019,7.201,7.11549,7.18312,106225.14473276,0
DOC.US,D,20130913,000000,7.19439,7.29272,7.12044,7.29272,77232.478415923,0
DOC.US,D,20130916,000000,7.29272,7.4241,7.11549,7.34909,170668.04245136,0
DOC.US,D,20130917,000000,7.32334,7.62748,7.32334,7.52059,137288.34825291,0
DOC.US,D,20130918,000000,7.49708,7.55189,7.32927,7.52059,120419.43879118,0
DOC.US,D,20130919,000000,7.60824,7.60824,7.41632,7.55189,132289.00941902,0
DOC.US,D,20130920,000000,7.56559,7.84166,7.33616,7.37406,318639.41590695,0
DOC.US,D,20130923,000000,7.41632,7.54013,7.32334,7.39787,198122.21318221,0
DOC.US,D,20130924,000000,7.3622,7.43586,7.32334,7.38086,125801.60060699,0
DOC.US,D,20130925,000000,7.38542,7.57181,7.35608,7.43023,169457.82786333,0
DOC.US,D,20130926,000000,7.49077,7.6339,7.38086,7.44801,235425.84294542,0
DOC.US,D,20130927,000000,7.44199,7.44801,7.38542,7.43023,91015.134859372,0
DOC.US,D,20130930,000000,7.41632,7.74322,7.2628,7.45957,1091967.5667527,0
DOC.US,D,20131001,000000,7.49708,7.84166,7.46492,7.62039,205171.50733869,0
DOC.US,D,20131002,000000,7.74322,7.84166,7.58764,7.78024,284474.52295794,0
DOC.US,D,20131003,000000,7.73194,7.73194,7.53313,7.63924,151476.46774712,0
DOC.US,D,20131004,000000,7.62039,7.79909,7.62039,7.68919,75596.218896392,0
DOC.US,D,20131007,000000,7.64342,7.75527,7.46492,7.68919,90463.540455305,0
DOC.US,D,20131008,000000,7.69891,7.69891,7.52604,7.57802,107970.48822026,0
DOC.US,D,20131009,000000,7.6132,7.75527,7.6132,7.68443,142333.99631849,0
DOC.US,D,20131010,000000,7.74876,7.94039,7.63924,7.8537,130259.63597719,0
DOC.US,D,20131011,000000,7.84797,7.91638,7.64974,7.8537,142445.13847454,0
DOC.US,D,20131014,000000,7.81697,8.00101,7.81697,7.90889,163123.75406288,0
DOC.US,D,20131015,000000,7.90889,7.95943,7.8537,7.92785,133659.7626769,0
DOC.US,D,20131016,000000,7.8367,7.92785,7.78733,7.8847,119619.83272409,0
DOC.US,D,20131017,000000,7.86624,7.95943,7.84797,7.92289,132486.59547422,0
DOC.US,D,20131018,000000,7.96604,7.97692,7.8537,7.87849,127245.41954153,0
DOC.US,D,20131021,000000,7.90889,7.91638,7.8367,7.87849,101644.6471721,0
DOC.US,D,20131022,000000,7.8847,7.90889,7.8228,7.87849,90100.270260087,0
DOC.US,D,20131023,000000,7.87849,7.88956,7.85973,7.87849,89218.336670001,0
DOC.US,D,20131024,000000,7.87849,7.90889,7.81697,7.8537,70238.755337472,0
DOC.US,D,20131025,000000,7.87849,7.88956,7.81697,7.88956,52446.748524152,0
DOC.US,D,20131028,000000,7.90889,7.90889,7.84797,7.85973,30467.358072484,0
DOC.US,D,20131029,000000,7.84797,7.87849,7.84166,7.87849,51972.336172892,0
