<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DUHP.US,D,20220225,000000,25.0359,25.2941,25.0261,25.2653,36972.620525151,0
DUHP.US,D,20220228,000000,25.0359,25.2447,24.9334,25.2324,35698.327331618,0
DUHP.US,D,20220301,000000,25.5228,25.5923,24.8478,24.9241,128223.48786014,0
DUHP.US,D,20220302,000000,25.104,25.5228,25.0856,25.4608,4316993.3089699,0
DUHP.US,D,20220303,000000,25.6122,25.637,25.3141,25.3621,238405.56086965,0
DUHP.US,D,20220304,000000,25.3042,25.3531,25.0103,25.3042,278482.38377147,0
DUHP.US,D,20220307,000000,25.1552,25.1652,24.5283,24.5283,237312.44680317,0
DUHP.US,D,20220308,000000,24.2998,24.9069,24.2701,24.2701,231344.60766853,0
DUHP.US,D,20220309,000000,24.8472,24.9565,24.7231,24.8251,62994.975921992,0
DUHP.US,D,20220310,000000,24.7082,24.7975,24.4896,24.7677,98386.305288343,0
DUHP.US,D,20220311,000000,24.7975,24.8638,24.5193,24.5392,112566.59163154,0
DUHP.US,D,20220314,000000,24.7181,24.7677,24.3595,24.4002,125767.50413801,0
DUHP.US,D,20220315,000000,24.5765,25.0062,24.5765,24.9267,108861.47848352,0
DUHP.US,D,20220316,000000,25.1972,25.344,24.8174,25.3436,110611.87016089,0
DUHP.US,D,20220317,000000,25.4433,25.7215,25.4035,25.7116,94895.587440657,0
DUHP.US,D,20220318,000000,25.6619,26.0394,25.6545,25.9997,71397.661213943,0
DUHP.US,D,20220321,000000,26.1089,26.1089,25.7811,25.92,78046.935176405,0
DUHP.US,D,20220322,000000,26.0742,26.1787,26.0713,26.1297,73018.393206866,0
DUHP.US,D,20220323,000000,25.9786,26.0792,25.8158,25.8308,123644.58648788,0
DUHP.US,D,20220324,000000,25.8705,26.119,25.8705,26.1126,57990.314209226,0
DUHP.US,D,20220325,000000,26.1239,26.2363,26.0196,26.1968,259022.06191467,0
DUHP.US,D,20220328,000000,26.2482,26.3774,26.0494,26.3752,106070.91028457,0
DUHP.US,D,20220329,000000,26.6706,26.7253,26.4727,26.6907,236245.50699572,0
DUHP.US,D,20220330,000000,26.611,26.6646,26.4206,26.4721,184086.92456677,0
DUHP.US,D,20220331,000000,26.4967,26.5265,26.1687,26.1687,112324.22515938,0
DUHP.US,D,20220401,000000,26.1787,26.1787,25.955,26.1316,116583.3211956,0
DUHP.US,D,20220404,000000,26.268,26.3575,26.1289,26.3275,138859.81215756,0
DUHP.US,D,20220405,000000,26.3973,26.3973,26.0096,26.0389,101868.15948294,0
DUHP.US,D,20220406,000000,25.801,25.9699,25.7363,25.8873,108789.56785363,0
DUHP.US,D,20220407,000000,25.8894,26.1787,25.801,26.0939,108248.25113559,0
DUHP.US,D,20220408,000000,26.1488,26.2482,25.9699,26.0692,75860.809059058,0
DUHP.US,D,20220411,000000,25.9898,25.9997,25.7213,25.7268,79467.910237857,0
DUHP.US,D,20220412,000000,26.0138,26.0867,25.6434,25.7101,138957.41015319,0
DUHP.US,D,20220413,000000,25.7264,26.0394,25.7264,25.9947,375691.91329197,0
DUHP.US,D,20220414,000000,25.9589,26.0196,25.7911,25.7911,73919.91696034,0
DUHP.US,D,20220418,000000,25.801,25.8689,25.632,25.7314,74631.275547066,0
DUHP.US,D,20220419,000000,25.7518,26.2085,25.7518,26.1985,80943.95415119,0
DUHP.US,D,20220420,000000,26.4099,26.4469,26.2949,26.2978,267729.41298896,0
DUHP.US,D,20220421,000000,26.5364,26.596,26.0086,26.0594,137305.28738176,0
DUHP.US,D,20220422,000000,26.0494,26.0494,25.2543,25.2543,134248.55840514,0
DUHP.US,D,20220425,000000,25.1947,25.463,24.8667,25.4531,61206.01724059,0
DUHP.US,D,20220426,000000,25.3736,25.3736,24.8468,24.8468,142975.02661259,0
DUHP.US,D,20220427,000000,24.9661,25.2344,24.8169,24.976,105574.87098718,0
DUHP.US,D,20220428,000000,25.2344,25.632,25.0058,25.5127,125533.15801162,0
DUHP.US,D,20220429,000000,25.2742,25.2742,24.489,24.5288,244369.28242601,0
DUHP.US,D,20220502,000000,24.4692,24.6679,24.1094,24.6679,233898.12427601,0
DUHP.US,D,20220503,000000,24.7674,24.812,24.5586,24.7077,566089.50413306,0
DUHP.US,D,20220504,000000,24.7574,25.463,24.5983,25.4531,128202.51350043,0
DUHP.US,D,20220505,000000,25.0356,25.0655,24.3101,24.5586,125740.42798173,0
DUHP.US,D,20220506,000000,24.3897,24.5214,24.1412,24.3897,233002.63751196,0
DUHP.US,D,20220509,000000,24.0617,24.1213,23.7238,23.8033,251727.3663648,0
DUHP.US,D,20220510,000000,24.1899,24.1899,23.5899,23.8033,296474.53811508,0
DUHP.US,D,20220511,000000,23.7536,24.0219,23.3957,23.4057,374892.01219374,0
DUHP.US,D,20220512,000000,23.2865,23.5548,23.0727,23.4952,329547.17849084,0
DUHP.US,D,20220513,000000,23.7138,24.0418,23.684,23.9622,325529.56203144,0
DUHP.US,D,20220516,000000,23.7933,24.1412,23.7585,23.9324,323049.36554448,0
DUHP.US,D,20220517,000000,24.2604,24.3897,24.0706,24.3797,562129.23907316,0
DUHP.US,D,20220518,000000,23.9877,23.9877,23.207,23.2765,399413.25705525,0
DUHP.US,D,20220519,000000,23.1274,23.3659,22.9188,23.0579,520604.81350858,0
DUHP.US,D,20220520,000000,23.2765,23.2765,22.4516,22.9883,465350.26167177,0
DUHP.US,D,20220523,000000,23.1473,23.3809,23.0281,23.3163,3351742.5632977,0
DUHP.US,D,20220524,000000,23.0777,23.2566,22.8191,23.1772,3164375.5411457,0
DUHP.US,D,20220525,000000,23.1672,23.5945,23.1672,23.4852,1686756.979739,0
DUHP.US,D,20220526,000000,23.8529,24.1611,23.8529,24.0716,874838.24790509,0
DUHP.US,D,20220527,000000,24.2902,24.6481,24.2406,24.6481,231193.55301559,0
DUHP.US,D,20220531,000000,24.5983,24.628,24.2634,24.4592,252581.60036781,0
DUHP.US,D,20220601,000000,24.5089,24.5089,24.0739,24.2306,231431.0079328,0
DUHP.US,D,20220602,000000,24.2388,24.5983,24.0815,24.5983,183407.76325696,0
DUHP.US,D,20220603,000000,24.4095,24.4592,24.2622,24.2902,204835.05104041,0
DUHP.US,D,20220606,000000,24.5788,24.6083,24.2803,24.33,158269.73930964,0
DUHP.US,D,20220607,000000,24.1002,24.5685,24.1002,24.5586,175138.09391566,0
DUHP.US,D,20220608,000000,24.3599,24.499,24.2199,24.2505,110533.25163128,0
DUHP.US,D,20220609,000000,24.1809,24.2604,23.7188,23.7238,162226.98587483,0
DUHP.US,D,20220610,000000,23.4256,23.4256,23.0479,23.0677,325407.81607813,0
DUHP.US,D,20220613,000000,22.5808,22.6206,22.223,22.2925,662726.61228306,0
DUHP.US,D,20220614,000000,22.3572,22.4118,22.0541,22.2528,647734.75522194,0
DUHP.US,D,20220615,000000,22.4516,22.7398,22.2429,22.4615,533416.31122396,0
DUHP.US,D,20220616,000000,21.9547,21.9648,21.567,21.7261,661273.7101625,0
DUHP.US,D,20220617,000000,21.885,21.9547,21.5968,21.8056,433760.70836367,0
DUHP.US,D,20220621,000000,22.2329,22.3224,22.1236,22.2329,430995.76720905,0
DUHP.US,D,20220622,000000,22.0536,22.3924,22.0137,22.1931,838831.5181925,0
DUHP.US,D,20220623,000000,22.2728,22.4522,22.1682,22.4123,426505.24783104,0
DUHP.US,D,20220624,000000,22.6316,23.0999,22.6316,23.0999,788346.1299779,0
DUHP.US,D,20220627,000000,23.1099,23.1697,22.9413,23.0003,581488.59618366,0
DUHP.US,D,20220628,000000,23.1498,23.2345,22.5319,22.5518,357473.79722488,0
DUHP.US,D,20220629,000000,22.4821,22.6316,22.4322,22.5419,639034.37261312,0
DUHP.US,D,20220630,000000,22.2927,22.5817,22.1034,22.4223,684774.36914664,0
DUHP.US,D,20220701,000000,22.3625,22.6116,22.1931,22.5568,363498.60831669,0
DUHP.US,D,20220705,000000,22.2329,22.6266,22.1582,22.6216,256319.38648025,0
DUHP.US,D,20220706,000000,22.6415,22.8707,22.5518,22.7312,264539.78162752,0
DUHP.US,D,20220707,000000,22.8807,23.1199,22.8707,23.08,618063.93587148,0
DUHP.US,D,20220708,000000,22.9604,23.1398,22.9106,23.0501,256649.52686153,0
DUHP.US,D,20220711,000000,22.9106,23.0053,22.8159,22.8508,366057.44713817,0
DUHP.US,D,20220712,000000,22.9704,22.9803,22.5867,22.6814,277815.63951305,0
DUHP.US,D,20220713,000000,22.3525,22.801,22.3525,22.6615,347047.78336012,0
DUHP.US,D,20220714,000000,22.4223,22.7262,22.2728,22.6814,335276.12131513,0
DUHP.US,D,20220715,000000,22.9704,23.0501,22.8408,23.0401,245235.09878535,0
DUHP.US,D,20220718,000000,23.2394,23.2494,22.8059,22.8608,404950.79375838,0
DUHP.US,D,20220719,000000,23.1099,23.4587,23.0302,23.4388,510139.1386451,0
DUHP.US,D,20220720,000000,23.4687,23.6381,23.3989,23.5683,2139710.0537132,0
DUHP.US,D,20220721,000000,23.5384,23.7078,23.359,23.6979,869109.10398088,0
DUHP.US,D,20220722,000000,23.7975,23.8434,23.4089,23.5583,437063.71923479,0
DUHP.US,D,20220725,000000,23.5678,23.628,23.4577,23.5882,263630.64124624,0
DUHP.US,D,20220726,000000,23.4188,23.4387,23.2594,23.3092,404041.65337711,0
DUHP.US,D,20220727,000000,23.4089,23.8673,23.4089,23.7776,526774.6013833,0
DUHP.US,D,20220728,000000,23.7676,24.1264,23.6082,24.0865,318161.00173118,0
DUHP.US,D,20220729,000000,24.2061,24.4552,24.1363,24.3954,427675.28942549,0
DUHP.US,D,20220801,000000,24.2559,24.515,24.236,24.3954,212851.23743372,0
DUHP.US,D,20220802,000000,24.2361,24.4154,24.0965,24.1563,220104.29115985,0
DUHP.US,D,20220803,000000,24.3157,24.5997,24.2759,24.515,366823.0918522,0
DUHP.US,D,20220804,000000,24.5004,24.5748,24.4453,24.525,274232.26169678,0
DUHP.US,D,20220805,000000,24.246,24.5449,24.246,24.5449,298178.97920097,0
DUHP.US,D,20220808,000000,24.6446,24.7542,24.4552,24.535,381443.59445177,0
DUHP.US,D,20220809,000000,24.4752,24.4752,24.2659,24.3157,249221.87001582,0
DUHP.US,D,20220810,000000,24.7442,24.8539,24.6844,24.8339,609430.11264796,0
DUHP.US,D,20220811,000000,25.0033,25.1329,24.824,24.8539,363341.06412259,0
DUHP.US,D,20220812,000000,24.9734,25.2423,24.9336,25.2325,170949.49913242,0
DUHP.US,D,20220815,000000,25.1528,25.382,25.103,25.3621,250993.99133297,0
DUHP.US,D,20220816,000000,25.3521,25.6212,25.3322,25.4717,1146376.8509463,0
DUHP.US,D,20220817,000000,25.2724,25.4318,25.1578,25.2724,225429.68630713,0
DUHP.US,D,20220818,000000,25.2426,25.4119,25.2209,25.3521,323408.12651451,0
DUHP.US,D,20220819,000000,25.2624,25.2624,25.0533,25.113,227538.97226899,0
DUHP.US,D,20220822,000000,24.824,24.8638,24.5649,24.6047,178424.31888974,0
DUHP.US,D,20220823,000000,24.5449,24.7243,24.535,24.5549,207860.99999874,0
DUHP.US,D,20220824,000000,24.5649,24.6745,24.4851,24.5848,156348.06239074,0
DUHP.US,D,20220825,000000,24.6944,24.9336,24.6346,24.9236,228876.59271959,0
DUHP.US,D,20220826,000000,24.9236,24.9635,24.0765,24.0765,211684.20623789,0
DUHP.US,D,20220829,000000,23.8673,24.0865,23.8174,23.9071,323173.31542266,0
DUHP.US,D,20220830,000000,24.0068,24.0068,23.5185,23.6281,247550.09531913,0
DUHP.US,D,20220831,000000,23.7278,23.7577,23.4288,23.4388,231927.12998127,0
DUHP.US,D,20220901,000000,23.3092,23.5484,23.168,23.5384,188431.88734721,0
DUHP.US,D,20220902,000000,23.8174,23.8512,23.2096,23.3192,327670.85095123,0
DUHP.US,D,20220906,000000,23.379,23.4487,23.1099,23.2394,165833.82842187,0
DUHP.US,D,20220907,000000,23.2394,23.7178,23.2394,23.6779,188503.13344773,0
DUHP.US,D,20220908,000000,23.4687,23.8075,23.4687,23.7975,370295.08491977,0
DUHP.US,D,20220909,000000,23.9172,24.2111,23.9172,24.1662,253167.49913192,0
DUHP.US,D,20220912,000000,24.3058,24.4207,24.226,24.3257,187150.46100407,0
DUHP.US,D,20220913,000000,23.8573,23.8573,23.2195,23.2793,371419.97053502,0
DUHP.US,D,20220914,000000,23.3789,23.3789,23.0811,23.2893,221880.42634181,0
DUHP.US,D,20220915,000000,23.2394,23.3491,22.927,23.0102,3146301.051974,0
DUHP.US,D,20220916,000000,22.7711,22.9255,22.6714,22.9006,349705.96533584,0
DUHP.US,D,20220919,000000,22.6914,23.08,22.6914,23.08,264131.37088229,0
DUHP.US,D,20220920,000000,22.84,22.87,22.61,22.77,344041,0
DUHP.US,D,20220921,000000,22.89,23.04,22.42,22.43,244181,0
DUHP.US,D,20220922,000000,22.36,22.41,22.21,22.25,628112,0
DUHP.US,D,20220923,000000,22.0599,22.0599,21.64,21.92,436940,0
DUHP.US,D,20220926,000000,21.86,22.05,21.66,21.73,812609,0
DUHP.US,D,20220927,000000,21.98,22.08,21.56,21.69,941253,0
DUHP.US,D,20220928,000000,21.82,22.24,21.72,22.15,1505999,0
DUHP.US,D,20220929,000000,21.9,21.9,21.54,21.72,926341,0
DUHP.US,D,20220930,000000,21.65,21.8,21.335,21.34,864943,0
DUHP.US,D,20221003,000000,21.52,22.03,21.5,21.91,917468,0
DUHP.US,D,20221004,000000,22.22,22.595,22.22,22.58,611246,0
DUHP.US,D,20221005,000000,22.32,22.76,22.28,22.63,509661,0
DUHP.US,D,20221006,000000,22.52,22.6925,22.37,22.41,359831,0
DUHP.US,D,20221007,000000,22.09,22.12,21.73,21.86,311298,0
DUHP.US,D,20221010,000000,21.88,21.89,21.52,21.7,742788,0
DUHP.US,D,20221011,000000,21.59,21.92,21.51,21.64,348298,0
DUHP.US,D,20221012,000000,21.68,21.78,21.59,21.59,692761,0
DUHP.US,D,20221013,000000,21.18,22.18,21.09,22.08,414918,0
DUHP.US,D,20221014,000000,22.3,22.3,21.61,21.64,423634,0
DUHP.US,D,20221017,000000,22.04,22.18,21.99,22.1,688084,0
DUHP.US,D,20221018,000000,22.58,22.61,22.17,22.37,360077,0
DUHP.US,D,20221019,000000,22.25,22.37,22,22.16,534722,0
DUHP.US,D,20221020,000000,22.2099,22.41,21.92,21.98,363217,0
DUHP.US,D,20221021,000000,21.91,22.56,21.91,22.535,531586,0
DUHP.US,D,20221024,000000,22.65,22.94,22.56,22.87,1036620,0
DUHP.US,D,20221025,000000,22.91,23.24,22.91,23.23,727458,0
DUHP.US,D,20221026,000000,23.165,23.53,23.1,23.26,307131,0
DUHP.US,D,20221027,000000,23.43,23.49,23.1898,23.21,464841,0
DUHP.US,D,20221028,000000,23.26,23.75,23.16,23.73,301133,0
DUHP.US,D,20221031,000000,23.57,23.71,23.52,23.57,769206,0
DUHP.US,D,20221101,000000,23.79,23.79,23.38,23.54,988374,0
DUHP.US,D,20221102,000000,23.43,23.78,22.97,22.97,547687,0
DUHP.US,D,20221103,000000,22.75,22.945,22.585,22.77,1862957,0
DUHP.US,D,20221104,000000,23.12,23.28,22.7766,23.16,1548274,0
DUHP.US,D,20221107,000000,23.2,23.49,23.105,23.45,526634,0
DUHP.US,D,20221108,000000,23.52,23.82,23.35,23.62,378367,0
DUHP.US,D,20221109,000000,23.49,23.57,23.15,23.17,300494,0
DUHP.US,D,20221110,000000,23.97,24.38,23.905,24.36,470168,0
DUHP.US,D,20221111,000000,24.39,24.61,24.34,24.56,234139,0
DUHP.US,D,20221114,000000,24.49,24.749,24.4,24.4,248032,0
DUHP.US,D,20221115,000000,24.8,24.84,24.38,24.59,525327,0
DUHP.US,D,20221116,000000,24.46,24.539,24.37,24.42,667973,0
DUHP.US,D,20221117,000000,24.19,24.42,24.1,24.42,502525,0
DUHP.US,D,20221118,000000,24.71,24.71,24.42,24.57,403259,0
DUHP.US,D,20221121,000000,24.52,24.64,24.45,24.57,1209261,0
DUHP.US,D,20221122,000000,24.68,24.945,24.6682,24.92,418987,0
DUHP.US,D,20221123,000000,24.89,25.09,24.89,25.02,345525,0
DUHP.US,D,20221125,000000,24.99,25.075,24.99,25.04,77946,0
DUHP.US,D,20221128,000000,24.85,24.97,24.6305,24.68,387362,0
DUHP.US,D,20221129,000000,24.7199,24.7628,24.53,24.67,301695,0
DUHP.US,D,20221130,000000,24.64,25.33,24.5328,25.33,653259,0
DUHP.US,D,20221201,000000,25.36,25.42,25.17,25.33,447782,0
DUHP.US,D,20221202,000000,25.11,25.41,25.05,25.35,578407,0
DUHP.US,D,20221205,000000,25.24,25.24,24.845,24.93,1169752,0
DUHP.US,D,20221206,000000,24.95,24.95,24.4701,24.65,405322,0
DUHP.US,D,20221207,000000,24.6,24.77,24.56,24.64,357074,0
DUHP.US,D,20221208,000000,24.74,24.89,24.68,24.84,529814,0
DUHP.US,D,20221209,000000,24.79,24.85,24.59,24.6,729335,0
DUHP.US,D,20221212,000000,24.62,24.97,24.62,24.97,1092277,0
DUHP.US,D,20221213,000000,25.64,25.64,24.96,25.1,333860,0
DUHP.US,D,20221214,000000,25.15,25.33,24.83,24.98,558151,0
DUHP.US,D,20221215,000000,24.75,24.75,24.27,24.37,398508,0
DUHP.US,D,20221216,000000,24.26,24.27,23.9993,24.14,409648,0
DUHP.US,D,20221219,000000,24.21,24.21,23.85,23.98,368279,0
DUHP.US,D,20221220,000000,23.81,23.96,23.7261,23.88,624384,0
DUHP.US,D,20221221,000000,24.06,24.34,24.0501,24.29,490779,0
DUHP.US,D,20221222,000000,24.06,24.1199,23.66,24.01,645312,0
DUHP.US,D,20221223,000000,23.92,24.11,23.86,24.1057,686927,0
DUHP.US,D,20221227,000000,24.14,24.2,23.99,24.11,1098035,0
DUHP.US,D,20221228,000000,24.13,24.21,23.7721,23.79,776137,0
DUHP.US,D,20221229,000000,23.97,24.19,23.94,24.12,525488,0
DUHP.US,D,20221230,000000,23.93,24.04,23.815,24.01,797145,0
DUHP.US,D,20230103,000000,24.21,24.2299,23.79,23.97,633910,0
DUHP.US,D,20230104,000000,24.12,24.29,23.97,24.188,574797,0
DUHP.US,D,20230105,000000,24.08,24.1,23.93,23.98,347937,0
DUHP.US,D,20230106,000000,24.22,24.7,24.14,24.63,286214,0
DUHP.US,D,20230109,000000,24.72,24.9097,24.51,24.52,300046,0
DUHP.US,D,20230110,000000,24.52,24.71,24.3915,24.69,555209,0
DUHP.US,D,20230111,000000,24.81,24.96,24.7,24.94,935417,0
DUHP.US,D,20230112,000000,25.03,25.08,24.79,24.98,583996,0
DUHP.US,D,20230113,000000,24.86,25.08,24.7901,25.05,305216,0
DUHP.US,D,20230117,000000,25.05,25.1599,24.93,24.96,394001,0
DUHP.US,D,20230118,000000,25.07,25.1098,24.59,24.62,456398,0
DUHP.US,D,20230119,000000,24.49,24.49,24.27,24.32,305968,0
DUHP.US,D,20230120,000000,24.41,24.68,24.28,24.67,321167,0
DUHP.US,D,20230123,000000,24.7,25.04,24.7,24.92,260805,0
DUHP.US,D,20230124,000000,24.84,25.1199,24.7001,24.91,312727,0
DUHP.US,D,20230125,000000,24.7,24.915,24.54,24.91,572025,0
DUHP.US,D,20230126,000000,25.04,25.08,24.83,25.06,527089,0
DUHP.US,D,20230127,000000,24.99,25.24,24.99,25.08,264622,0
DUHP.US,D,20230130,000000,24.98,25.1,24.85,24.88,328230,0
DUHP.US,D,20230131,000000,24.92,25.2,24.88,25.2,521724,0
DUHP.US,D,20230201,000000,25.14,25.595,24.9899,25.43,384142,0
DUHP.US,D,20230202,000000,25.57,25.6846,25.432,25.615,408136,0
DUHP.US,D,20230203,000000,25.44,25.69,25.42,25.49,979035,0
DUHP.US,D,20230206,000000,25.4,25.45,25.31,25.35,296439,0
DUHP.US,D,20230207,000000,25.26,25.61,25.1302,25.55,320629,0
DUHP.US,D,20230208,000000,25.4,25.4899,25.26,25.28,429751,0
DUHP.US,D,20230209,000000,25.54,25.55,25.09,25.14,309462,0
DUHP.US,D,20230210,000000,25.09,25.26,25.0799,25.24,351041,0
DUHP.US,D,20230213,000000,25.32,25.57,25.28,25.56,275958,0
DUHP.US,D,20230214,000000,25.53,25.6501,25.275,25.48,307703,0
DUHP.US,D,20230215,000000,25.36,25.54,25.31,25.52,393276,0
DUHP.US,D,20230216,000000,25.28,25.46,25.2,25.2,323111,0
DUHP.US,D,20230217,000000,25.16,25.205,25.04,25.2,346733,0
DUHP.US,D,20230221,000000,24.95,24.99,24.68,24.69,349103,0
DUHP.US,D,20230222,000000,24.73,24.762,24.538,24.6,422582,0
DUHP.US,D,20230223,000000,24.82,24.82,24.4333,24.7,1127906,0
DUHP.US,D,20230224,000000,24.47,24.535,24.3223,24.49,674687,0
DUHP.US,D,20230227,000000,24.7,24.78,24.53,24.57,290916,0
DUHP.US,D,20230228,000000,24.63,24.68,24.5,24.5,311939,0
DUHP.US,D,20230301,000000,24.49,24.55,24.3701,24.47,388799,0
DUHP.US,D,20230302,000000,24.36,24.75,24.36,24.68,853309,0
DUHP.US,D,20230303,000000,24.83,25.0258,24.72,25.01,254606,0
DUHP.US,D,20230306,000000,25.04,25.1499,24.96,25,410068,0
DUHP.US,D,20230307,000000,25.01,25.01,24.61,24.62,293867,0
DUHP.US,D,20230308,000000,24.68,24.7202,24.54,24.69,388211,0
DUHP.US,D,20230309,000000,24.78,24.83,24.27,24.32,294778,0
DUHP.US,D,20230310,000000,24.33,24.35,23.86,23.95,295859,0
DUHP.US,D,20230313,000000,23.71,24.18,23.71,23.91,570585,0
