<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGUS.US,D,20230209,000000,25.8527,25.8527,25.8527,25.8527,41,0
EGUS.US,D,20230210,000000,25.7067,25.7067,25.7067,25.7067,1,0
EGUS.US,D,20230213,000000,26.058,26.058,26.058,26.058,50,0
EGUS.US,D,20230214,000000,26.08,26.2525,26.08,26.2525,50,0
EGUS.US,D,20230215,000000,26.3468,26.3468,26.3468,26.3468,38,0
EGUS.US,D,20230216,000000,25.918,25.918,25.918,25.918,38,0
EGUS.US,D,20230217,000000,25.8,25.8,25.715,25.715,100,0
EGUS.US,D,20230222,000000,25.0776,25.0776,25.0776,25.0776,1,0
EGUS.US,D,20230223,000000,25.3453,25.3453,25.3453,25.3453,38,0
EGUS.US,D,20230224,000000,24.9049,24.9049,24.9049,24.9049,38,0
EGUS.US,D,20230227,000000,25.0532,25.0532,25.0532,25.0532,16,0
EGUS.US,D,20230228,000000,25.0657,25.0657,25.0657,25.0657,16,0
EGUS.US,D,20230301,000000,24.97,24.97,24.79,24.8496,300,0
EGUS.US,D,20230302,000000,25.088,25.088,25.088,25.088,16,0
EGUS.US,D,20230303,000000,25.627,25.627,25.627,25.627,16,0
EGUS.US,D,20230306,000000,25.6527,25.6527,25.6527,25.6527,4,0
EGUS.US,D,20230307,000000,25.292,25.292,25.292,25.292,1,0
EGUS.US,D,20230308,000000,25.3711,25.3711,25.3711,25.3711,40,0
EGUS.US,D,20230309,000000,24.973,24.973,24.973,24.973,1,0
EGUS.US,D,20230310,000000,24.4843,24.4843,24.4843,24.4843,2,0
EGUS.US,D,20230313,000000,24.77,24.77,24.6318,24.6318,101,0
EGUS.US,D,20230314,000000,25.16,25.16,25.16,25.16,100,0
EGUS.US,D,20230315,000000,25.09,25.09,25.0515,25.0515,100,0
EGUS.US,D,20230316,000000,25.74,25.74,25.74,25.74,103,0
EGUS.US,D,20230317,000000,25.5752,25.5752,25.5752,25.5752,2,0
EGUS.US,D,20230320,000000,25.6582,25.6582,25.6582,25.6582,1,0
EGUS.US,D,20230321,000000,26.0916,26.0916,26.0916,26.0916,12,0
EGUS.US,D,20230322,000000,25.7839,25.7839,25.7839,25.7839,2,0
EGUS.US,D,20230323,000000,25.9288,25.9288,25.9288,25.9288,2,0
EGUS.US,D,20230328,000000,25.7449,25.7449,25.7449,25.7449,2,0
EGUS.US,D,20230329,000000,26.1734,26.1734,26.1734,26.1734,2,0
EGUS.US,D,20230330,000000,26.3802,26.3802,26.3802,26.3802,2,0
EGUS.US,D,20230331,000000,26.8648,26.8648,26.8648,26.8648,2,0
EGUS.US,D,20230403,000000,26.8584,26.8584,26.8584,26.8584,2,0
EGUS.US,D,20230404,000000,26.7141,26.7141,26.7141,26.7141,1,0
EGUS.US,D,20230405,000000,26.69,26.69,26.4526,26.4526,101,0
EGUS.US,D,20230406,000000,26.6139,26.6139,26.6139,26.6139,2,0
EGUS.US,D,20230410,000000,26.5555,26.5555,26.5555,26.5555,8,0
EGUS.US,D,20230411,000000,26.4589,26.4589,26.4589,26.4589,9,0
EGUS.US,D,20230412,000000,26.3052,26.3052,26.3052,26.3052,1,0
EGUS.US,D,20230413,000000,26.8393,26.8393,26.8393,26.8393,1,0
EGUS.US,D,20230414,000000,26.7626,26.7626,26.7626,26.7626,1,0
EGUS.US,D,20230417,000000,26.8154,26.8154,26.8154,26.8154,1,0
EGUS.US,D,20230418,000000,26.8612,26.8612,26.8612,26.8612,2,0
EGUS.US,D,20230419,000000,26.8499,26.8499,26.8499,26.8499,7,0
EGUS.US,D,20230420,000000,26.6726,26.6726,26.6726,26.6726,6,0
EGUS.US,D,20230421,000000,26.7393,26.7393,26.7393,26.7393,1,0
EGUS.US,D,20230424,000000,26.6875,26.6875,26.6875,26.6875,5,0
EGUS.US,D,20230425,000000,26.1688,26.1688,26.1688,26.1688,2,0
EGUS.US,D,20230426,000000,26.3175,26.3175,26.3175,26.3175,1,0
EGUS.US,D,20230427,000000,26.9752,26.9752,26.9752,26.9752,14,0
EGUS.US,D,20230428,000000,27.183,27.183,27.183,27.183,20,0
EGUS.US,D,20230501,000000,27.1959,27.1959,27.1959,27.1959,2,0
EGUS.US,D,20230502,000000,26.9516,26.9516,26.9516,26.9516,1,0
EGUS.US,D,20230503,000000,26.7911,26.7911,26.7911,26.7911,11,0
EGUS.US,D,20230504,000000,26.6342,26.6342,26.6342,26.6342,11,0
EGUS.US,D,20230505,000000,27.1866,27.1866,27.1866,27.1866,11,0
EGUS.US,D,20230508,000000,27.2447,27.2447,27.2447,27.2447,11,0
EGUS.US,D,20230509,000000,27.17,27.17,27.1253,27.1253,389,0
EGUS.US,D,20230510,000000,27.3885,27.3885,27.3885,27.3885,11,0
EGUS.US,D,20230511,000000,27.3961,27.3961,27.3961,27.3961,11,0
EGUS.US,D,20230512,000000,27.3202,27.3202,27.3202,27.3202,1,0
EGUS.US,D,20230515,000000,27.4016,27.4016,27.4016,27.4016,11,0
EGUS.US,D,20230516,000000,27.3817,27.3817,27.3817,27.3817,11,0
EGUS.US,D,20230517,000000,27.47,27.7369,27.47,27.7369,185,0
EGUS.US,D,20230518,000000,28.1605,28.1605,28.1605,28.1605,1,0
EGUS.US,D,20230519,000000,28.18,28.18,28.0828,28.0828,200,0
EGUS.US,D,20230522,000000,28.19,28.19,28.1477,28.1477,3960,0
EGUS.US,D,20230523,000000,27.7274,27.7274,27.7274,27.7274,11,0
EGUS.US,D,20230524,000000,27.5639,27.5639,27.5639,27.5639,1,0
EGUS.US,D,20230525,000000,28.1054,28.1054,28.1054,28.1054,11,0
EGUS.US,D,20230526,000000,28.617,28.617,28.617,28.617,11,0
EGUS.US,D,20230530,000000,28.6526,28.6526,28.6526,28.6526,2,0
EGUS.US,D,20230531,000000,28.5252,28.5252,28.5252,28.5252,1,0
EGUS.US,D,20230601,000000,28.8811,28.8811,28.8811,28.8811,1,0
EGUS.US,D,20230602,000000,29.2279,29.2458,29.2279,29.2458,172,0
EGUS.US,D,20230605,000000,29.2461,29.2461,29.2461,29.2461,1,0
EGUS.US,D,20230606,000000,29.3088,29.3088,29.3088,29.3088,6,0
EGUS.US,D,20230607,000000,28.7907,28.7907,28.7907,28.7907,27,0
EGUS.US,D,20230608,000000,29.0688,29.0688,29.0688,29.0688,27,0
EGUS.US,D,20230609,000000,29.12,29.1584,29.1157,29.1584,689,0
EGUS.US,D,20230612,000000,29.23,29.5631,29.2215,29.5631,1011,0
EGUS.US,D,20230613,000000,29.7847,29.7847,29.7847,29.7847,7,0
EGUS.US,D,20230614,000000,29.8555,29.8555,29.8555,29.8555,1,0
EGUS.US,D,20230615,000000,30.3066,30.3066,30.3066,30.3066,2,0
EGUS.US,D,20230616,000000,30.1281,30.1281,30.1281,30.1281,200,0
EGUS.US,D,20230620,000000,30.0825,30.0825,30.0825,30.0825,2,0
EGUS.US,D,20230621,000000,29.7846,29.7846,29.7846,29.7846,2,0
EGUS.US,D,20230622,000000,30.0432,30.0432,30.0432,30.0432,2,0
EGUS.US,D,20230623,000000,29.8319,29.8319,29.8319,29.8319,2,0
EGUS.US,D,20230626,000000,29.4803,29.4803,29.4803,29.4803,2,0
EGUS.US,D,20230627,000000,29.878,29.878,29.878,29.878,2,0
EGUS.US,D,20230628,000000,29.913,29.913,29.913,29.913,2,0
EGUS.US,D,20230629,000000,29.9917,29.9917,29.9917,29.9917,1,0
EGUS.US,D,20230630,000000,30.4856,30.4856,30.4856,30.4856,2,0
EGUS.US,D,20230703,000000,30.46,30.46,30.46,30.46,164,0
EGUS.US,D,20230705,000000,30.4828,30.4828,30.4828,30.4828,2,0
EGUS.US,D,20230706,000000,30.2938,30.2938,30.2938,30.2938,1,0
EGUS.US,D,20230707,000000,30.1996,30.1996,30.1996,30.1996,8,0
EGUS.US,D,20230710,000000,30.1,30.1707,30.0977,30.1707,210,0
EGUS.US,D,20230711,000000,30.3464,30.3464,30.3464,30.3464,21,0
EGUS.US,D,20230712,000000,30.675,30.675,30.675,30.675,6,0
EGUS.US,D,20230713,000000,31.1034,31.1034,31.1034,31.1034,49,0
EGUS.US,D,20230714,000000,31.23,31.23,31.1095,31.1095,262,0
EGUS.US,D,20230717,000000,31.3512,31.3512,31.3512,31.3512,3,0
EGUS.US,D,20230718,000000,31.6271,31.6271,31.6271,31.6271,2,0
EGUS.US,D,20230719,000000,31.6678,31.6678,31.6678,31.6678,6,0
EGUS.US,D,20230720,000000,31.0417,31.0417,31.0417,31.0417,2,0
EGUS.US,D,20230721,000000,30.9997,30.9997,30.9997,30.9997,27,0
EGUS.US,D,20230724,000000,31.0697,31.0697,31.0697,31.0697,1,0
EGUS.US,D,20230725,000000,31.2828,31.2828,31.2828,31.2828,20,0
EGUS.US,D,20230726,000000,31.2198,31.2198,31.2198,31.2198,10,0
EGUS.US,D,20230727,000000,30.9868,30.9868,30.9868,30.9868,10,0
EGUS.US,D,20230728,000000,31.4535,31.4535,31.4535,31.4535,13,0
EGUS.US,D,20230731,000000,31.4781,31.4781,31.4781,31.4781,9,0
EGUS.US,D,20230801,000000,31.44,31.44,31.39,31.414,2293,0
EGUS.US,D,20230802,000000,30.8183,30.8183,30.8183,30.8183,70,0
EGUS.US,D,20230803,000000,30.7965,30.7965,30.7965,30.7965,3,0
EGUS.US,D,20230804,000000,30.89,30.89,30.89,30.89,1194,0
