<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETRN.US,D,20181114,000000,14.7704,15.8089,14.7675,15.3869,14718128.962096,0
ETRN.US,D,20181115,000000,15.3869,15.9775,14.6384,15.2405,8270101.2466636,0
ETRN.US,D,20181116,000000,14.9024,15.096,14.2906,14.4737,8844819.4841134,0
ETRN.US,D,20181119,000000,14.4737,14.7906,13.8205,14.2415,9984226.5773817,0
ETRN.US,D,20181120,000000,14.0488,14.4659,13.5555,14.2723,9118041.7628014,0
ETRN.US,D,20181121,000000,14.1529,15.0883,13.887,14.7704,5641928.8826077,0
ETRN.US,D,20181123,000000,14.2858,14.8802,14.2501,14.7145,3295305.8205731,0
ETRN.US,D,20181126,000000,14.8946,15.1933,14.7646,14.992,6316575.5521498,0
ETRN.US,D,20181127,000000,14.886,15.5883,14.861,15.2703,4752443.5578352,0
ETRN.US,D,20181128,000000,15.2126,15.596,15.0748,15.568,6115036.0521109,0
ETRN.US,D,20181129,000000,15.491,16.149,15.4139,15.9409,6271747.4756515,0
ETRN.US,D,20181130,000000,15.9409,16.2656,15.2559,15.4708,6940532.4273224,0
ETRN.US,D,20181203,000000,15.4708,16.018,14.8744,15.9476,11833176.609254,0
ETRN.US,D,20181204,000000,15.6644,15.9062,15.2126,15.3388,4506779.761131,0
ETRN.US,D,20181206,000000,15.0883,15.4071,14.4659,15.3108,5295992.0300581,0
ETRN.US,D,20181207,000000,15.4071,15.6307,15.1432,15.1711,4364764.6722142,0
ETRN.US,D,20181210,000000,15.0054,15.1711,14.6182,14.9024,3800662.2995897,0
ETRN.US,D,20181211,000000,15.0806,15.3464,14.9429,15.0469,5338042.3560653,0
ETRN.US,D,20181212,000000,15.2829,15.359,14.7704,14.9101,5192847.8016199,0
ETRN.US,D,20181213,000000,14.9351,15.1595,14.5979,14.7077,5561349.2058048,0
ETRN.US,D,20181214,000000,14.6384,15.1519,14.3195,14.7771,4609994.5751571,0
ETRN.US,D,20181217,000000,14.491,14.9178,14.2241,14.2569,4069101.3666698,0
ETRN.US,D,20181218,000000,14.306,14.41,13.702,13.939,4993660.4624977,0
ETRN.US,D,20181219,000000,13.861,14.6249,13.7088,14.1037,4665662.7295249,0
ETRN.US,D,20181220,000000,14.0295,14.2367,13.5595,13.8061,3795948.6355463,0
ETRN.US,D,20181221,000000,13.8899,14.2097,13.5555,13.6346,10932344.651216,0
ETRN.US,D,20181224,000000,13.4593,13.9746,12.65,12.8148,1318362.3192283,0
ETRN.US,D,20181226,000000,12.9747,13.5922,12.7396,13.5555,2733779.8219094,0
ETRN.US,D,20181227,000000,13.3485,13.6124,13.0315,13.6124,2631796.1035793,0
