<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVTL-WS.US,D,20211217,000000,0.99,1.3,0.96,1.12,1291635,0
EVTL-WS.US,D,20211220,000000,1.22,1.3399,1.0209,1.07,201195,0
EVTL-WS.US,D,20211221,000000,1.1999,1.2,0.85,1.01,316804,0
EVTL-WS.US,D,20211222,000000,1.05,1.6,1.0201,1.12,1233580,0
EVTL-WS.US,D,20211223,000000,1.22,1.22,1,1.07,150031,0
EVTL-WS.US,D,20211227,000000,1.145,1.145,0.9702,1.0205,43252,0
EVTL-WS.US,D,20211228,000000,1.12,1.12,0.898,0.92,274766,0
EVTL-WS.US,D,20211229,000000,0.92,0.92,0.851,0.88,81592,0
EVTL-WS.US,D,20211230,000000,0.887,0.90005,0.74,0.82,54343,0
EVTL-WS.US,D,20211231,000000,0.856,0.9101,0.66,0.68,107782,0
EVTL-WS.US,D,20220103,000000,0.7212,0.829799,0.72,0.77,30888,0
EVTL-WS.US,D,20220104,000000,0.806401,0.806401,0.6654,0.69,165608,0
EVTL-WS.US,D,20220105,000000,0.7101,1.14,0.7101,0.8852,1623120,0
EVTL-WS.US,D,20220106,000000,0.8201,0.879699,0.7258,0.814991,278324,0
EVTL-WS.US,D,20220107,000000,0.75,0.8199,0.75,0.8177,7394,0
EVTL-WS.US,D,20220110,000000,0.72,0.8798,0.72,0.8534,36902,0
EVTL-WS.US,D,20220111,000000,0.92,1,0.9,0.9701,54223,0
EVTL-WS.US,D,20220112,000000,1.08,1.08,0.9251,0.93995,40959,0
EVTL-WS.US,D,20220113,000000,0.9,0.99,0.9,0.93,19136,0
EVTL-WS.US,D,20220114,000000,0.94,0.9499,0.722,0.77205,16002,0
EVTL-WS.US,D,20220118,000000,0.848,0.8499,0.6795,0.711,16420,0
EVTL-WS.US,D,20220119,000000,0.73815,0.73815,0.6,0.65,20643,0
EVTL-WS.US,D,20220120,000000,0.6499,1.01,0.6499,0.745,518012,0
EVTL-WS.US,D,20220121,000000,0.6901,0.8,0.6901,0.76,61910,0
EVTL-WS.US,D,20220124,000000,0.81,0.81,0.6689,0.75,12554,0
EVTL-WS.US,D,20220125,000000,0.7293,0.82,0.705,0.705,132359,0
EVTL-WS.US,D,20220126,000000,0.7198,0.8343,0.7198,0.7301,18700,0
EVTL-WS.US,D,20220127,000000,0.740101,0.7618,0.73,0.7499,162717,0
EVTL-WS.US,D,20220128,000000,0.73,0.73,0.64,0.72,157089,0
EVTL-WS.US,D,20220131,000000,0.74,0.7811,0.68,0.7001,172734,0
EVTL-WS.US,D,20220201,000000,0.7151,0.7305,0.69,0.7305,13640,0
EVTL-WS.US,D,20220202,000000,0.765951,0.765951,0.699801,0.705,33757,0
EVTL-WS.US,D,20220203,000000,0.6801,0.73,0.68,0.68,6752,0
EVTL-WS.US,D,20220204,000000,0.7599,0.77,0.7255,0.75,53442,0
EVTL-WS.US,D,20220207,000000,0.75,0.76,0.6821,0.75,57957,0
EVTL-WS.US,D,20220208,000000,0.75,0.75,0.7101,0.72,139705,0
EVTL-WS.US,D,20220209,000000,0.72,0.77,0.68,0.6801,307801,0
EVTL-WS.US,D,20220210,000000,0.701,0.72,0.7,0.71,104895,0
EVTL-WS.US,D,20220211,000000,0.7234,0.7234,0.72,0.72,20329,0
EVTL-WS.US,D,20220214,000000,0.8299,0.8999,0.74975,0.7699,53697,0
EVTL-WS.US,D,20220215,000000,0.7999,0.84,0.78545,0.8,17390,0
EVTL-WS.US,D,20220216,000000,0.8,0.92,0.798,0.8021,73370,0
EVTL-WS.US,D,20220217,000000,0.8019,0.8398,0.7103,0.73,178319,0
EVTL-WS.US,D,20220218,000000,0.7101,0.75,0.7,0.7425,19003,0
EVTL-WS.US,D,20220222,000000,0.7425,0.7599,0.69,0.72,7945,0
EVTL-WS.US,D,20220223,000000,0.7,0.7794,0.7,0.77,30617,0
EVTL-WS.US,D,20220224,000000,0.7,0.8216,0.7,0.7949,10632,0
EVTL-WS.US,D,20220225,000000,0.8451,0.8902,0.8246,0.882269,4279,0
EVTL-WS.US,D,20220228,000000,0.8099,0.84,0.7765,0.82,27146,0
EVTL-WS.US,D,20220301,000000,0.8994,0.9542,0.8302,0.8302,24286,0
EVTL-WS.US,D,20220302,000000,0.8013,0.8437,0.782,0.8147,9175,0
EVTL-WS.US,D,20220303,000000,0.7805,0.7999,0.78,0.7808,6951,0
EVTL-WS.US,D,20220304,000000,0.7601,0.775,0.7471,0.76,6186,0
EVTL-WS.US,D,20220307,000000,0.76,0.76,0.71,0.7499,6458,0
EVTL-WS.US,D,20220308,000000,0.709,0.747399,0.709,0.739381,4673,0
EVTL-WS.US,D,20220309,000000,0.74,0.7549,0.709,0.7094,92311,0
EVTL-WS.US,D,20220310,000000,0.7306,0.7306,0.68,0.7,93089,0
EVTL-WS.US,D,20220311,000000,0.7,0.75,0.7,0.75,3046,0
EVTL-WS.US,D,20220314,000000,0.77,0.77,0.68,0.6801,5675,0
EVTL-WS.US,D,20220315,000000,0.6801,0.7,0.6801,0.7,362,0
EVTL-WS.US,D,20220316,000000,0.6801,0.8,0.6801,0.8,955,0
EVTL-WS.US,D,20220317,000000,0.7041,0.8299,0.7041,0.8299,17437,0
EVTL-WS.US,D,20220318,000000,0.83,0.8336,0.7987,0.7987,17857,0
EVTL-WS.US,D,20220321,000000,0.799,0.8,0.7601,0.8,6186,0
EVTL-WS.US,D,20220322,000000,0.81,0.812,0.7801,0.786701,5974,0
EVTL-WS.US,D,20220323,000000,0.9,0.9,0.8099,0.815,2702,0
EVTL-WS.US,D,20220324,000000,0.85,0.85,0.7661,0.79,4069,0
EVTL-WS.US,D,20220325,000000,0.8199,0.8301,0.8199,0.82,5030,0
EVTL-WS.US,D,20220328,000000,0.7921,0.7921,0.7501,0.7501,2056,0
EVTL-WS.US,D,20220329,000000,0.88,0.88,0.8,0.82,14442,0
EVTL-WS.US,D,20220330,000000,0.84,0.8775,0.81,0.81,28892,0
EVTL-WS.US,D,20220331,000000,0.76,0.83,0.76,0.785,5899,0
EVTL-WS.US,D,20220404,000000,0.81,0.81,0.7858,0.7982,3743,0
EVTL-WS.US,D,20220405,000000,0.76,0.8,0.76,0.78,2118,0
EVTL-WS.US,D,20220406,000000,0.7945,0.7945,0.7755,0.7755,241,0
EVTL-WS.US,D,20220407,000000,0.760601,0.768259,0.7101,0.76,6444,0
EVTL-WS.US,D,20220411,000000,0.79,0.807116,0.7621,0.7903,3095,0
EVTL-WS.US,D,20220412,000000,0.8001,1.57,0.761,1.3115,1778751,0
EVTL-WS.US,D,20220413,000000,1.01,1.11,0.89,0.994,110062,0
EVTL-WS.US,D,20220414,000000,1.08,1.08,0.86,0.8701,47383,0
EVTL-WS.US,D,20220418,000000,0.8652,0.8949,0.7601,0.8226,139295,0
EVTL-WS.US,D,20220419,000000,1,1,0.9001,0.96,14839,0
EVTL-WS.US,D,20220420,000000,1,1,0.82,0.8287,27000,0
EVTL-WS.US,D,20220421,000000,0.889,0.889,0.8001,0.821308,2268,0
EVTL-WS.US,D,20220422,000000,0.7737,0.7737,0.7229,0.723,29258,0
EVTL-WS.US,D,20220425,000000,0.7011,0.7499,0.7,0.7101,3392,0
EVTL-WS.US,D,20220426,000000,0.6904,0.7206,0.6712,0.671258,6534,0
EVTL-WS.US,D,20220427,000000,0.7159,0.7499,0.68,0.71,8885,0
EVTL-WS.US,D,20220428,000000,0.7108,0.7108,0.71,0.71,250,0
EVTL-WS.US,D,20220429,000000,0.7951,0.7951,0.68,0.7,3301,0
