<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FHN_E.US,D,20200617,000000,25.11,25.1358,24.9675,25.07,30944,0
FHN_E.US,D,20200618,000000,25.02,25.16,24.94,25.14,93026,0
FHN_E.US,D,20200619,000000,25.17,25.25,25.08,25.15,47231,0
FHN_E.US,D,20200622,000000,25.21,25.3,25.1,25.27,57258,0
FHN_E.US,D,20200623,000000,25.33,25.54,25.3,25.45,355781,0
FHN_E.US,D,20200624,000000,25.36,25.4,25.07,25.25,60792,0
FHN_E.US,D,20200625,000000,25.23,25.4,25.2,25.38,52752,0
FHN_E.US,D,20200626,000000,25.4,25.4,25.15,25.29,103159,0
FHN_E.US,D,20200629,000000,25.31,25.4,25.225,25.34,184846,0
FHN_E.US,D,20200630,000000,25.37,25.43,25.28,25.33,584791,0
FHN_E.US,D,20200701,000000,25.27,25.3,25.23,25.2765,32951,0
FHN_E.US,D,20200702,000000,25.39,25.49,25.23,25.26,28822,0
FHN_E.US,D,20200706,000000,25.3,25.3,25.15,25.24,78492,0
FHN_E.US,D,20200707,000000,25.22,25.28,25.06,25.11,104747,0
FHN_E.US,D,20200708,000000,25.141,25.17,25.05,25.14,95964,0
FHN_E.US,D,20200709,000000,25.14,25.15,25.06,25.09,40184,0
FHN_E.US,D,20200710,000000,25.0702,25.14,24.975,25.0265,97636,0
FHN_E.US,D,20200713,000000,25.02,25.15,25.02,25.1,72911,0
FHN_E.US,D,20200714,000000,25.09,25.14,25.04,25.05,36688,0
FHN_E.US,D,20200715,000000,25.14,25.15,25.04,25.14,16162,0
FHN_E.US,D,20200716,000000,25.13,25.3,25.105,25.2999,25584,0
FHN_E.US,D,20200717,000000,25.2605,25.5,25.2225,25.5,42278,0
FHN_E.US,D,20200720,000000,25.5,25.51,25.425,25.5,16287,0
FHN_E.US,D,20200721,000000,25.53,25.83,25.53,25.7,562265,0
FHN_E.US,D,20200722,000000,25.8,25.8,25.49,25.5,306091,0
FHN_E.US,D,20200723,000000,25.6,25.74,25.38,25.5,97048,0
FHN_E.US,D,20200724,000000,25.5,25.74,25.5,25.74,30767,0
FHN_E.US,D,20200727,000000,25.73,25.8,25.6,25.8,23945,0
FHN_E.US,D,20200728,000000,25.8,25.82,25.72,25.78,24156,0
FHN_E.US,D,20200729,000000,25.85,25.94,25.85,25.93,21927,0
FHN_E.US,D,20200730,000000,25.85,26,25.85,25.98,110816,0
FHN_E.US,D,20200731,000000,26,26,25.8507,25.9,42721,0
FHN_E.US,D,20200803,000000,25.889,26.16,25.889,26.15,72877,0
FHN_E.US,D,20200804,000000,25.81,26.15,25.81,26.12,8225,0
FHN_E.US,D,20200805,000000,26.15,26.23,26.12,26.14,15906,0
FHN_E.US,D,20200806,000000,26.14,26.23,26.04,26.14,22495,0
FHN_E.US,D,20200807,000000,26.18,26.2,26.16,26.18,44755,0
FHN_E.US,D,20200810,000000,26.1,26.22,26.1,26.18,4137,0
FHN_E.US,D,20200811,000000,26.1,26.24,26.01,26.23,13719,0
FHN_E.US,D,20200812,000000,26.23,26.37,25.87,26.12,23964,0
FHN_E.US,D,20200813,000000,26.35,26.35,26.1501,26.1501,16713,0
FHN_E.US,D,20200814,000000,26.3,26.35,26.235,26.34,2526,0
FHN_E.US,D,20200817,000000,26.2507,26.34,26.12,26.2,22834,0
FHN_E.US,D,20200818,000000,26.11,26.34,26.11,26.34,33045,0
FHN_E.US,D,20200819,000000,26.2,26.53,26.2,26.35,15142,0
FHN_E.US,D,20200820,000000,26.4078,26.45,26.3,26.37,25428,0
FHN_E.US,D,20200821,000000,26.25,26.49,26.25,26.49,14204,0
FHN_E.US,D,20200824,000000,26.49,26.5,26.34,26.42,18889,0
FHN_E.US,D,20200825,000000,26.49,26.5,26.28,26.38,24419,0
FHN_E.US,D,20200826,000000,26.48,26.5,26.25,26.5,756327,0
FHN_E.US,D,20200827,000000,26.48,26.66,26.445,26.66,12377,0
FHN_E.US,D,20200828,000000,26.484,26.8399,26.484,26.7098,7627,0
FHN_E.US,D,20200831,000000,26.76,26.9375,26.629,26.81,36620,0
FHN_E.US,D,20200901,000000,26.86,26.92,26.7643,26.8156,9451,0
FHN_E.US,D,20200902,000000,26.8263,26.99,26.67,26.95,19102,0
FHN_E.US,D,20200903,000000,26.94,26.94,26.53,26.53,10467,0
FHN_E.US,D,20200904,000000,26.72,26.75,26.35,26.35,42154,0
FHN_E.US,D,20200908,000000,26.34,26.48,26.34,26.36,9403,0
FHN_E.US,D,20200909,000000,26.45,26.68,26.36,26.5,30488,0
FHN_E.US,D,20200910,000000,26.5,26.67,26.4711,26.586,12207,0
FHN_E.US,D,20200911,000000,26.63,26.63,26.51,26.54,8252,0
FHN_E.US,D,20200914,000000,26.68,26.83,26.56,26.83,9977,0
FHN_E.US,D,20200915,000000,26.86,26.9432,26.76,26.882,17571,0
FHN_E.US,D,20200916,000000,26.96,27.03,26.77,26.77,13536,0
FHN_E.US,D,20200917,000000,26.8,26.95,26.49,26.86,24521,0
FHN_E.US,D,20200918,000000,26.774,26.82,26.74,26.74,6357,0
FHN_E.US,D,20200921,000000,26.61,26.82,26.61,26.75,9247,0
FHN_E.US,D,20200922,000000,26.78,26.91,26.72,26.8002,25192,0
FHN_E.US,D,20200923,000000,26.85,26.85,26.46,26.79,7211,0
FHN_E.US,D,20200924,000000,26.6,26.85,26.6,26.7,12165,0
FHN_E.US,D,20200925,000000,26.05,26.61,26.05,26.6,14709,0
FHN_E.US,D,20200928,000000,26.56,26.9,26.5,26.5,17725,0
FHN_E.US,D,20200929,000000,26.74,26.85,26.6279,26.84,11946,0
FHN_E.US,D,20200930,000000,26.84,27.35,26.587,27.27,39920,0
FHN_E.US,D,20201001,000000,27.47,28.42,27.47,27.54,12943,0
FHN_E.US,D,20201002,000000,27.3101,27.81,27.3101,27.32,8060,0
FHN_E.US,D,20201005,000000,27.44,27.48,26.8994,26.9,33362,0
FHN_E.US,D,20201006,000000,26.99,27.07,26.88,26.88,8177,0
FHN_E.US,D,20201007,000000,26.97,27.28,26.97,27.11,15438,0
FHN_E.US,D,20201008,000000,27.35,27.395,27.23,27.23,4070,0
FHN_E.US,D,20201009,000000,27.24,27.6398,27.24,27.63,7249,0
FHN_E.US,D,20201012,000000,27.3443,27.8,27.3,27.41,16860,0
FHN_E.US,D,20201013,000000,27.32,27.4,26.8,26.82,20158,0
FHN_E.US,D,20201014,000000,26.85,26.85,26.5,26.55,25806,0
FHN_E.US,D,20201015,000000,26.37,26.6,26.16,26.485,25607,0
FHN_E.US,D,20201016,000000,26.56,26.5799,26.36,26.4,22977,0
FHN_E.US,D,20201019,000000,26.51,26.51,26.365,26.4,4425,0
FHN_E.US,D,20201020,000000,26.53,26.67,26.4517,26.585,11458,0
FHN_E.US,D,20201021,000000,26.65,26.69,26.34,26.51,103507,0
FHN_E.US,D,20201022,000000,26.6,26.64,26.35,26.56,14610,0
FHN_E.US,D,20201023,000000,26.54,26.94,26.525,26.93,13160,0
FHN_E.US,D,20201026,000000,26.89,27,26.82,26.98,9262,0
FHN_E.US,D,20201027,000000,26.72,26.9307,26.61,26.61,19692,0
FHN_E.US,D,20201028,000000,26.61,26.62,26.27,26.5,23895,0
FHN_E.US,D,20201029,000000,26.5625,26.66,26.28,26.28,6155,0
FHN_E.US,D,20201030,000000,26.5,26.55,26.4,26.55,20970,0
FHN_E.US,D,20201102,000000,26.84,26.89,26.557,26.77,6041,0
FHN_E.US,D,20201103,000000,27.05,27.05,27.02,27.04,1819,0
FHN_E.US,D,20201104,000000,27.07,27.35,27.04,27.05,12944,0
FHN_E.US,D,20201105,000000,26.9449,27.0998,26.9449,27.0998,929,0
FHN_E.US,D,20201106,000000,27.11,27.11,26.9972,27.01,2872,0
FHN_E.US,D,20201109,000000,26.93,27.02,26.86,26.9,10616,0
FHN_E.US,D,20201110,000000,27,27.092,26.73,26.84,17318,0
FHN_E.US,D,20201111,000000,26.9,27.06,26.9,27,8969,0
FHN_E.US,D,20201112,000000,27.05,27.34,27.03,27.05,24903,0
FHN_E.US,D,20201113,000000,27.1657,27.2127,27,27.09,93094,0
FHN_E.US,D,20201116,000000,27.05,27.28,27.04,27.28,38556,0
FHN_E.US,D,20201117,000000,27.3,27.88,27.3,27.855,17463,0
FHN_E.US,D,20201118,000000,27.7,27.95,27.7,27.94,14892,0
FHN_E.US,D,20201119,000000,27.85,27.9441,27.7,27.7,15699,0
FHN_E.US,D,20201120,000000,27.9,27.99,27.4,27.4,39631,0
FHN_E.US,D,20201123,000000,27.525,27.66,27.11,27.1699,56432,0
FHN_E.US,D,20201124,000000,27.21,27.54,27.14,27.47,31725,0
FHN_E.US,D,20201125,000000,27.1185,27.6,27.01,27.48,6665,0
FHN_E.US,D,20201127,000000,27.3812,27.52,27.2701,27.2701,3921,0
FHN_E.US,D,20201130,000000,27.21,27.23,26.96,27.11,25303,0
FHN_E.US,D,20201201,000000,27.04,27.33,27.04,27.24,15780,0
FHN_E.US,D,20201202,000000,27.275,27.4,27.185,27.3335,5663,0
FHN_E.US,D,20201203,000000,27.46,27.49,27.21,27.31,17213,0
FHN_E.US,D,20201204,000000,27.47,27.68,27.3801,27.67,16393,0
FHN_E.US,D,20201207,000000,27.59,27.78,27.5101,27.76,18645,0
FHN_E.US,D,20201208,000000,27.78,27.95,27.7601,27.86,26611,0
FHN_E.US,D,20201209,000000,27.8801,27.98,27.87,27.94,13628,0
FHN_E.US,D,20201210,000000,27.71,28.05,27.71,27.94,19959,0
FHN_E.US,D,20201211,000000,27.77,28,27.77,27.9,10908,0
FHN_E.US,D,20201214,000000,27.736,28.06,27.736,27.86,12314,0
FHN_E.US,D,20201215,000000,27.98,28.25,27.98,28.15,8692,0
FHN_E.US,D,20201216,000000,28.2,28.34,28.1277,28.22,7811,0
FHN_E.US,D,20201217,000000,28.14,28.45,28.1,28.33,17774,0
FHN_E.US,D,20201218,000000,28.15,28.41,28.1,28.41,10312,0
FHN_E.US,D,20201221,000000,28.35,28.35,27.9925,28.29,9801,0
FHN_E.US,D,20201222,000000,28.12,28.3,28.05,28.24,9270,0
FHN_E.US,D,20201223,000000,28.024,28.2,28,28.145,25198,0
FHN_E.US,D,20201224,000000,28.2,28.2,28.1,28.145,5295,0
FHN_E.US,D,20201228,000000,28.2,28.2,27.989,28.0402,8087,0
FHN_E.US,D,20201229,000000,28.08,28.12,28.07,28.12,7566,0
