<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GFOR-WS.US,D,20210715,000000,1.27,1.27,1.17,1.23,24308,0
GFOR-WS.US,D,20210716,000000,1.37,1.37,1.2,1.23,46736,0
GFOR-WS.US,D,20210719,000000,1.26,1.28,1.25,1.28,7451,0
GFOR-WS.US,D,20210720,000000,1.28,1.3,1.28,1.3,3600,0
GFOR-WS.US,D,20210721,000000,1.3,1.3,1.24,1.2999,2475,0
GFOR-WS.US,D,20210722,000000,1.31,1.3199,1.31,1.3199,1300,0
GFOR-WS.US,D,20210726,000000,1.25,1.25,1.25,1.25,104,0
GFOR-WS.US,D,20210727,000000,1.25,1.29,1.25,1.29,3600,0
GFOR-WS.US,D,20210729,000000,1.3,1.3456,1.3,1.3456,7500,0
GFOR-WS.US,D,20210804,000000,1.25,1.25,1.25,1.25,250,0
GFOR-WS.US,D,20210805,000000,1.25,1.25,1.25,1.25,8000,0
GFOR-WS.US,D,20210806,000000,1.25,1.25,1.08,1.17,35822,0
GFOR-WS.US,D,20210816,000000,1.1,1.1,1.1,1.1,1000,0
GFOR-WS.US,D,20210817,000000,1.03,1.13,1.03,1.1,24200,0
GFOR-WS.US,D,20210820,000000,1.12,1.12,1.11,1.12,8600,0
GFOR-WS.US,D,20210824,000000,1.02,1.04,1.0101,1.0101,310,0
GFOR-WS.US,D,20210826,000000,1.45,1.49,1.4,1.48,1376,0
GFOR-WS.US,D,20210827,000000,1.15,1.15,1.05,1.1,1302,0
GFOR-WS.US,D,20210830,000000,1.1,1.1,1.1,1.1,204,0
GFOR-WS.US,D,20210831,000000,1.22,1.22,1.05,1.1,24854,0
GFOR-WS.US,D,20210901,000000,1.0751,1.0751,1.0751,1.0751,150,0
GFOR-WS.US,D,20210908,000000,0.95,0.95,0.95,0.95,39996,0
GFOR-WS.US,D,20210909,000000,0.96,1.99,0.96,1.85,43177,0
GFOR-WS.US,D,20210910,000000,1.84,1.84,1.57,1.57,1179,0
GFOR-WS.US,D,20210913,000000,1.42,1.42,1.38,1.38,235,0
GFOR-WS.US,D,20210922,000000,1.27,1.27,1.19,1.2,1650,0
GFOR-WS.US,D,20210923,000000,1.28,1.28,1.28,1.28,100,0
GFOR-WS.US,D,20210930,000000,1.19,1.2,1.16,1.16,1703,0
GFOR-WS.US,D,20211001,000000,1.06,1.06,0.8701,0.97,20682,0
GFOR-WS.US,D,20211004,000000,0.92,0.92,0.9001,0.9001,2726,0
GFOR-WS.US,D,20211005,000000,0.8701,0.8701,0.8701,0.8701,100,0
GFOR-WS.US,D,20211007,000000,0.8701,0.8701,0.8699,0.87,1392,0
GFOR-WS.US,D,20211008,000000,0.92,0.92,0.92,0.92,100,0
GFOR-WS.US,D,20211011,000000,0.8502,0.8502,0.840025,0.840025,2100,0
GFOR-WS.US,D,20211012,000000,0.8401,0.8401,0.8401,0.8401,125,0
GFOR-WS.US,D,20211013,000000,0.8401,0.8401,0.84,0.84,1975,0
GFOR-WS.US,D,20211018,000000,0.8002,0.8003,0.8002,0.8003,600,0
GFOR-WS.US,D,20211019,000000,0.8001,0.8001,0.8,0.8,1668,0
GFOR-WS.US,D,20211020,000000,0.7902,0.7902,0.75,0.7501,10385,0
GFOR-WS.US,D,20211022,000000,0.8001,0.85,0.8,0.85,3600,0
GFOR-WS.US,D,20211027,000000,0.85,0.881361,0.85,0.881361,3123,0
GFOR-WS.US,D,20211028,000000,0.87271,0.87271,0.87271,0.87271,1000,0
GFOR-WS.US,D,20211102,000000,0.93,0.9773,0.93,0.9773,11861,0
GFOR-WS.US,D,20211109,000000,0.9801,1.06615,0.969,1.0175,6992,0
GFOR-WS.US,D,20211116,000000,1.13,1.13,1.05,1.09,1825,0
GFOR-WS.US,D,20211117,000000,0.9873,0.9873,0.9773,0.9773,500,0
GFOR-WS.US,D,20211118,000000,1.08,1.24,1.08,1.175,4768,0
GFOR-WS.US,D,20211126,000000,1.31,1.31,1.31,1.31,150,0
GFOR-WS.US,D,20211130,000000,1.24,1.24,1.19,1.19,300,0
GFOR-WS.US,D,20211209,000000,1.0501,1.0969,1.03,1.03,700,0
GFOR-WS.US,D,20211213,000000,1.15,1.26,1.15,1.255,17478,0
GFOR-WS.US,D,20211214,000000,1.4,1.5,1.4,1.46,5116,0
GFOR-WS.US,D,20211222,000000,1.64,1.65,1.48,1.48,4810,0
GFOR-WS.US,D,20211227,000000,1.39,1.39,1.3,1.3,270,0
GFOR-WS.US,D,20211231,000000,1.15,1.15,1.15,1.15,100,0
GFOR-WS.US,D,20220106,000000,1.02,1.02,1.02,1.02,100,0
GFOR-WS.US,D,20220110,000000,1.14,1.14,1.14,1.14,209,0
GFOR-WS.US,D,20220112,000000,1.145,1.145,1.145,1.145,150,0
GFOR-WS.US,D,20220113,000000,1.03,1.0655,1.03,1.0655,300,0
GFOR-WS.US,D,20220114,000000,1.15,1.15,1.11,1.11,4050,0
GFOR-WS.US,D,20220118,000000,1.11,1.11,1.1,1.1,2630,0
GFOR-WS.US,D,20220119,000000,1.11,1.11,1.08,1.08,1527,0
GFOR-WS.US,D,20220124,000000,0.9505,0.9567,0.9505,0.9506,502,0
GFOR-WS.US,D,20220127,000000,0.7131,0.7158,0.71,0.71,9902,0
GFOR-WS.US,D,20220128,000000,0.67,0.69,0.6591,0.6591,12741,0
GFOR-WS.US,D,20220131,000000,0.7381,0.7883,0.6847,0.7883,8601,0
GFOR-WS.US,D,20220202,000000,0.8464,0.8464,0.8464,0.8464,100,0
GFOR-WS.US,D,20220210,000000,0.93,0.93,0.93,0.93,300,0
GFOR-WS.US,D,20220217,000000,0.8184,0.8184,0.8184,0.8184,227,0
GFOR-WS.US,D,20220222,000000,0.7202,0.721181,0.7202,0.721181,200,0
GFOR-WS.US,D,20220301,000000,0.6799,0.7,0.6414,0.6414,5980,0
GFOR-WS.US,D,20220302,000000,0.49,0.49,0.4531,0.49,677,0
GFOR-WS.US,D,20220303,000000,0.38445,0.6683,0.2201,0.628401,7237,0
GFOR-WS.US,D,20220307,000000,0.5531,0.5531,0.5499,0.5499,800,0
GFOR-WS.US,D,20220308,000000,0.6029,0.6029,0.6029,0.6029,200,0
GFOR-WS.US,D,20220316,000000,0.602849,0.6954,0.602849,0.6954,2800,0
GFOR-WS.US,D,20220329,000000,0.607332,0.607332,0.6067,0.6067,2300,0
GFOR-WS.US,D,20220405,000000,0.5339,0.537538,0.5,0.5297,9200,0
GFOR-WS.US,D,20220413,000000,0.5,0.53,0.5,0.53,4000,0
GFOR-WS.US,D,20220418,000000,0.5,0.500101,0.5,0.500101,14450,0
GFOR-WS.US,D,20220421,000000,0.5,0.5,0.5,0.5,20000,0
GFOR-WS.US,D,20220427,000000,0.53,0.53,0.53,0.53,3540,0
GFOR-WS.US,D,20220429,000000,0.5353,0.673,0.5,0.5956,28995,0
GFOR-WS.US,D,20220502,000000,0.53,0.6389,0.501,0.5391,9522,0
GFOR-WS.US,D,20220503,000000,0.5826,0.5826,0.4606,0.4606,2303,0
GFOR-WS.US,D,20220504,000000,0.4113,0.5036,0.4113,0.475,2857,0
GFOR-WS.US,D,20220505,000000,0.35,0.597,0.35,0.445,4101,0
GFOR-WS.US,D,20220509,000000,0.3605,0.521,0.35,0.37,8528,0
GFOR-WS.US,D,20220510,000000,0.3401,0.3401,0.3401,0.3401,2000,0
GFOR-WS.US,D,20220513,000000,0.2586,0.4462,0.2586,0.3372,5717,0
GFOR-WS.US,D,20220516,000000,0.25,0.4199,0.25,0.3475,4517,0
GFOR-WS.US,D,20220517,000000,0.267,0.4,0.267,0.33,6702,0
GFOR-WS.US,D,20220518,000000,0.244,0.388,0.244,0.3829,10997,0
GFOR-WS.US,D,20220523,000000,0.3977,0.3977,0.3977,0.3977,106,0
GFOR-WS.US,D,20220602,000000,0.174,0.31,0.174,0.2899,10372,0
GFOR-WS.US,D,20220603,000000,0.31,0.31,0.26,0.2764,2002,0
GFOR-WS.US,D,20220607,000000,0.2571,0.2571,0.2493,0.2493,200,0
GFOR-WS.US,D,20220615,000000,0.2194,0.2194,0.2128,0.2128,349,0
GFOR-WS.US,D,20220624,000000,0.17,0.2086,0.17,0.2086,15785,0
GFOR-WS.US,D,20220630,000000,0.26,0.2649,0.26,0.26,900,0
GFOR-WS.US,D,20220712,000000,0.234,0.234,0.2167,0.2167,366,0
GFOR-WS.US,D,20220726,000000,0.2167,0.2167,0.2167,0.2167,10000,0
GFOR-WS.US,D,20220802,000000,0.191,0.1915,0.1907,0.1907,1500,0
GFOR-WS.US,D,20220815,000000,0.1703,0.18495,0.1416,0.179,11744,0
GFOR-WS.US,D,20220816,000000,0.16,0.16,0.16,0.16,74829,0
GFOR-WS.US,D,20220817,000000,0.16,0.16,0.16,0.16,400,0
GFOR-WS.US,D,20220823,000000,0.16,0.16,0.16,0.16,1000,0
GFOR-WS.US,D,20220825,000000,0.165,0.212202,0.165,0.17,5725,0
GFOR-WS.US,D,20220826,000000,0.17,0.17,0.17,0.17,735,0
GFOR-WS.US,D,20220829,000000,0.17,0.175,0.17,0.17,1793,0
GFOR-WS.US,D,20220830,000000,0.1701,0.1701,0.1701,0.1701,200,0
GFOR-WS.US,D,20220831,000000,0.1701,0.1701,0.1701,0.1701,640,0
GFOR-WS.US,D,20220901,000000,0.1701,0.1701,0.17,0.1701,500,0
GFOR-WS.US,D,20220907,000000,0.17,0.17,0.17,0.17,9000,0
