<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HIPO-WS.US,D,20210804,000000,1.6,1.68,1.56,1.56,22098,0
HIPO-WS.US,D,20210805,000000,1.37,1.63,1.07,1.4,88426,0
HIPO-WS.US,D,20210806,000000,1.4001,1.51,1.3,1.43,50049,0
HIPO-WS.US,D,20210809,000000,1.7,1.7,1.49,1.5,5430,0
HIPO-WS.US,D,20210810,000000,1.3201,1.35,1.21,1.27,13185,0
HIPO-WS.US,D,20210811,000000,1.17,1.2026,1.06,1.08,54296,0
HIPO-WS.US,D,20210812,000000,1.19,1.21,1.04,1.07,20597,0
HIPO-WS.US,D,20210813,000000,1.15,1.15,1.01,1.05,15935,0
HIPO-WS.US,D,20210816,000000,1.15,1.15,1.05,1.05,14812,0
HIPO-WS.US,D,20210817,000000,1,1,0.839999,0.964999,106875,0
HIPO-WS.US,D,20210818,000000,1.02,1.02,0.8492,0.995,203590,0
HIPO-WS.US,D,20210819,000000,0.8802,0.9,0.8,0.875,37808,0
HIPO-WS.US,D,20210820,000000,0.95,0.9799,0.82,0.82,120364,0
HIPO-WS.US,D,20210823,000000,0.84,0.87,0.82,0.85,50576,0
HIPO-WS.US,D,20210824,000000,0.9,0.95,0.77,0.9401,36522,0
HIPO-WS.US,D,20210825,000000,0.985,0.985,0.812,0.822,108197,0
HIPO-WS.US,D,20210826,000000,0.81,0.85,0.799,0.81,21206,0
HIPO-WS.US,D,20210827,000000,0.81,0.9072,0.81,0.9072,4064,0
HIPO-WS.US,D,20210830,000000,0.8243,0.924099,0.8243,0.877599,11826,0
HIPO-WS.US,D,20210831,000000,0.835,0.85,0.8202,0.8202,19578,0
HIPO-WS.US,D,20210901,000000,0.9,0.9,0.89,0.895051,13932,0
HIPO-WS.US,D,20210902,000000,0.8501,0.949699,0.8501,0.9201,25303,0
HIPO-WS.US,D,20210903,000000,0.95,0.97,0.9002,0.95,55910,0
HIPO-WS.US,D,20210907,000000,1.06,1.35,1.06,1.1601,184732,0
HIPO-WS.US,D,20210908,000000,1.2401,1.2401,1.1,1.21,27518,0
HIPO-WS.US,D,20210909,000000,1.13,1.385,1.13,1.22,54336,0
HIPO-WS.US,D,20210910,000000,1.11,1.15,1.05,1.1499,38798,0
HIPO-WS.US,D,20210913,000000,1.04,1.15,1.04,1.13,6121,0
HIPO-WS.US,D,20210914,000000,1.0627,1.15,1.04,1.04,20841,0
HIPO-WS.US,D,20210915,000000,1.1,1.1,1,1,26161,0
HIPO-WS.US,D,20210916,000000,1.045,1.045,0.8902,0.8902,37985,0
HIPO-WS.US,D,20210917,000000,0.996699,0.996699,0.9,0.9599,35525,0
HIPO-WS.US,D,20210920,000000,0.94,1.05,0.87,0.96,56042,0
HIPO-WS.US,D,20210922,000000,0.99,1,0.9801,1,14746,0
HIPO-WS.US,D,20210923,000000,1.0501,1.0501,1.03,1.03,3684,0
HIPO-WS.US,D,20210924,000000,1.04,1.05,0.9802,1.04,24650,0
HIPO-WS.US,D,20210927,000000,1.0399,1.0399,1,1,1876,0
HIPO-WS.US,D,20210928,000000,0.9601,1.02,0.96,1.007,18050,0
HIPO-WS.US,D,20210929,000000,0.9554,0.97,0.9109,0.9303,16142,0
HIPO-WS.US,D,20210930,000000,0.95,0.9751,0.9202,0.9203,75642,0
HIPO-WS.US,D,20211001,000000,0.8601,0.9099,0.86,0.88,7650,0
HIPO-WS.US,D,20211004,000000,0.8801,0.8801,0.8211,0.8211,8022,0
HIPO-WS.US,D,20211005,000000,0.8798,0.8798,0.8401,0.8401,1235,0
HIPO-WS.US,D,20211006,000000,0.8301,0.8301,0.7702,0.7711,65236,0
HIPO-WS.US,D,20211007,000000,0.84,0.84,0.711,0.77,29749,0
HIPO-WS.US,D,20211008,000000,0.8623,1.04,0.81,0.81,82643,0
HIPO-WS.US,D,20211011,000000,0.93,0.95,0.93,0.93,17958,0
HIPO-WS.US,D,20211012,000000,0.9299,0.93,0.8799,0.88,3901,0
HIPO-WS.US,D,20211013,000000,0.9599,0.9599,0.9001,0.9002,7376,0
HIPO-WS.US,D,20211014,000000,0.8901,0.9298,0.81,0.8534,243121,0
HIPO-WS.US,D,20211015,000000,0.7766,0.8799,0.7766,0.83,15380,0
HIPO-WS.US,D,20211018,000000,0.75,0.829799,0.75,0.7901,1920,0
HIPO-WS.US,D,20211019,000000,0.75,0.830101,0.75,0.83,14536,0
HIPO-WS.US,D,20211021,000000,0.8005,0.85,0.74,0.82,46621,0
HIPO-WS.US,D,20211022,000000,0.800001,0.800001,0.8,0.8,685,0
HIPO-WS.US,D,20211025,000000,0.7501,0.785,0.6876,0.7848,14194,0
HIPO-WS.US,D,20211026,000000,0.79,0.79005,0.7601,0.78,9901,0
HIPO-WS.US,D,20211027,000000,0.85,0.85,0.82,0.83,17583,0
HIPO-WS.US,D,20211028,000000,0.8,0.801,0.8,0.8,22336,0
HIPO-WS.US,D,20211029,000000,0.8,0.847799,0.8,0.8002,11421,0
HIPO-WS.US,D,20211101,000000,0.800101,0.800101,0.7701,0.8,6030,0
HIPO-WS.US,D,20211102,000000,0.77,0.8199,0.77,0.8199,9301,0
HIPO-WS.US,D,20211103,000000,0.7954,0.817916,0.771,0.8,4545,0
HIPO-WS.US,D,20211104,000000,0.799301,0.85,0.799301,0.8,17746,0
HIPO-WS.US,D,20211105,000000,0.7873,0.820709,0.7224,0.748776,19226,0
HIPO-WS.US,D,20211108,000000,0.7112,0.765,0.7112,0.76,18087,0
HIPO-WS.US,D,20211109,000000,0.749899,0.75,0.715,0.7399,17747,0
HIPO-WS.US,D,20211110,000000,0.8,0.8186,0.7,0.75,13142,0
HIPO-WS.US,D,20211111,000000,0.7001,0.7714,0.7,0.7714,9866,0
HIPO-WS.US,D,20211112,000000,0.7214,0.73,0.7,0.7198,19112,0
HIPO-WS.US,D,20211115,000000,0.7,0.7,0.63,0.63,81827,0
HIPO-WS.US,D,20211116,000000,0.7,0.7016,0.5701,0.5702,114750,0
HIPO-WS.US,D,20211117,000000,0.591,0.6098,0.53,0.5897,73579,0
HIPO-WS.US,D,20211118,000000,0.5997,0.5997,0.51,0.55,25379,0
HIPO-WS.US,D,20211119,000000,0.64,0.7198,0.5,0.66,44979,0
HIPO-WS.US,D,20211122,000000,0.69,0.69,0.6399,0.65,46326,0
HIPO-WS.US,D,20211123,000000,0.75,0.75,0.51,0.7,23864,0
HIPO-WS.US,D,20211124,000000,0.7,0.7,0.6178,0.6701,31693,0
HIPO-WS.US,D,20211126,000000,0.82,0.8299,0.67,0.68,23716,0
