<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HLGN.US,D,20220103,000000,16,16.31,12.8,13.57,1817310,0
HLGN.US,D,20220104,000000,12.53,12.53,9.63,10.3,2633116,0
HLGN.US,D,20220105,000000,10.01,10.3,9.71,9.76,752575,0
HLGN.US,D,20220106,000000,9.65,9.79,7.56,7.88,996213,0
HLGN.US,D,20220107,000000,8.02,8.25,6.7,6.93,833310,0
HLGN.US,D,20220110,000000,7,7.06,6.01,6.39,825862,0
HLGN.US,D,20220111,000000,6.45,6.675,5.78,6.33,1073999,0
HLGN.US,D,20220112,000000,5.89,6.3689,5.89,6.05,630612,0
HLGN.US,D,20220113,000000,6.02,6.19,5.25,5.28,760859,0
HLGN.US,D,20220114,000000,5.24,5.24,4.6,4.76,949096,0
HLGN.US,D,20220118,000000,4.79,4.8,4.42,4.61,474534,0
HLGN.US,D,20220119,000000,4.58,4.71,4.25,4.37,448646,0
HLGN.US,D,20220120,000000,4.39,4.7,3.74,4.08,1342112,0
HLGN.US,D,20220121,000000,4,4.01,3.39,3.6,1436175,0
HLGN.US,D,20220124,000000,3.58,3.7,3.35,3.41,781382,0
HLGN.US,D,20220125,000000,3.45,3.69,3.17,3.63,1259034,0
HLGN.US,D,20220126,000000,3.75,3.8,3.17,3.25,1640016,0
HLGN.US,D,20220127,000000,3.36,3.38,3.17,3.3,495899,0
HLGN.US,D,20220128,000000,3.25,3.37,3.12,3.35,610898,0
HLGN.US,D,20220131,000000,3.37,3.56,3.28,3.42,719298,0
HLGN.US,D,20220201,000000,3.38,3.61,3.3,3.55,413268,0
HLGN.US,D,20220202,000000,3.63,3.88,3.45,3.84,735725,0
HLGN.US,D,20220203,000000,3.75,3.94,3.63,3.74,305177,0
HLGN.US,D,20220204,000000,3.78,4.08,3.65,3.92,797632,0
HLGN.US,D,20220207,000000,4,4.22,3.83,3.88,860069,0
HLGN.US,D,20220208,000000,3.82,4.18,3.75,4.16,458019,0
HLGN.US,D,20220209,000000,4.2,4.99,4.17,4.85,932270,0
HLGN.US,D,20220210,000000,4.68,5.26,4.62,5.12,1037674,0
HLGN.US,D,20220211,000000,5.13,5.1999,4.77,4.77,618217,0
HLGN.US,D,20220214,000000,4.74,4.97,4.61,4.69,398770,0
HLGN.US,D,20220215,000000,4.8,5.19,4.8,5.02,659370,0
HLGN.US,D,20220216,000000,4.98,5.1899,4.83,4.86,271809,0
HLGN.US,D,20220217,000000,4.84,5.1,4.84,4.93,234754,0
HLGN.US,D,20220218,000000,4.97,5.04,4.2611,4.32,461500,0
HLGN.US,D,20220222,000000,4.2,4.4237,4.05,4.07,318405,0
HLGN.US,D,20220223,000000,4.13,4.2487,4,4.06,407763,0
HLGN.US,D,20220224,000000,3.85,4.47,3.75,4.45,570599,0
HLGN.US,D,20220225,000000,4.51,5.52,4.51,5.37,829207,0
HLGN.US,D,20220228,000000,5.17,5.9245,5.11,5.66,832961,0
HLGN.US,D,20220301,000000,5.64,6.1,5.48,5.89,633273,0
HLGN.US,D,20220302,000000,5.94,6.119,5.33,5.52,566122,0
HLGN.US,D,20220303,000000,5.51,6.63,5.51,6.32,760966,0
HLGN.US,D,20220304,000000,6.27,6.4,5.8,5.94,487946,0
HLGN.US,D,20220307,000000,6.01,6.1,4.83,4.95,912283,0
HLGN.US,D,20220308,000000,5.05,5.18,4.8612,5.01,1027956,0
HLGN.US,D,20220309,000000,5.21,5.21,4.91,5.04,886135,0
HLGN.US,D,20220310,000000,4.9,5.16,4.88,5.11,539470,0
HLGN.US,D,20220311,000000,5.12,5.735,5.12,5.38,668573,0
HLGN.US,D,20220314,000000,5.25,5.48,4.55,4.66,635760,0
