<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IH.US,D,20201009,000000,12.12,16.29,12.12,16,4575200,0
IH.US,D,20201012,000000,15.82,25,15.68,22.44,2881273,0
IH.US,D,20201013,000000,21.11,28.74,21.11,27.15,3022213,0
IH.US,D,20201014,000000,27.3,29,25,26.09,1365689,0
IH.US,D,20201015,000000,25.19,26,23,23.14,521681,0
IH.US,D,20201016,000000,24.44,26.95,24.21,24.78,318542,0
IH.US,D,20201019,000000,25,25,21.8,23.75,300520,0
IH.US,D,20201020,000000,22.85,23,20.5806,21.02,257056,0
IH.US,D,20201021,000000,20.32,20.4,16.065,16.63,963664,0
IH.US,D,20201022,000000,17.41,19.96,17.4,19.88,586888,0
IH.US,D,20201023,000000,19.2,20.88,18.2945,19,194225,0
IH.US,D,20201026,000000,18.37,18.8259,18.06,18.19,108230,0
IH.US,D,20201027,000000,18.21,18.97,18.05,18.08,119296,0
IH.US,D,20201028,000000,17.98,18.88,17.6,18.8,158070,0
IH.US,D,20201029,000000,19.07,19.45,18.3227,18.57,101733,0
IH.US,D,20201030,000000,18.2,18.525,17.8,17.96,106432,0
IH.US,D,20201102,000000,17.985,18.9,17.93,18.9,105265,0
IH.US,D,20201103,000000,18.8,20.9,18.7,20.35,138274,0
IH.US,D,20201104,000000,20.96,21.6,20.51,21.55,96362,0
IH.US,D,20201105,000000,21.99,22.4,20,20.53,84872,0
IH.US,D,20201106,000000,20.41,21.7,20.2,21.68,60023,0
IH.US,D,20201109,000000,21.5,22.5,20.22,20.39,101596,0
IH.US,D,20201110,000000,20.39,21.31,20.3,20.79,62640,0
IH.US,D,20201111,000000,20.94,24,20.94,23.64,166499,0
IH.US,D,20201112,000000,22.86,24.73,22.68,24.08,104692,0
IH.US,D,20201113,000000,23.95,24.5,23.85,24.14,61622,0
IH.US,D,20201116,000000,24.2,24.77,24.2,24.3,34422,0
IH.US,D,20201117,000000,24.3,24.3,22.8,23.1,46697,0
IH.US,D,20201118,000000,23.61,23.847,22.7,23.2,54826,0
IH.US,D,20201119,000000,23.56,24,23,23.55,81686,0
IH.US,D,20201120,000000,24.07,25.8,23.16,25.8,134124,0
IH.US,D,20201123,000000,26.5,30.49,26.375,29.86,198604,0
IH.US,D,20201124,000000,30.99,31.5828,24.21,26.3,170570,0
IH.US,D,20201125,000000,26.47,29.231,26.47,28.65,95138,0
IH.US,D,20201127,000000,28.74,30,28.35,28.91,69039,0
IH.US,D,20201130,000000,29.58,29.58,26.4,28,70628,0
IH.US,D,20201201,000000,27.88,28.49,26.71,27.89,118785,0
IH.US,D,20201202,000000,24.9,26,22.74,25.3,155133,0
IH.US,D,20201203,000000,25,25.3,22,22.59,286964,0
IH.US,D,20201204,000000,22.27,24,21.4521,23.23,77123,0
IH.US,D,20201207,000000,23.15,23.86,22.88,22.9,49981,0
IH.US,D,20201208,000000,22.9,24.55,22.85,24.21,54714,0
IH.US,D,20201209,000000,24.49,25.48,24.04,24.27,73432,0
IH.US,D,20201210,000000,24.27,24.27,23.01,23.42,48243,0
IH.US,D,20201211,000000,23.41,23.5989,22.56,22.77,24628,0
IH.US,D,20201214,000000,22.77,23,21,21.21,71275,0
IH.US,D,20201215,000000,21.25,21.8899,19.62,21.06,104638,0
IH.US,D,20201216,000000,21.23,21.7435,20.01,20.38,36823,0
IH.US,D,20201217,000000,20.45,21.56,20.45,21.24,39068,0
IH.US,D,20201218,000000,21.14,22.953,21.14,22.3,43553,0
IH.US,D,20201221,000000,22.3,23.5,21.35,23.16,40684,0
IH.US,D,20201222,000000,23,23,20.49,21.15,56853,0
IH.US,D,20201223,000000,21.9,22.4,21.55,21.88,22684,0
IH.US,D,20201224,000000,21.83,21.97,20,20.31,34207,0
IH.US,D,20201228,000000,20.5,20.94,18.2,18.83,124613,0
IH.US,D,20201229,000000,19.29,19.47,18.83,19,70496,0
IH.US,D,20201230,000000,19,19.3472,18.31,18.48,78253,0
IH.US,D,20201231,000000,18.7,19.34,17.56,18.12,62433,0
IH.US,D,20210104,000000,18.96,18.96,17.5,17.9,54089,0
IH.US,D,20210105,000000,17.9,18.7993,17.48,18.61,41185,0
IH.US,D,20210106,000000,18.99,20.4,18.43,19.47,55193,0
IH.US,D,20210107,000000,19.47,21.09,19.09,20.62,83690,0
IH.US,D,20210108,000000,21.19,21.19,19.51,20.18,50927,0
IH.US,D,20210111,000000,19.27,20.2,18.34,18.83,127867,0
IH.US,D,20210112,000000,18.95,19.3925,18.0601,18.32,75941,0
IH.US,D,20210113,000000,18.26,18.88,18.01,18.24,65858,0
IH.US,D,20210114,000000,18.2,18.99,18.2,18.8,111932,0
IH.US,D,20210115,000000,18.61,18.995,18.01,18.38,85122,0
IH.US,D,20210119,000000,18.87,19.45,18,18,102853,0
IH.US,D,20210120,000000,18.37,19.79,18.37,19.45,157408,0
IH.US,D,20210121,000000,20.67,20.97,20,20.58,150965,0
IH.US,D,20210122,000000,20.27,23.95,20,22.84,252355,0
IH.US,D,20210125,000000,22.91,24.5,21.1001,21.51,189196,0
IH.US,D,20210126,000000,21.37,21.89,20.3,20.87,111177,0
IH.US,D,20210127,000000,20.74,20.86,19.2414,19.84,68685,0
IH.US,D,20210128,000000,19,19.75,18.88,19.04,106539,0
IH.US,D,20210129,000000,19.12,19.84,18,18.44,144704,0
IH.US,D,20210201,000000,18.84,19.9899,18.2,19.2,134547,0
IH.US,D,20210202,000000,19.58,19.8499,18.5,19,50412,0
IH.US,D,20210203,000000,18.98,19.04,18.56,18.71,53988,0
IH.US,D,20210204,000000,18.85,19.34,18.2,18.93,81405,0
IH.US,D,20210205,000000,19.5,19.52,18.72,19.13,71054,0
IH.US,D,20210208,000000,19.5,19.5,18.48,19.2,81361,0
IH.US,D,20210209,000000,19.3,19.45,18.76,19.15,135880,0
IH.US,D,20210210,000000,19.32,19.45,18.5,18.88,106252,0
IH.US,D,20210211,000000,19.14,22.25,18.67,21.97,227239,0
IH.US,D,20210212,000000,21.7,21.82,21.1,21.36,101506,0
IH.US,D,20210216,000000,21.51,22.0362,20.3,21.4,235150,0
IH.US,D,20210217,000000,21.19,21.56,19.25,20.17,162776,0
IH.US,D,20210218,000000,19.77,20.08,19.23,19.76,127268,0
IH.US,D,20210219,000000,19.99,20.25,19.1,19.79,72904,0
IH.US,D,20210222,000000,19.39,19.39,17.92,18.1,153817,0
IH.US,D,20210223,000000,17.8,17.97,17,17.79,96131,0
IH.US,D,20210224,000000,18,18.39,17.52,18.1,54057,0
IH.US,D,20210225,000000,18.18,19.18,18,18.5,158969,0
IH.US,D,20210226,000000,18,18.77,17.41,18.5,206107,0
IH.US,D,20210301,000000,19,19.21,17.6,18.3,126177,0
IH.US,D,20210302,000000,18.59,18.59,17.58,17.84,54114,0
IH.US,D,20210303,000000,18.04,18.04,17.27,17.56,86909,0
IH.US,D,20210304,000000,17.5,17.555,15.19,16.2,158066,0
IH.US,D,20210305,000000,15.74,16.4962,14.6601,15.09,107891,0
IH.US,D,20210308,000000,15.09,15.3,13.53,13.75,114330,0
IH.US,D,20210309,000000,14.32,14.965,13.88,14.75,60584,0
IH.US,D,20210310,000000,14.75,15.99,14.75,14.87,68078,0
IH.US,D,20210311,000000,14.88,15.63,14.8,15.02,45717,0
IH.US,D,20210312,000000,15,16.4565,14.8,15.92,49622,0
IH.US,D,20210315,000000,16.5,16.88,15.06,15.14,47750,0
IH.US,D,20210316,000000,15.26,16.28,14.55,15.45,77558,0
IH.US,D,20210317,000000,15.12,15.3,14.8,15.1,33646,0
IH.US,D,20210318,000000,14.78,15.156,14.3001,14.6,39061,0
IH.US,D,20210319,000000,14.59,15.4,14.59,15.36,39146,0
IH.US,D,20210322,000000,15.42,15.5858,14.43,14.43,52686,0
IH.US,D,20210323,000000,14.8,15.28,14.26,14.54,137147,0
IH.US,D,20210324,000000,14.79,15.09,13.6,13.86,148538,0
IH.US,D,20210325,000000,13.85,14.2,12.51,13.58,363448,0
IH.US,D,20210326,000000,13.68,13.98,12.13,12.8,288732,0
IH.US,D,20210329,000000,12.54,12.65,11.08,11.11,234533,0
IH.US,D,20210330,000000,11.44,11.56,10.53,11.37,130781,0
IH.US,D,20210331,000000,11.42,12.73,11.3,12.51,90688,0
IH.US,D,20210401,000000,13.08,13.49,12.41,13.42,202596,0
IH.US,D,20210405,000000,13.49,13.49,12.52,12.52,78603,0
IH.US,D,20210406,000000,12.4,12.93,12.133,12.79,46608,0
IH.US,D,20210407,000000,12.69,12.76,12.19,12.19,27074,0
IH.US,D,20210408,000000,12.19,12.51,12.155,12.37,120182,0
IH.US,D,20210409,000000,12.34,12.415,11.7201,12.18,30837,0
IH.US,D,20210412,000000,12.1,12.61,11.9,11.95,47084,0
IH.US,D,20210413,000000,12.02,12.22,11.57,11.9,26341,0
IH.US,D,20210414,000000,11.98,12.3,11.85,12.2,42891,0
IH.US,D,20210415,000000,12.26,12.415,11.82,12.13,27211,0
IH.US,D,20210416,000000,12.06,12.33,12.02,12.13,28796,0
IH.US,D,20210419,000000,12.08,12.69,12.08,12.3,114745,0
IH.US,D,20210420,000000,12.26,12.51,11.8759,12.16,10874,0
IH.US,D,20210421,000000,12.14,13.77,11.975,12.98,66820,0
IH.US,D,20210422,000000,13.4,13.4,12.13,12.51,21638,0
IH.US,D,20210423,000000,12.35,12.735,11.97,12.1,27095,0
IH.US,D,20210426,000000,12.1,14.9999,12.04,14.05,143303,0
IH.US,D,20210427,000000,14,14,12.3437,12.46,83129,0
IH.US,D,20210428,000000,12.8,13.3,12.5,12.78,60573,0
IH.US,D,20210429,000000,12.88,13.49,12,13.4,90846,0
IH.US,D,20210430,000000,12.9,13.38,12.52,12.8,101312,0
IH.US,D,20210503,000000,12.85,12.85,12.51,12.59,15371,0
IH.US,D,20210504,000000,12.51,12.6,12,12.59,47190,0
IH.US,D,20210505,000000,12.5,12.5,11.68,11.68,14338,0
IH.US,D,20210506,000000,11.66,11.79,10.99,11.23,62339,0
IH.US,D,20210507,000000,11.29,11.7599,11.21,11.41,11681,0
IH.US,D,20210510,000000,11.36,11.7,10.79,11.57,67893,0
IH.US,D,20210511,000000,10.97,11.57,10.97,11.49,51557,0
IH.US,D,20210512,000000,11.25,11.26,10.61,10.79,25085,0
IH.US,D,20210513,000000,10.75,11.18,9.69,10.04,57092,0
IH.US,D,20210514,000000,10,10.82,9.5,9.6,118467,0
IH.US,D,20210517,000000,9.86,10,9.54,9.56,43923,0
IH.US,D,20210518,000000,9.73,10,9.6327,9.76,60131,0
IH.US,D,20210519,000000,9.85,10,9.8,10,29481,0
IH.US,D,20210520,000000,9.86,10.43,9.7,10.43,31039,0
IH.US,D,20210521,000000,10.5,10.5,10,10.17,39391,0
IH.US,D,20210524,000000,10,10,9.11,9.16,80244,0
IH.US,D,20210525,000000,9.34,9.5,9.18,9.27,38574,0
IH.US,D,20210526,000000,9.4,9.5,8.94,9.43,29476,0
IH.US,D,20210527,000000,9.3,9.5,9.15,9.49,51952,0
IH.US,D,20210528,000000,9.39,9.5,8.95,8.96,148241,0
IH.US,D,20210601,000000,9.19,9.49,9.05,9.22,146921,0
IH.US,D,20210602,000000,9.14,9.28,9,9.16,229270,0
IH.US,D,20210603,000000,9.01,9.28,8.98,9,92594,0
IH.US,D,20210604,000000,9,9.83,8.98,9.6,76955,0
IH.US,D,20210607,000000,9.68,10.8,9.47,10.67,39252,0
IH.US,D,20210608,000000,10.28,10.5,9.8,10.5,64762,0
IH.US,D,20210609,000000,10.29,11.7699,10.16,11.27,165789,0
IH.US,D,20210610,000000,11.465,11.685,10.05,10.19,82281,0
IH.US,D,20210611,000000,10.17,10.415,10.02,10.24,16539,0
IH.US,D,20210614,000000,10.19,10.88,10.19,10.79,36496,0
IH.US,D,20210615,000000,10.8299,10.83,9.7,9.8,32116,0
IH.US,D,20210616,000000,9.8,9.96,9.5001,9.81,21227,0
IH.US,D,20210617,000000,9.7,10.78,9.7,10.18,45149,0
IH.US,D,20210618,000000,10.18,10.65,9.85,10.36,10801,0
IH.US,D,20210621,000000,10.01,10.33,9.75,10.28,20618,0
IH.US,D,20210622,000000,10.15,10.4,9.8,9.81,20370,0
IH.US,D,20210623,000000,10.13,10.15,9.74,10.04,16171,0
IH.US,D,20210624,000000,10,10.48,9.6197,10.27,28893,0
IH.US,D,20210625,000000,10.47,10.47,9.66,9.85,21376,0
IH.US,D,20210628,000000,9.85,10.16,9.66,9.9,93555,0
IH.US,D,20210629,000000,9.81,10.5,9.72,10.4,24320,0
IH.US,D,20210630,000000,10.25,10.49,9.9686,10.34,4673,0
IH.US,D,20210701,000000,10.34,10.85,10.23,10.7,34976,0
IH.US,D,20210702,000000,10.6,10.7,10.1138,10.26,8625,0
IH.US,D,20210706,000000,10.31,10.5,10.1,10.47,19916,0
IH.US,D,20210707,000000,10.66,10.66,9.91,10.3,39069,0
IH.US,D,20210708,000000,10.1,10.3,9.9,9.98,22109,0
IH.US,D,20210709,000000,9.91,10.6502,9.91,10.41,8177,0
IH.US,D,20210712,000000,10.38,11.5,10.2,11.15,39111,0
IH.US,D,20210713,000000,11.15,11.15,10.22,10.74,24487,0
IH.US,D,20210714,000000,10.475,10.475,9.7,10,94115,0
IH.US,D,20210715,000000,10,10.28,10,10.28,8198,0
IH.US,D,20210716,000000,10.36,10.73,10.03,10.13,14961,0
IH.US,D,20210719,000000,10.03,10.0716,9.85,9.95,9896,0
IH.US,D,20210720,000000,9.85,10.12,9.85,10.06,10449,0
IH.US,D,20210721,000000,9.94,10.49,9.94,10.49,6047,0
IH.US,D,20210722,000000,10.1,10.49,10.1,10.49,10394,0
IH.US,D,20210723,000000,7.89,8.46,7.1,8.25,195722,0
IH.US,D,20210726,000000,7.27,7.5,6.31,6.8,206531,0
IH.US,D,20210727,000000,6.82,6.9446,6.28,6.41,135212,0
IH.US,D,20210728,000000,6.84,7.18,6.47,6.75,89576,0
IH.US,D,20210729,000000,6.94,6.94,6.7,6.76,60687,0
IH.US,D,20210730,000000,6.6175,6.99,6.6175,6.84,72128,0
IH.US,D,20210802,000000,7,7.68,6.56,7.17,114526,0
IH.US,D,20210803,000000,7.25,7.658,6.9417,7.42,47424,0
IH.US,D,20210804,000000,7.5,7.82,7.5,7.62,63626,0
IH.US,D,20210805,000000,7.61,7.97,7.61,7.9,54728,0
IH.US,D,20210806,000000,7.93,7.96,7.535,7.95,34662,0
IH.US,D,20210809,000000,8,8.11,7.89,7.91,20909,0
IH.US,D,20210810,000000,7.98,8.16,7.87,8,31873,0
IH.US,D,20210811,000000,7.94,7.95,7.8448,7.8836,23376,0
IH.US,D,20210812,000000,7.85,7.94,7.26,7.26,42748,0
IH.US,D,20210813,000000,7.39,7.67,7.1555,7.43,31778,0
IH.US,D,20210816,000000,7.29,7.375,6.9,7.35,16268,0
IH.US,D,20210817,000000,7,7.2499,6.66,6.91,68598,0
IH.US,D,20210818,000000,6.93,7.08,6.24,6.24,56168,0
IH.US,D,20210819,000000,6.21,6.55,5.71,5.98,74624,0
IH.US,D,20210820,000000,5.6,6.68,5.6,6.61,45775,0
IH.US,D,20210823,000000,6.76,6.96,6.51,6.59,14898,0
IH.US,D,20210824,000000,6.89,7,6.66,7,41384,0
IH.US,D,20210825,000000,7.125,7.13,6.94,7.13,20309,0
IH.US,D,20210826,000000,7.13,7.14,6.91,7.06,15352,0
IH.US,D,20210827,000000,7.07,7.12,6.73,6.73,17515,0
IH.US,D,20210830,000000,6.84,6.94,6.62,6.82,15111,0
IH.US,D,20210831,000000,6.87,6.94,6.7007,6.86,10463,0
IH.US,D,20210901,000000,6.86,7.0299,6.86,6.95,6999,0
IH.US,D,20210902,000000,6.93,7.14,6.92,7.06,13312,0
IH.US,D,20210903,000000,7.08,7.2773,6.61,6.61,73153,0
IH.US,D,20210907,000000,6.75,7.05,6.75,7.02,28664,0
IH.US,D,20210908,000000,6.85,6.95,6.701,6.79,4439,0
IH.US,D,20210909,000000,6.66,6.93,6.66,6.795,4402,0
IH.US,D,20210910,000000,6.7123,6.84,6.61,6.7225,14366,0
IH.US,D,20210913,000000,6.614,6.71,6.51,6.67,4888,0
IH.US,D,20210914,000000,6.6,7.1799,6.51,6.53,50451,0
IH.US,D,20210915,000000,6.5,6.56,6.18,6.255,35313,0
IH.US,D,20210916,000000,6.19,6.26,5.04,5.16,169771,0
IH.US,D,20210917,000000,5.26,5.7911,5.26,5.6,86952,0
IH.US,D,20210920,000000,5.36,5.3976,4.3,4.96,225146,0
IH.US,D,20210921,000000,5,5.07,4.59,4.82,171437,0
IH.US,D,20210922,000000,4.89,5.0956,4.74,4.74,37507,0
IH.US,D,20210923,000000,4.72,4.89,4.52,4.71,62759,0
IH.US,D,20210924,000000,4.7399,4.8852,4.57,4.86,15092,0
IH.US,D,20210927,000000,4.86,5.0988,4.74,5.07,15056,0
IH.US,D,20210928,000000,4.99,5.0001,4.64,4.85,29531,0
IH.US,D,20210929,000000,4.97,5.08,4.5201,4.68,63879,0
IH.US,D,20210930,000000,4.66,4.88,4.63,4.71,16868,0
IH.US,D,20211001,000000,4.65,4.91,4.61,4.91,23581,0
IH.US,D,20211004,000000,4.83,4.91,4.4,4.41,25748,0
IH.US,D,20211005,000000,4.48,4.83,4.44,4.62,43004,0
IH.US,D,20211006,000000,4.4052,4.8,4.4052,4.68,14728,0
IH.US,D,20211007,000000,4.7,4.99,4.7,4.98,12875,0
IH.US,D,20211008,000000,4.9973,5.09,4.86,4.87,19832,0
IH.US,D,20211011,000000,4.9,5.2,4.9,5.2,14612,0
IH.US,D,20211012,000000,5.21,5.3899,5.16,5.27,11791,0
IH.US,D,20211013,000000,5.28,5.34,5.02,5.21,8104,0
