<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INFA.US,D,20211027,000000,27.55,30.28,27.51,29,10531341,0
INFA.US,D,20211028,000000,28.52,30.12,28.1101,29.5,1992833,0
INFA.US,D,20211029,000000,29.2,29.98,28.1,29.66,1250305,0
INFA.US,D,20211101,000000,29.71,31.0799,29.01,29.65,1602070,0
INFA.US,D,20211102,000000,29.48,31.94,29.39,31.16,4172192,0
INFA.US,D,20211103,000000,31.2,31.84,30.58,31.32,578248,0
INFA.US,D,20211104,000000,31.32,32.15,31.05,31.47,688167,0
INFA.US,D,20211105,000000,31.52,31.69,30.5,31.27,451021,0
INFA.US,D,20211108,000000,31.53,32.94,31.28,32.56,754519,0
INFA.US,D,20211109,000000,32.56,33.5454,32.02,32.89,562538,0
INFA.US,D,20211110,000000,33,33.4,32,32.89,723353,0
INFA.US,D,20211111,000000,32.89,32.9999,30.6852,32.52,647709,0
INFA.US,D,20211112,000000,32.25,33.22,31.76,32.34,246243,0
INFA.US,D,20211115,000000,32.55,34.33,32.42,33.2,579764,0
INFA.US,D,20211116,000000,33.27,34.2794,32.07,32.35,709864,0
INFA.US,D,20211117,000000,32.05,33.83,32,32.98,547993,0
INFA.US,D,20211118,000000,32.97,33.65,32.21,33.5,268249,0
INFA.US,D,20211119,000000,33.65,34.54,33.11,33.23,619392,0
INFA.US,D,20211122,000000,33.69,34.4,33.13,33.17,1310563,0
INFA.US,D,20211123,000000,32.92,33.37,31.66,31.95,950947,0
INFA.US,D,20211124,000000,31.4,33.385,31.4,32.45,331713,0
INFA.US,D,20211126,000000,32.39,33.44,32.33,32.99,418781,0
INFA.US,D,20211129,000000,33.11,35.24,32.79,34.4,660430,0
INFA.US,D,20211130,000000,34,35.28,31.665,32.19,483329,0
INFA.US,D,20211201,000000,33.23,34.83,32.665,33.96,545911,0
INFA.US,D,20211202,000000,33.73,34.705,32.94,33.97,732393,0
INFA.US,D,20211203,000000,33.91,34.19,31.27,32.52,689096,0
INFA.US,D,20211206,000000,32.55,33.92,31.57,33.76,979741,0
INFA.US,D,20211207,000000,34.27,36.18,34.0201,35.02,387593,0
INFA.US,D,20211208,000000,34.62,37.18,34.46,36.39,556767,0
INFA.US,D,20211209,000000,36.72,37.4999,33.45,35,464390,0
INFA.US,D,20211210,000000,35.12,39,35.01,38.52,775358,0
INFA.US,D,20211213,000000,38.18,38.705,35.3,36.35,681444,0
INFA.US,D,20211214,000000,36.39,37.27,35.42,36.46,317905,0
INFA.US,D,20211215,000000,36.22,39.3,35.95,38.83,842664,0
INFA.US,D,20211216,000000,39,40.13,35.57,36.02,701918,0
INFA.US,D,20211217,000000,35.51,38.2,34.7,36.43,4209872,0
INFA.US,D,20211220,000000,35.73,36.855,35.01,36.64,427511,0
INFA.US,D,20211221,000000,36.7,37.115,33.64,35.48,1027232,0
INFA.US,D,20211222,000000,35.19,36,34.4,34.74,377836,0
INFA.US,D,20211223,000000,34.68,35.92,33.7,35.21,414904,0
INFA.US,D,20211227,000000,35.5,36.5516,34.71,35.19,378418,0
INFA.US,D,20211228,000000,35.18,35.62,34.765,35.12,393507,0
INFA.US,D,20211229,000000,35.1,36.38,34.51,36.35,484703,0
INFA.US,D,20211230,000000,36,37.49,36,37.22,452729,0
INFA.US,D,20211231,000000,37.19,37.9,36.86,36.98,319247,0
INFA.US,D,20220103,000000,37.05,37.76,35.22,35.95,364278,0
INFA.US,D,20220104,000000,35.7,35.77,32.33,34.31,820423,0
INFA.US,D,20220105,000000,34.32,34.42,30.88,31.23,539950,0
INFA.US,D,20220106,000000,30.84,31.795,30.081,30.52,404849,0
INFA.US,D,20220107,000000,30.5,31,29.54,30.12,469929,0
INFA.US,D,20220110,000000,29.55,30.03,28.49,29.95,327511,0
INFA.US,D,20220111,000000,29.77,32.36,29.635,31.9,621445,0
INFA.US,D,20220112,000000,32.14,32.68,31.38,31.75,340181,0
INFA.US,D,20220113,000000,31.66,32.005,29.76,29.87,415411,0
INFA.US,D,20220114,000000,29.65,30.435,28.6,29.49,320349,0
INFA.US,D,20220118,000000,28.83,29.1325,27.9242,28.09,471604,0
INFA.US,D,20220119,000000,28.2,29.04,26.95,27.36,629606,0
INFA.US,D,20220120,000000,27.47,28.55,26.04,26.45,504258,0
INFA.US,D,20220121,000000,26.18,26.51,25.13,25.68,387860,0
INFA.US,D,20220124,000000,25,27.55,24.3,27.38,685732,0
INFA.US,D,20220125,000000,26.79,27.105,25.31,26.1,596581,0
INFA.US,D,20220126,000000,26.88,27.37,25.5,26.1,669511,0
INFA.US,D,20220127,000000,27.05,27.53,25.79,25.89,761985,0
INFA.US,D,20220128,000000,25.81,26.42,24.85,25.99,535548,0
INFA.US,D,20220131,000000,26.13,27.94,25.95,27.92,356563,0
INFA.US,D,20220201,000000,29.55,29.55,27.82,28.83,581533,0
INFA.US,D,20220202,000000,28.87,28.95,27.33,27.94,330200,0
INFA.US,D,20220203,000000,26.98,27.375,26.31,26.35,276908,0
INFA.US,D,20220204,000000,26.12,27.51,25.71,27.15,299729,0
INFA.US,D,20220207,000000,27.26,28.205,27.15,27.63,195536,0
INFA.US,D,20220208,000000,27.18,28.73,26.88,28.7,185924,0
INFA.US,D,20220209,000000,29.11,29.46,28.13,29.06,417691,0
INFA.US,D,20220210,000000,28.43,30.495,28.43,28.57,317777,0
INFA.US,D,20220211,000000,28.59,29.3699,25.57,25.74,554258,0
INFA.US,D,20220214,000000,25.55,26.9,25.38,26.1,683517,0
INFA.US,D,20220215,000000,26.44,27.7,26.33,27.48,859870,0
INFA.US,D,20220216,000000,27.33,28.31,26.59,28.15,935355,0
INFA.US,D,20220217,000000,25.05,25.05,18.88,20.18,6266280,0
INFA.US,D,20220218,000000,20.11,21.24,19.37,20.35,1565870,0
INFA.US,D,20220222,000000,19.77,21.53,19.66,21.25,1212932,0
INFA.US,D,20220223,000000,21.16,21.61,20.13,20.24,704532,0
INFA.US,D,20220224,000000,19.23,22.1,19.01,22.04,1059726,0
INFA.US,D,20220225,000000,21.63,21.91,20.53,21.77,588675,0
INFA.US,D,20220228,000000,21.34,21.69,20.05,20.16,1434274,0
INFA.US,D,20220301,000000,20.17,20.8,19.865,20.05,1007245,0
INFA.US,D,20220302,000000,20,20.135,19.25,19.75,547782,0
INFA.US,D,20220303,000000,19.81,19.95,18.33,18.75,1781735,0
INFA.US,D,20220304,000000,17.03,18.4,17.03,17.65,1365282,0
INFA.US,D,20220307,000000,17.68,18.3,17.06,17.73,930964,0
INFA.US,D,20220308,000000,17.32,18.3,17.195,17.8,1095402,0
INFA.US,D,20220309,000000,18.51,18.76,18.01,18.25,476367,0
INFA.US,D,20220310,000000,17.88,18.249,17.46,17.96,209216,0
INFA.US,D,20220311,000000,17.88,18.35,16.97,16.99,459711,0
INFA.US,D,20220314,000000,16.98,17.19,16.2,16.78,696943,0
INFA.US,D,20220315,000000,16.91,17.48,16.9,17.12,519239,0
INFA.US,D,20220316,000000,17.31,18.2,17.2,18.15,561319,0
INFA.US,D,20220317,000000,18,18.99,17.8,18.73,638164,0
INFA.US,D,20220318,000000,18.63,19.3025,18.51,18.83,901228,0
INFA.US,D,20220321,000000,18.63,19.4,18.5071,19.04,414184,0
INFA.US,D,20220322,000000,18.99,20,18.99,19.82,498923,0
INFA.US,D,20220323,000000,19.46,19.69,18.91,18.97,438893,0
INFA.US,D,20220324,000000,18.9,19.4,18.355,19.33,389721,0
INFA.US,D,20220325,000000,19.43,19.43,18.39,18.84,317976,0
