<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INQQ.US,D,20220407,000000,16,16.0288,15.9263,15.9906,3236,0
INQQ.US,D,20220408,000000,16.02,16.05,15.9298,15.9313,1592,0
INQQ.US,D,20220411,000000,16.01,16.01,16,16.0093,740,0
INQQ.US,D,20220412,000000,15.8987,16.06,15.8987,16.051,1023,0
INQQ.US,D,20220413,000000,16.01,16.06,15.9031,15.9031,1928,0
INQQ.US,D,20220414,000000,16.0138,16.0138,15.8383,15.8383,431,0
INQQ.US,D,20220418,000000,15.92,15.92,15.8889,15.8889,100,0
INQQ.US,D,20220419,000000,15.42,15.42,15.331,15.41,3346,0
INQQ.US,D,20220420,000000,15.39,15.42,15.32,15.42,7848,0
INQQ.US,D,20220421,000000,15.51,15.51,15.3027,15.3027,7061,0
INQQ.US,D,20220422,000000,15.29,15.3,15.1885,15.1885,4330,0
INQQ.US,D,20220425,000000,14.98,15.01,14.9292,15.01,986,0
INQQ.US,D,20220426,000000,14.93,14.93,14.72,14.72,3660,0
INQQ.US,D,20220427,000000,14.79,14.8064,14.79,14.8064,113,0
INQQ.US,D,20220428,000000,14.96,14.9663,14.96,14.9663,107,0
INQQ.US,D,20220429,000000,15.04,15.04,14.8225,14.8225,545,0
INQQ.US,D,20220502,000000,14.815,14.8178,14.7839,14.7839,359,0
INQQ.US,D,20220503,000000,14.885,14.885,14.75,14.7615,287,0
INQQ.US,D,20220504,000000,14.52,14.682,14.5,14.682,455,0
INQQ.US,D,20220505,000000,14.2,14.2,13.773,13.8746,1575,0
INQQ.US,D,20220506,000000,13.7077,13.7077,13.6205,13.6205,1248,0
INQQ.US,D,20220509,000000,13.18,13.3,13.0754,13.0754,1692,0
INQQ.US,D,20220510,000000,12.75,12.8388,12.75,12.7533,288,0
INQQ.US,D,20220511,000000,12.5,12.5,12.3927,12.3927,414,0
INQQ.US,D,20220512,000000,12.38,12.38,12.22,12.2603,737,0
INQQ.US,D,20220513,000000,12.6347,12.73,12.6347,12.6575,6969,0
INQQ.US,D,20220516,000000,12.72,12.7321,12.66,12.7321,3738,0
INQQ.US,D,20220517,000000,13.19,13.2154,13.19,13.2154,5919,0
INQQ.US,D,20220518,000000,13.14,13.14,12.651,12.7719,6973,0
INQQ.US,D,20220519,000000,12.89,12.89,12.7947,12.7947,105,0
INQQ.US,D,20220520,000000,12.747,12.747,12.747,12.747,220,0
INQQ.US,D,20220523,000000,12.9065,12.9065,12.9065,12.9065,1,0
INQQ.US,D,20220524,000000,12.8855,12.8855,12.8855,12.8855,116,0
INQQ.US,D,20220525,000000,12.74,12.74,12.6613,12.6613,212,0
INQQ.US,D,20220526,000000,12.69,12.84,12.69,12.7592,775,0
INQQ.US,D,20220527,000000,12.84,13.048,12.84,12.9697,611,0
INQQ.US,D,20220531,000000,13.63,13.63,13.5281,13.5281,431,0
INQQ.US,D,20220601,000000,13.5501,13.5501,13.515,13.515,553,0
INQQ.US,D,20220602,000000,13.67,13.73,13.62,13.62,816,0
INQQ.US,D,20220603,000000,13.51,13.51,13.2396,13.3116,401,0
INQQ.US,D,20220606,000000,13.1614,13.1614,13.1614,13.1614,105,0
INQQ.US,D,20220607,000000,13.16,13.16,13.1294,13.1294,107,0
INQQ.US,D,20220608,000000,13.13,13.13,13.0782,13.0782,175,0
INQQ.US,D,20220609,000000,13.13,13.13,12.941,12.941,747,0
INQQ.US,D,20220610,000000,12.728,12.728,12.728,12.728,16,0
INQQ.US,D,20220613,000000,12.54,12.54,12.4161,12.4161,210,0
INQQ.US,D,20220614,000000,12.45,12.45,12.407,12.407,100,0
INQQ.US,D,20220615,000000,12.5427,12.5427,12.5427,12.5427,13,0
INQQ.US,D,20220616,000000,12.1492,12.1492,12.1492,12.1492,66,0
INQQ.US,D,20220617,000000,12.1705,12.1705,12.1705,12.1705,83,0
INQQ.US,D,20220621,000000,12.15,12.15,12.115,12.115,1733,0
INQQ.US,D,20220622,000000,11.97,11.97,11.8886,11.8886,183,0
INQQ.US,D,20220623,000000,12.07,12.07,11.9927,11.9927,110,0
INQQ.US,D,20220624,000000,12.33,12.33,12.3099,12.3099,101,0
INQQ.US,D,20220627,000000,12.3129,12.3129,12.3129,12.3129,141,0
INQQ.US,D,20220628,000000,11.9753,11.9753,11.9753,11.9753,17,0
INQQ.US,D,20220629,000000,11.96,11.9611,11.96,11.9611,312,0
INQQ.US,D,20220630,000000,11.84,11.84,11.7827,11.7827,469,0
INQQ.US,D,20220701,000000,12.16,12.18,11.7142,11.7142,24122,0
INQQ.US,D,20220705,000000,11.1,11.6921,11.1,11.6921,10788,0
INQQ.US,D,20220706,000000,11.8399,11.84,11.8062,11.8062,1262,0
INQQ.US,D,20220707,000000,11.99,11.99,11.99,11.99,1,0
INQQ.US,D,20220708,000000,11.9877,11.9877,11.9877,11.9877,125,0
INQQ.US,D,20220711,000000,12.045,12.045,11.967,11.967,204,0
INQQ.US,D,20220712,000000,12.138,12.138,12.05,12.065,1698,0
INQQ.US,D,20220713,000000,12.0682,12.0682,12.0682,12.0682,141,0
INQQ.US,D,20220714,000000,11.95,11.95,11.9052,11.9052,107,0
INQQ.US,D,20220715,000000,11.9292,11.9292,11.8719,11.8719,1099,0
INQQ.US,D,20220718,000000,12.05,12.05,11.98,11.98,101,0
