<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JETU.US,D,20230627,000000,25.91,26.7363,25.91,26.7363,540,0
JETU.US,D,20230628,000000,26.78,27.16,26.78,27.107,1280,0
JETU.US,D,20230629,000000,27.3212,27.3212,27.3212,27.3212,1,0
JETU.US,D,20230630,000000,27.8299,28.2829,27.8299,28.2829,214,0
JETU.US,D,20230703,000000,28.6328,28.6328,28.6328,28.6328,30,0
JETU.US,D,20230705,000000,28.1,28.7853,28.1,28.7853,307,0
JETU.US,D,20230706,000000,27.4001,27.7398,27.375,27.7398,326,0
JETU.US,D,20230707,000000,28.4093,28.4093,28.4093,28.4093,1,0
JETU.US,D,20230710,000000,29.3449,29.3449,29.3449,29.3449,1,0
JETU.US,D,20230711,000000,30.4043,30.4043,30.4043,30.4043,1,0
JETU.US,D,20230712,000000,29.8209,29.8209,29.8209,29.8209,51,0
JETU.US,D,20230713,000000,29.2787,29.2787,29.2787,29.2787,1,0
JETU.US,D,20230714,000000,28.27,28.32,27.93,27.93,900,0
JETU.US,D,20230717,000000,27.9045,27.9045,27.8703,27.8703,120,0
JETU.US,D,20230718,000000,28.7677,28.7677,28.7677,28.7677,1,0
JETU.US,D,20230719,000000,28.59,28.8484,28.59,28.8484,309,0
JETU.US,D,20230720,000000,29.0457,29.0457,29.0457,29.0457,14,0
JETU.US,D,20230721,000000,29.0122,29.0122,29.0122,29.0122,53,0
JETU.US,D,20230724,000000,28.5245,28.5245,28.5245,28.5245,43,0
JETU.US,D,20230725,000000,27.12,27.12,27.03,27.03,254,0
JETU.US,D,20230726,000000,27.8925,27.8925,27.8925,27.8925,15,0
JETU.US,D,20230727,000000,26.58,26.58,26.51,26.51,217,0
JETU.US,D,20230728,000000,27.3782,27.3782,27.3782,27.3782,8,0
JETU.US,D,20230731,000000,27.3836,27.3836,27.3836,27.3836,8,0
JETU.US,D,20230801,000000,26.5489,26.5489,26.5489,26.5489,108,0
JETU.US,D,20230802,000000,25.82,25.82,25.4789,25.4789,104,0
JETU.US,D,20230803,000000,24.84,24.84,24.74,24.74,250,0
