<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JUN.US,D,20211228,000000,9.82,9.86,9.8,9.86,312010,0
JUN.US,D,20211229,000000,9.86,9.88,9.845,9.86,72103,0
JUN.US,D,20211230,000000,9.72,10.055,9.72,9.88,18779,0
JUN.US,D,20211231,000000,10.05,10.05,10.05,10.05,226,0
JUN.US,D,20220103,000000,9.81,9.86,9.8,9.84,20649,0
JUN.US,D,20220104,000000,9.85,9.87,9.84,9.86,633194,0
JUN.US,D,20220105,000000,10.12,10.12,9.86,9.86,8238,0
JUN.US,D,20220106,000000,9.86,9.87,9.85,9.86,18655,0
JUN.US,D,20220107,000000,9.86,9.89,9.86,9.89,16200,0
JUN.US,D,20220110,000000,9.87,9.9,9.87,9.9,907,0
JUN.US,D,20220111,000000,9.9,9.9,9.89,9.9,13363,0
JUN.US,D,20220112,000000,9.91,9.91,9.9,9.91,1203,0
JUN.US,D,20220113,000000,9.9,9.9,9.9,9.9,13323,0
JUN.US,D,20220118,000000,9.97,9.97,9.87,9.88,3888,0
JUN.US,D,20220119,000000,9.87,9.89,9.87,9.89,2101,0
JUN.US,D,20220120,000000,9.86,9.89,9.84,9.89,50367,0
JUN.US,D,20220121,000000,9.95,9.95,9.84,9.87,61466,0
JUN.US,D,20220124,000000,9.84,9.87,9.84,9.87,27700,0
JUN.US,D,20220125,000000,9.87,9.87,9.84,9.84,24654,0
JUN.US,D,20220126,000000,9.8,9.82,9.8,9.82,337,0
JUN.US,D,20220127,000000,9.82,9.82,9.8,9.8,60538,0
JUN.US,D,20220128,000000,9.87,9.87,9.8,9.8,35795,0
JUN.US,D,20220131,000000,9.82,9.84,9.82,9.84,2179,0
JUN.US,D,20220201,000000,9.87,9.97,9.82,9.87,13773,0
JUN.US,D,20220202,000000,9.85,9.85,9.84,9.85,1417,0
JUN.US,D,20220203,000000,9.78,9.85,9.78,9.85,2041,0
JUN.US,D,20220204,000000,9.85,9.85,9.84,9.84,5922,0
JUN.US,D,20220207,000000,9.86,9.86,9.86,9.86,5261,0
JUN.US,D,20220208,000000,9.86,9.86,9.86,9.86,60522,0
JUN.US,D,20220209,000000,9.87,9.87,9.84,9.84,200,0
JUN.US,D,20220210,000000,9.83,9.85,9.83,9.84,50616,0
JUN.US,D,20220211,000000,9.84,9.86,9.84,9.84,9794,0
JUN.US,D,20220214,000000,9.87,9.87,9.83,9.85,4483,0
JUN.US,D,20220215,000000,9.85,9.85,9.85,9.85,690,0
JUN.US,D,20220216,000000,9.85,9.85,9.85,9.85,236,0
JUN.US,D,20220217,000000,9.89,9.89,9.84,9.85,4819,0
JUN.US,D,20220218,000000,9.85,9.86,9.85,9.85,3691,0
JUN.US,D,20220222,000000,9.83,9.85,9.83,9.85,13246,0
JUN.US,D,20220223,000000,9.86,9.86,9.85,9.85,116010,0
JUN.US,D,20220224,000000,9.85,9.8501,9.84,9.85,287284,0
JUN.US,D,20220225,000000,9.85,9.855,9.85,9.855,2850,0
JUN.US,D,20220228,000000,9.84,9.85,9.84,9.85,43816,0
JUN.US,D,20220301,000000,9.8988,9.8988,9.85,9.86,2264,0
JUN.US,D,20220302,000000,9.88,9.9,9.88,9.895,12679,0
JUN.US,D,20220303,000000,9.92,9.92,9.89,9.89,661,0
JUN.US,D,20220304,000000,9.86,9.8947,9.855,9.8947,6125,0
JUN.US,D,20220307,000000,9.91,9.91,9.88,9.9,979667,0
JUN.US,D,20220308,000000,9.8,9.91,9.8,9.8801,31328,0
JUN.US,D,20220310,000000,9.87,9.88,9.87,9.88,604,0
JUN.US,D,20220314,000000,9.95,9.95,9.87,9.91,4151,0
JUN.US,D,20220315,000000,9.89,9.89,9.87,9.87,3125,0
JUN.US,D,20220316,000000,9.86,9.89,9.86,9.87,9375,0
JUN.US,D,20220321,000000,9.92,9.92,9.89,9.9,43498,0
JUN.US,D,20220322,000000,9.91,9.91,9.91,9.91,80713,0
JUN.US,D,20220324,000000,9.89,9.9,9.88,9.89,21102,0
JUN.US,D,20220325,000000,9.9,9.91,9.9,9.91,17901,0
JUN.US,D,20220329,000000,9.9,9.93,9.88,9.93,21137,0
JUN.US,D,20220330,000000,9.9,9.93,9.9,9.91,30201,0
JUN.US,D,20220331,000000,9.95,9.95,9.94,9.95,2666,0
JUN.US,D,20220401,000000,9.96,9.98,9.96,9.98,69676,0
JUN.US,D,20220404,000000,9.96,9.96,9.96,9.96,430,0
JUN.US,D,20220405,000000,9.96,9.96,9.96,9.96,1910,0
JUN.US,D,20220406,000000,9.91,9.91,9.91,9.91,200,0
JUN.US,D,20220411,000000,9.94,9.94,9.94,9.94,3879,0
JUN.US,D,20220412,000000,9.94,9.94,9.94,9.94,133,0
JUN.US,D,20220413,000000,9.97,9.97,9.97,9.97,1295,0
JUN.US,D,20220414,000000,9.98,9.98,9.95,9.98,4575,0
JUN.US,D,20220420,000000,9.96,10,9.935,9.96,1726693,0
JUN.US,D,20220421,000000,9.96,9.99,9.95,9.96,5677,0
JUN.US,D,20220422,000000,9.95,9.96,9.95,9.95,173065,0
JUN.US,D,20220425,000000,9.94,9.98,9.94,9.96,69922,0
JUN.US,D,20220426,000000,9.96,9.96,9.95,9.95,1111566,0
JUN.US,D,20220427,000000,9.95,9.95,9.94,9.94,237107,0
JUN.US,D,20220428,000000,9.94,9.95,9.94,9.95,7303,0
JUN.US,D,20220429,000000,9.95,9.95,9.94,9.94,4157,0
JUN.US,D,20220502,000000,9.94,9.94,9.94,9.94,45009,0
JUN.US,D,20220503,000000,10,10,9.97,9.97,1669,0
JUN.US,D,20220504,000000,10,10,9.94,9.9601,54116,0
JUN.US,D,20220505,000000,9.9502,9.9502,9.9502,9.9502,114,0
JUN.US,D,20220506,000000,10,10,9.94,9.9406,5669,0
JUN.US,D,20220509,000000,9.94,9.94,9.93,9.94,4533,0
JUN.US,D,20220510,000000,9.93,9.93,9.93,9.93,213,0
JUN.US,D,20220511,000000,9.94,9.94,9.92,9.92,4241,0
JUN.US,D,20220512,000000,9.95,9.95,9.95,9.95,119,0
JUN.US,D,20220516,000000,9.9499,9.9499,9.925,9.925,2701,0
JUN.US,D,20220517,000000,9.9,9.9,9.9,9.9,617,0
JUN.US,D,20220518,000000,9.9001,9.96,9.9001,9.96,3717,0
JUN.US,D,20220519,000000,9.89,9.89,9.88,9.88,12150,0
JUN.US,D,20220520,000000,9.95,9.95,9.89,9.89,22208,0
JUN.US,D,20220523,000000,9.9,9.9,9.89,9.9,1184,0
JUN.US,D,20220524,000000,9.88,9.91,9.88,9.91,51155,0
JUN.US,D,20220525,000000,9.9272,9.9272,9.9272,9.9272,511,0
JUN.US,D,20220526,000000,9.96,9.96,9.96,9.96,183,0
JUN.US,D,20220527,000000,9.96,9.98,9.95,9.95,156676,0
JUN.US,D,20220531,000000,9.91,9.91,9.91,9.91,197,0
JUN.US,D,20220601,000000,9.88,9.9,9.88,9.88,36401,0
JUN.US,D,20220602,000000,9.9,9.929,9.88,9.88,11216,0
JUN.US,D,20220607,000000,9.9,9.9,9.9,9.9,102,0
JUN.US,D,20220608,000000,9.93,9.93,9.9,9.9,13001,0
JUN.US,D,20220609,000000,9.93,9.93,9.93,9.93,788,0
JUN.US,D,20220614,000000,9.92,9.92,9.9,9.9,1611,0
JUN.US,D,20220615,000000,9.9,9.9,9.9,9.9,700,0
JUN.US,D,20220617,000000,9.92,9.92,9.92,9.92,120,0
JUN.US,D,20220624,000000,9.93,9.93,9.92,9.93,47349,0
JUN.US,D,20220627,000000,9.93,10.1192,9.93,9.94,101300,0
JUN.US,D,20220628,000000,9.92,9.97,9.92,9.94,451737,0
JUN.US,D,20220629,000000,9.93,9.93,9.93,9.93,1010,0
JUN.US,D,20220630,000000,9.92,9.94,9.92,9.93,43978,0
JUN.US,D,20220701,000000,9.92,9.92,9.92,9.92,159,0
JUN.US,D,20220705,000000,9.92,9.95,9.92,9.95,217430,0
JUN.US,D,20220706,000000,9.947,9.95,9.947,9.95,13538,0
JUN.US,D,20220707,000000,9.94,9.95,9.94,9.95,1065,0
JUN.US,D,20220708,000000,9.93,9.95,9.93,9.94,869,0
JUN.US,D,20220711,000000,9.95,9.95,9.95,9.95,10226,0
JUN.US,D,20220713,000000,9.94,9.94,9.94,9.94,50001,0
JUN.US,D,20220714,000000,9.96,9.96,9.95,9.9599,4499,0
JUN.US,D,20220715,000000,9.95,9.955,9.94,9.95,6310,0
JUN.US,D,20220719,000000,9.9527,9.97,9.9527,9.97,302443,0
JUN.US,D,20220720,000000,9.97,9.98,9.97,9.98,1572,0
JUN.US,D,20220721,000000,9.99,9.99,9.99,9.99,5107,0
JUN.US,D,20220722,000000,9.985,9.99,9.985,9.99,10714,0
JUN.US,D,20220727,000000,9.97,9.97,9.94,9.95,155003,0
JUN.US,D,20220728,000000,9.955,9.96,9.955,9.96,10275,0
JUN.US,D,20220801,000000,9.97,9.98,9.96,9.98,19400,0
JUN.US,D,20220803,000000,9.98,9.99,9.98,9.98,500666,0
JUN.US,D,20220804,000000,9.99,9.99,9.985,9.99,6200,0
JUN.US,D,20220805,000000,9.95,9.98,9.95,9.98,400,0
JUN.US,D,20220808,000000,9.98,9.98,9.96,9.96,5601,0
JUN.US,D,20220809,000000,9.97,9.98,9.97,9.98,57838,0
JUN.US,D,20220810,000000,9.98,9.98,9.98,9.98,5005,0
JUN.US,D,20220811,000000,9.99,9.99,9.99,9.99,160,0
JUN.US,D,20220812,000000,9.97,9.97,9.97,9.97,5241,0
JUN.US,D,20220815,000000,9.98,9.98,9.975,9.98,14400,0
JUN.US,D,20220816,000000,9.98,9.98,9.98,9.98,352,0
JUN.US,D,20220817,000000,9.96,9.98,9.96,9.98,171431,0
JUN.US,D,20220819,000000,9.93,9.93,9.93,9.93,127,0
JUN.US,D,20220822,000000,9.93,9.9802,9.93,9.9802,2885,0
JUN.US,D,20220823,000000,9.96,9.96,9.96,9.96,200,0
JUN.US,D,20220824,000000,9.96,9.96,9.955,9.955,11754,0
JUN.US,D,20220825,000000,9.94,9.95,9.93,9.93,135101,0
JUN.US,D,20220826,000000,9.95,9.97,9.95,9.97,1865,0
JUN.US,D,20220829,000000,9.98,9.98,9.98,9.98,178,0
JUN.US,D,20220830,000000,9.91,9.96,9.91,9.96,4900,0
JUN.US,D,20220831,000000,9.94,9.95,9.93,9.95,467,0
JUN.US,D,20220901,000000,9.9,9.98,9.9,9.98,3161,0
JUN.US,D,20220902,000000,9.99,9.99,9.95,9.95,844,0
JUN.US,D,20220906,000000,9.9,9.95,9.9,9.94,3181,0
JUN.US,D,20220907,000000,9.96,9.99,9.9515,9.96,26124,0
JUN.US,D,20220908,000000,9.9,9.96,9.9,9.96,120197,0
JUN.US,D,20220909,000000,9.94,9.95,9.94,9.95,494,0
JUN.US,D,20220912,000000,9.965,9.965,9.965,9.965,984,0
JUN.US,D,20220913,000000,9.95,9.97,9.94,9.97,1316,0
JUN.US,D,20220914,000000,10.01,10.01,9.96,9.97,1239,0
JUN.US,D,20220915,000000,9.955,9.97,9.955,9.97,635,0
JUN.US,D,20220916,000000,9.92,9.95,9.92,9.95,1081,0
JUN.US,D,20220920,000000,9.91,9.95,9.91,9.95,430,0
JUN.US,D,20220921,000000,9.9969,10,9.9357,9.955,1176,0
JUN.US,D,20220922,000000,9.97,9.99,9.97,9.99,4742,0
JUN.US,D,20220923,000000,9.93,9.97,9.93,9.97,3336,0
JUN.US,D,20220926,000000,9.99,9.995,9.99,9.99,313381,0
JUN.US,D,20220927,000000,9.985,10,9.98,10,277479,0
JUN.US,D,20220928,000000,9.99,10,9.98,9.98,121690,0
JUN.US,D,20220929,000000,10,10,9.98,9.99,4403,0
JUN.US,D,20221003,000000,9.99,9.99,9.96,9.96,1353,0
JUN.US,D,20221005,000000,9.96,9.99,9.96,9.97,3821,0
JUN.US,D,20221013,000000,9.98,9.98,9.98,9.98,6134,0
JUN.US,D,20221017,000000,9.98,9.98,9.98,9.98,1900,0
JUN.US,D,20221020,000000,9.98,10,9.98,10,33613,0
JUN.US,D,20221021,000000,10.02,10.02,10.02,10.02,60200,0
JUN.US,D,20221024,000000,10.02,10.02,10.02,10.02,100,0
JUN.US,D,20221025,000000,10.04,10.06,10,10.0301,228945,0
JUN.US,D,20221026,000000,10.03,10.04,10.03,10.04,11076,0
JUN.US,D,20221028,000000,10.03,10.03,10.03,10.03,214,0
JUN.US,D,20221031,000000,10.06,10.06,10.06,10.06,175,0
JUN.US,D,20221101,000000,10.06,10.06,10.045,10.045,28553,0
JUN.US,D,20221103,000000,10.06,10.06,10.06,10.06,503,0
JUN.US,D,20221104,000000,10.04,10.055,10.04,10.055,1453,0
JUN.US,D,20221108,000000,10.04,10.04,10.04,10.04,171690,0
JUN.US,D,20221110,000000,10.04,10.04,10.04,10.04,4828,0
JUN.US,D,20221111,000000,10.05,10.05,10.045,10.045,39795,0
JUN.US,D,20221114,000000,10.08,10.08,10.08,10.08,100,0
JUN.US,D,20221115,000000,10.08,10.08,10.08,10.08,2175,0
JUN.US,D,20221116,000000,10.09,10.1,10.09,10.1,6099,0
JUN.US,D,20221117,000000,10.1,10.1,10.1,10.1,338,0
JUN.US,D,20221118,000000,10.07,10.07,10.07,10.07,100,0
JUN.US,D,20221121,000000,10.08,10.08,10.08,10.08,215459,0
JUN.US,D,20221122,000000,10.09,10.09,10.09,10.09,101,0
JUN.US,D,20221123,000000,10.09,10.14,10.09,10.14,306,0
JUN.US,D,20221130,000000,10.11,10.18,10.11,10.18,1240,0
JUN.US,D,20221201,000000,10.18,10.18,10.14,10.14,7290,0
JUN.US,D,20221202,000000,10.14,10.17,10.13,10.17,43998,0
JUN.US,D,20221205,000000,10.14,10.15,10.14,10.15,3044,0
JUN.US,D,20221206,000000,10.15,10.17,10.14,10.17,141658,0
JUN.US,D,20221207,000000,10.17,10.22,10.16,10.16,91251,0
JUN.US,D,20221208,000000,10.14,10.15,10.14,10.14,2303,0
JUN.US,D,20221209,000000,10.155,10.155,10.14,10.14,813,0
JUN.US,D,20221214,000000,10.16,10.16,10.15,10.15,20255,0
JUN.US,D,20221219,000000,10.26,10.26,10.12,10.12,2300,0
JUN.US,D,20221220,000000,10.13,10.1402,10.12,10.13,454012,0
JUN.US,D,20221221,000000,10.135,10.15,10.135,10.15,85774,0
JUN.US,D,20221222,000000,10.15,10.15,10.15,10.15,1905,0
JUN.US,D,20221227,000000,10.13,10.13,10.13,10.13,100,0
JUN.US,D,20221228,000000,10.38,10.38,10.16,10.16,2284,0
JUN.US,D,20221230,000000,10.17,10.26,10.15,10.17,263960,0
JUN.US,D,20230103,000000,10.46,10.4664,10.17,10.18,2903,0
JUN.US,D,20230104,000000,10.17,10.44,10.17,10.28,7642,0
JUN.US,D,20230105,000000,10.22,10.22,10.22,10.22,1500,0
JUN.US,D,20230106,000000,10.32,10.32,10.17,10.2199,7969,0
JUN.US,D,20230109,000000,10.25,10.25,10.21,10.23,517223,0
JUN.US,D,20230110,000000,10.23,10.23,10.23,10.23,102,0
