<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KB.US,D,20080929,000000,40.316,40.954,34.452,36.309,264677,0
KB.US,D,20080930,000000,37.256,39.353,37.015,38.382,406899,0
KB.US,D,20081001,000000,38.011,39.869,37.72,38.639,424881,0
KB.US,D,20081002,000000,38.855,39.027,35.759,36.327,492610,0
KB.US,D,20081003,000000,35.948,38.364,34.857,35.571,353793,0
KB.US,D,20081006,000000,32.664,33.602,30.858,32.423,462970,0
KB.US,D,20081007,000000,31.856,32.552,28.493,28.984,804142,0
KB.US,D,20081008,000000,26.878,29.811,25.623,27.805,613083,0
KB.US,D,20081009,000000,27.893,28.563,24.772,25.614,858955,0
KB.US,D,20081010,000000,27.934,28.563,22.682,28.563,1316338,0
KB.US,D,20081013,000000,33.395,36.12,33.257,35.699,1394268,0
KB.US,D,20081014,000000,37.463,37.754,31.366,34.918,1614481,0
KB.US,D,20081015,000000,33.085,33.929,28.141,29.319,1018270,0
KB.US,D,20081016,000000,28.141,28.227,23.919,27.746,2163666,0
KB.US,D,20081017,000000,23.964,24.633,23.172,23.886,1387029,0
KB.US,D,20081020,000000,24.35,25.029,23.61,24.719,1320398,0
KB.US,D,20081021,000000,24.531,24.531,22.844,23.361,1136549,0
KB.US,D,20081022,000000,22.691,22.725,20.652,21.221,1327946,0
KB.US,D,20081023,000000,21.221,22.407,20.498,21.882,1180426,0
KB.US,D,20081024,000000,19.646,21.701,19.371,20.885,822296,0
KB.US,D,20081027,000000,21.573,22.844,21.488,21.736,789078,0
KB.US,D,20081028,000000,21.839,23.902,20.713,23.842,1031750,0
KB.US,D,20081029,000000,18.77,21.719,18.237,20.369,2177584,0
KB.US,D,20081030,000000,23.104,23.385,21.969,23.385,1803023,0
KB.US,D,20081031,000000,21.212,21.315,20.11,20.586,947937,0
KB.US,D,20081103,000000,21.418,21.736,20.918,21.34,868662,0
KB.US,D,20081104,000000,23.284,23.842,23.154,23.524,1302773,0
KB.US,D,20081105,000000,23.542,23.593,21.444,21.675,1016237,0
KB.US,D,20081106,000000,19.759,19.888,17.737,18.047,963490,0
KB.US,D,20081107,000000,19.776,20.6,19.173,20.6,1002789,0
KB.US,D,20081110,000000,20.876,21.333,20.052,20.189,705117,0
KB.US,D,20081111,000000,20.154,20.283,19.079,19.681,683865,0
KB.US,D,20081112,000000,19.165,19.457,18.15,18.254,662352,0
KB.US,D,20081113,000000,18.202,20.283,17.308,20.283,1207110,0
KB.US,D,20081114,000000,18.684,20.076,18.409,18.623,956821,0
KB.US,D,20081117,000000,18.546,19.199,18.271,18.383,1035540,0
KB.US,D,20081118,000000,17.918,17.936,16.568,17.385,692481,0
KB.US,D,20081119,000000,16.543,16.646,14.995,15.261,766491,0
KB.US,D,20081120,000000,13.61,14.195,12.347,12.347,1099683,0
KB.US,D,20081121,000000,13.774,15.004,13.233,14.72,1187163,0
KB.US,D,20081124,000000,13.139,14.273,12.863,13.989,2011571,0
KB.US,D,20081125,000000,13.861,13.947,12.879,13.406,679001,0
KB.US,D,20081126,000000,15.202,16.622,15.124,16.388,1371176,0
KB.US,D,20081128,000000,16.715,17.376,16.715,17.127,426802,0
KB.US,D,20081201,000000,16.801,16.801,14.789,15.013,681632,0
KB.US,D,20081202,000000,16.112,16.921,15.795,16.766,864606,0
KB.US,D,20081203,000000,16.088,17.411,16.088,17.179,592498,0
KB.US,D,20081204,000000,16.766,17.05,15.967,16.345,380385,0
KB.US,D,20081205,000000,16.758,17.814,16.663,17.599,712881,0
KB.US,D,20081208,000000,19.217,20.006,18.95,19.863,882297,0
KB.US,D,20081209,000000,18.993,20.687,18.993,19.621,1297723,0
KB.US,D,20081210,000000,21.142,22.107,21.082,21.969,752594,0
KB.US,D,20081211,000000,21.633,22.244,21.006,21.4,1989602,0
KB.US,D,20081212,000000,19.733,19.785,18.056,19.664,1322804,0
KB.US,D,20081215,000000,20.334,20.378,19.311,19.878,325611,0
KB.US,D,20081216,000000,21.34,23.052,20.945,23.052,1403227,0
KB.US,D,20081217,000000,22.905,23.895,22.776,23.257,850235,0
KB.US,D,20081218,000000,23.301,23.902,22.82,22.854,589311,0
KB.US,D,20081219,000000,23.078,24.22,23.069,23.472,486373,0
KB.US,D,20081222,000000,23.31,23.739,22.717,23.059,467665,0
KB.US,D,20081223,000000,21.556,22.183,21.091,21.47,444469,0
KB.US,D,20081224,000000,21.221,21.563,20.825,21.418,104547,0
KB.US,D,20081226,000000,21.452,22.251,21.4,22.122,107587,0
KB.US,D,20081229,000000,22.802,22.802,22.398,22.767,248374,0
KB.US,D,20081230,000000,21.109,22.063,20.79,21.942,335404,0
KB.US,D,20081231,000000,21.865,22.407,21.573,22.012,315243,0
KB.US,D,20090102,000000,21.754,23,21.512,22.569,779334,0
KB.US,D,20090105,000000,23.696,26.13,23.688,25.115,704533,0
KB.US,D,20090106,000000,25.253,26.448,25.253,26.13,536356,0
KB.US,D,20090107,000000,25.202,25.605,24.514,25.115,631329,0
KB.US,D,20090108,000000,24.178,24.556,23.8,24.273,726178,0
KB.US,D,20090109,000000,23.577,23.577,22.578,22.931,596796,0
KB.US,D,20090112,000000,22.132,22.132,21.091,21.34,561148,0
KB.US,D,20090113,000000,22.363,23.181,22.363,22.888,1062661,0
KB.US,D,20090114,000000,23.154,23.232,22.072,22.802,854525,0
KB.US,D,20090115,000000,21.556,22.045,20.325,21.074,792102,0
KB.US,D,20090116,000000,22.175,22.501,21.091,21.66,517013,0
KB.US,D,20090120,000000,20.498,20.515,19.397,19.466,586885,0
KB.US,D,20090121,000000,19.698,20.49,19.165,20.318,1051265,0
KB.US,D,20090122,000000,19.612,20.473,19.285,19.878,572640,0
KB.US,D,20090123,000000,18.495,19.294,18.28,19.028,567936,0
KB.US,D,20090126,000000,19.114,20.026,19.114,19.337,402348,0
KB.US,D,20090127,000000,19.759,20.137,19.604,19.948,499694,0
KB.US,D,20090128,000000,21.754,22.717,21.736,22.526,725915,0
KB.US,D,20090129,000000,22.373,22.699,21.34,21.573,578680,0
KB.US,D,20090130,000000,22.115,22.699,21.185,21.719,465651,0
KB.US,D,20090202,000000,21.041,21.298,20.593,20.911,517436,0
KB.US,D,20090203,000000,21.556,21.969,21.323,21.969,872892,0
KB.US,D,20090204,000000,22.081,22.363,21.548,21.633,559463,0
KB.US,D,20090205,000000,20.867,21.418,19.939,21.281,748099,0
KB.US,D,20090206,000000,21.59,22.235,21.573,22.054,714116,0
KB.US,D,20090209,000000,21.754,22.363,21.641,22.072,477703,0
KB.US,D,20090210,000000,21.246,21.925,19.843,20.179,1023499,0
KB.US,D,20090211,000000,20.248,20.343,18.477,19.534,1574344,0
KB.US,D,20090212,000000,19.07,19.518,18.572,19.475,826100,0
KB.US,D,20090213,000000,19.741,19.837,19.208,19.698,640323,0
KB.US,D,20090217,000000,16.964,17.299,15.459,16.499,1201667,0
KB.US,D,20090218,000000,16.207,16.414,15.424,16.088,966362,0
KB.US,D,20090219,000000,16.379,16.663,15.967,15.984,766328,0
KB.US,D,20090220,000000,14.969,15.348,14.685,15.177,684109,0
KB.US,D,20090223,000000,15.727,15.906,14.849,15.167,1014497,0
KB.US,D,20090224,000000,15.03,15.83,14.548,15.665,818653,0
KB.US,D,20090225,000000,15.081,15.743,14.832,15.288,640882,0
KB.US,D,20090226,000000,15.727,16.242,15.33,15.433,1275725,0
KB.US,D,20090227,000000,15.717,16.062,15.33,15.812,1044785,0
KB.US,D,20090302,000000,14.779,14.909,13.852,14.126,1027215,0
KB.US,D,20090303,000000,15.132,15.132,14.393,14.685,592474,0
KB.US,D,20090304,000000,15.433,16.07,15.424,15.751,741792,0
KB.US,D,20090305,000000,14.582,14.918,13.095,14.393,681446,0
KB.US,D,20090306,000000,14.867,15.124,13.868,14.531,868329,0
KB.US,D,20090309,000000,13.861,14.695,13.861,14.264,615521,0
KB.US,D,20090310,000000,16.629,17.867,16.629,17.687,1772180,0
KB.US,D,20090311,000000,18.056,18.521,17.696,18.021,1501901,0
KB.US,D,20090312,000000,17.756,18.959,17.369,18.803,1070802,0
KB.US,D,20090313,000000,18.143,18.486,17.48,17.979,1282768,0
KB.US,D,20090316,000000,19.141,19.664,18.977,19.037,559458,0
KB.US,D,20090317,000000,20.103,20.566,19.837,20.24,2658977,0
KB.US,D,20090318,000000,19.655,21.041,19.234,20.834,1432988,0
KB.US,D,20090319,000000,20.052,20.55,19.089,19.337,774889,0
KB.US,D,20090320,000000,18.838,19.544,18.356,18.425,862260,0
KB.US,D,20090323,000000,20.248,21.925,19.828,21.762,1509439,0
KB.US,D,20090324,000000,21.16,21.685,20.928,21.185,961245,0
KB.US,D,20090325,000000,21.925,22.311,21.151,21.908,1006365,0
