<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KSM.US,D,20050225,000000,7.09338,7.19803,7.08247,7.19803,23797.770086659,0
KSM.US,D,20050228,000000,7.19803,7.2131,7.19803,7.2131,3838.9353761754,0
KSM.US,D,20050301,000000,7.2131,7.2131,7.18681,7.19297,15020.036284044,0
KSM.US,D,20050302,000000,7.14406,7.16043,7.14406,7.14406,3662.5137136673,0
KSM.US,D,20050303,000000,7.14406,7.20982,7.07314,7.09824,31676.257472375,0
KSM.US,D,20050304,000000,7.06728,7.16598,7.06728,7.08851,24535.716697835,0
KSM.US,D,20050307,000000,7.06164,7.08851,7.04635,7.04635,21419.60607605,0
KSM.US,D,20050308,000000,7.06164,7.16043,7.06164,7.16043,27276.805271317,0
KSM.US,D,20050309,000000,7.10498,7.14406,7.04635,7.14406,6773.5837165237,0
KSM.US,D,20050310,000000,7.14406,7.14406,7.10984,7.14406,10799.021993065,0
KSM.US,D,20050311,000000,7.10498,7.18315,7.10498,7.15527,26189.039706482,0
KSM.US,D,20050314,000000,7.10498,7.14991,7.09338,7.14991,4386.3465918432,0
KSM.US,D,20050315,000000,7.06728,7.1271,7.06728,7.06728,17394.167799509,0
KSM.US,D,20050316,000000,7.06164,7.06164,7.01928,7.01928,11535.960480456,0
KSM.US,D,20050317,000000,6.99616,7.00877,6.99616,7.00877,2013.2232001634,0
KSM.US,D,20050318,000000,7.03544,7.06164,7.00222,7.02444,10985.52489343,0
KSM.US,D,20050321,000000,7.00877,7.00877,6.84271,6.85342,58041.718841366,0
KSM.US,D,20050322,000000,6.80948,6.81474,6.67498,6.67498,45222.416781637,0
KSM.US,D,20050323,000000,6.67498,6.69025,6.64264,6.64264,41192.946009953,0
KSM.US,D,20050324,000000,6.66892,6.66892,6.61863,6.65831,14275.032806366,0
KSM.US,D,20050328,000000,6.63024,6.69541,6.62498,6.69541,31676.257472375,0
KSM.US,D,20050329,000000,6.6469,6.71108,6.62498,6.68559,47612.678277675,0
KSM.US,D,20050330,000000,6.69025,6.72755,6.65831,6.70493,18307.527949408,0
KSM.US,D,20050331,000000,6.78488,6.81474,6.70493,6.81474,14650.05485467,0
KSM.US,D,20050401,000000,6.81474,6.81474,6.6358,6.65255,86060.503219003,0
KSM.US,D,20050404,000000,6.70493,6.70493,6.51011,6.55932,150878.83014825,0
KSM.US,D,20050405,000000,6.52688,6.57548,6.52192,6.57072,35703.711996488,0
KSM.US,D,20050406,000000,6.58025,6.5856,6.55485,6.57548,21973.066034433,0
KSM.US,D,20050407,000000,6.57072,6.6469,6.57072,6.6469,55851.065854908,0
KSM.US,D,20050408,000000,6.6469,6.65255,6.62498,6.64264,25454.117466663,0
KSM.US,D,20050411,000000,6.67498,6.69025,6.64264,6.66406,7868.4061478595,0
KSM.US,D,20050412,000000,6.66406,6.70493,6.66406,6.70493,22894.491174617,0
KSM.US,D,20050413,000000,6.75671,6.81474,6.72279,6.76267,33691.496920111,0
KSM.US,D,20050414,000000,6.69025,6.76267,6.69025,6.73906,19401.342256957,0
KSM.US,D,20050415,000000,6.75006,6.80095,6.70493,6.75006,17763.141105097,0
KSM.US,D,20050418,000000,6.85908,6.87137,6.77298,6.80095,20688.716331374,0
KSM.US,D,20050419,000000,6.82069,6.96333,6.75006,6.91631,34605.865193795,0
KSM.US,D,20050420,000000,6.95172,7.00222,6.86493,6.98505,23070.912837125,0
KSM.US,D,20050421,000000,6.98505,6.98505,6.92346,6.97315,13908.07574835,0
KSM.US,D,20050422,000000,7.02999,7.02999,6.92346,6.97315,5125.3013268056,0
KSM.US,D,20050425,000000,7.02999,7.07314,6.94051,7.07314,9519.7129089349,0
KSM.US,D,20050426,000000,7.02999,7.04001,6.8928,6.8928,34420.370417215,0
