<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LNC_D.US,D,20221205,000000,27.52,27.68,27.1,27.331,728537,0
LNC_D.US,D,20221206,000000,27.4,27.5,26.9,26.9,183498,0
LNC_D.US,D,20221207,000000,27.03,27.22,26.95,27.05,446054,0
LNC_D.US,D,20221208,000000,27.05,27.05,26.51,26.7677,664603,0
LNC_D.US,D,20221209,000000,26.73,27.0989,26.71,26.81,160969,0
LNC_D.US,D,20221212,000000,26.88,27.02,26.82,26.97,223708,0
LNC_D.US,D,20221213,000000,27.55,27.55,27.07,27.155,59585,0
LNC_D.US,D,20221214,000000,27.2,27.6113,27.078,27.25,163061,0
LNC_D.US,D,20221215,000000,27.3,27.47,27.06,27.2,171384,0
LNC_D.US,D,20221216,000000,27.15,27.27,26.85,26.93,193350,0
LNC_D.US,D,20221219,000000,27.1,27.1,24.9,26.94,264679,0
LNC_D.US,D,20221220,000000,26.94,27.03,26.87,26.9,171431,0
LNC_D.US,D,20221221,000000,27.05,27.1,26.86,26.96,286869,0
LNC_D.US,D,20221222,000000,27.06,27.07,26.77,27.01,171702,0
LNC_D.US,D,20221223,000000,27.11,27.13,26.96,27.01,153207,0
LNC_D.US,D,20221227,000000,27.06,27.06,26.9,27,184944,0
LNC_D.US,D,20221228,000000,27.04,27.2,26.95,26.96,130606,0
LNC_D.US,D,20221229,000000,27.06,27.55,27,27.04,360615,0
LNC_D.US,D,20221230,000000,27.04,27.3,26.57,27.27,3570103,0
LNC_D.US,D,20230103,000000,27.34,27.37,27.21,27.22,36599,0
LNC_D.US,D,20230104,000000,27.21,27.6745,27.14,27.46,206916,0
LNC_D.US,D,20230105,000000,27.38,27.6345,27,27.48,116169,0
LNC_D.US,D,20230106,000000,27.64,28.07,27.64,27.86,53927,0
LNC_D.US,D,20230109,000000,28.07,28.16,27.92,28.05,516700,0
LNC_D.US,D,20230110,000000,28.02,28.6,27.975,28.37,241099,0
LNC_D.US,D,20230111,000000,28.48,28.6833,28.4,28.45,50952,0
LNC_D.US,D,20230112,000000,28.59,28.72,28.49,28.54,38660,0
LNC_D.US,D,20230113,000000,28.62,28.69,28.53,28.58,39536,0
LNC_D.US,D,20230117,000000,28.72,28.72,28.38,28.53,97797,0
LNC_D.US,D,20230118,000000,28.67,28.7,28.4,28.4,44338,0
LNC_D.US,D,20230119,000000,28.49,28.5,28.15,28.28,59896,0
LNC_D.US,D,20230120,000000,28.4,28.825,28.22,28.22,567362,0
LNC_D.US,D,20230123,000000,28.25,28.72,28.25,28.52,50738,0
LNC_D.US,D,20230124,000000,28.6137,28.8,28.4,28.76,36745,0
LNC_D.US,D,20230125,000000,28.7,28.77,28.3,28.57,38971,0
LNC_D.US,D,20230126,000000,28.77,28.7983,28.5392,28.64,31659,0
LNC_D.US,D,20230127,000000,28.75,28.79,28.52,28.64,43525,0
LNC_D.US,D,20230130,000000,28.58,28.82,28.58,28.65,33501,0
LNC_D.US,D,20230131,000000,28.81,28.84,28.61,28.75,40484,0
LNC_D.US,D,20230201,000000,28.89,29,28.7375,28.81,50440,0
LNC_D.US,D,20230202,000000,28.9,29.0299,28.6485,28.84,72575,0
LNC_D.US,D,20230203,000000,28.71,28.99,28.31,28.53,34013,0
LNC_D.US,D,20230206,000000,28.6,28.6897,28.33,28.38,26863,0
LNC_D.US,D,20230207,000000,28.32,28.6827,28.3,28.4,22498,0
LNC_D.US,D,20230208,000000,28.49,28.7471,28.3023,28.41,22085,0
LNC_D.US,D,20230209,000000,28.74,28.81,28.3,28.39,61831,0
LNC_D.US,D,20230210,000000,28.54,28.5477,28.3419,28.42,18697,0
LNC_D.US,D,20230213,000000,28.49,28.53,28.4054,28.45,31767,0
LNC_D.US,D,20230214,000000,28.51,28.6,28.3891,28.53,52364,0
LNC_D.US,D,20230215,000000,28.6,28.64,28.3,28.3,47179,0
LNC_D.US,D,20230216,000000,27.68,28.375,27.68,27.99,139755,0
LNC_D.US,D,20230217,000000,28.1,28.155,27.9,28.12,13089,0
LNC_D.US,D,20230221,000000,27.95,28.02,27.32,27.42,50692,0
LNC_D.US,D,20230222,000000,27.52,28.13,27.52,27.83,123474,0
LNC_D.US,D,20230223,000000,27.97,28.0599,27.8,27.83,60534,0
LNC_D.US,D,20230224,000000,27.74,28.38,27.68,27.79,52728,0
LNC_D.US,D,20230227,000000,27.81,28.16,27.81,28.08,29242,0
LNC_D.US,D,20230228,000000,28.19,28.19,27.74,27.74,80086,0
LNC_D.US,D,20230301,000000,27.85,28.1,27.54,27.74,28632,0
LNC_D.US,D,20230302,000000,27.74,28.32,27.6,28.04,95391,0
LNC_D.US,D,20230303,000000,28.19,28.3,28.04,28.15,43734,0
LNC_D.US,D,20230306,000000,28.29,28.29,28,28.1407,60799,0
LNC_D.US,D,20230307,000000,28.18,28.27,27.9204,28.17,39745,0
LNC_D.US,D,20230308,000000,28.15,28.24,28.13,28.19,41236,0
LNC_D.US,D,20230309,000000,28.22,28.22,27.72,27.79,63895,0
LNC_D.US,D,20230310,000000,27.75,27.75,27,27.28,69815,0
LNC_D.US,D,20230313,000000,26.03,26.78,24.9,26.25,217534,0
LNC_D.US,D,20230314,000000,26.68,27.404,26.08,26.22,528216,0
LNC_D.US,D,20230315,000000,26,26,24.39,24.96,545761,0
LNC_D.US,D,20230316,000000,24.9,26.24,24.38,25.68,272587,0
LNC_D.US,D,20230317,000000,25.5,25.5,24.55,24.75,307033,0
LNC_D.US,D,20230320,000000,25.05,25.4399,24.86,24.94,101300,0
LNC_D.US,D,20230321,000000,25.19,25.25,24.615,24.95,187732,0
LNC_D.US,D,20230322,000000,25.1,25.5,24.94,24.95,185123,0
LNC_D.US,D,20230323,000000,25.14,25.3508,24.15,24.58,324749,0
LNC_D.US,D,20230324,000000,24.61,25.01,24.39,24.76,136485,0
LNC_D.US,D,20230327,000000,25.07,25.89,25,25.25,98189,0
LNC_D.US,D,20230328,000000,25.35,25.35,24.99,25.25,89441,0
LNC_D.US,D,20230329,000000,25.47,25.47,25.02,25.07,183038,0
LNC_D.US,D,20230330,000000,25.23,25.41,25.02,25.16,164942,0
LNC_D.US,D,20230331,000000,25.37,25.9499,25.31,25.5,801328,0
LNC_D.US,D,20230403,000000,25.73,25.82,25.2,25.4,189874,0
LNC_D.US,D,20230404,000000,25.49,25.49,25.12,25.39,118732,0
LNC_D.US,D,20230405,000000,25.38,25.56,25.2,25.56,66149,0
LNC_D.US,D,20230406,000000,25.6,25.6,25.06,25.32,205127,0
LNC_D.US,D,20230410,000000,25.3,25.54,25.2,25.54,97918,0
LNC_D.US,D,20230411,000000,25.57,25.63,25.36,25.42,87919,0
LNC_D.US,D,20230412,000000,25.56,25.68,25.16,25.25,191270,0
LNC_D.US,D,20230413,000000,25.35,25.45,25.18,25.39,94015,0
LNC_D.US,D,20230414,000000,25.45,25.49,25.32,25.48,51756,0
LNC_D.US,D,20230417,000000,25.55,26.08,25.4,25.93,169917,0
LNC_D.US,D,20230418,000000,26.03,26.15,25.8,26.06,80901,0
LNC_D.US,D,20230419,000000,26.12,26.33,25.91,26.29,60906,0
LNC_D.US,D,20230420,000000,26.34,26.34,26.16,26.23,58534,0
LNC_D.US,D,20230421,000000,26.25,26.25,26,26.17,90652,0
LNC_D.US,D,20230424,000000,26.27,26.38,26.22,26.33,52458,0
LNC_D.US,D,20230425,000000,26.33,26.36,26,26.01,86442,0
LNC_D.US,D,20230426,000000,26.07,26.6,26.04,26.25,144589,0
LNC_D.US,D,20230427,000000,26.38,26.58,26.18,26.435,95890,0
LNC_D.US,D,20230428,000000,26.5,26.56,26.234,26.37,124571,0
LNC_D.US,D,20230501,000000,26.46,26.52,26.21,26.34,60812,0
LNC_D.US,D,20230502,000000,26.28,26.405,25.5608,25.65,152985,0
LNC_D.US,D,20230503,000000,25.6,26.215,25.03,25.21,90982,0
LNC_D.US,D,20230504,000000,25,25.32,24.5,24.63,394765,0
LNC_D.US,D,20230505,000000,25,25.3499,24.78,24.9,147430,0
LNC_D.US,D,20230508,000000,25.08,25.37,24.97,25.09,73401,0
LNC_D.US,D,20230509,000000,25.09,25.14,24.75,25,294198,0
LNC_D.US,D,20230510,000000,25.19,25.5652,24.585,25.37,460012,0
