<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBAC-WS.US,D,20210428,000000,1,1,0.7601,0.8495,5100,0
MBAC-WS.US,D,20210429,000000,0.8001,0.8001,0.75,0.8,2950,0
MBAC-WS.US,D,20210430,000000,0.742199,0.75,0.73,0.75,4656,0
MBAC-WS.US,D,20210503,000000,0.75,0.75,0.69,0.6992,102292,0
MBAC-WS.US,D,20210504,000000,0.67,0.717,0.669967,0.67,28740,0
MBAC-WS.US,D,20210505,000000,0.67,0.74,0.67,0.7,39449,0
MBAC-WS.US,D,20210506,000000,0.7,0.7,0.69,0.7,2490,0
MBAC-WS.US,D,20210507,000000,0.69,0.7,0.69,0.6925,80044,0
MBAC-WS.US,D,20210511,000000,0.63,0.685,0.6297,0.63,42134,0
MBAC-WS.US,D,20210512,000000,0.6606,0.68,0.62,0.68,92900,0
MBAC-WS.US,D,20210514,000000,0.68,0.68,0.6799,0.68,14520,0
MBAC-WS.US,D,20210517,000000,0.69,0.69,0.69,0.69,238909,0
MBAC-WS.US,D,20210519,000000,0.7001,0.7001,0.699406,0.7,15833,0
MBAC-WS.US,D,20210520,000000,0.6851,0.7,0.6851,0.7,10170,0
MBAC-WS.US,D,20210524,000000,0.8001,0.80015,0.8001,0.80015,600,0
MBAC-WS.US,D,20210525,000000,0.8001,0.8001,0.69,0.69,25725,0
MBAC-WS.US,D,20210527,000000,0.7,0.7,0.7,0.7,4400,0
MBAC-WS.US,D,20210602,000000,0.7,0.8405,0.7,0.765051,66231,0
MBAC-WS.US,D,20210603,000000,0.78,0.78,0.76,0.76,2804,0
MBAC-WS.US,D,20210608,000000,0.76,0.8399,0.76,0.8399,21850,0
MBAC-WS.US,D,20210609,000000,0.83,0.83,0.83,0.83,300,0
MBAC-WS.US,D,20210610,000000,0.85,0.93,0.84,0.89,33912,0
MBAC-WS.US,D,20210611,000000,0.9,0.93,0.8523,0.93,28053,0
MBAC-WS.US,D,20210614,000000,0.94,0.95,0.84,0.8474,13399,0
