<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NMG.US,D,20210525,000000,15.22,15.5,13.19,13.82,76048,0
NMG.US,D,20210526,000000,13.82,13.91,13.23,13.35,31787,0
NMG.US,D,20210527,000000,13.36,13.74,12.5,12.63,49237,0
NMG.US,D,20210528,000000,12.85,12.9,12.41,12.69,22629,0
NMG.US,D,20210601,000000,12.96,13.0427,12.68,12.95,24327,0
NMG.US,D,20210602,000000,12.85,12.98,12.5,12.5463,29231,0
NMG.US,D,20210603,000000,12.42,12.4889,11.99,12.06,43117,0
NMG.US,D,20210604,000000,11.88,12.3779,11.34,12.22,23300,0
NMG.US,D,20210607,000000,12.34,12.34,11.39,11.72,53736,0
NMG.US,D,20210608,000000,11.85,11.9701,11.3343,11.66,53787,0
NMG.US,D,20210609,000000,11.31,11.74,11.31,11.475,32429,0
NMG.US,D,20210610,000000,11.5,11.7865,11.42,11.59,28667,0
NMG.US,D,20210611,000000,11.7,11.7865,11.3565,11.45,18633,0
NMG.US,D,20210614,000000,11.37,11.5681,10.976,11.1,49551,0
NMG.US,D,20210615,000000,11.01,11.38,10.8076,11.06,38321,0
NMG.US,D,20210616,000000,10.22,10.61,9.9,10.01,190306,0
NMG.US,D,20210617,000000,9.93,10.06,9,9.05,287406,0
NMG.US,D,20210618,000000,7.4,7.55,7.2,7.45,2169487,0
NMG.US,D,20210621,000000,7.63,8.15,7.63,7.8,761360,0
NMG.US,D,20210622,000000,8.19,8.31,7.75,7.89,385480,0
NMG.US,D,20210623,000000,8.07,8.22,7.92,8.07,319118,0
NMG.US,D,20210624,000000,8.21,8.25,7.77,7.95,308386,0
NMG.US,D,20210625,000000,8,8.13,7.96,8.01,120383,0
NMG.US,D,20210628,000000,8.05,8.05,7.38,7.74,337893,0
NMG.US,D,20210629,000000,7.99,8.09,7.63,7.65,207598,0
NMG.US,D,20210630,000000,7.78,7.947,7.51,7.85,144893,0
NMG.US,D,20210701,000000,7.96,8,7.52,7.57,153085,0
NMG.US,D,20210702,000000,7.77,7.94,7.5301,7.79,178048,0
NMG.US,D,20210706,000000,7.95,7.95,7.48,7.52,120459,0
NMG.US,D,20210707,000000,7.57,7.6883,6.9,7,292338,0
NMG.US,D,20210708,000000,7.03,7.13,6.71,6.98,131619,0
NMG.US,D,20210709,000000,7.06,7.06,6.88,6.88,108985,0
NMG.US,D,20210712,000000,6.98,7.24,6.9,7.1,94527,0
NMG.US,D,20210713,000000,7.63,7.75,7.23,7.32,296853,0
NMG.US,D,20210714,000000,7.32,7.42,7.02,7.18,93646,0
NMG.US,D,20210715,000000,7.11,7.3796,7.0799,7.23,85904,0
NMG.US,D,20210716,000000,7.2,7.32,6.66,6.67,158416,0
NMG.US,D,20210719,000000,6.67,6.72,5.97,6.38,216078,0
NMG.US,D,20210720,000000,6.44,6.63,5.98,6.12,175497,0
NMG.US,D,20210721,000000,6.45,7.3999,6.42,7.25,337870,0
NMG.US,D,20210722,000000,7.31,7.36,6.7227,7.12,152479,0
NMG.US,D,20210723,000000,7.13,7.18,6.9334,7.09,73916,0
NMG.US,D,20210726,000000,7.07,7.2,6.91,7.08,55163,0
NMG.US,D,20210727,000000,7.01,7.1853,6.86,7.07,101378,0
NMG.US,D,20210728,000000,7.1,7.17,6.9899,7.17,47293,0
NMG.US,D,20210729,000000,7.17,7.33,7.1443,7.33,64136,0
NMG.US,D,20210730,000000,7.2,7.2915,7.02,7.09,43179,0
NMG.US,D,20210802,000000,7.04,7.2499,7.03,7.16,48818,0
NMG.US,D,20210803,000000,7.03,7.06,6.5983,6.76,120097,0
NMG.US,D,20210804,000000,6.77,6.92,6.64,6.8,66182,0
NMG.US,D,20210805,000000,6.95,7,6.7,6.83,92038,0
NMG.US,D,20210806,000000,6.87,6.98,6.7,6.8,43036,0
NMG.US,D,20210809,000000,6.81,6.98,6.74,6.88,80201,0
NMG.US,D,20210810,000000,6.93,7.1099,6.86,7.04,66011,0
NMG.US,D,20210811,000000,7.07,7.13,6.82,6.89,129528,0
NMG.US,D,20210812,000000,6.82,7.13,6.82,7.05,122260,0
NMG.US,D,20210813,000000,7,7,6.8,6.88,84266,0
NMG.US,D,20210816,000000,6.83,6.89,6.71,6.79,48580,0
NMG.US,D,20210817,000000,6.78,6.78,6.43,6.47,84757,0
NMG.US,D,20210818,000000,6.56,6.57,6.2501,6.41,54143,0
NMG.US,D,20210819,000000,6.25,6.37,5.83,5.92,118195,0
NMG.US,D,20210820,000000,5.98,6.1547,5.88,5.94,112761,0
NMG.US,D,20210823,000000,6.06,6.2699,5.99,6.07,48597,0
NMG.US,D,20210824,000000,6.14,6.68,6.14,6.48,87972,0
NMG.US,D,20210825,000000,6.58,6.59,6.22,6.32,52333,0
NMG.US,D,20210826,000000,6.22,6.3687,6.2,6.3,37841,0
NMG.US,D,20210827,000000,6.28,6.65,6.26,6.53,86531,0
NMG.US,D,20210830,000000,6.57,6.6945,6.57,6.67,94456,0
NMG.US,D,20210831,000000,6.73,6.74,6.37,6.47,66896,0
NMG.US,D,20210901,000000,6.41,6.54,6.31,6.48,62957,0
NMG.US,D,20210902,000000,6.5,6.566,6.35,6.45,50798,0
NMG.US,D,20210903,000000,6.45,6.55,6.31,6.34,45901,0
NMG.US,D,20210907,000000,6.31,6.6,6.31,6.46,52515,0
NMG.US,D,20210908,000000,6.51,6.565,6.14,6.17,63309,0
NMG.US,D,20210909,000000,6.11,6.29,6.06,6.26,47045,0
NMG.US,D,20210910,000000,6.27,6.69,6.2501,6.37,72475,0
NMG.US,D,20210913,000000,6.48,6.69,6.37,6.5,89756,0
NMG.US,D,20210914,000000,6.53,6.619,6.39,6.43,88508,0
NMG.US,D,20210915,000000,6.39,6.69,5.07,5.56,292011,0
NMG.US,D,20210916,000000,5.62,6.14,5.62,6.1,184044,0
NMG.US,D,20210917,000000,6.09,6.24,6,6.2,159223,0
NMG.US,D,20210920,000000,6.06,6.1,5.58,5.72,137640,0
NMG.US,D,20210921,000000,5.71,5.7762,5.35,5.41,119370,0
NMG.US,D,20210922,000000,5.42,5.59,5.24,5.28,102420,0
NMG.US,D,20210923,000000,5.27,6,5.27,5.91,79171,0
NMG.US,D,20210924,000000,6.13,6.13,5.67,5.79,79172,0
NMG.US,D,20210927,000000,5.92,5.92,5.6,5.69,65882,0
NMG.US,D,20210928,000000,5.77,5.8013,5.56,5.6,47873,0
NMG.US,D,20210929,000000,5.71,5.7999,5.515,5.58,44634,0
NMG.US,D,20210930,000000,5.6,5.7,5.4112,5.6,69567,0
NMG.US,D,20211001,000000,5.68,6.08,5.6101,6.05,124846,0
NMG.US,D,20211004,000000,6.1,6.1,5.64,5.75,62572,0
NMG.US,D,20211005,000000,5.85,6.04,5.7727,6.04,45882,0
