<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NS_C.US,D,20171204,000000,25.07,25.2,25.03,25.04,524605,0
NS_C.US,D,20171205,000000,25.05,25.12,24.97,25.02,417350,0
NS_C.US,D,20171206,000000,24.97,25.03,24.85,24.95,206021,0
NS_C.US,D,20171207,000000,24.9,25.0442,24.9,25.02,161954,0
NS_C.US,D,20171208,000000,25,25.08,24.93,25.07,76344,0
NS_C.US,D,20171211,000000,25.07,25.17,25,25.06,176367,0
NS_C.US,D,20171212,000000,25.06,25.15,25.04,25.07,170381,0
NS_C.US,D,20171213,000000,25.1,25.15,25.0814,25.14,89882,0
NS_C.US,D,20171214,000000,25.1593,25.3,25.1593,25.3,65053,0
NS_C.US,D,20171215,000000,25.3,25.47,25.26,25.44,44069,0
NS_C.US,D,20171218,000000,25.4,25.55,25.34,25.38,99598,0
NS_C.US,D,20171219,000000,25.32,25.4,25.31,25.4,128036,0
NS_C.US,D,20171220,000000,25.3201,25.41,25.22,25.38,97554,0
NS_C.US,D,20171221,000000,25.34,25.47,25.281,25.4,65419,0
NS_C.US,D,20171222,000000,25.4,25.47,25.3601,25.47,22745,0
NS_C.US,D,20171226,000000,25.47,25.77,25.41,25.71,54090,0
NS_C.US,D,20171227,000000,25.66,25.77,25.55,25.63,55228,0
NS_C.US,D,20171228,000000,25.65,25.87,25.6,25.86,53419,0
NS_C.US,D,20171229,000000,25.86,25.98,25.86,25.96,58124,0
NS_C.US,D,20180102,000000,25.97,26.43,25.7,25.97,99331,0
NS_C.US,D,20180103,000000,25.99,26.09,25.67,25.99,36851,0
NS_C.US,D,20180104,000000,25.97,26.08,25.88,25.96,80747,0
NS_C.US,D,20180105,000000,25.98,25.99,25.86,25.98,65134,0
NS_C.US,D,20180108,000000,26.01,26.025,25.83,25.91,81684,0
NS_C.US,D,20180109,000000,25.91,25.92,25.62,25.74,101871,0
NS_C.US,D,20180110,000000,25.51,25.7,25.4,25.65,216806,0
NS_C.US,D,20180111,000000,25.7,25.79,25.63,25.79,202497,0
NS_C.US,D,20180112,000000,25.76,25.84,25.66,25.83,125598,0
NS_C.US,D,20180116,000000,25.8,25.83,25.7,25.76,99114,0
NS_C.US,D,20180117,000000,25.75,25.83,25.75,25.79,71957,0
NS_C.US,D,20180118,000000,25.65,25.79,25.5,25.58,159894,0
NS_C.US,D,20180119,000000,25.54,25.77,25.4,25.68,891915,0
NS_C.US,D,20180122,000000,25.5961,25.78,25.42,25.72,53141,0
NS_C.US,D,20180123,000000,25.6433,25.91,25.6433,25.83,115716,0
NS_C.US,D,20180124,000000,25.84,25.87,25.56,25.68,39097,0
NS_C.US,D,20180125,000000,25.705,25.84,25.66,25.73,24618,0
NS_C.US,D,20180126,000000,25.74,25.9,25.73,25.9,13676,0
NS_C.US,D,20180129,000000,25.75,25.75,25.411,25.58,74882,0
NS_C.US,D,20180130,000000,25.58,25.59,25.5,25.59,36385,0
NS_C.US,D,20180131,000000,25.55,25.59,25.5,25.55,51425,0
NS_C.US,D,20180201,000000,25.51,25.59,25.51,25.51,13928,0
NS_C.US,D,20180202,000000,25.52,25.52,25.12,25.314,142161,0
NS_C.US,D,20180205,000000,25.31,25.42,25.25,25.3395,27034,0
NS_C.US,D,20180206,000000,25.3,25.52,25.2399,25.52,70546,0
NS_C.US,D,20180207,000000,25.47,25.6699,25.47,25.5,52674,0
NS_C.US,D,20180208,000000,25.48,25.6199,25.36,25.46,80455,0
NS_C.US,D,20180209,000000,25.46,25.66,25.41,25.65,96593,0
NS_C.US,D,20180212,000000,25.6,25.6,24.91,24.91,110849,0
NS_C.US,D,20180213,000000,24.85,24.9699,24.5,24.76,144337,0
NS_C.US,D,20180214,000000,24.94,24.95,24.4,24.47,58729,0
NS_C.US,D,20180215,000000,24.53,24.72,24.53,24.72,46604,0
NS_C.US,D,20180216,000000,24.66,24.82,24.57,24.77,27003,0
NS_C.US,D,20180220,000000,24.83,24.94,24.83,24.83,87724,0
NS_C.US,D,20180221,000000,24.92,24.92,24.7383,24.74,42420,0
NS_C.US,D,20180222,000000,24.85,24.93,24.77,24.84,57218,0
NS_C.US,D,20180223,000000,24.91,24.98,24.67,24.82,81879,0
NS_C.US,D,20180226,000000,24.94,24.94,24.75,24.8976,34812,0
NS_C.US,D,20180227,000000,24.9,24.99,24.87,24.975,51241,0
NS_C.US,D,20180228,000000,24.49,24.63,24.45,24.59,45313,0
NS_C.US,D,20180301,000000,24.63,24.63,24.3,24.3,29571,0
NS_C.US,D,20180302,000000,24.3713,24.3723,23.82,23.82,85484,0
NS_C.US,D,20180305,000000,24.04,24.12,23.9,24.05,54826,0
NS_C.US,D,20180306,000000,24.33,24.4,23.91,23.91,51820,0
NS_C.US,D,20180307,000000,23.92,24.04,23.42,23.46,57876,0
NS_C.US,D,20180308,000000,23.46,23.612,22.51,22.79,139971,0
NS_C.US,D,20180309,000000,22.51,23.209,22.39,22.96,93375,0
NS_C.US,D,20180312,000000,23,23.27,22.97,23.13,59782,0
NS_C.US,D,20180313,000000,23.18,23.5,23.1,23.45,118485,0
NS_C.US,D,20180314,000000,23.33,23.4499,23.25,23.39,29197,0
NS_C.US,D,20180315,000000,23.41,23.84,22.9,23.07,118618,0
NS_C.US,D,20180316,000000,23.24,23.68,23.2201,23.68,76112,0
NS_C.US,D,20180319,000000,23.64,23.718,23.45,23.65,47471,0
NS_C.US,D,20180320,000000,23.55,23.5673,23.22,23.5,28187,0
NS_C.US,D,20180321,000000,23.5075,23.56,23.2292,23.45,20166,0
NS_C.US,D,20180322,000000,23.3391,23.45,23.3,23.44,19367,0
NS_C.US,D,20180323,000000,23.4,23.4,23.2549,23.35,22283,0
NS_C.US,D,20180326,000000,23.33,23.469,23.22,23.35,31802,0
NS_C.US,D,20180327,000000,23.47,23.47,23.1,23.41,43988,0
NS_C.US,D,20180328,000000,23.415,23.4299,23.271,23.4,45964,0
NS_C.US,D,20180329,000000,23.4,23.49,23.3,23.49,28310,0
NS_C.US,D,20180402,000000,23.52,23.52,23.3,23.5,21438,0
NS_C.US,D,20180403,000000,23.69,23.69,23.26,23.45,28563,0
NS_C.US,D,20180404,000000,23.425,23.45,23.4,23.45,28850,0
NS_C.US,D,20180405,000000,23.43,23.44,23.34,23.39,21926,0
NS_C.US,D,20180406,000000,23.34,23.34,23.11,23.31,35507,0
NS_C.US,D,20180409,000000,23.45,23.4999,23.2499,23.37,26215,0
NS_C.US,D,20180410,000000,23.48,23.48,23.31,23.4,41215,0
NS_C.US,D,20180411,000000,23.45,23.45,23.29,23.45,39847,0
NS_C.US,D,20180412,000000,23.33,23.42,23.2501,23.3798,10655,0
NS_C.US,D,20180413,000000,23.4146,23.4146,23.18,23.3,24556,0
NS_C.US,D,20180416,000000,23.34,23.48,23.07,23.48,15928,0
NS_C.US,D,20180417,000000,23.4462,23.55,22.31,23.43,138269,0
NS_C.US,D,20180418,000000,23.45,23.5,23.27,23.47,28649,0
NS_C.US,D,20180419,000000,23.5,23.5,23.3,23.385,6465,0
NS_C.US,D,20180420,000000,23.411,23.411,23.25,23.31,34541,0
NS_C.US,D,20180423,000000,23.4,23.449,23.18,23.24,19142,0
NS_C.US,D,20180424,000000,23.25,23.25,22.975,23.23,20275,0
NS_C.US,D,20180425,000000,22.9545,23.015,22.7001,22.7001,69992,0
NS_C.US,D,20180426,000000,22.9,23.2048,22.6924,22.96,83019,0
NS_C.US,D,20180427,000000,23,23.0999,22.95,23.07,8998,0
NS_C.US,D,20180430,000000,23.07,23.07,22.8444,22.94,39747,0
NS_C.US,D,20180501,000000,22.98,22.98,22.63,22.7854,59643,0
NS_C.US,D,20180502,000000,22.85,22.939,22.8001,22.9,28439,0
NS_C.US,D,20180503,000000,22.88,22.99,22.7679,22.83,33992,0
NS_C.US,D,20180504,000000,22.761,23.24,22.76,23.0948,34028,0
NS_C.US,D,20180507,000000,23.22,23.469,23.03,23.43,14271,0
NS_C.US,D,20180508,000000,23.42,23.75,23.14,23.75,115932,0
NS_C.US,D,20180509,000000,23.9,23.95,23.75,23.91,26881,0
NS_C.US,D,20180510,000000,23.7601,23.95,23.7601,23.88,21505,0
NS_C.US,D,20180511,000000,23.95,24,23.9,24,22691,0
NS_C.US,D,20180514,000000,24.1,24.1,23.907,23.97,19406,0
NS_C.US,D,20180515,000000,23.901,24.0112,23.751,23.89,15141,0
NS_C.US,D,20180516,000000,23.9,23.92,23.65,23.8327,58321,0
NS_C.US,D,20180517,000000,23.8,23.99,23.8,23.881,28460,0
NS_C.US,D,20180518,000000,23.925,23.98,23.8887,23.935,18541,0
NS_C.US,D,20180521,000000,23.92,24.09,23.92,24,16860,0
NS_C.US,D,20180522,000000,24.1,24.1,23.92,23.97,36977,0
NS_C.US,D,20180523,000000,23.92,24.05,23.92,24.05,26725,0
NS_C.US,D,20180524,000000,24.05,24.08,24,24.08,16349,0
NS_C.US,D,20180525,000000,24.085,24.09,24.05,24.05,15629,0
NS_C.US,D,20180529,000000,24.06,24.06,24,24.02,45840,0
NS_C.US,D,20180530,000000,24.03,24.09,23.98,24,72186,0
NS_C.US,D,20180531,000000,23.53,23.5399,23.35,23.409,104877,0
NS_C.US,D,20180601,000000,23.48,23.51,23.37,23.49,38742,0
NS_C.US,D,20180604,000000,23.47,23.75,23.47,23.53,34480,0
NS_C.US,D,20180605,000000,23.66,23.6853,23.6101,23.665,30782,0
NS_C.US,D,20180606,000000,23.68,23.78,23.6314,23.68,123846,0
NS_C.US,D,20180607,000000,23.7,23.99,23.6583,23.99,43283,0
NS_C.US,D,20180608,000000,23.99,24.01,23.9086,23.93,30615,0
NS_C.US,D,20180611,000000,23.85,24.03,23.85,23.86,34207,0
NS_C.US,D,20180612,000000,23.84,24.14,23.84,24.03,20880,0
NS_C.US,D,20180613,000000,24.05,24.12,23.86,24.0346,35225,0
NS_C.US,D,20180614,000000,24.08,24.15,23.99,24.07,19402,0
NS_C.US,D,20180615,000000,24.13,24.14,24.069,24.1399,16795,0
NS_C.US,D,20180618,000000,24.14,24.14,24.0002,24.12,16878,0
NS_C.US,D,20180619,000000,24.12,24.12,23.9,23.97,29351,0
NS_C.US,D,20180620,000000,24.07,24.14,23.92,24.13,21740,0
NS_C.US,D,20180621,000000,24.1,24.14,24.0083,24.13,12005,0
NS_C.US,D,20180622,000000,24.02,24.16,24.02,24.16,26325,0
NS_C.US,D,20180625,000000,24.16,24.16,24.04,24.06,21731,0
NS_C.US,D,20180626,000000,23.96,24.15,23.96,24.1,10463,0
NS_C.US,D,20180627,000000,24.08,24.15,23.86,23.86,38544,0
