<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NXTE.US,D,20221003,000000,29.61,30.48,29.6,30.2,399361,0
NXTE.US,D,20221004,000000,31.55,32.089,31.32,31.56,34329,0
NXTE.US,D,20221005,000000,30.98,31.27,30.53,30.9439,12241,0
NXTE.US,D,20221006,000000,30.86,31.3,30.48,30.534,14573,0
NXTE.US,D,20221007,000000,29.63,29.63,29.2375,29.2375,1552,0
NXTE.US,D,20221010,000000,28.687,28.687,28.687,28.687,103,0
NXTE.US,D,20221011,000000,28.42,28.47,28.05,28.2018,5674,0
NXTE.US,D,20221012,000000,28.13,28.23,28.05,28.0801,5239,0
NXTE.US,D,20221013,000000,27.14,28.98,27.14,28.5716,15952,0
NXTE.US,D,20221014,000000,27.7727,27.7727,27.5702,27.5702,3562,0
NXTE.US,D,20221017,000000,28.2534,28.28,28.2088,28.2088,445,0
NXTE.US,D,20221018,000000,28.555,29.28,28.5092,28.5189,25550,0
NXTE.US,D,20221019,000000,28.02,28.02,27.8987,27.9871,294097,0
NXTE.US,D,20221020,000000,28.39,28.45,27.735,27.7774,18608,0
NXTE.US,D,20221021,000000,28.075,28.47,27.74,28.3911,13197,0
NXTE.US,D,20221024,000000,27.72,28.29,27.72,28.2269,2251,0
NXTE.US,D,20221025,000000,29.2752,29.2752,29.03,29.2752,1334,0
NXTE.US,D,20221026,000000,30.2799,30.28,29.7465,29.8437,6938,0
NXTE.US,D,20221027,000000,29.7701,29.83,29.5759,29.5759,9720,0
NXTE.US,D,20221028,000000,29.52,30.1714,29.52,30.1714,8240,0
NXTE.US,D,20221031,000000,30.02,30.27,29.99,30.0751,24523,0
NXTE.US,D,20221101,000000,30.32,30.4,30.12,30.1411,7588,0
NXTE.US,D,20221102,000000,30.2439,30.65,29.5314,29.5314,4161,0
NXTE.US,D,20221103,000000,29.2,29.6699,29.2,29.4504,3045,0
NXTE.US,D,20221104,000000,30.01,30.01,29.5,29.9081,4455,0
NXTE.US,D,20221107,000000,29.9301,30.08,29.83,30.0185,2298,0
NXTE.US,D,20221108,000000,30.28,30.86,30.28,30.5741,4293,0
NXTE.US,D,20221109,000000,30.26,30.26,30.0123,30.0123,5442,0
NXTE.US,D,20221110,000000,31.41,33.03,31.33,32.7644,5248,0
NXTE.US,D,20221111,000000,33.25,33.5052,33.25,33.3809,5687,0
NXTE.US,D,20221114,000000,33.11,33.63,32.885,32.885,22038,0
NXTE.US,D,20221115,000000,33.68,34.03,33.63,33.7198,3692,0
NXTE.US,D,20221116,000000,33.005,33.16,32.8639,32.9745,8492,0
NXTE.US,D,20221117,000000,32.54,32.7709,32.54,32.7709,5647,0
NXTE.US,D,20221118,000000,32.7,32.7,32.39,32.5477,3184,0
NXTE.US,D,20221121,000000,32.31,32.31,31.99,32.0866,21118,0
NXTE.US,D,20221122,000000,32.19,32.4763,32.19,32.4763,6096,0
NXTE.US,D,20221123,000000,32.68,33.305,32.565,32.7918,21606,0
NXTE.US,D,20221125,000000,32.81,32.91,32.7726,32.7845,4107,0
NXTE.US,D,20221128,000000,31.97,31.97,31.9,31.9059,5554,0
NXTE.US,D,20221129,000000,32.27,32.27,31.9452,31.9628,3492,0
NXTE.US,D,20221130,000000,32.125,33.3903,32.07,33.3903,17122,0
NXTE.US,D,20221201,000000,33.22,33.38,33.1201,33.1795,8679,0
NXTE.US,D,20221202,000000,33.21,33.5101,33.21,33.4219,7212,0
NXTE.US,D,20221205,000000,33.22,33.22,32.4658,32.5253,3883,0
NXTE.US,D,20221206,000000,32.04,32.04,31.559,31.6538,1999,0
NXTE.US,D,20221207,000000,31.5,31.78,31.5,31.5721,3241,0
NXTE.US,D,20221208,000000,32.09,32.09,31.8,31.9128,8151,0
NXTE.US,D,20221209,000000,31.98,32.2,31.7852,31.7852,4347,0
NXTE.US,D,20221212,000000,31.76,31.9973,31.744,31.9973,836,0
NXTE.US,D,20221213,000000,33.38,36.51,32.57,32.8,96989,0
NXTE.US,D,20221214,000000,33.0209,33.37,32.56,32.89,14089,0
NXTE.US,D,20221215,000000,32.0471,32.08,31.76,31.8318,19740,0
NXTE.US,D,20221216,000000,31.07,31.379,31,31.201,12152,0
NXTE.US,D,20221219,000000,31.28,31.28,30.3399,30.4114,8286,0
NXTE.US,D,20221220,000000,30.15,31.54,30.14,30.3222,21512,0
NXTE.US,D,20221221,000000,30.63,31.15,30.63,30.7781,12845,0
NXTE.US,D,20221222,000000,29.89,30.12,29.52,30.12,8705,0
NXTE.US,D,20221223,000000,29.81,29.81,29.7,29.79,2792,0
NXTE.US,D,20221227,000000,29.34,29.35,29.0584,29.08,8838,0
NXTE.US,D,20221228,000000,29.1,29.1,28.51,28.51,17011,0
NXTE.US,D,20221229,000000,29.14,29.43,29.14,29.34,12279,0
NXTE.US,D,20221230,000000,29.08,29.29,28.9356,29.29,96896,0
NXTE.US,D,20230103,000000,29.63,29.67,28.9295,29.04,67512,0
NXTE.US,D,20230104,000000,29.41,29.8114,29.41,29.79,9044,0
NXTE.US,D,20230105,000000,29.45,29.46,29.26,29.3072,6293,0
NXTE.US,D,20230106,000000,29.63,30.44,29.25,30.37,9705,0
NXTE.US,D,20230109,000000,30.72,31.2,30.72,30.7361,5326,0
NXTE.US,D,20230110,000000,31.0189,31.44,30.979,31.44,28768,0
NXTE.US,D,20230111,000000,31.62,32.25,31.62,32.2366,5563,0
NXTE.US,D,20230112,000000,32.43,32.8516,32.07,32.8516,2047,0
NXTE.US,D,20230113,000000,32.58,33.04,32.58,33.0288,7017,0
NXTE.US,D,20230117,000000,33.04,33.26,33.04,33.24,10249,0
NXTE.US,D,20230118,000000,33.54,33.54,32.7889,32.7889,4183,0
NXTE.US,D,20230119,000000,32.04,32.0599,31.8336,31.8336,4777,0
NXTE.US,D,20230120,000000,32.02,32.482,32.02,32.482,7897,0
NXTE.US,D,20230123,000000,33.08,33.45,33.08,33.3698,26379,0
NXTE.US,D,20230124,000000,33.16,33.29,33.05,33.1485,5687,0
NXTE.US,D,20230125,000000,32.67,33.079,32.34,33.0291,17149,0
NXTE.US,D,20230126,000000,32.9,33.1487,32.79,33.1487,7835,0
NXTE.US,D,20230127,000000,33,33.77,33,33.607,4635,0
NXTE.US,D,20230130,000000,33.13,33.15,32.8,32.8,8910,0
NXTE.US,D,20230131,000000,33.12,33.5698,33.12,33.5698,4867,0
NXTE.US,D,20230201,000000,33.63,34.48,33.4801,34.3839,8782,0
NXTE.US,D,20230202,000000,35.389,35.62,34.895,35.1789,14354,0
NXTE.US,D,20230203,000000,34.51,34.98,34.39,34.4704,5406,0
NXTE.US,D,20230206,000000,33.9,34.09,33.89,33.9984,25412,0
NXTE.US,D,20230207,000000,34.03,34.33,33.58,34.3046,17863,0
NXTE.US,D,20230208,000000,34.36,34.36,33.61,33.6262,23636,0
NXTE.US,D,20230209,000000,34.13,34.17,33.1101,33.2989,23226,0
NXTE.US,D,20230210,000000,33,33.19,32.9699,33.1357,2996,0
NXTE.US,D,20230213,000000,33.04,33.6,33,33.54,23449,0
NXTE.US,D,20230214,000000,33,33.75,33,33.6266,6130,0
NXTE.US,D,20230215,000000,33.4,34.1517,33.4,34.1517,5226,0
NXTE.US,D,20230216,000000,33.67,33.84,33.26,33.26,17865,0
NXTE.US,D,20230217,000000,32.875,33.0525,32.6801,33.0525,8682,0
NXTE.US,D,20230221,000000,32.3,32.3,31.7441,31.7441,22597,0
NXTE.US,D,20230222,000000,31.79,32.0517,31.76,31.7649,6492,0
NXTE.US,D,20230223,000000,32,32.2,31.63,32.1037,5440,0
NXTE.US,D,20230224,000000,31.2,31.36,31.0701,31.2044,3801,0
NXTE.US,D,20230227,000000,31.72,31.79,31.54,31.5903,7734,0
NXTE.US,D,20230228,000000,31.62,31.75,31.59,31.6,3759,0
NXTE.US,D,20230301,000000,31.72,31.76,31.505,31.547,18100,0
NXTE.US,D,20230302,000000,31.34,31.8,31.2601,31.7966,3546,0
NXTE.US,D,20230303,000000,31.84,32.48,31.84,32.3842,2133,0
NXTE.US,D,20230306,000000,32.5,32.62,32.185,32.2162,6302,0
NXTE.US,D,20230307,000000,31.83,31.96,31.66,31.6848,7016,0
NXTE.US,D,20230308,000000,31.65,32.0269,31.65,32.0269,5155,0
NXTE.US,D,20230309,000000,32.32,32.32,31.2788,31.2788,14674,0
NXTE.US,D,20230310,000000,31.34,31.34,29.9997,30.1958,24642,0
NXTE.US,D,20230313,000000,29.91,30.78,29.91,30.527,6147,0
NXTE.US,D,20230314,000000,31.21,31.21,30.6035,30.8077,5030,0
NXTE.US,D,20230315,000000,30.26,30.26,29.7,30.1974,9387,0
NXTE.US,D,20230316,000000,30.1,30.41,29.76,30.308,7329,0
NXTE.US,D,20230317,000000,30.1,30.1,29.5146,29.6666,6797,0
NXTE.US,D,20230320,000000,29.8,30.13,29.8,30.0012,5975,0
NXTE.US,D,20230321,000000,30.74,30.88,30.52,30.82,13684,0
NXTE.US,D,20230322,000000,30.65,30.76,30.04,30.04,5280,0
NXTE.US,D,20230323,000000,30.65,30.97,29.96,30.18,12716,0
NXTE.US,D,20230324,000000,29.77,30.1157,29.67,30.1157,2260,0
NXTE.US,D,20230327,000000,30.32,30.35,30.09,30.1949,6511,0
NXTE.US,D,20230328,000000,30.17,30.17,29.9978,29.9978,4732,0
NXTE.US,D,20230329,000000,30.46,30.98,30.44,30.9101,6024,0
