<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OUT.US,D,20141124,000000,19.2043,19.2043,18.8251,18.8985,1419155.7146847,0
OUT.US,D,20141125,000000,18.8251,18.8985,18.3791,18.4496,2860283.8391342,0
OUT.US,D,20141126,000000,18.6088,18.6279,18.2658,18.5507,924464.79237147,0
OUT.US,D,20141128,000000,18.4973,18.7497,18.4753,18.585,466895.86594072,0
OUT.US,D,20141201,000000,18.4753,18.7497,18.4278,18.5392,969631.23422482,0
OUT.US,D,20141202,000000,18.5945,18.7564,18.5307,18.6555,649485.37366262,0
OUT.US,D,20141203,000000,18.5783,18.7497,18.4973,18.6088,1193631.0100062,0
OUT.US,D,20141204,000000,18.4973,18.7793,18.2086,18.5993,1813499.3888482,0
OUT.US,D,20141205,000000,18.6088,18.8385,18.3945,18.8337,1830584.2598151,0
OUT.US,D,20141208,000000,18.6765,18.8985,18.646,18.8213,857658.63343071,0
OUT.US,D,20141209,000000,18.7974,19.0251,18.6698,18.9709,738225.11073085,0
OUT.US,D,20141210,000000,19.0118,19.0118,18.5307,18.5507,752655.78680399,0
OUT.US,D,20141211,000000,18.5307,18.8127,18.4907,18.5096,427411.43719718,0
OUT.US,D,20141212,000000,18.3858,18.6403,18.2725,18.3945,724024.27597117,0
OUT.US,D,20141215,000000,18.8698,18.8698,17.736,17.877,1434207.6969567,0
OUT.US,D,20141216,000000,17.796,18.0829,17.6521,17.877,1131680.904752,0
OUT.US,D,20141217,000000,18.0829,18.6279,17.8923,18.2152,627124.6475234,0
OUT.US,D,20141218,000000,18.3791,18.6632,18.3115,18.5163,853588.65802622,0
OUT.US,D,20141219,000000,18.5163,18.5993,18.2953,18.5096,1705589.4169325,0
OUT.US,D,20141222,000000,18.4687,18.725,18.3734,18.6632,860511.18452647,0
OUT.US,D,20141223,000000,18.3734,18.7098,18.2896,18.522,962607.95536799,0
OUT.US,D,20141224,000000,18.5469,18.6879,18.1447,18.6555,945336.27273994,0
OUT.US,D,20141226,000000,18.6632,18.8927,18.5993,18.8832,787353.42910609,0
OUT.US,D,20141229,000000,18.8698,19.1977,18.8127,18.9709,1160686.0389071,0
OUT.US,D,20141230,000000,18.9156,18.9156,18.2209,18.4687,1589170.0689005,0
OUT.US,D,20141231,000000,18.5392,18.6317,18.3115,18.4345,1373095.0956666,0
OUT.US,D,20150102,000000,18.5307,18.8337,18.304,18.4077,947815.20051339,0
OUT.US,D,20150105,000000,18.5096,18.6279,18.304,18.3391,1624677.9280701,0
OUT.US,D,20150106,000000,18.402,18.4144,18.0514,18.3239,2952563.552231,0
OUT.US,D,20150107,000000,18.3172,18.402,18.0829,18.121,2237993.2057193,0
OUT.US,D,20150108,000000,18.2658,18.402,18.0132,18.0447,1004600.697989,0
OUT.US,D,20150109,000000,18.0132,18.1685,17.656,17.8084,1517823.7568912,0
OUT.US,D,20150112,000000,17.8513,18.2762,17.8084,18.2001,1331560.9861688,0
OUT.US,D,20150113,000000,18.2953,18.564,18.2725,18.5573,997228.98389895,0
OUT.US,D,20150114,000000,18.4907,18.8041,18.161,18.3668,2056794.290419,0
OUT.US,D,20150115,000000,18.5697,18.5945,18.1447,18.2658,857771.97983186,0
OUT.US,D,20150116,000000,18.2762,18.5039,18.139,18.4753,986472.62032995,0
OUT.US,D,20150120,000000,18.5307,18.5697,18.2658,18.4278,835819.51063754,0
OUT.US,D,20150121,000000,18.4687,18.6155,18.2896,18.4611,1019938.1452713,0
OUT.US,D,20150122,000000,18.4907,19.0308,18.3734,18.9509,1154690.2241868,0
OUT.US,D,20150123,000000,18.9766,19.4768,18.8251,19.4225,2087462.8879615,0
OUT.US,D,20150126,000000,19.3605,19.5264,19.211,19.4378,945431.77757796,0
OUT.US,D,20150127,000000,19.3749,19.4644,19.2243,19.3873,962945.89556402,0
OUT.US,D,20150128,000000,19.5074,19.7331,19.3558,19.4921,1834974.3338524,0
OUT.US,D,20150129,000000,19.4701,19.6446,19.2043,19.5892,1871259.8752744,0
OUT.US,D,20150130,000000,19.5121,19.575,19.3558,19.4701,1282401.1826822,0
OUT.US,D,20150202,000000,19.5502,19.8427,19.3605,19.7246,1875831.5134544,0
OUT.US,D,20150203,000000,19.7189,19.9999,19.6446,19.9104,2682014.0887007,0
OUT.US,D,20150204,000000,19.8637,20.0914,19.8293,19.9313,831636.1888319,0
OUT.US,D,20150205,000000,20.0704,20.1515,19.918,20.1095,656130.83118227,0
OUT.US,D,20150206,000000,20.0247,20.1867,19.8085,20.061,641920.55088915,0
OUT.US,D,20150209,000000,20.0781,20.1019,19.8293,20.0429,639553.92001316,0
OUT.US,D,20150210,000000,20.0704,20.1934,19.8903,20.0953,605939.36554433,0
OUT.US,D,20150211,000000,20.1095,20.2343,19.9532,20.0914,713779.02071109,0
OUT.US,D,20150212,000000,20.1019,20.2953,20.0247,20.1724,1284473.9525181,0
OUT.US,D,20150213,000000,20.2143,20.4125,20.2143,20.343,867366.542789,0
OUT.US,D,20150217,000000,20.4202,20.5917,20.2219,20.4869,807464.01928161,0
OUT.US,D,20150218,000000,20.503,20.584,20.2629,20.4696,677786.2908254,0
OUT.US,D,20150219,000000,20.5182,20.5363,20.3801,20.4869,783820.79960339,0
OUT.US,D,20150220,000000,20.4869,20.604,20.4696,20.5764,1096576.0550087,0
OUT.US,D,20150223,000000,20.584,20.7089,20.5363,20.6174,1146333.0261088,0
OUT.US,D,20150224,000000,20.544,20.6412,20.3581,20.4468,1080046.3715067,0
OUT.US,D,20150225,000000,20.5231,20.6459,20.3353,20.3801,864055.35857003,0
OUT.US,D,20150226,000000,20.3106,20.3839,20.0781,20.1247,1127622.4738883,0
OUT.US,D,20150227,000000,20.0704,20.6965,19.9037,20.5697,2091989.3974817,0
OUT.US,D,20150302,000000,20.6802,20.7089,20.4763,20.564,1991161.476631,0
OUT.US,D,20150303,000000,20.6412,21.1081,20.503,20.768,1740443.4352881,0
OUT.US,D,20150304,000000,20.6802,20.8528,20.5697,20.7917,963109.61814348,0
OUT.US,D,20150305,000000,20.8737,20.9957,20.6459,20.8528,991940.53468204,0
OUT.US,D,20150306,000000,20.7499,20.8108,20.5087,20.6726,1892300.325741,0
OUT.US,D,20150309,000000,20.7298,20.8699,20.2982,20.4239,1460593.2698407,0
OUT.US,D,20150310,000000,20.4021,20.665,20.1515,20.2076,1865719.5451661,0
OUT.US,D,20150311,000000,20.2419,20.3116,19.9981,20.1086,914254.17073398,0
OUT.US,D,20150312,000000,20.1934,20.3116,20.1314,20.2773,560421.33994665,0
OUT.US,D,20150313,000000,20.2639,20.4287,19.9352,20.2639,876042.78999603,0
OUT.US,D,20150316,000000,20.2706,20.5821,20.2706,20.542,1338199.0971625,0
OUT.US,D,20150317,000000,20.4668,20.8823,20.3877,20.7994,1396665.8995885,0
OUT.US,D,20150318,000000,20.8471,21.3196,20.6174,21.149,3203053.8512678,0
OUT.US,D,20150319,000000,21.1891,21.3005,20.9746,21.1805,1206315.3118986,0
OUT.US,D,20150320,000000,21.2938,21.92,21.2167,21.4539,4294444.3084237,0
OUT.US,D,20150323,000000,21.4539,21.635,21.0909,21.1185,1948468.7150325,0
OUT.US,D,20150324,000000,21.1805,21.2938,20.8622,20.986,1164365.5989298,0
OUT.US,D,20150325,000000,21.1405,21.1891,20.7441,20.8394,902332.858042,0
OUT.US,D,20150326,000000,20.7697,20.9452,20.7574,20.8699,812259.20175275,0
OUT.US,D,20150327,000000,20.8622,20.9927,20.7697,20.9452,1034501.0588125,0
OUT.US,D,20150330,000000,21.0748,21.1738,20.9109,21.0166,1256024.0058278,0
OUT.US,D,20150331,000000,20.9803,21.009,20.7231,20.8251,1486314.5068735,0
OUT.US,D,20150401,000000,20.9185,20.9185,20.5983,20.7374,2096148.5807019,0
OUT.US,D,20150402,000000,20.7032,20.9185,20.665,20.7089,948734.5657672,0
OUT.US,D,20150406,000000,20.7298,20.8766,20.7136,20.8251,1779521.7060941,0
OUT.US,D,20150407,000000,20.8823,20.9527,20.7631,20.8555,867973.15593592,0
OUT.US,D,20150408,000000,20.8394,20.9746,20.7508,20.8471,562143.57554199,0
OUT.US,D,20150409,000000,20.8194,20.8699,20.443,20.5897,1381372.5314622,0
OUT.US,D,20150410,000000,20.6536,20.8327,20.5821,20.6251,788121.66582504,0
OUT.US,D,20150413,000000,20.604,20.8394,20.2353,20.2353,1345233.9205601,0
OUT.US,D,20150414,000000,20.2076,20.4163,20.1391,20.1724,1024879.2087588,0
OUT.US,D,20150415,000000,20.2639,20.5336,20.1724,20.2982,1038305.5097772,0
OUT.US,D,20150416,000000,20.3534,20.4792,20.2152,20.3753,665484.00828509,0
OUT.US,D,20150417,000000,20.2639,20.3267,20.0133,20.101,960802.8089792,0
OUT.US,D,20150420,000000,20.1801,20.3182,20.0762,20.2505,826631.10561789,0
OUT.US,D,20150421,000000,20.2773,20.3877,20.101,20.2076,636393.86432907,0
