<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PACI-U.US,D,20230424,000000,10.42,10.44,10.42,10.43,3500,0
PACI-U.US,D,20230425,000000,10.44,10.45,10.44,10.45,21498,0
PACI-U.US,D,20230515,000000,10.4,10.49,10.4,10.49,8452,0
PACI-U.US,D,20230525,000000,10.49,10.51,10.49,10.51,3200,0
PACI-U.US,D,20230609,000000,10.59,10.61,10.59,10.61,1152,0
PACI-U.US,D,20230614,000000,10.55,10.55,10.55,10.55,10000,0
PACI-U.US,D,20230615,000000,10.61,10.61,10.61,10.61,1027,0
PACI-U.US,D,20230616,000000,10.55,10.59,10.54,10.58,36100,0
PACI-U.US,D,20230622,000000,10.55,10.57,10.55,10.55,24642,0
PACI-U.US,D,20230623,000000,10.57,10.57,10.57,10.57,1047,0
PACI-U.US,D,20230627,000000,10.57,10.57,10.57,10.57,200,0
PACI-U.US,D,20230629,000000,10.59,10.59,10.5898,10.5898,1600,0
PACI-U.US,D,20230630,000000,11.11,11.11,10.55,10.62,675,0
PACI-U.US,D,20230703,000000,10.56,11.115,10.56,11.115,455,0
PACI-U.US,D,20230711,000000,10.59,10.59,10.58,10.58,2000,0
PACI-U.US,D,20230717,000000,10.59,10.59,10.58,10.59,2600,0
PACI-U.US,D,20230720,000000,10.58,10.6512,10.58,10.6512,590,0
PACI-U.US,D,20230724,000000,10.58,10.58,10.58,10.58,255,0
PACI-U.US,D,20230726,000000,10.58,10.58,10.58,10.58,265,0
PACI-U.US,D,20230728,000000,11.6,11.6,11.6,11.6,265,0
PACI-U.US,D,20230731,000000,10.65,10.65,10.6,10.64,3620,0
PACI-U.US,D,20230803,000000,10.64,10.64,10.64,10.64,395,0
