<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PERF-WS.US,D,20221101,000000,0.35,0.3501,0.1999,0.215,35938,0
PERF-WS.US,D,20221102,000000,0.2118,0.2118,0.185,0.21,43935,0
PERF-WS.US,D,20221103,000000,0.2,0.27,0.2,0.26,7856,0
PERF-WS.US,D,20221104,000000,0.26,0.27,0.2119,0.2125,2703,0
PERF-WS.US,D,20221107,000000,0.26,0.2626,0.181,0.225,7201,0
PERF-WS.US,D,20221108,000000,0.19,0.19,0.149899,0.149899,45811,0
PERF-WS.US,D,20221109,000000,0.1056,0.1056,0.1056,0.1056,200,0
PERF-WS.US,D,20221110,000000,0.1656,0.17,0.1656,0.17,1100,0
PERF-WS.US,D,20221115,000000,0.150101,0.35,0.150101,0.21,71131,0
PERF-WS.US,D,20221116,000000,0.2698,0.2698,0.2096,0.2097,1557,0
PERF-WS.US,D,20221117,000000,0.22,0.3279,0.22,0.2519,173754,0
PERF-WS.US,D,20221118,000000,0.2219,0.25,0.21,0.2412,45045,0
PERF-WS.US,D,20221121,000000,0.44,0.44,0.2508,0.2508,5310,0
PERF-WS.US,D,20221123,000000,0.2559,0.265,0.1606,0.2559,4901,0
PERF-WS.US,D,20221125,000000,0.21,0.21,0.2099,0.2099,1440,0
PERF-WS.US,D,20221128,000000,0.21,0.21,0.21,0.21,1088,0
PERF-WS.US,D,20221130,000000,0.21,0.3147,0.21,0.2421,14905,0
PERF-WS.US,D,20221202,000000,0.1451,0.1451,0.1451,0.1451,600,0
PERF-WS.US,D,20221205,000000,0.17,0.17,0.17,0.17,135,0
PERF-WS.US,D,20221206,000000,0.16,0.16,0.16,0.16,123,0
PERF-WS.US,D,20221207,000000,0.171,0.171,0.16,0.16,977,0
PERF-WS.US,D,20221209,000000,0.16,0.16,0.16,0.16,100,0
PERF-WS.US,D,20221213,000000,0.1599,0.1599,0.1599,0.1599,2023,0
PERF-WS.US,D,20221215,000000,0.1225,0.1225,0.1225,0.1225,1001,0
PERF-WS.US,D,20221220,000000,0.155,0.1601,0.15,0.15,7596,0
PERF-WS.US,D,20221228,000000,0.15,0.15,0.15,0.15,5000,0
PERF-WS.US,D,20221229,000000,0.13,0.14,0.13,0.135001,2200,0
PERF-WS.US,D,20221230,000000,0.1225,0.1538,0.1225,0.1538,8300,0
PERF-WS.US,D,20230104,000000,0.1225,0.1325,0.1225,0.1225,6156,0
PERF-WS.US,D,20230105,000000,0.149,0.1945,0.149,0.1945,200,0
PERF-WS.US,D,20230112,000000,0.1599,0.1655,0.1577,0.1577,15605,0
PERF-WS.US,D,20230113,000000,0.16,0.16,0.1325,0.1326,1500,0
PERF-WS.US,D,20230117,000000,0.1225,0.15,0.1225,0.15,2301,0
PERF-WS.US,D,20230125,000000,0.13,0.14,0.1206,0.14,2196,0
PERF-WS.US,D,20230126,000000,0.1301,0.1301,0.1301,0.1301,1091,0
PERF-WS.US,D,20230130,000000,0.1425,0.1425,0.1425,0.1425,300,0
PERF-WS.US,D,20230213,000000,0.13,0.13,0.1254,0.1276,1800,0
PERF-WS.US,D,20230214,000000,0.169,0.21,0.169,0.21,201,0
PERF-WS.US,D,20230224,000000,0.13,0.13,0.13,0.13,200,0
PERF-WS.US,D,20230227,000000,0.1339,0.1561,0.1339,0.15375,15500,0
PERF-WS.US,D,20230228,000000,0.13,0.19,0.13,0.19,25601,0
PERF-WS.US,D,20230301,000000,0.1624,0.1775,0.1624,0.1775,6773,0
PERF-WS.US,D,20230302,000000,0.1803,0.1803,0.1803,0.1803,1000,0
PERF-WS.US,D,20230306,000000,0.195,0.195,0.195,0.195,8680,0
