<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFH.US,D,20200902,000000,25.54,25.6,25.43,25.55,719100,0
PFH.US,D,20200903,000000,25.59,25.64,25.5,25.59,708626,0
PFH.US,D,20200904,000000,25.63,25.65,25.3,25.49,732998,0
PFH.US,D,20200908,000000,25.3,25.3969,25.2,25.28,279504,0
PFH.US,D,20200909,000000,25.38,25.535,25.34,25.5,551430,0
PFH.US,D,20200910,000000,25.51,25.74,25.51,25.62,473362,0
PFH.US,D,20200911,000000,25.68,25.68,25.57,25.64,174706,0
PFH.US,D,20200914,000000,25.72,25.8,25.69,25.79,223390,0
PFH.US,D,20200915,000000,25.83,25.9,25.71,25.76,278672,0
PFH.US,D,20200916,000000,25.75,25.87,25.75,25.77,177873,0
PFH.US,D,20200917,000000,25.72,25.77,25.63,25.64,101531,0
PFH.US,D,20200918,000000,25.69,25.75,25.55,25.58,302573,0
PFH.US,D,20200921,000000,25.55,25.6,25.39,25.57,447479,0
PFH.US,D,20200922,000000,25.6,25.74,25.6,25.69,197623,0
PFH.US,D,20200923,000000,25.78,25.83,25.58,25.58,347839,0
PFH.US,D,20200924,000000,25.53,25.675,25.39,25.61,201946,0
PFH.US,D,20200925,000000,25.67,25.72,25.6,25.62,353334,0
PFH.US,D,20200928,000000,25.7,25.75,25.66,25.71,226240,0
PFH.US,D,20200929,000000,25.79,25.79,25.6,25.6,221395,0
PFH.US,D,20200930,000000,25.66,25.67,25.29,25.45,2707984,0
PFH.US,D,20201001,000000,25.51,25.52,25.36,25.44,340703,0
PFH.US,D,20201002,000000,25.39,25.48,25.375,25.48,174623,0
PFH.US,D,20201005,000000,25.55,25.55,25.41,25.44,227861,0
PFH.US,D,20201006,000000,25.46,25.49,25.33,25.34,168268,0
PFH.US,D,20201007,000000,25.43,25.4509,25.35,25.35,149622,0
PFH.US,D,20201008,000000,25.42,25.45,25.382,25.43,100492,0
PFH.US,D,20201009,000000,25.44,25.44,25.36,25.4,132008,0
PFH.US,D,20201012,000000,25.49,25.6,25.44,25.6,161600,0
PFH.US,D,20201013,000000,25.59,25.6,25.4682,25.49,213202,0
PFH.US,D,20201014,000000,25.54,25.54,25.42,25.45,112862,0
PFH.US,D,20201015,000000,25.43,25.46,25.4,25.43,179347,0
PFH.US,D,20201016,000000,25.49,25.53,25.37,25.37,179113,0
PFH.US,D,20201019,000000,25.43,25.43,25.35,25.36,122369,0
PFH.US,D,20201020,000000,25.37,25.42,25.34,25.4,109066,0
PFH.US,D,20201021,000000,25.4,25.43,25.17,25.18,334431,0
PFH.US,D,20201022,000000,25.22,25.35,25.16,25.31,105375,0
PFH.US,D,20201023,000000,25.35,25.39,25.31,25.38,116630,0
PFH.US,D,20201026,000000,25.39,25.42,25.34,25.38,149406,0
PFH.US,D,20201027,000000,25.41,25.42,25.31,25.35,137005,0
PFH.US,D,20201028,000000,25.3,25.3555,25.18,25.18,190123,0
PFH.US,D,20201029,000000,25.27,25.27,25.16,25.24,172776,0
PFH.US,D,20201030,000000,25.24,25.26,25.21,25.24,157995,0
PFH.US,D,20201102,000000,25.26,25.3,25.21,25.21,168116,0
PFH.US,D,20201103,000000,25.27,25.29,25.25,25.26,167600,0
PFH.US,D,20201104,000000,25.3,25.35,25.29,25.3,145992,0
PFH.US,D,20201105,000000,25.35,25.38,25.28,25.35,211453,0
PFH.US,D,20201106,000000,25.37,25.4,25.29,25.3,173394,0
PFH.US,D,20201109,000000,25.38,25.4,25.29,25.33,167706,0
PFH.US,D,20201110,000000,25.35,25.35,25.28,25.32,153045,0
PFH.US,D,20201111,000000,25.36,25.41,25.36,25.39,129503,0
PFH.US,D,20201112,000000,25.2,25.21,25.15,25.2,252910,0
PFH.US,D,20201113,000000,25.25,25.289,25.24,25.25,66773,0
PFH.US,D,20201116,000000,25.3,25.4,25.27,25.4,104063,0
PFH.US,D,20201117,000000,25.41,25.41,25.28,25.33,213209,0
PFH.US,D,20201118,000000,25.39,25.47,25.36,25.39,89009,0
PFH.US,D,20201119,000000,25.47,25.47,25.4,25.46,343800,0
PFH.US,D,20201120,000000,25.5,25.54,25.43,25.44,105570,0
PFH.US,D,20201123,000000,25.51,25.51,25.45,25.5,292848,0
PFH.US,D,20201124,000000,25.56,25.6,25.53,25.56,77481,0
PFH.US,D,20201125,000000,25.67,25.67,25.57,25.58,85455,0
PFH.US,D,20201127,000000,25.67,25.78,25.63,25.74,41317,0
PFH.US,D,20201130,000000,25.74,25.79,25.66,25.66,120338,0
PFH.US,D,20201201,000000,25.74,25.79,25.72,25.79,58774,0
PFH.US,D,20201202,000000,25.8,25.83,25.75,25.81,106908,0
PFH.US,D,20201203,000000,25.87,25.87,25.82,25.85,74832,0
PFH.US,D,20201204,000000,25.85,25.89,25.82,25.83,42981,0
PFH.US,D,20201207,000000,25.88,25.9,25.83,25.89,75600,0
PFH.US,D,20201208,000000,25.9,25.95,25.85,25.94,56091,0
PFH.US,D,20201209,000000,25.98,26.02,25.9593,25.98,71934,0
PFH.US,D,20201210,000000,25.98,26.11,25.96,25.98,99213,0
PFH.US,D,20201211,000000,26.02,26.02,25.89,25.9,79593,0
PFH.US,D,20201214,000000,25.96,26.06,25.95,25.98,76367,0
PFH.US,D,20201215,000000,26.05,26.08,26,26.04,87872,0
PFH.US,D,20201216,000000,26.07,26.07,25.97,26.01,89907,0
PFH.US,D,20201217,000000,26.01,26.045,25.96,25.99,57325,0
PFH.US,D,20201218,000000,26.01,26.01,25.93,26,45840,0
PFH.US,D,20201221,000000,26.01,26.06,26.01,26.05,71188,0
PFH.US,D,20201222,000000,26.12,26.12,25.83,26.02,105672,0
PFH.US,D,20201223,000000,26.15,26.16,25.98,26.08,65187,0
PFH.US,D,20201224,000000,26.08,26.14,25.99,26.02,46958,0
PFH.US,D,20201228,000000,26.11,26.11,26.02,26.09,45555,0
PFH.US,D,20201229,000000,26.21,26.21,26.12,26.19,45252,0
PFH.US,D,20201230,000000,26.22,26.28,26.17,26.25,136649,0
PFH.US,D,20201231,000000,26.28,26.49,26.25,26.48,245402,0
PFH.US,D,20210104,000000,26.4,26.4,26.21,26.32,53960,0
PFH.US,D,20210105,000000,26.27,26.35,26.16,26.18,51985,0
PFH.US,D,20210106,000000,26.1,26.1,25.6298,25.7,170422,0
PFH.US,D,20210107,000000,25.73,25.78,25.42,25.52,329293,0
PFH.US,D,20210108,000000,25.52,25.63,25.52,25.56,122425,0
PFH.US,D,20210111,000000,25.56,25.56,25.36,25.37,87523,0
PFH.US,D,20210112,000000,25.37,25.37,25.06,25.23,171144,0
PFH.US,D,20210113,000000,25.3,25.57,25.3,25.45,107556,0
PFH.US,D,20210114,000000,25.53,25.7519,25.4,25.5,107483,0
PFH.US,D,20210115,000000,25.66,25.72,25.5,25.52,125867,0
PFH.US,D,20210119,000000,25.64,25.64,25.52,25.6,76642,0
PFH.US,D,20210120,000000,25.67,25.7699,25.67,25.71,73645,0
PFH.US,D,20210121,000000,25.72,25.72,25.52,25.5588,89086,0
PFH.US,D,20210122,000000,25.56,25.7,25.56,25.69,46829,0
PFH.US,D,20210125,000000,25.71,25.79,25.55,25.58,66095,0
PFH.US,D,20210126,000000,25.71,25.83,25.63,25.69,67880,0
PFH.US,D,20210127,000000,25.69,25.76,25.6,25.69,203898,0
PFH.US,D,20210128,000000,25.7,25.79,25.61,25.75,84718,0
PFH.US,D,20210129,000000,25.75,25.88,25.57,25.71,87593,0
PFH.US,D,20210201,000000,25.87,25.87,25.7035,25.81,46676,0
PFH.US,D,20210202,000000,25.77,26,25.77,25.9,53600,0
PFH.US,D,20210203,000000,25.9,25.98,25.77,25.81,54071,0
PFH.US,D,20210204,000000,25.84,25.92,25.6,25.8,71110,0
PFH.US,D,20210205,000000,25.8,25.92,25.79,25.85,58444,0
PFH.US,D,20210208,000000,25.85,25.93,25.84,25.84,52734,0
PFH.US,D,20210209,000000,25.82,25.956,25.7626,25.91,35058,0
PFH.US,D,20210210,000000,25.99,26.1,25.835,25.9,52813,0
PFH.US,D,20210211,000000,25.75,25.75,25.55,25.59,62680,0
PFH.US,D,20210212,000000,25.53,25.5599,25.4,25.4625,54998,0
PFH.US,D,20210216,000000,25.38,25.43,25.25,25.27,72420,0
PFH.US,D,20210217,000000,25.22,25.28,25.21,25.26,62598,0
PFH.US,D,20210218,000000,25.25,25.26,25.07,25.1,267215,0
PFH.US,D,20210219,000000,25.13,25.21,25.11,25.2,68488,0
PFH.US,D,20210222,000000,25.2,25.21,25.13,25.15,77646,0
PFH.US,D,20210223,000000,25.15,25.2,24.97,25.01,158713,0
PFH.US,D,20210224,000000,25.01,25.01,24.75,24.76,168097,0
PFH.US,D,20210225,000000,24.82,24.83,24.51,24.59,212975,0
PFH.US,D,20210226,000000,24.76,24.8,24.61,24.74,91925,0
PFH.US,D,20210301,000000,24.97,24.99,24.835,24.99,64585,0
PFH.US,D,20210302,000000,25,25.24,25,25.19,93431,0
PFH.US,D,20210303,000000,25.12,25.3,24.95,25.24,305924,0
PFH.US,D,20210304,000000,25.25,25.38,25.15,25.18,289971,0
PFH.US,D,20210305,000000,25.25,25.25,25.11,25.19,240864,0
PFH.US,D,20210308,000000,25.22,25.24,25.1,25.15,83743,0
PFH.US,D,20210309,000000,25.28,25.28,25.15,25.16,184527,0
PFH.US,D,20210310,000000,25.23,25.24,25.01,25.13,159862,0
PFH.US,D,20210311,000000,25.2,25.2829,25.178,25.23,79453,0
PFH.US,D,20210312,000000,25.2,25.23,25.04,25.15,87081,0
PFH.US,D,20210315,000000,25.15,25.3,25.15,25.25,150962,0
PFH.US,D,20210316,000000,25.31,25.37,25.2411,25.3,128864,0
PFH.US,D,20210317,000000,25.27,25.29,25.18,25.25,100089,0
PFH.US,D,20210318,000000,25.15,25.16,24.94,25,95640,0
PFH.US,D,20210319,000000,25,25.12,24.84,25.1,72770,0
PFH.US,D,20210322,000000,25.16,25.22,25.1,25.17,56716,0
PFH.US,D,20210323,000000,25.22,25.23,25.15,25.22,41105,0
PFH.US,D,20210324,000000,25.24,25.28,25.17,25.18,76104,0
PFH.US,D,20210325,000000,25.24,25.26,25.2089,25.23,68169,0
PFH.US,D,20210326,000000,25.27,25.27,25.23,25.23,62556,0
PFH.US,D,20210329,000000,25.28,25.28,25.11,25.19,80155,0
PFH.US,D,20210330,000000,25.18,25.26,25.15,25.25,37636,0
PFH.US,D,20210331,000000,25.3,25.42,25.28,25.33,104423,0
PFH.US,D,20210401,000000,25.4,25.47,25.375,25.42,54040,0
PFH.US,D,20210405,000000,25.48,25.55,25.43,25.49,79194,0
PFH.US,D,20210406,000000,25.59,25.76,25.59,25.73,70755,0
PFH.US,D,20210407,000000,25.64,25.76,25.64,25.72,37338,0
PFH.US,D,20210408,000000,25.72,25.74,25.5725,25.665,88722,0
PFH.US,D,20210409,000000,25.67,25.74,25.63,25.7,43091,0
PFH.US,D,20210412,000000,25.7,25.741,25.65,25.6904,42722,0
PFH.US,D,20210413,000000,25.72,25.75,25.62,25.69,62742,0
PFH.US,D,20210414,000000,25.69,25.76,25.67,25.68,41357,0
PFH.US,D,20210415,000000,25.71,25.8,25.71,25.8,31926,0
PFH.US,D,20210416,000000,25.8,25.85,25.77,25.85,63861,0
PFH.US,D,20210419,000000,25.85,25.85,25.75,25.77,80631,0
PFH.US,D,20210420,000000,25.82,25.82,25.7455,25.795,23217,0
PFH.US,D,20210421,000000,25.83,25.875,25.73,25.79,51995,0
PFH.US,D,20210422,000000,25.8,25.8,25.74,25.75,41081,0
PFH.US,D,20210423,000000,25.75,25.8708,25.75,25.8312,69618,0
PFH.US,D,20210426,000000,25.85,25.87,25.8,25.86,44564,0
PFH.US,D,20210427,000000,25.87,25.88,25.82,25.85,41190,0
PFH.US,D,20210428,000000,25.89,25.895,25.7921,25.84,64568,0
PFH.US,D,20210429,000000,25.88,25.89,25.7,25.77,45507,0
PFH.US,D,20210430,000000,25.81,25.84,25.67,25.67,74312,0
PFH.US,D,20210503,000000,25.74,25.83,25.69,25.83,67446,0
PFH.US,D,20210504,000000,25.77,25.83,25.72,25.81,73548,0
PFH.US,D,20210505,000000,25.8,25.85,25.76,25.77,25955,0
PFH.US,D,20210506,000000,25.81,25.82,25.7,25.75,44782,0
PFH.US,D,20210507,000000,25.76,25.8411,25.76,25.77,68324,0
PFH.US,D,20210510,000000,25.83,25.83,25.67,25.73,43810,0
PFH.US,D,20210511,000000,25.64,25.74,25.56,25.66,38514,0
PFH.US,D,20210512,000000,25.6,25.68,25.45,25.49,81615,0
PFH.US,D,20210513,000000,25.38,25.44,25.26,25.35,62029,0
PFH.US,D,20210514,000000,25.43,25.5,25.341,25.41,33967,0
PFH.US,D,20210517,000000,25.41,25.54,25.41,25.5,35013,0
PFH.US,D,20210518,000000,25.54,25.54,25.4706,25.5,41430,0
PFH.US,D,20210519,000000,25.43,25.5243,25.41,25.46,41553,0
PFH.US,D,20210520,000000,25.46,25.5988,25.44,25.5,33996,0
PFH.US,D,20210521,000000,25.58,25.61,25.51,25.51,31041,0
PFH.US,D,20210524,000000,25.61,25.73,25.5865,25.68,55990,0
PFH.US,D,20210525,000000,25.7,25.7,25.55,25.65,37024,0
PFH.US,D,20210526,000000,25.68,25.7097,25.59,25.65,26826,0
PFH.US,D,20210527,000000,25.65,25.72,25.64,25.65,25882,0
PFH.US,D,20210528,000000,25.82,25.82,25.71,25.75,77286,0
PFH.US,D,20210601,000000,25.79,25.83,25.775,25.8,42440,0
PFH.US,D,20210602,000000,25.83,25.85,25.8,25.81,117996,0
PFH.US,D,20210603,000000,25.81,25.82,25.72,25.81,36442,0
PFH.US,D,20210604,000000,25.82,25.82,25.79,25.81,32265,0
PFH.US,D,20210607,000000,25.8,25.84,25.76,25.8,33800,0
PFH.US,D,20210608,000000,25.8,25.8,25.73,25.785,33333,0
PFH.US,D,20210609,000000,25.79,25.8841,25.77,25.8511,75640,0
PFH.US,D,20210610,000000,25.86,25.87,25.7777,25.85,47412,0
PFH.US,D,20210611,000000,25.84,25.86,25.78,25.84,22505,0
PFH.US,D,20210614,000000,25.87,25.9,25.8,25.89,38341,0
PFH.US,D,20210615,000000,25.89,25.96,25.8,25.9,63799,0
PFH.US,D,20210616,000000,25.9,25.94,25.84,25.91,35934,0
PFH.US,D,20210617,000000,25.93,26.05,25.8961,26.03,38838,0
PFH.US,D,20210618,000000,25.98,26,25.91,25.97,18191,0
PFH.US,D,20210621,000000,25.99,26,25.93,25.96,32382,0
PFH.US,D,20210622,000000,26,26,25.96,25.98,46268,0
PFH.US,D,20210623,000000,25.98,26.1399,25.98,26.12,43252,0
PFH.US,D,20210624,000000,26.1,26.1,26.0406,26.08,24982,0
PFH.US,D,20210625,000000,26.03,26.14,26,26.09,23659,0
PFH.US,D,20210628,000000,26.1,26.14,26.0226,26.14,28065,0
PFH.US,D,20210629,000000,26.11,26.13,26.09,26.1,31634,0
PFH.US,D,20210630,000000,26.04,26.14,26.03,26.11,183943,0
PFH.US,D,20210701,000000,26.12,26.2491,26.12,26.18,36092,0
PFH.US,D,20210702,000000,26.12,26.24,26.12,26.2,17918,0
PFH.US,D,20210706,000000,26.18,26.29,26.145,26.29,34578,0
PFH.US,D,20210707,000000,26.23,26.3,26.2,26.2814,69277,0
PFH.US,D,20210708,000000,26.18,26.27,26.17,26.25,31388,0
PFH.US,D,20210709,000000,26.23,26.25,26.2,26.22,31292,0
PFH.US,D,20210712,000000,26.25,26.3,26.13,26.19,23875,0
PFH.US,D,20210713,000000,26.17,26.2,26.08,26.12,35414,0
PFH.US,D,20210714,000000,26.2,26.2212,26.17,26.19,30065,0
PFH.US,D,20210715,000000,26.2,26.2529,26.2,26.22,16903,0
PFH.US,D,20210716,000000,26.25,26.25,26.17,26.19,20710,0
PFH.US,D,20210719,000000,26.13,26.17,26.03,26.0597,11774,0
PFH.US,D,20210720,000000,26.16,26.23,25.9,25.91,68635,0
PFH.US,D,20210721,000000,25.97,26.0489,25.9,26.02,36360,0
PFH.US,D,20210722,000000,26.03,26.1302,25.981,26.0606,61787,0
PFH.US,D,20210723,000000,26.07,26.1585,26.01,26.04,37104,0
PFH.US,D,20210726,000000,26.08,26.1,26.01,26.08,29371,0
PFH.US,D,20210727,000000,26.04,26.0718,25.95,26.04,33246,0
PFH.US,D,20210728,000000,26.07,26.16,25.93,26.15,36018,0
PFH.US,D,20210729,000000,26.1,26.23,26.1,26.23,17672,0
PFH.US,D,20210730,000000,26.23,26.34,26.21,26.25,45069,0
PFH.US,D,20210802,000000,26.25,26.3507,26.19,26.24,37136,0
PFH.US,D,20210803,000000,26.24,26.3367,26.24,26.26,40277,0
PFH.US,D,20210804,000000,26.26,26.3695,26.22,26.27,33245,0
PFH.US,D,20210805,000000,26.3,26.3799,26.2872,26.3,38312,0
PFH.US,D,20210806,000000,26.27,26.3499,26.27,26.32,28217,0
PFH.US,D,20210809,000000,26.32,26.32,26.15,26.17,22472,0
PFH.US,D,20210810,000000,26.23,26.23,26,26.07,22593,0
PFH.US,D,20210811,000000,26.1,26.18,26.07,26.1,22262,0
PFH.US,D,20210812,000000,25.91,26.015,25.8204,25.86,27645,0
PFH.US,D,20210813,000000,25.94,26.09,25.94,26.07,28109,0
PFH.US,D,20210816,000000,26.07,26.0899,26.04,26.07,16164,0
PFH.US,D,20210817,000000,26.07,26.07,26,26.04,24869,0
PFH.US,D,20210818,000000,26.04,26.04,25.93,26.02,24551,0
PFH.US,D,20210819,000000,25.9,26.01,25.9,25.98,43291,0
PFH.US,D,20210820,000000,25.97,26.0099,25.91,25.97,28496,0
PFH.US,D,20210823,000000,26,26.02,25.97,25.99,39732,0
PFH.US,D,20210824,000000,26,26.01,25.96,25.97,27248,0
PFH.US,D,20210825,000000,26,26,25.91,25.97,29600,0
PFH.US,D,20210826,000000,25.97,25.98,25.91,25.94,62267,0
PFH.US,D,20210827,000000,25.96,26.08,25.94,26.08,45451,0
PFH.US,D,20210830,000000,26.08,26.1737,26.03,26.05,31233,0
PFH.US,D,20210831,000000,26.08,26.08,25.98,26.05,82833,0
PFH.US,D,20210901,000000,26.15,26.22,26.115,26.19,30659,0
PFH.US,D,20210902,000000,26.25,26.25,26.11,26.19,72225,0
PFH.US,D,20210903,000000,26.18,26.2,26.1007,26.17,25649,0
PFH.US,D,20210907,000000,26.13,26.17,26.04,26.15,30217,0
PFH.US,D,20210908,000000,26.15,26.16,26.08,26.15,37165,0
PFH.US,D,20210909,000000,26.08,26.1368,26.07,26.1,54209,0
PFH.US,D,20210910,000000,26.15,26.18,26.09,26.14,60845,0
PFH.US,D,20210913,000000,26.12,26.14,26.01,26.12,49261,0
PFH.US,D,20210914,000000,26.1,26.1124,26.02,26.05,20460,0
PFH.US,D,20210915,000000,26.1,26.1,26,26.05,50837,0
PFH.US,D,20210916,000000,26.07,26.1595,26.05,26.15,25765,0
PFH.US,D,20210917,000000,26.15,26.16,26.02,26.08,19397,0
PFH.US,D,20210920,000000,26.07,26.07,25.8716,25.95,23258,0
PFH.US,D,20210921,000000,25.96,26.16,25.96,26.14,38062,0
PFH.US,D,20210922,000000,26.15,26.25,26.09,26.23,40345,0
PFH.US,D,20210923,000000,26.2,26.2228,26.08,26.16,52832,0
PFH.US,D,20210924,000000,26.08,26.1,26.0107,26.08,46547,0
