<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHIN.US,D,20230706,000000,35.83,36.39,31.5,33.81,3246232,0
PHIN.US,D,20230707,000000,33.1,35.17,32.53,33.25,1974391,0
PHIN.US,D,20230710,000000,32.2,32.32,27.21,27.69,6616400,0
PHIN.US,D,20230711,000000,26.75,28.3399,25.51,26.61,4231046,0
PHIN.US,D,20230712,000000,26.38,26.89,24.49,25.54,4643068,0
PHIN.US,D,20230713,000000,25.5,27.9,25.46,27.79,3829785,0
PHIN.US,D,20230714,000000,27.35,28.65,27.03,28.31,2329253,0
PHIN.US,D,20230717,000000,28.28,28.99,27.16,28.18,1414462,0
PHIN.US,D,20230718,000000,26.83,28.25,26.78,27.42,2240154,0
PHIN.US,D,20230719,000000,27.05,27.78,25.92,26.13,2086532,0
PHIN.US,D,20230720,000000,25.98,27.02,25.89,26.55,1049988,0
PHIN.US,D,20230721,000000,26.71,27.715,26.62,27.3,1678797,0
PHIN.US,D,20230724,000000,27.06,29.35,26.91,28.83,1177494,0
PHIN.US,D,20230725,000000,28.98,29.79,28.45,28.96,1388409,0
PHIN.US,D,20230726,000000,28.57,29.05,28.35,28.61,1007826,0
PHIN.US,D,20230727,000000,28.64,29,26.6,26.91,2015899,0
PHIN.US,D,20230728,000000,27.3,28.25,26.85,27.34,1006125,0
PHIN.US,D,20230731,000000,27.34,28.5,26.82,28.37,1056716,0
PHIN.US,D,20230801,000000,28.26,29.38,28,29.06,503357,0
PHIN.US,D,20230802,000000,29,30.48,28.495,29.88,903399,0
PHIN.US,D,20230803,000000,29.8,30.31,28.82,28.84,658567,0
PHIN.US,D,20230804,000000,27.99,27.99,27.74,27.99,664568,0
