<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHYT.US,D,20211228,000000,10.41,10.41,9.88,9.88,4361,0
PHYT.US,D,20211229,000000,9.88,9.88,9.86,9.87,1157,0
PHYT.US,D,20220105,000000,9.9,9.91,9.89,9.9,38261,0
PHYT.US,D,20220107,000000,9.95,9.96,9.95,9.96,11351,0
PHYT.US,D,20220110,000000,9.94,9.94,9.92,9.94,20284,0
PHYT.US,D,20220111,000000,9.94,9.95,9.93,9.94,20900,0
PHYT.US,D,20220113,000000,9.94,9.96,9.94,9.96,158676,0
PHYT.US,D,20220118,000000,9.9,9.91,9.88,9.91,24417,0
PHYT.US,D,20220125,000000,9.9,9.9,9.88,9.9,26675,0
PHYT.US,D,20220126,000000,9.9,9.9,9.86,9.86,1900,0
PHYT.US,D,20220127,000000,9.86,9.86,9.86,9.86,49210,0
PHYT.US,D,20220201,000000,9.96,9.96,9.95,9.95,4719,0
PHYT.US,D,20220202,000000,9.9682,9.9682,9.9682,9.9682,100,0
PHYT.US,D,20220203,000000,9.98,9.98,9.98,9.98,100,0
PHYT.US,D,20220209,000000,9.92,9.92,9.92,9.92,150000,0
PHYT.US,D,20220216,000000,9.9,9.9,9.9,9.9,100003,0
PHYT.US,D,20220222,000000,9.89,9.9,9.89,9.89,3224,0
PHYT.US,D,20220223,000000,9.9,9.91,9.89,9.9,1963,0
PHYT.US,D,20220228,000000,9.9,9.92,9.9,9.9,503,0
PHYT.US,D,20220301,000000,9.925,9.925,9.91,9.92,3708,0
PHYT.US,D,20220302,000000,9.94,9.94,9.94,9.94,803,0
PHYT.US,D,20220303,000000,9.94,9.94,9.94,9.94,1210,0
PHYT.US,D,20220304,000000,9.95,9.95,9.95,9.95,4040,0
PHYT.US,D,20220307,000000,9.96,9.96,9.93,9.93,105380,0
PHYT.US,D,20220310,000000,9.93,9.945,9.9,9.945,543305,0
PHYT.US,D,20220314,000000,9.9,9.94,9.9,9.93,25609,0
PHYT.US,D,20220315,000000,9.94,9.94,9.94,9.94,13285,0
PHYT.US,D,20220318,000000,9.94,9.94,9.93,9.93,88606,0
PHYT.US,D,20220330,000000,9.95,9.9533,9.93,9.94,2753,0
PHYT.US,D,20220405,000000,9.97,9.97,9.97,9.97,9203,0
PHYT.US,D,20220406,000000,9.97,9.97,9.96,9.97,11430,0
PHYT.US,D,20220407,000000,9.98,9.98,9.94,9.97,23691,0
PHYT.US,D,20220408,000000,9.97,9.99,9.97,9.99,6703,0
PHYT.US,D,20220414,000000,10,10.02,10,10.02,5152,0
PHYT.US,D,20220418,000000,10.02,10.02,9.9815,9.99,115854,0
PHYT.US,D,20220419,000000,10.01,10.01,9.99,9.99,86040,0
PHYT.US,D,20220420,000000,10,10,10,10,12903,0
PHYT.US,D,20220421,000000,10.01,10.02,10.01,10.02,1278877,0
PHYT.US,D,20220422,000000,10.09,10.475,9.99,10.085,8203,0
PHYT.US,D,20220425,000000,10.01,10.0276,10.01,10.0276,477,0
PHYT.US,D,20220426,000000,10.0139,10.0139,10.0139,10.0139,503,0
PHYT.US,D,20220427,000000,10.01,10.03,10.01,10.03,44447,0
PHYT.US,D,20220428,000000,10.01,10.03,10.01,10.03,2703,0
PHYT.US,D,20220429,000000,10.01,10.01,10,10,50402,0
PHYT.US,D,20220502,000000,10.03,10.03,10.01,10.01,13602,0
PHYT.US,D,20220503,000000,10.01,10.02,10.01,10.02,72505,0
PHYT.US,D,20220505,000000,10.03,10.03,10.03,10.03,103,0
PHYT.US,D,20220506,000000,10.03,10.03,10.03,10.03,103,0
PHYT.US,D,20220509,000000,10.02,10.02,10.02,10.02,10063,0
PHYT.US,D,20220511,000000,10,10,10,10,10298,0
PHYT.US,D,20220513,000000,10,10,10,10,143,0
PHYT.US,D,20220517,000000,10,10,10,10,131279,0
PHYT.US,D,20220531,000000,9.97,9.985,9.97,9.985,13158,0
PHYT.US,D,20220602,000000,9.97,9.97,9.95,9.95,151003,0
PHYT.US,D,20220603,000000,9.97,9.97,9.97,9.97,103,0
PHYT.US,D,20220606,000000,9.97,9.985,9.97,9.97,18986,0
PHYT.US,D,20220607,000000,9.98,9.98,9.98,9.98,22003,0
PHYT.US,D,20220609,000000,9.98,10.02,9.98,10.01,1907,0
PHYT.US,D,20220610,000000,10.01,10.01,10.01,10.01,839,0
PHYT.US,D,20220613,000000,10.01,10.01,9.98,9.98,30967,0
PHYT.US,D,20220614,000000,10.01,10.01,10.01,10.01,2042,0
PHYT.US,D,20220615,000000,10.01,10.01,9.995,10.01,6967,0
PHYT.US,D,20220616,000000,10.01,10.01,10.01,10.01,1515,0
PHYT.US,D,20220617,000000,10,10.01,10,10,1845,0
PHYT.US,D,20220622,000000,9.99,10,9.99,10,999,0
PHYT.US,D,20220630,000000,10,10,10,10,103,0
PHYT.US,D,20220706,000000,10.01,10.01,10.01,10.01,4650,0
PHYT.US,D,20220714,000000,10,10.015,10,10,586302,0
PHYT.US,D,20220720,000000,10.04,10.04,10.04,10.04,500,0
PHYT.US,D,20220725,000000,10.02,10.03,10.02,10.02,539,0
PHYT.US,D,20220726,000000,9.98,9.98,9.98,9.98,180,0
PHYT.US,D,20220728,000000,10.07,10.07,10.07,10.07,197,0
PHYT.US,D,20220803,000000,10.05,10.05,10.04,10.05,13297,0
PHYT.US,D,20220804,000000,10.06,10.06,10.06,10.06,101,0
PHYT.US,D,20220805,000000,10.05,10.05,10.05,10.05,184,0
PHYT.US,D,20220809,000000,10.05,10.05,10.05,10.05,1900,0
PHYT.US,D,20220810,000000,10.05,10.05,10.05,10.05,3113,0
PHYT.US,D,20220815,000000,10.03,10.065,10.03,10.05,1885,0
PHYT.US,D,20220816,000000,10.06,10.07,10.06,10.07,9809,0
PHYT.US,D,20220817,000000,10.06,10.06,10.06,10.06,9001,0
PHYT.US,D,20220824,000000,10.07,10.07,10.06,10.07,551300,0
PHYT.US,D,20220825,000000,10.07,10.08,10.07,10.08,1400,0
PHYT.US,D,20220826,000000,10.07,10.07,10.07,10.07,5295,0
PHYT.US,D,20220901,000000,10.08,10.09,10.07,10.08,57887,0
PHYT.US,D,20220902,000000,10.08,10.08,10.08,10.08,180023,0
PHYT.US,D,20220906,000000,10.08,10.1,10.08,10.1,380001,0
PHYT.US,D,20220907,000000,10.105,10.11,10.105,10.105,4997,0
PHYT.US,D,20220908,000000,10.07,10.11,10.07,10.1,7788,0
PHYT.US,D,20220909,000000,10.13,10.13,10.13,10.13,100,0
PHYT.US,D,20220912,000000,10.13,10.13,10.105,10.11,12628,0
PHYT.US,D,20220913,000000,10.13,10.13,10.11,10.11,316,0
PHYT.US,D,20220914,000000,10.11,10.11,10.11,10.11,611,0
PHYT.US,D,20220915,000000,10.1,10.12,10.1,10.12,10374,0
PHYT.US,D,20220916,000000,10.12,10.12,10.12,10.12,10324,0
PHYT.US,D,20220919,000000,10.1,10.13,10.1,10.12,850,0
PHYT.US,D,20220920,000000,10.11,10.16,10.11,10.11,240124,0
PHYT.US,D,20220921,000000,10.15,10.15,10.15,10.15,125,0
PHYT.US,D,20220922,000000,10.15,10.15,10.14,10.14,434,0
PHYT.US,D,20220923,000000,10.11,10.13,10.11,10.13,451,0
PHYT.US,D,20220926,000000,10.09,10.09,10.09,10.09,101,0
PHYT.US,D,20220927,000000,10.16,10.16,10.11,10.13,6883,0
PHYT.US,D,20220928,000000,10.14,10.14,10.14,10.14,30995,0
PHYT.US,D,20220929,000000,10.11,10.15,10.11,10.15,19850,0
PHYT.US,D,20220930,000000,10.1527,10.1527,10.1527,10.1527,875,0
PHYT.US,D,20221003,000000,10.13,10.13,10.13,10.13,4119,0
PHYT.US,D,20221006,000000,10.13,10.13,10.13,10.13,2367,0
PHYT.US,D,20221007,000000,10.13,10.145,10.13,10.145,700,0
PHYT.US,D,20221010,000000,10.14,10.14,10.14,10.14,127885,0
PHYT.US,D,20221011,000000,10.15,10.16,10.15,10.16,390,0
PHYT.US,D,20221012,000000,10.15,10.155,10.15,10.15,1751,0
PHYT.US,D,20221013,000000,10.14,10.14,10.14,10.14,100,0
PHYT.US,D,20221017,000000,10.15,10.15,10.15,10.15,401168,0
PHYT.US,D,20221018,000000,10.15,10.15,10.15,10.15,3617,0
