<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIAI-WS.US,D,20201103,000000,1,1,0.975,0.975,2201,0
PIAI-WS.US,D,20201104,000000,1.04,1.1,1.04,1.1,3200,0
PIAI-WS.US,D,20201105,000000,1.1,1.275,1.1,1.275,3000,0
PIAI-WS.US,D,20201109,000000,1.2,1.2,1.1001,1.1001,4937,0
PIAI-WS.US,D,20201110,000000,1.2,1.2,1.1,1.15,4939,0
PIAI-WS.US,D,20201111,000000,1.14,1.15,1.14,1.15,2189,0
PIAI-WS.US,D,20201112,000000,1.15,1.15,1.15,1.15,3155,0
PIAI-WS.US,D,20201113,000000,1.0733,1.0733,1.0733,1.0733,167,0
PIAI-WS.US,D,20201117,000000,1.075,1.15,1.075,1.1147,4368,0
PIAI-WS.US,D,20201118,000000,1.105,1.105,1.105,1.105,1886,0
PIAI-WS.US,D,20201119,000000,1.35,1.35,1.07,1.07,37544,0
PIAI-WS.US,D,20201123,000000,1.15,1.15,1.1101,1.13,7866,0
PIAI-WS.US,D,20201124,000000,1.13,1.15,1.13,1.15,4700,0
PIAI-WS.US,D,20201125,000000,1.13,1.13,1.09,1.12,93010,0
PIAI-WS.US,D,20201127,000000,1.15,1.25,1.1477,1.1499,38165,0
PIAI-WS.US,D,20201130,000000,1.16,1.16,1.0946,1.1281,12795,0
PIAI-WS.US,D,20201201,000000,1.12,1.12,1.05,1.05,101807,0
PIAI-WS.US,D,20201202,000000,1.04,1.15,1.02,1.07,33404,0
PIAI-WS.US,D,20201203,000000,1.02,1.04,0.989,1.03,217539,0
PIAI-WS.US,D,20201204,000000,1.1273,1.16,1.01,1.03,106046,0
PIAI-WS.US,D,20201207,000000,1.1757,1.2366,1.08,1.08,74896,0
PIAI-WS.US,D,20201208,000000,1.175,1.2,1.08,1.11,56056,0
PIAI-WS.US,D,20201209,000000,1.25,1.31,1.23,1.23,8076,0
PIAI-WS.US,D,20201210,000000,1.47,1.48,1.4698,1.475,13040,0
PIAI-WS.US,D,20201211,000000,1.3,1.35,1.27,1.35,17612,0
PIAI-WS.US,D,20201214,000000,1.31,1.42,1.3,1.42,69944,0
PIAI-WS.US,D,20201215,000000,1.5,1.5286,1.32,1.32,99525,0
PIAI-WS.US,D,20201216,000000,1.26,1.32,1.25,1.32,3702,0
PIAI-WS.US,D,20201217,000000,1.3846,1.47,1.3,1.35,40494,0
PIAI-WS.US,D,20201218,000000,1.36,1.36,1.23,1.2494,75554,0
PIAI-WS.US,D,20201221,000000,1.3,1.35,1.2455,1.298,121632,0
PIAI-WS.US,D,20201222,000000,1.35,1.4798,1.2402,1.35,85517,0
PIAI-WS.US,D,20201223,000000,1.4,1.41,1.3752,1.385,45963,0
PIAI-WS.US,D,20201224,000000,1.4,1.5,1.35,1.4,20625,0
PIAI-WS.US,D,20201228,000000,1.4,1.57,1.36,1.36,88469,0
PIAI-WS.US,D,20201229,000000,1.4,1.4,1.36,1.38,62131,0
PIAI-WS.US,D,20201230,000000,1.38,1.4,1.34,1.3698,107655,0
PIAI-WS.US,D,20201231,000000,1.37,1.53,1.3694,1.5299,61048,0
PIAI-WS.US,D,20210104,000000,1.5301,1.71,1.51,1.51,27661,0
PIAI-WS.US,D,20210105,000000,1.609,1.67,1.49,1.4901,5248,0
PIAI-WS.US,D,20210106,000000,1.5906,1.6387,1.4987,1.5682,21200,0
PIAI-WS.US,D,20210107,000000,1.5657,1.575,1.4,1.4601,10887,0
PIAI-WS.US,D,20210108,000000,1.51,1.55,1.48,1.51,30596,0
PIAI-WS.US,D,20210111,000000,1.5101,1.62,1.5101,1.58,72992,0
PIAI-WS.US,D,20210112,000000,1.64,1.78,1.5,1.69,168317,0
PIAI-WS.US,D,20210113,000000,1.6102,1.99,1.55,1.75,87288,0
PIAI-WS.US,D,20210114,000000,1.8103,1.9498,1.8,1.89,64442,0
PIAI-WS.US,D,20210115,000000,1.9,1.9448,1.65,1.66,106861,0
PIAI-WS.US,D,20210119,000000,1.8,1.81,1.68,1.81,28629,0
PIAI-WS.US,D,20210120,000000,1.85,1.85,1.7889,1.81,48950,0
PIAI-WS.US,D,20210121,000000,1.89,1.89,1.78,1.785,70377,0
PIAI-WS.US,D,20210122,000000,1.9,1.93,1.8451,1.85,50028,0
PIAI-WS.US,D,20210125,000000,1.8499,1.88,1.75,1.79,125804,0
PIAI-WS.US,D,20210126,000000,1.8629,1.92,1.76,1.8,40416,0
PIAI-WS.US,D,20210127,000000,1.7601,1.761,1.5,1.5,56349,0
PIAI-WS.US,D,20210128,000000,1.52,1.66,1.31,1.57,48187,0
PIAI-WS.US,D,20210129,000000,1.7,1.705,1.45,1.6401,118220,0
PIAI-WS.US,D,20210201,000000,1.65,1.73,1.51,1.7,83549,0
PIAI-WS.US,D,20210202,000000,1.6998,1.74,1.65,1.735,67716,0
PIAI-WS.US,D,20210203,000000,1.8999,1.8999,1.7,1.7,42558,0
PIAI-WS.US,D,20210204,000000,1.71,1.75,1.685,1.705,82352,0
PIAI-WS.US,D,20210205,000000,1.75,1.75,1.6883,1.7,73541,0
PIAI-WS.US,D,20210208,000000,1.9,1.9,1.77,1.8,59103,0
PIAI-WS.US,D,20210209,000000,1.85,1.88,1.7499,1.75,62884,0
PIAI-WS.US,D,20210210,000000,1.88,2,1.8,1.8,57156,0
PIAI-WS.US,D,20210211,000000,1.98,1.98,1.87,1.91,18118,0
PIAI-WS.US,D,20210212,000000,1.932,1.932,1.82,1.85,30115,0
PIAI-WS.US,D,20210216,000000,1.98,1.98,1.82,1.84,89680,0
PIAI-WS.US,D,20210217,000000,1.85,1.92,1.8,1.8,73135,0
PIAI-WS.US,D,20210218,000000,1.81,2,1.81,1.955,52604,0
PIAI-WS.US,D,20210219,000000,1.975,2,1.95,1.98,46166,0
PIAI-WS.US,D,20210222,000000,2,2,1.96,1.98,77301,0
PIAI-WS.US,D,20210223,000000,1.97,1.98,1.85,1.8699,48870,0
PIAI-WS.US,D,20210224,000000,1.85,1.85,1.77,1.82,128302,0
PIAI-WS.US,D,20210225,000000,2,2,1.63,1.68,82314,0
PIAI-WS.US,D,20210226,000000,1.68,1.7,1.45,1.65,68049,0
PIAI-WS.US,D,20210301,000000,1.7547,1.7547,1.45,1.57,22383,0
PIAI-WS.US,D,20210302,000000,1.55,1.6,1.46,1.525,58152,0
PIAI-WS.US,D,20210303,000000,1.5,1.5,1.25,1.3,99254,0
PIAI-WS.US,D,20210304,000000,1.2614,1.2614,0.81,1.1,169698,0
PIAI-WS.US,D,20210305,000000,1,1.2799,1,1.2487,113435,0
PIAI-WS.US,D,20210308,000000,1.32,1.32,1.07,1.26,39668,0
PIAI-WS.US,D,20210309,000000,1.27,1.27,1.05,1.16,89554,0
PIAI-WS.US,D,20210310,000000,1.19,1.24,1.15,1.2,27353,0
PIAI-WS.US,D,20210311,000000,1.2,1.3,1.15,1.3,38515,0
PIAI-WS.US,D,20210312,000000,1.16,1.25,1.16,1.2,77983,0
PIAI-WS.US,D,20210315,000000,1.28,1.28,1.16,1.23,11079,0
PIAI-WS.US,D,20210316,000000,1.2292,1.23,1.13,1.19,76249,0
PIAI-WS.US,D,20210317,000000,1.15,1.27,1.12,1.2,157052,0
PIAI-WS.US,D,20210318,000000,1.45,1.45,1.1501,1.19,77471,0
PIAI-WS.US,D,20210319,000000,1.17,1.2,1.12,1.18,56046,0
PIAI-WS.US,D,20210322,000000,1.2,1.2,1.15,1.15,31450,0
PIAI-WS.US,D,20210323,000000,1.15,1.171,1.0198,1.02,38419,0
PIAI-WS.US,D,20210324,000000,1.084,1.084,0.8102,0.850351,84190,0
PIAI-WS.US,D,20210325,000000,0.92,0.989899,0.8402,0.949999,27099,0
PIAI-WS.US,D,20210326,000000,0.9299,0.95,0.849899,0.95,48771,0
PIAI-WS.US,D,20210329,000000,1,1,0.869289,0.89,84396,0
PIAI-WS.US,D,20210330,000000,0.8201,1.002,0.82,0.845,218251,0
PIAI-WS.US,D,20210331,000000,0.811,0.875001,0.801,0.82,52282,0
