<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSA_K.US,D,20191224,000000,25.38,25.4,25.28,25.32,154900,0
PSA_K.US,D,20191226,000000,25.4,25.45,25.31,25.45,91483,0
PSA_K.US,D,20191227,000000,25.52,25.58,25.44,25.56,105673,0
PSA_K.US,D,20191230,000000,25.57,25.57,25.44,25.55,130706,0
PSA_K.US,D,20191231,000000,25.52,25.58,25.37,25.58,820788,0
PSA_K.US,D,20200102,000000,25.5,25.595,25.41,25.545,101198,0
PSA_K.US,D,20200103,000000,25.56,25.79,25.5,25.5,127323,0
PSA_K.US,D,20200106,000000,25.51,25.6297,25.51,25.6,45916,0
PSA_K.US,D,20200107,000000,25.59,25.74,25.56,25.6673,75080,0
PSA_K.US,D,20200108,000000,25.66,25.75,25.65,25.7,91011,0
PSA_K.US,D,20200109,000000,25.77,25.9,25.77,25.85,118675,0
PSA_K.US,D,20200110,000000,25.82,25.87,25.72,25.8631,48933,0
PSA_K.US,D,20200113,000000,25.88,26.04,25.8293,26.02,34554,0
PSA_K.US,D,20200114,000000,26.05,26.15,26.05,26.1,41283,0
PSA_K.US,D,20200115,000000,26.01,26.22,25.82,26,71441,0
PSA_K.US,D,20200116,000000,25.94,26.08,25.93,25.965,49980,0
PSA_K.US,D,20200117,000000,26.07,26.07,25.73,25.95,69777,0
PSA_K.US,D,20200121,000000,25.95,25.95,25.84,25.896,15621,0
PSA_K.US,D,20200122,000000,25.9014,26.05,25.9,25.9764,38543,0
PSA_K.US,D,20200123,000000,26.19,26.19,25.9811,26.07,23357,0
PSA_K.US,D,20200124,000000,26.0208,26.05,25.94,26.0171,6295,0
PSA_K.US,D,20200127,000000,25.9193,26.11,25.9193,26.01,49472,0
PSA_K.US,D,20200128,000000,25.9874,26.08,25.92,26.01,36582,0
PSA_K.US,D,20200129,000000,25.94,25.9985,25.85,25.98,47894,0
PSA_K.US,D,20200130,000000,25.9504,26.18,25.9504,26.1,20012,0
PSA_K.US,D,20200131,000000,26.2142,26.215,26.1,26.13,13959,0
PSA_K.US,D,20200203,000000,26.34,26.34,26.0102,26.25,18849,0
PSA_K.US,D,20200204,000000,26.16,26.33,26.16,26.2852,18292,0
PSA_K.US,D,20200205,000000,26.32,26.3203,26.2,26.31,19179,0
PSA_K.US,D,20200206,000000,26.4,26.42,26.3,26.3766,13905,0
PSA_K.US,D,20200207,000000,26.36,26.72,26.36,26.525,20576,0
PSA_K.US,D,20200210,000000,26.59,26.59,26.434,26.56,7687,0
PSA_K.US,D,20200211,000000,26.52,26.6499,26.5,26.5492,13428,0
PSA_K.US,D,20200212,000000,26.48,26.69,26.48,26.49,41107,0
PSA_K.US,D,20200213,000000,26.45,26.5508,26.45,26.55,9901,0
PSA_K.US,D,20200214,000000,26.568,26.65,26.3835,26.52,33648,0
PSA_K.US,D,20200218,000000,26.51,26.55,26.436,26.436,11679,0
PSA_K.US,D,20200219,000000,26.5,26.71,26.3471,26.3471,22699,0
PSA_K.US,D,20200220,000000,26.55,26.63,26.4775,26.62,8875,0
PSA_K.US,D,20200221,000000,26.59,26.59,26.4,26.49,17237,0
PSA_K.US,D,20200224,000000,26.43,26.43,26.16,26.31,14561,0
PSA_K.US,D,20200225,000000,26.27,26.27,25.67,25.74,38190,0
PSA_K.US,D,20200226,000000,25.73,26.1534,25.618,25.85,18582,0
PSA_K.US,D,20200227,000000,25.77,25.8869,25.39,25.63,68541,0
PSA_K.US,D,20200228,000000,25.41,25.4414,25.17,25.4,28591,0
PSA_K.US,D,20200302,000000,25.3,26.09,25.3,25.7899,26631,0
PSA_K.US,D,20200303,000000,25.79,26.45,25.79,25.98,12277,0
PSA_K.US,D,20200304,000000,26.28,26.4,26.11,26.21,15103,0
PSA_K.US,D,20200305,000000,26.08,26.2,25.8,25.81,23916,0
PSA_K.US,D,20200306,000000,25.81,25.85,25.5,25.6,11388,0
PSA_K.US,D,20200309,000000,25.28,25.3341,25,25.22,74589,0
PSA_K.US,D,20200310,000000,25.62,25.62,25.25,25.39,20753,0
PSA_K.US,D,20200311,000000,25.65,25.74,25.17,25.3,38365,0
PSA_K.US,D,20200312,000000,24.99,24.99,23.62,23.77,175923,0
PSA_K.US,D,20200313,000000,24.25,24.55,23.29,24.45,73005,0
PSA_K.US,D,20200316,000000,23.7,23.7,22.6533,22.86,55029,0
PSA_K.US,D,20200317,000000,23.3,23.35,22.6,22.64,32613,0
PSA_K.US,D,20200318,000000,22.29,22.29,19.6889,20.7487,35955,0
PSA_K.US,D,20200319,000000,20.7,22.25,19.6125,22.01,31070,0
PSA_K.US,D,20200320,000000,22,22.37,21.35,21.35,84082,0
PSA_K.US,D,20200323,000000,21.56,21.955,19,20.38,84036,0
PSA_K.US,D,20200324,000000,21.38,22.47,21.38,22.06,53852,0
PSA_K.US,D,20200325,000000,22.11,24.205,22.11,23.665,47116,0
PSA_K.US,D,20200326,000000,23.89,24.56,23.32,24.56,20416,0
PSA_K.US,D,20200327,000000,23.01,23.52,23,23.32,11642,0
PSA_K.US,D,20200330,000000,23.25,23.75,22.99,23.61,29041,0
PSA_K.US,D,20200331,000000,23.98,23.98,23.4,23.57,14610,0
PSA_K.US,D,20200401,000000,23.49,23.49,22.44,23.3,20706,0
PSA_K.US,D,20200402,000000,23.41,23.41,22.42,22.89,67848,0
PSA_K.US,D,20200403,000000,22.88,22.92,22.55,22.89,13419,0
PSA_K.US,D,20200406,000000,23.1,23.28,22.9,23.2333,62242,0
PSA_K.US,D,20200407,000000,24.5,24.5,23.41,24.25,44924,0
PSA_K.US,D,20200408,000000,23.7,24.92,23.7,24.88,6833,0
PSA_K.US,D,20200409,000000,25.19,25.19,24.81,25,92999,0
PSA_K.US,D,20200413,000000,25.19,25.19,24.62,24.8909,36706,0
PSA_K.US,D,20200414,000000,24.9,25,24.88,25,22528,0
PSA_K.US,D,20200415,000000,25,25,23.79,24.95,24334,0
PSA_K.US,D,20200416,000000,24.99,25,24.74,24.985,27890,0
PSA_K.US,D,20200417,000000,25,25.13,24.91,25.03,40170,0
PSA_K.US,D,20200420,000000,25.2,25.2,24.71,24.895,22760,0
PSA_K.US,D,20200421,000000,24.88,24.88,24.46,24.7,13753,0
PSA_K.US,D,20200422,000000,25.12,25.12,24.774,24.89,20854,0
PSA_K.US,D,20200423,000000,24.75,25.16,24.709,25.14,22548,0
PSA_K.US,D,20200424,000000,25.11,25.18,24.88,25.13,12690,0
PSA_K.US,D,20200427,000000,25.19,25.2,25.06,25.18,8390,0
PSA_K.US,D,20200428,000000,25.2,25.2,25,25.0302,30797,0
PSA_K.US,D,20200429,000000,25.05,25.21,25.01,25.18,22863,0
PSA_K.US,D,20200430,000000,25.18,25.89,25.18,25.89,154345,0
PSA_K.US,D,20200501,000000,25.75,25.77,25.53,25.76,29192,0
PSA_K.US,D,20200504,000000,25.78,25.82,25.57,25.82,5475,0
PSA_K.US,D,20200505,000000,25.78,25.85,25.68,25.77,10456,0
PSA_K.US,D,20200506,000000,25.65,25.68,25.58,25.635,8651,0
