<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSA_S.US,D,20220119,000000,24.78,24.8,24.68,24.77,38753,0
PSA_S.US,D,20220120,000000,24.68,24.96,24.68,24.835,221012,0
PSA_S.US,D,20220121,000000,24.8386,25.02,24.75,25,204571,0
PSA_S.US,D,20220124,000000,24.75,25.01,24.75,24.95,114157,0
PSA_S.US,D,20220125,000000,24.95,25.02,24.82,24.89,97530,0
PSA_S.US,D,20220126,000000,24.9,25,24.71,24.89,255674,0
PSA_S.US,D,20220127,000000,24.9189,24.9189,24.41,24.62,695354,0
PSA_S.US,D,20220128,000000,24.62,24.62,23.6001,24.06,428322,0
PSA_S.US,D,20220131,000000,24.16,24.3502,24.01,24.2,1255280,0
PSA_S.US,D,20220201,000000,24.2,24.2,23.9,24.07,179810,0
PSA_S.US,D,20220202,000000,24.13,24.13,23.92,23.92,14755,0
PSA_S.US,D,20220203,000000,23.8,24,23.6,23.7,73284,0
PSA_S.US,D,20220204,000000,23.7,23.7,23.1,23.28,44085,0
PSA_S.US,D,20220207,000000,23.32,23.32,23.23,23.25,12890,0
PSA_S.US,D,20220208,000000,23.1,23.1,22.83,22.85,33027,0
PSA_S.US,D,20220209,000000,22.91,23,22.8401,22.94,40469,0
PSA_S.US,D,20220210,000000,22.74,22.78,22.13,22.32,129735,0
PSA_S.US,D,20220211,000000,22.25,22.31,22.06,22.19,32150,0
PSA_S.US,D,20220214,000000,22.36,22.36,21.26,21.35,128912,0
PSA_S.US,D,20220215,000000,21.35,22.05,21.35,21.89,89891,0
PSA_S.US,D,20220216,000000,21.9468,21.9936,21.5,21.9,54011,0
PSA_S.US,D,20220217,000000,22,22.12,21.76,21.87,31942,0
PSA_S.US,D,20220218,000000,22.2569,22.2569,21.75,21.82,20446,0
PSA_S.US,D,20220222,000000,22.01,22.01,21.6501,21.71,14086,0
PSA_S.US,D,20220223,000000,21.757,21.79,21.67,21.67,60747,0
PSA_S.US,D,20220224,000000,21.58,21.58,21.14,21.21,216101,0
PSA_S.US,D,20220225,000000,21.26,21.41,21.22,21.31,276002,0
PSA_S.US,D,20220228,000000,21.24,21.53,21.19,21.22,67122,0
PSA_S.US,D,20220301,000000,21.28,21.5374,21.27,21.36,54497,0
PSA_S.US,D,20220302,000000,21.26,21.41,21.26,21.4,96234,0
PSA_S.US,D,20220303,000000,21.4,21.53,21.32,21.47,31207,0
PSA_S.US,D,20220304,000000,21.31,21.47,21.22,21.25,74187,0
PSA_S.US,D,20220307,000000,21.1913,21.1913,20.98,20.98,16541,0
PSA_S.US,D,20220308,000000,20.97,20.9915,20.84,20.88,28705,0
PSA_S.US,D,20220309,000000,21.01,21.2,20.9,20.9,27126,0
PSA_S.US,D,20220310,000000,20.74,20.8399,20.7,20.75,10317,0
PSA_S.US,D,20220311,000000,20.805,20.94,20.6,20.6,20686,0
PSA_S.US,D,20220314,000000,20.51,20.575,19.98,20.05,58680,0
PSA_S.US,D,20220315,000000,19.97,20.0401,19.88,20.0401,49684,0
PSA_S.US,D,20220316,000000,20.14,20.48,20.0539,20.26,28783,0
PSA_S.US,D,20220317,000000,20.34,20.6319,20.255,20.49,9946,0
PSA_S.US,D,20220318,000000,20.42,20.73,20.42,20.73,15646,0
PSA_S.US,D,20220321,000000,20.7,20.83,20.22,20.45,44789,0
PSA_S.US,D,20220322,000000,20.45,20.52,20.2,20.51,33479,0
PSA_S.US,D,20220323,000000,20.41,20.5,20.29,20.45,23971,0
PSA_S.US,D,20220324,000000,20.4514,20.49,20.33,20.45,26003,0
PSA_S.US,D,20220325,000000,20.4,20.4035,19.94,20.18,27892,0
PSA_S.US,D,20220328,000000,20.23,20.32,20.21,20.32,9344,0
PSA_S.US,D,20220329,000000,20.26,20.58,20.26,20.5,38584,0
PSA_S.US,D,20220330,000000,20.74,20.77,20.5875,20.64,16264,0
PSA_S.US,D,20220331,000000,20.7,20.8854,20.68,20.77,39775,0
PSA_S.US,D,20220401,000000,20.77,20.84,20.5026,20.7,38244,0
PSA_S.US,D,20220404,000000,20.8,20.91,20.762,20.91,57715,0
PSA_S.US,D,20220405,000000,20.85,20.85,20.53,20.53,42692,0
PSA_S.US,D,20220406,000000,20.47,20.47,20.2099,20.39,25963,0
PSA_S.US,D,20220407,000000,20.2,20.55,20.2,20.55,33838,0
PSA_S.US,D,20220408,000000,20.3601,20.4,19.99,20.1,129127,0
PSA_S.US,D,20220411,000000,20.16,20.16,19.8996,19.9,22407,0
PSA_S.US,D,20220412,000000,20.07,20.2,19.74,20,30392,0
PSA_S.US,D,20220413,000000,19.82,20.13,19.7801,19.86,23835,0
PSA_S.US,D,20220414,000000,19.8,19.91,19.56,19.65,88896,0
PSA_S.US,D,20220418,000000,19.72,19.7225,19.52,19.55,37337,0
PSA_S.US,D,20220419,000000,19.46,19.76,19.46,19.59,21962,0
PSA_S.US,D,20220420,000000,19.69,19.77,19.605,19.77,17419,0
PSA_S.US,D,20220421,000000,19.6723,19.81,19.35,19.445,114533,0
PSA_S.US,D,20220422,000000,19.53,19.53,19.09,19.38,43119,0
PSA_S.US,D,20220425,000000,19.2947,19.3417,19.2301,19.3417,11461,0
PSA_S.US,D,20220426,000000,19.47,19.4999,19.14,19.23,18941,0
PSA_S.US,D,20220427,000000,19.25,19.32,19.13,19.1678,27366,0
PSA_S.US,D,20220428,000000,19.25,19.465,19,19.38,89787,0
PSA_S.US,D,20220429,000000,19.1868,19.41,19.1501,19.41,50606,0
PSA_S.US,D,20220502,000000,18.83,19.265,18.71,18.83,23228,0
PSA_S.US,D,20220503,000000,18.925,18.9366,18.42,18.52,43659,0
PSA_S.US,D,20220504,000000,18.52,19.27,18.5,19.27,16813,0
PSA_S.US,D,20220505,000000,18.885,18.9403,18.35,18.51,42760,0
PSA_S.US,D,20220506,000000,18.51,18.51,18.17,18.25,26308,0
PSA_S.US,D,20220509,000000,18.27,18.27,17.8602,17.97,23213,0
PSA_S.US,D,20220510,000000,18.1,18.28,18.0546,18.28,33884,0
PSA_S.US,D,20220511,000000,18.25,18.4,18.06,18.07,33085,0
PSA_S.US,D,20220512,000000,18.19,18.24,18.09,18.18,29037,0
PSA_S.US,D,20220513,000000,18.18,18.4,18.18,18.34,28886,0
PSA_S.US,D,20220516,000000,18.34,18.6552,18.32,18.49,7050,0
PSA_S.US,D,20220517,000000,18.55,18.629,18.3,18.31,87119,0
PSA_S.US,D,20220518,000000,18.4,18.4,18.1801,18.36,95832,0
PSA_S.US,D,20220519,000000,18.35,18.35,18.21,18.29,35750,0
PSA_S.US,D,20220520,000000,18.4,18.54,18.2,18.41,29560,0
PSA_S.US,D,20220523,000000,18.49,18.5199,18.2,18.43,19601,0
PSA_S.US,D,20220524,000000,18.36,18.62,18.13,18.62,45020,0
PSA_S.US,D,20220525,000000,18.7,19,18.7,18.97,26272,0
PSA_S.US,D,20220526,000000,19.1,19.335,19.1,19.24,31000,0
PSA_S.US,D,20220527,000000,19.37,19.729,19.3329,19.7,24913,0
PSA_S.US,D,20220531,000000,19.41,19.67,19.07,19.67,52595,0
PSA_S.US,D,20220601,000000,19.65,19.76,19.575,19.75,9356,0
PSA_S.US,D,20220602,000000,19.78,19.795,19.55,19.78,23618,0
PSA_S.US,D,20220603,000000,19.65,19.88,19.544,19.78,34263,0
PSA_S.US,D,20220606,000000,19.89,19.89,19.71,19.75,26926,0
PSA_S.US,D,20220607,000000,19.69,19.84,19.58,19.84,34985,0
PSA_S.US,D,20220608,000000,19.93,19.93,19.62,19.82,24405,0
PSA_S.US,D,20220609,000000,19.62,19.69,19.5703,19.65,13064,0
PSA_S.US,D,20220610,000000,19.58,19.58,19.135,19.16,7594,0
PSA_S.US,D,20220613,000000,18.86,18.86,18.25,18.5,38363,0
PSA_S.US,D,20220614,000000,17.96,18.65,17.89,18.39,20978,0
PSA_S.US,D,20220615,000000,18.71,18.85,18.3348,18.84,16170,0
PSA_S.US,D,20220616,000000,18.39,18.63,18.39,18.5699,10297,0
PSA_S.US,D,20220617,000000,18.65,18.7054,18.49,18.49,15794,0
PSA_S.US,D,20220621,000000,18.885,18.9,18.49,18.79,28601,0
PSA_S.US,D,20220622,000000,18.7905,18.8,18.46,18.67,20983,0
PSA_S.US,D,20220623,000000,18.72,18.75,18.49,18.6,82313,0
PSA_S.US,D,20220624,000000,18.68,18.75,18.665,18.7001,26433,0
PSA_S.US,D,20220627,000000,18.65,19.05,18.6,18.74,22561,0
PSA_S.US,D,20220628,000000,18.905,19.04,18.74,18.74,5331,0
PSA_S.US,D,20220629,000000,18.95,18.95,18.81,18.82,8465,0
PSA_S.US,D,20220630,000000,18.88,19.18,18.8,19.18,182771,0
PSA_S.US,D,20220701,000000,19.19,19.31,19.002,19.16,23737,0
PSA_S.US,D,20220705,000000,19.25,19.25,19.01,19.12,7788,0
PSA_S.US,D,20220706,000000,19.23,19.23,18.95,19.12,7612,0
PSA_S.US,D,20220707,000000,19.15,19.22,19.04,19.2,2421,0
