<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSTP.US,D,20220309,000000,25.73,25.96,25.73,25.8974,46312,0
PSTP.US,D,20220310,000000,25.78,25.8449,25.6693,25.8449,4411,0
PSTP.US,D,20220311,000000,25.9299,25.94,25.6555,25.6555,3872,0
PSTP.US,D,20220314,000000,25.69,25.7,25.5132,25.5325,17076,0
PSTP.US,D,20220315,000000,25.64,25.87,25.64,25.8535,5902,0
PSTP.US,D,20220316,000000,26.12,26.12,25.9399,26.1101,16706,0
PSTP.US,D,20220317,000000,26.18,26.38,26.07,26.38,43158,0
PSTP.US,D,20220318,000000,26.35,26.4792,26.35,26.4792,6138,0
PSTP.US,D,20220321,000000,26.47,26.54,26.44,26.4483,3953,0
PSTP.US,D,20220322,000000,26.62,26.63,26.59,26.5966,2470,0
PSTP.US,D,20220323,000000,26.53,26.59,26.4746,26.4746,12572,0
PSTP.US,D,20220324,000000,26.61,26.63,26.6,26.6253,3173,0
PSTP.US,D,20220325,000000,26.86,26.86,26.619,26.678,8434,0
PSTP.US,D,20220328,000000,26.632,26.7346,26.632,26.7346,8608,0
PSTP.US,D,20220329,000000,26.84,26.8951,26.7873,26.8951,6338,0
PSTP.US,D,20220330,000000,26.88,26.9,26.7989,26.7989,8563,0
PSTP.US,D,20220331,000000,26.788,26.839,26.6501,26.6967,17219,0
PSTP.US,D,20220401,000000,26.78,26.78,26.6,26.69,34184,0
PSTP.US,D,20220404,000000,26.77,26.8,26.6786,26.7702,14872,0
PSTP.US,D,20220405,000000,26.76,26.77,26.5853,26.5853,23609,0
PSTP.US,D,20220406,000000,26.42,26.538,26.4,26.4706,16481,0
PSTP.US,D,20220407,000000,26.42,26.61,26.39,26.5138,26822,0
PSTP.US,D,20220408,000000,26.56,26.648,26.4822,26.4822,29750,0
PSTP.US,D,20220411,000000,26.37,26.37,26.2559,26.2559,3465,0
PSTP.US,D,20220412,000000,26.2999,26.2999,26.2299,26.2299,1199,0
PSTP.US,D,20220413,000000,26.4,26.41,26.39,26.4043,3770,0
PSTP.US,D,20220414,000000,26.34,26.3499,26.2448,26.2448,1518,0
PSTP.US,D,20220418,000000,26.23,26.34,26.205,26.2119,27972,0
PSTP.US,D,20220419,000000,26.46,26.46,26.405,26.4507,17129,0
PSTP.US,D,20220420,000000,26.59,26.59,26.4371,26.4371,3350,0
PSTP.US,D,20220421,000000,26.585,26.64,26.28,26.28,1390,0
PSTP.US,D,20220422,000000,26.08,26.08,25.84,25.841,18950,0
PSTP.US,D,20220425,000000,25.84,25.84,25.69,25.79,13712,0
PSTP.US,D,20220426,000000,25.9,25.9,25.5333,25.5333,8654,0
PSTP.US,D,20220427,000000,25.66,25.74,25.5245,25.5396,22952,0
PSTP.US,D,20220428,000000,25.6,25.96,25.59,25.842,8935,0
PSTP.US,D,20220429,000000,25.809,25.81,25.295,25.295,36643,0
PSTP.US,D,20220502,000000,25.34,25.42,25.12,25.41,62930,0
PSTP.US,D,20220503,000000,25.445,25.53,25.4175,25.4546,11501,0
PSTP.US,D,20220504,000000,25.5,25.9,25.4052,25.8,4351,0
PSTP.US,D,20220505,000000,25.71,25.71,25.37,25.42,8051,0
PSTP.US,D,20220506,000000,25.02,25.42,25.01,25.3237,98036,0
PSTP.US,D,20220509,000000,24.98,25,24.8444,24.8444,10535,0
PSTP.US,D,20220510,000000,24.8788,25.03,24.8208,24.9029,4084,0
PSTP.US,D,20220511,000000,24.9868,24.99,24.6,24.6472,2850,0
PSTP.US,D,20220512,000000,24.5,24.72,24.49,24.6341,15240,0
PSTP.US,D,20220513,000000,24.87,25.068,24.87,25.029,2141,0
PSTP.US,D,20220516,000000,24.95,25.04,24.95,24.9969,878,0
PSTP.US,D,20220517,000000,25.21,25.289,25.126,25.2758,6272,0
PSTP.US,D,20220518,000000,25.11,25.11,24.6501,24.6501,9828,0
PSTP.US,D,20220519,000000,24.58,24.78,24.5501,24.6243,18672,0
PSTP.US,D,20220520,000000,24.6001,24.65,24.38,24.6012,32771,0
PSTP.US,D,20220523,000000,24.68,24.94,24.6695,24.8395,7762,0
PSTP.US,D,20220524,000000,24.72,24.75,24.59,24.7344,5520,0
PSTP.US,D,20220525,000000,24.88,24.97,24.76,24.9128,17591,0
PSTP.US,D,20220526,000000,25.18,25.25,25.1692,25.1776,18425,0
PSTP.US,D,20220527,000000,25.3643,25.48,25.3643,25.4526,3318,0
PSTP.US,D,20220531,000000,25.37,25.52,25.35,25.4293,11828,0
PSTP.US,D,20220601,000000,25.47,25.47,25.2214,25.3145,58275,0
PSTP.US,D,20220602,000000,25.32,25.5449,25.32,25.5449,18012,0
PSTP.US,D,20220603,000000,25.4,25.41,25.3481,25.3674,5534,0
PSTP.US,D,20220606,000000,25.479,25.5,25.36,25.38,12000,0
PSTP.US,D,20220607,000000,25.32,25.56,25.32,25.5243,5087,0
PSTP.US,D,20220608,000000,25.51,25.51,25.3841,25.3841,3642,0
PSTP.US,D,20220609,000000,25.3705,25.3705,25.0723,25.0723,6318,0
PSTP.US,D,20220610,000000,24.87,24.87,24.665,24.6701,4904,0
PSTP.US,D,20220613,000000,24.45,24.45,24.02,24.0417,12197,0
PSTP.US,D,20220614,000000,24.13,24.14,23.95,23.968,6336,0
PSTP.US,D,20220615,000000,24.1301,24.28,24.09,24.2133,16814,0
PSTP.US,D,20220616,000000,23.775,23.775,23.73,23.7355,5405,0
PSTP.US,D,20220617,000000,23.85,23.87,23.7203,23.7846,16511,0
PSTP.US,D,20220621,000000,24.04,24.21,24.04,24.1155,62250,0
PSTP.US,D,20220622,000000,24.11,24.239,24.11,24.1328,24872,0
PSTP.US,D,20220623,000000,24.181,24.279,24.115,24.2347,4498,0
PSTP.US,D,20220624,000000,24.575,24.69,24.575,24.65,47280,0
PSTP.US,D,20220627,000000,24.7,24.71,24.56,24.6,27626,0
PSTP.US,D,20220628,000000,24.7817,24.7899,24.3539,24.3539,4981,0
PSTP.US,D,20220629,000000,24.34,24.3999,24.275,24.3369,15406,0
PSTP.US,D,20220630,000000,24.08,24.315,24.08,24.23,3868,0
PSTP.US,D,20220701,000000,24.21,24.3152,24.15,24.3152,4535,0
PSTP.US,D,20220705,000000,24.07,24.35,24.07,24.35,2897,0
PSTP.US,D,20220706,000000,24.3549,24.53,24.335,24.3891,14697,0
PSTP.US,D,20220707,000000,24.485,24.62,24.485,24.5704,5137,0
PSTP.US,D,20220708,000000,24.54,24.61,24.51,24.5685,5451,0
PSTP.US,D,20220711,000000,24.46,24.46,24.3854,24.3866,4036,0
PSTP.US,D,20220712,000000,24.445,24.445,24.285,24.3005,2989,0
PSTP.US,D,20220713,000000,24.21,24.34,24.13,24.2465,3789,0
PSTP.US,D,20220714,000000,24.13,24.2404,23.98,24.23,14301,0
PSTP.US,D,20220715,000000,24.32,24.47,24.32,24.4316,1005,0
PSTP.US,D,20220718,000000,24.6199,24.6199,24.3381,24.3381,21754,0
PSTP.US,D,20220719,000000,24.555,24.72,24.555,24.6778,2570,0
PSTP.US,D,20220720,000000,24.71,24.8,24.6877,24.7546,5767,0
PSTP.US,D,20220721,000000,24.779,24.89,24.779,24.8574,5848,0
