<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QFTA-U.US,D,20210208,000000,10.28,10.31,10.25,10.28,771722,0
QFTA-U.US,D,20210209,000000,10.35,10.39,10.25,10.28,457258,0
QFTA-U.US,D,20210210,000000,10.29,10.3,10.17,10.22,361661,0
QFTA-U.US,D,20210211,000000,10.26,10.28,10.2101,10.23,451458,0
QFTA-U.US,D,20210212,000000,10.24,10.285,10.23,10.27,261306,0
QFTA-U.US,D,20210216,000000,10.29,10.34,10.26,10.32,70520,0
QFTA-U.US,D,20210217,000000,10.34,10.34,10.21,10.26,34967,0
QFTA-U.US,D,20210218,000000,10.16,10.28,10.16,10.27,349408,0
QFTA-U.US,D,20210219,000000,10.3,10.3,10.24,10.27,71001,0
QFTA-U.US,D,20210222,000000,10.29,10.3,10.24,10.29,272043,0
QFTA-U.US,D,20210223,000000,10.26,10.3199,10.2,10.27,408580,0
QFTA-U.US,D,20210224,000000,10.3,10.3,10.21,10.24,250227,0
QFTA-U.US,D,20210225,000000,10.25,10.25,10.18,10.23,118174,0
QFTA-U.US,D,20210226,000000,10.2,10.215,10.19,10.19,231530,0
QFTA-U.US,D,20210301,000000,10.2,10.29,10.2,10.25,73718,0
QFTA-U.US,D,20210302,000000,10.16,10.2001,10.13,10.13,43413,0
QFTA-U.US,D,20210303,000000,10.11,10.11,10.01,10.06,96881,0
QFTA-U.US,D,20210304,000000,10.045,10.045,9.95,9.99,20368,0
QFTA-U.US,D,20210305,000000,9.99,10.03,9.98,9.99,1707494,0
QFTA-U.US,D,20210308,000000,10.12,10.16,10.05,10.16,97364,0
QFTA-U.US,D,20210309,000000,10.07,10.1,10.0486,10.1,118142,0
QFTA-U.US,D,20210310,000000,10.2,10.25,10.1,10.17,234153,0
QFTA-U.US,D,20210311,000000,10.2,10.21,10.1,10.16,103607,0
QFTA-U.US,D,20210312,000000,10.1,10.21,10.1,10.16,18544,0
QFTA-U.US,D,20210315,000000,10.11,10.19,10.11,10.14,101849,0
QFTA-U.US,D,20210316,000000,10.18,10.18,10.12,10.13,2285,0
QFTA-U.US,D,20210317,000000,10.13,10.18,10.13,10.18,4100,0
QFTA-U.US,D,20210318,000000,10.18,10.18,10.07,10.0701,92498,0
QFTA-U.US,D,20210319,000000,10.1,10.12,10.07,10.0934,4170,0
QFTA-U.US,D,20210322,000000,10.1,10.15,9.99,10.1,141763,0
QFTA-U.US,D,20210323,000000,10.03,10.03,9.95,9.98,39057,0
QFTA-U.US,D,20210324,000000,9.8945,9.93,9.87,9.88,51581,0
QFTA-U.US,D,20210325,000000,9.85,9.9,9.76,9.9,13675,0
QFTA-U.US,D,20210326,000000,9.83,9.97,9.83,9.97,24782,0
QFTA-U.US,D,20210329,000000,9.9,10,9.9,9.97,9155,0
QFTA-U.US,D,20210330,000000,9.9,10,9.9,9.931,9248,0
QFTA-U.US,D,20210331,000000,9.93,9.965,9.93,9.96,8362,0
QFTA-U.US,D,20210401,000000,9.98,10,9.98,10,8064,0
QFTA-U.US,D,20210405,000000,10,10.05,10,10.04,21323,0
QFTA-U.US,D,20210406,000000,10,10.05,10,10.05,6464,0
QFTA-U.US,D,20210407,000000,10.05,10.05,10.04,10.05,21301,0
QFTA-U.US,D,20210408,000000,10.04,10.04,10.04,10.04,1000,0
QFTA-U.US,D,20210409,000000,10.04,10.1,10.0182,10.09,23934,0
QFTA-U.US,D,20210412,000000,10.14,10.14,10.05,10.14,5059,0
QFTA-U.US,D,20210413,000000,10.04,10.15,10.04,10.15,2715,0
QFTA-U.US,D,20210414,000000,10.081,10.15,10.08,10.14,1908,0
QFTA-U.US,D,20210415,000000,10.1759,10.1759,10.14,10.14,1953,0
QFTA-U.US,D,20210416,000000,10.05,10.15,10.05,10.08,50688,0
QFTA-U.US,D,20210419,000000,10.02,10.1,10,10.08,47140,0
QFTA-U.US,D,20210420,000000,10.08,10.1,10.02,10.06,13077,0
QFTA-U.US,D,20210421,000000,10.055,10.06,10.055,10.06,1738,0
QFTA-U.US,D,20210422,000000,10.03,10.1,10,10.01,10675,0
QFTA-U.US,D,20210423,000000,10.02,10.02,9.99,10,21268,0
QFTA-U.US,D,20210426,000000,9.99,10.01,9.945,10,17027,0
QFTA-U.US,D,20210427,000000,9.99,9.99,9.98,9.99,764,0
QFTA-U.US,D,20210428,000000,9.95,9.99,9.94,9.99,669934,0
QFTA-U.US,D,20210429,000000,10.03,10.05,9.96,9.99,44304,0
QFTA-U.US,D,20210430,000000,10.03,10.08,9.99,10.08,41089,0
QFTA-U.US,D,20210503,000000,10.04,10.04,10,10,1345,0
QFTA-U.US,D,20210504,000000,10.02,10.02,10.01,10.02,1420,0
QFTA-U.US,D,20210505,000000,10.0501,10.08,9.9609,10.07,10226,0
QFTA-U.US,D,20210506,000000,10.07,10.07,10.07,10.07,100,0
QFTA-U.US,D,20210507,000000,10.0705,10.0705,9.99,9.99,44336,0
QFTA-U.US,D,20210511,000000,10.02,10.02,10,10.01,6400,0
QFTA-U.US,D,20210512,000000,9.9865,10.01,9.98,9.98,3391,0
QFTA-U.US,D,20210514,000000,9.96,9.98,9.93,9.98,2196,0
QFTA-U.US,D,20210517,000000,9.98,9.98,9.93,9.93,14969,0
QFTA-U.US,D,20210518,000000,9.95,10,9.95,9.97,11049,0
QFTA-U.US,D,20210519,000000,10.01,10.01,10.01,10.01,100,0
QFTA-U.US,D,20210520,000000,9.95,9.97,9.9474,9.9474,1000,0
QFTA-U.US,D,20210521,000000,9.9453,9.9453,9.9453,9.9453,350,0
QFTA-U.US,D,20210524,000000,9.97,9.97,9.97,9.97,500,0
QFTA-U.US,D,20210525,000000,9.99,9.99,9.92,9.97,18432,0
QFTA-U.US,D,20210526,000000,9.97,9.97,9.96,9.96,3619,0
QFTA-U.US,D,20210527,000000,9.97,9.97,9.95,9.95,9282,0
QFTA-U.US,D,20210528,000000,9.97,9.99,9.96,9.96,155010,0
QFTA-U.US,D,20210601,000000,9.9434,9.97,9.9434,9.97,700,0
QFTA-U.US,D,20210602,000000,9.97,9.97,9.97,9.97,337,0
QFTA-U.US,D,20210603,000000,9.94,9.97,9.94,9.97,2999,0
QFTA-U.US,D,20210604,000000,9.97,10.0167,9.97,10.01,21364,0
QFTA-U.US,D,20210607,000000,10,10,10,10,10257,0
QFTA-U.US,D,20210608,000000,10.03,10.03,10,10,2301,0
QFTA-U.US,D,20210609,000000,10.03,10.03,10.03,10.03,100,0
QFTA-U.US,D,20210610,000000,10.1,10.1,10.05,10.08,8162,0
QFTA-U.US,D,20210611,000000,10.05,10.06,10.02,10.06,11900,0
QFTA-U.US,D,20210614,000000,10.0085,10.04,10.0085,10.04,1150,0
QFTA-U.US,D,20210615,000000,10.06,10.1,10.055,10.055,2500,0
QFTA-U.US,D,20210616,000000,10.1,10.1,10.07,10.1,4608,0
