<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFA-WS.US,D,20220104,000000,0.5,0.6,0.4998,0.6,1450,0
RCFA-WS.US,D,20220105,000000,0.5501,0.5502,0.5501,0.5501,3300,0
RCFA-WS.US,D,20220106,000000,0.55,0.55,0.55,0.55,101,0
RCFA-WS.US,D,20220107,000000,0.5351,0.54,0.52,0.52,267300,0
RCFA-WS.US,D,20220110,000000,0.543615,0.543615,0.543615,0.543615,260,0
RCFA-WS.US,D,20220113,000000,0.57,0.57,0.57,0.57,1500,0
RCFA-WS.US,D,20220124,000000,0.5,0.5031,0.4501,0.5031,169998,0
RCFA-WS.US,D,20220125,000000,0.5,0.5,0.47,0.47,101100,0
RCFA-WS.US,D,20220126,000000,0.5029,0.5029,0.4762,0.49,50842,0
RCFA-WS.US,D,20220127,000000,0.5,0.5,0.5,0.5,2100,0
RCFA-WS.US,D,20220128,000000,0.55,0.6498,0.55,0.6498,1552,0
RCFA-WS.US,D,20220131,000000,0.56,0.59,0.52,0.52,700,0
RCFA-WS.US,D,20220201,000000,0.6099,0.6199,0.5999,0.6199,3258,0
RCFA-WS.US,D,20220202,000000,0.5701,0.5701,0.55,0.55,600,0
RCFA-WS.US,D,20220204,000000,0.4861,0.4861,0.4861,0.4861,100,0
RCFA-WS.US,D,20220209,000000,0.48,0.48,0.47,0.4749,36850,0
RCFA-WS.US,D,20220210,000000,0.47,0.47,0.47,0.47,102228,0
RCFA-WS.US,D,20220211,000000,0.47,0.47,0.47,0.47,55102,0
RCFA-WS.US,D,20220214,000000,0.47,0.47,0.465,0.4669,36619,0
RCFA-WS.US,D,20220216,000000,0.4687,0.4976,0.439,0.4976,10190,0
RCFA-WS.US,D,20220224,000000,0.48,0.48,0.48,0.48,57780,0
RCFA-WS.US,D,20220225,000000,0.4675,0.4675,0.46,0.46,54000,0
RCFA-WS.US,D,20220301,000000,0.4599,0.4599,0.45,0.45,73540,0
RCFA-WS.US,D,20220303,000000,0.45,0.45,0.45,0.45,25000,0
RCFA-WS.US,D,20220304,000000,0.4501,0.52,0.45,0.45,266544,0
RCFA-WS.US,D,20220308,000000,0.4498,0.4498,0.4335,0.4335,71870,0
RCFA-WS.US,D,20220309,000000,0.4499,0.4499,0.4499,0.4499,190,0
