<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDW.US,D,20210907,000000,12.26,12.49,11.55,11.77,791517,0
RDW.US,D,20210908,000000,11.88,12.016,11.58,11.91,255682,0
RDW.US,D,20210909,000000,11.83,13.34,11.7,12.85,1273268,0
RDW.US,D,20210910,000000,12.5,13.115,11.64,11.64,874936,0
RDW.US,D,20210913,000000,11.68,11.85,11.12,11.31,303137,0
RDW.US,D,20210914,000000,11.3,11.608,10.66,10.67,455553,0
RDW.US,D,20210915,000000,10.85,11.0032,10.37,10.56,415084,0
RDW.US,D,20210916,000000,10.66,11.21,10.66,11.07,384342,0
RDW.US,D,20210917,000000,11.07,11.54,10.95,11.36,340924,0
RDW.US,D,20210920,000000,11.13,11.57,11,11.36,417490,0
RDW.US,D,20210921,000000,11.57,11.84,11.44,11.45,342024,0
RDW.US,D,20210922,000000,11.46,11.71,11.07,11.29,331424,0
RDW.US,D,20210923,000000,11.25,11.4223,10.89,10.89,335174,0
RDW.US,D,20210924,000000,10.7,10.8762,10.39,10.48,351422,0
RDW.US,D,20210927,000000,10.5,10.6499,9.96,9.99,423006,0
RDW.US,D,20210928,000000,10.1,10.44,9.95,10.05,623198,0
RDW.US,D,20210929,000000,10.09,10.34,9.8,9.85,429187,0
RDW.US,D,20210930,000000,9.86,10,9.57,9.63,380667,0
RDW.US,D,20211001,000000,9.73,9.965,9.46,9.48,389216,0
RDW.US,D,20211004,000000,9.41,9.6856,8.99,9.03,405883,0
RDW.US,D,20211005,000000,8.83,9.44,8.8224,9.11,768187,0
RDW.US,D,20211006,000000,8.92,9.17,8.78,8.8,275416,0
RDW.US,D,20211007,000000,8.97,10.3862,8.9,9.77,1647682,0
RDW.US,D,20211008,000000,10,10.05,9.33,9.48,431426,0
RDW.US,D,20211011,000000,9.41,9.53,9.03,9.25,476185,0
RDW.US,D,20211012,000000,9.32,10.87,9.26,9.94,2252351,0
RDW.US,D,20211013,000000,10.12,12.84,10.02,12.13,13281070,0
RDW.US,D,20211014,000000,11.65,11.9599,10.68,10.9,3761834,0
RDW.US,D,20211015,000000,11.02,11.11,10.06,10.25,1764225,0
RDW.US,D,20211018,000000,10.24,10.93,10.2,10.6,1267736,0
RDW.US,D,20211019,000000,10.85,11.1,10.61,10.67,826367,0
RDW.US,D,20211020,000000,10.84,11.3399,10.4901,10.9,895550,0
RDW.US,D,20211021,000000,10.95,11.46,10.89,11.24,1207786,0
RDW.US,D,20211022,000000,11.24,12.6,11.0116,12.16,2020101,0
RDW.US,D,20211025,000000,12.17,16.98,11.6501,13.14,17385712,0
RDW.US,D,20211026,000000,13.14,14.68,12.5489,13.19,4403773,0
RDW.US,D,20211027,000000,13.05,13.19,12.15,12.95,2369458,0
RDW.US,D,20211028,000000,12.95,13.217,12.37,12.45,1410626,0
RDW.US,D,20211029,000000,12.35,12.61,11.72,11.88,1211276,0
RDW.US,D,20211101,000000,11.76,12.96,11.26,12.72,1644205,0
RDW.US,D,20211102,000000,12.78,13.1,12.48,12.6,901213,0
RDW.US,D,20211103,000000,12.6,13.4499,12.44,13.01,1091453,0
RDW.US,D,20211104,000000,13.29,13.7903,12.9,12.99,746795,0
RDW.US,D,20211105,000000,13.07,13.52,12.6607,12.76,558410,0
RDW.US,D,20211108,000000,12.92,13.13,12.06,12.23,787998,0
RDW.US,D,20211109,000000,12.11,12.65,11.82,11.91,714923,0
RDW.US,D,20211110,000000,11.09,11.1497,9.928,9.99,3193407,0
RDW.US,D,20211111,000000,10.31,11.43,10.3,10.88,1397748,0
RDW.US,D,20211112,000000,10.91,11.58,10.91,11.25,635147,0
RDW.US,D,20211115,000000,11.08,11.11,10.357,10.5,837590,0
RDW.US,D,20211116,000000,10.33,12.15,9.76,10.32,5830914,0
RDW.US,D,20211117,000000,10.17,10.32,9.94,10,938661,0
RDW.US,D,20211118,000000,10.11,10.23,9.68,10.16,1029026,0
RDW.US,D,20211119,000000,10,10.15,9.67,9.93,1057261,0
RDW.US,D,20211122,000000,10.02,10.08,9.15,9.61,1156826,0
RDW.US,D,20211123,000000,9.51,9.539,8.78,9.21,1700387,0
RDW.US,D,20211124,000000,9.43,9.6699,8.8801,9.2,1227349,0
RDW.US,D,20211126,000000,8.99,9.51,8.92,9.44,443673,0
RDW.US,D,20211129,000000,9.55,9.63,8.92,9.1,799113,0
RDW.US,D,20211130,000000,9.27,9.39,8.77,8.87,914391,0
RDW.US,D,20211201,000000,9,9.01,8.05,8.11,1112282,0
RDW.US,D,20211202,000000,8.17,8.428,7.54,8.06,2001306,0
RDW.US,D,20211203,000000,8.1,8.14,7.26,7.71,1827866,0
RDW.US,D,20211206,000000,7.61,7.7,6.96,7.39,1226313,0
RDW.US,D,20211207,000000,7.69,8.09,7.55,7.99,1007818,0
RDW.US,D,20211208,000000,7.91,8.1499,7.71,7.82,542149,0
RDW.US,D,20211209,000000,7.97,8.34,7.8401,7.91,725921,0
RDW.US,D,20211210,000000,8,8.0783,7.72,7.87,390801,0
RDW.US,D,20211213,000000,7.85,7.95,7.29,7.32,579083,0
RDW.US,D,20211214,000000,7.17,7.4,6.995,7.28,595716,0
RDW.US,D,20211215,000000,7.21,7.76,7.0101,7.63,665029,0
RDW.US,D,20211216,000000,7.77,7.89,7.1664,7.3,512819,0
RDW.US,D,20211217,000000,7.18,7.48,7.04,7.24,1131678,0
RDW.US,D,20211220,000000,7.12,7.2,6.74,6.87,787079,0
RDW.US,D,20211221,000000,6.95,7.2038,6.91,7.05,469452,0
RDW.US,D,20211222,000000,7,7.76,6.95,7.39,753749,0
RDW.US,D,20211223,000000,7.4,7.63,7.23,7.34,452052,0
RDW.US,D,20211227,000000,7.26,7.31,6.99,7.21,462709,0
RDW.US,D,20211228,000000,7.08,7.1342,6.6,6.82,1149672,0
RDW.US,D,20211229,000000,6.8,6.86,6.44,6.73,738618,0
RDW.US,D,20211230,000000,6.68,6.92,6.6,6.64,655800,0
RDW.US,D,20211231,000000,6.53,6.79,6.53,6.75,496232,0
RDW.US,D,20220103,000000,6.82,7.26,6.78,7.19,518345,0
RDW.US,D,20220104,000000,7.32,7.41,6.76,6.86,456332,0
RDW.US,D,20220105,000000,6.92,6.92,6.16,6.22,770516,0
RDW.US,D,20220106,000000,6.2,6.3,5.735,6.13,588648,0
RDW.US,D,20220107,000000,6.05,6.49,5.98,6.32,403527,0
RDW.US,D,20220110,000000,6.15,6.15,5.59,5.91,735379,0
RDW.US,D,20220111,000000,5.87,6.17,5.8401,6.03,296929,0
RDW.US,D,20220112,000000,6.1,6.23,5.76,6.08,322275,0
RDW.US,D,20220113,000000,6.19,6.19,5.58,5.62,339319,0
RDW.US,D,20220114,000000,5.5,6.03,5.47,5.95,709243,0
RDW.US,D,20220118,000000,5.89,5.99,5.74,5.86,438362,0
RDW.US,D,20220119,000000,5.9,5.9,5.58,5.75,402609,0
RDW.US,D,20220120,000000,5.8,6.0342,5.63,5.67,278121,0
RDW.US,D,20220121,000000,5.59,5.6,5.22,5.29,654376,0
RDW.US,D,20220124,000000,5.11,5.38,4.85,5.36,694415,0
RDW.US,D,20220125,000000,5.29,5.5,5.17,5.4,240604,0
RDW.US,D,20220126,000000,5.52,5.807,5.34,5.37,307166,0
RDW.US,D,20220127,000000,5.38,5.65,5.035,5.08,361284,0
RDW.US,D,20220128,000000,5.07,5.1323,4.66,4.86,600066,0
RDW.US,D,20220131,000000,4.85,5.42,4.83,5.37,403148,0
RDW.US,D,20220201,000000,5.39,5.6,5.29,5.51,342555,0
RDW.US,D,20220202,000000,5.6,5.6,5.21,5.29,158828,0
RDW.US,D,20220203,000000,5.43,6.6499,5.3,5.64,9692734,0
RDW.US,D,20220204,000000,5.51,5.97,5.42,5.79,1106221,0
RDW.US,D,20220207,000000,5.8,6,5.61,5.87,445995,0
RDW.US,D,20220208,000000,5.82,6.142,5.71,5.95,454181,0
RDW.US,D,20220209,000000,6.09,6.21,6,6.06,459114,0
RDW.US,D,20220210,000000,5.96,6.54,5.93,6.28,527764,0
RDW.US,D,20220211,000000,6.38,6.4,5.8,5.89,441199,0
RDW.US,D,20220214,000000,5.81,5.97,5.56,5.56,231611,0
RDW.US,D,20220215,000000,5.73,5.94,5.62,5.73,574111,0
RDW.US,D,20220216,000000,5.66,5.86,5.5402,5.7,289318,0
RDW.US,D,20220217,000000,5.6,5.6366,5.18,5.23,404056,0
RDW.US,D,20220218,000000,5.18,5.34,5.1,5.12,293871,0
RDW.US,D,20220222,000000,5.11,5.2325,4.89,4.92,300319,0
RDW.US,D,20220223,000000,5,5.1086,4.67,4.67,265543,0
RDW.US,D,20220224,000000,4.27,5.28,4.25,5.23,514140,0
RDW.US,D,20220225,000000,5.27,5.6,5.075,5.46,603093,0
RDW.US,D,20220228,000000,5.62,5.98,5.53,5.6,310811,0
RDW.US,D,20220301,000000,5.6,5.6899,5.36,5.41,113032,0
RDW.US,D,20220302,000000,5.41,5.65,5.29,5.55,239536,0
RDW.US,D,20220303,000000,5.6,5.6399,5.4,5.49,161400,0
