<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
S.US,D,20210630,000000,46,46.5,41.11,42.5,20587281,0
S.US,D,20210701,000000,44.28,44.75,39.94,40.04,6293429,0
S.US,D,20210702,000000,42.11,45.2,41.33,44.59,4637064,0
S.US,D,20210706,000000,45.81,50.59,45.53,49.5,7135819,0
S.US,D,20210707,000000,52.98,54.05,49.8,51.49,7092822,0
S.US,D,20210708,000000,50,50.98,45.25,50,3722163,0
S.US,D,20210709,000000,51.38,51.8,48.25,49.24,1495713,0
S.US,D,20210712,000000,50.5,51.17,48.41,50.58,1445027,0
S.US,D,20210713,000000,50.63,51.04,47.33,49.01,1467982,0
S.US,D,20210714,000000,49.01,50.14,44.99,46,2561610,0
S.US,D,20210715,000000,47.06,47.24,42.8,43.4,1686044,0
S.US,D,20210716,000000,43.5,47.35,43.2101,44.15,1608485,0
S.US,D,20210719,000000,43.91,47.82,43.0201,47,1757437,0
S.US,D,20210720,000000,47.24,47.75,45.2627,47.45,988434,0
S.US,D,20210721,000000,47.45,49.31,46.55,47.1,931977,0
S.US,D,20210722,000000,46.35,48.7,45.821,47.77,1011937,0
S.US,D,20210723,000000,48.09,49.2,46.06,46.56,753020,0
S.US,D,20210726,000000,48.49,50.38,47.72,49.5,1793282,0
S.US,D,20210727,000000,49.75,50.03,46.6701,47.6,1003737,0
S.US,D,20210728,000000,48,50.87,48,49.81,1288345,0
S.US,D,20210729,000000,50.4,51.74,49.6744,50.56,1066932,0
S.US,D,20210730,000000,50,55.29,48.59,49.31,2361125,0
S.US,D,20210802,000000,50.7,53.03,50.1709,51.97,1174844,0
S.US,D,20210803,000000,52.12,53.5,51.37,51.87,1271536,0
S.US,D,20210804,000000,51.5,51.96,49.63,50.06,1232317,0
S.US,D,20210805,000000,50,52.7,49.75,52.5,1421025,0
S.US,D,20210806,000000,52.53,53.09,50.3538,50.89,922114,0
S.US,D,20210809,000000,51.08,51.96,49.7,50.61,730624,0
S.US,D,20210810,000000,50.59,51.25,49.01,49.31,1040822,0
S.US,D,20210811,000000,49.01,49.125,46.57,46.64,1371695,0
S.US,D,20210812,000000,47.1,50.33,46.65,49.68,930071,0
S.US,D,20210813,000000,49.68,50.95,48.8848,50.36,580469,0
S.US,D,20210816,000000,49.49,50.28,47.54,49.35,887367,0
S.US,D,20210817,000000,48.5,48.5,46.2501,47.02,1319011,0
S.US,D,20210818,000000,47.24,49.78,47.24,48.7,608757,0
S.US,D,20210819,000000,47.99,51.5,47.78,50.36,925397,0
S.US,D,20210820,000000,50.01,51.36,49.13,51.29,707137,0
S.US,D,20210823,000000,51.2,56,51.2,53.13,2008833,0
S.US,D,20210824,000000,54.97,59.12,54.5,56.7,2206050,0
S.US,D,20210825,000000,57.7,60.11,55.8601,59.39,1341002,0
S.US,D,20210826,000000,59.64,64.03,59.46,61.01,2035007,0
S.US,D,20210827,000000,62.5,66,62.35,64.9,1705914,0
S.US,D,20210830,000000,65.03,66.66,64.18,65.19,1432935,0
S.US,D,20210831,000000,64.73,65.56,63.83,63.93,1420288,0
S.US,D,20210901,000000,63.43,68.7,63.31,67.26,1806220,0
S.US,D,20210902,000000,68.61,68.77,64.3358,64.78,1421802,0
S.US,D,20210903,000000,64.68,69.4217,64.64,69.04,1373951,0
S.US,D,20210907,000000,69.48,73.47,69.48,71.01,2962510,0
