<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SBXC.US,D,20230504,000000,10.04,10.04,10.04,10.04,100,0
SBXC.US,D,20230508,000000,10.04,10.06,10.04,10.05,171514,0
SBXC.US,D,20230510,000000,10.05,10.07,10.05,10.06,116376,0
SBXC.US,D,20230511,000000,10.06,10.06,10.06,10.06,140100,0
SBXC.US,D,20230512,000000,10.07,10.08,10.06,10.06,60838,0
SBXC.US,D,20230515,000000,10.06,10.06,10.05,10.05,132865,0
SBXC.US,D,20230516,000000,10.05,10.05,10.05,10.05,414338,0
SBXC.US,D,20230518,000000,10.05,10.07,10.05,10.07,1465,0
SBXC.US,D,20230522,000000,10.06,10.07,10.06,10.07,766,0
SBXC.US,D,20230524,000000,10.07,10.09,10.07,10.09,45100,0
SBXC.US,D,20230530,000000,10.09,10.09,10.09,10.09,3713,0
SBXC.US,D,20230531,000000,10.09,10.09,10.085,10.085,237464,0
SBXC.US,D,20230601,000000,10.08,10.08,10.08,10.08,142,0
SBXC.US,D,20230602,000000,10.1,10.1,10.08,10.09,121198,0
SBXC.US,D,20230605,000000,10.1,10.1,10.085,10.085,105418,0
SBXC.US,D,20230606,000000,10.1,10.1,10.09,10.09,272550,0
SBXC.US,D,20230607,000000,10.08,10.09,10.08,10.09,318,0
SBXC.US,D,20230608,000000,10.11,10.11,10.08,10.09,50747,0
SBXC.US,D,20230609,000000,10.1,10.1,10.1,10.1,178,0
SBXC.US,D,20230612,000000,10.09,10.09,10.09,10.09,368,0
SBXC.US,D,20230613,000000,10.1,10.1,10.0807,10.0807,201,0
SBXC.US,D,20230614,000000,10.09,10.1,10.09,10.09,44983,0
SBXC.US,D,20230615,000000,10.09,10.09,10.08,10.08,106496,0
SBXC.US,D,20230621,000000,10.09,10.09,10.08,10.08,46567,0
SBXC.US,D,20230622,000000,10.11,10.11,10.08,10.08,6099,0
SBXC.US,D,20230626,000000,10.11,10.11,10.09,10.09,50504,0
SBXC.US,D,20230627,000000,10.1,10.111,10.095,10.1,82586,0
SBXC.US,D,20230628,000000,10.11,10.11,10.1,10.1,385608,0
SBXC.US,D,20230629,000000,10.11,10.11,10.11,10.11,120374,0
SBXC.US,D,20230630,000000,10.29,10.29,10.11,10.11,91050,0
SBXC.US,D,20230703,000000,10.1,10.1,10.1,10.1,138,0
SBXC.US,D,20230710,000000,10.11,10.11,10.1,10.105,75472,0
SBXC.US,D,20230712,000000,10.11,10.11,10.11,10.11,1526,0
SBXC.US,D,20230713,000000,10.12,10.12,10.11,10.11,117311,0
SBXC.US,D,20230714,000000,10.12,10.13,10.11,10.13,388639,0
SBXC.US,D,20230717,000000,10.13,10.13,10.124,10.124,10433,0
SBXC.US,D,20230718,000000,10.13,10.13,10.13,10.13,111,0
SBXC.US,D,20230719,000000,10.13,10.15,10.13,10.14,20446,0
SBXC.US,D,20230721,000000,10.14,10.14,10.14,10.14,406,0
SBXC.US,D,20230724,000000,10.12,10.14,10.12,10.12,18497,0
SBXC.US,D,20230727,000000,10.13,10.14,10.13,10.14,1244,0
SBXC.US,D,20230728,000000,10.135,10.14,10.13,10.13,13499,0
SBXC.US,D,20230731,000000,10.135,10.135,10.135,10.135,1033,0
SBXC.US,D,20230801,000000,10.13,10.13,10.13,10.13,10646,0
SBXC.US,D,20230802,000000,10.135,10.144,10.135,10.144,43372,0
SBXC.US,D,20230804,000000,10.15,10.15,10.15,10.15,23515,0
