<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCCO.US,D,20050225,000000,5.96518,6.24744,5.96518,6.21637,5785101.8388224,0
SCCO.US,D,20050228,000000,6.74324,6.89998,6.32919,6.5737,7583380.5414036,0
SCCO.US,D,20050301,000000,6.76819,6.76819,6.25992,6.4041,9191312.7968624,0
SCCO.US,D,20050302,000000,6.30394,6.30394,6.01559,6.02807,9971842.1601742,0
SCCO.US,D,20050303,000000,5.95927,6.29174,5.91506,6.25992,6299716.8524039,0
SCCO.US,D,20050304,000000,6.52968,6.95001,6.43545,6.71159,7686690.9911007,0
SCCO.US,D,20050307,000000,6.84958,6.84958,6.54226,6.56741,4378042.79285,0
SCCO.US,D,20050308,000000,6.6364,6.73695,6.3917,6.43545,4330217.4373312,0
SCCO.US,D,20050309,000000,6.52378,6.56132,6.22866,6.35416,6190672.3552981,0
SCCO.US,D,20050310,000000,6.35416,6.35416,6.01559,6.04084,5102139.4329919,0
SCCO.US,D,20050311,000000,6.11565,6.31633,6.11565,6.1974,2310982.7168341,0
SCCO.US,D,20050314,000000,6.17225,6.17864,6.0094,6.04693,1950370.5321729,0
SCCO.US,D,20050315,000000,6.22246,6.51091,6.18473,6.30394,3451166.1415853,0
SCCO.US,D,20050316,000000,6.32291,6.45478,6.18473,6.30394,6623984.3694401,0
SCCO.US,D,20050317,000000,6.49214,6.49214,6.30394,6.39818,6308325.2694781,0
SCCO.US,D,20050318,000000,6.47338,6.47957,6.16606,6.25992,2640984.2812788,0
SCCO.US,D,20050321,000000,6.19102,6.22246,5.90924,6.08449,3868206.8517244,0
SCCO.US,D,20050322,000000,6.05924,6.21637,6.05924,6.08449,3032204.9873105,0
SCCO.US,D,20050323,000000,6.10345,6.10345,5.78327,5.84616,3975345.5966168,0
SCCO.US,D,20050324,000000,5.84616,5.94041,5.80195,5.81472,1711233.2603487,0
SCCO.US,D,20050328,000000,5.81472,5.82748,5.61394,5.6268,3946654.3711129,0
SCCO.US,D,20050329,000000,5.60765,5.80195,5.41945,5.48854,4724307.2659132,0
SCCO.US,D,20050330,000000,5.40706,5.68931,5.3881,5.6391,4944313.5559916,0
SCCO.US,D,20050331,000000,5.74573,5.89629,5.74573,5.79594,2784461.3972582,0
SCCO.US,D,20050401,000000,5.90924,5.93393,5.75211,5.83969,2726116.6253367,0
SCCO.US,D,20050404,000000,5.83969,5.84616,5.5702,5.70809,1984800.0027774,0
SCCO.US,D,20050405,000000,5.85245,5.89629,5.70161,5.7645,1618453.7707075,0
SCCO.US,D,20050406,000000,5.78327,5.85245,5.65205,5.72696,2078543.9121785,0
SCCO.US,D,20050407,000000,5.72086,5.95927,5.72086,5.89629,2827506.6308981,0
SCCO.US,D,20050408,000000,5.88352,5.92783,5.70809,5.75211,2748118.8284791,0
SCCO.US,D,20050411,000000,5.82748,5.85245,5.7645,5.83358,1738020.832485,0
SCCO.US,D,20050412,000000,5.85245,5.87133,5.62014,5.7584,2265061.0146827,0
SCCO.US,D,20050413,000000,5.78327,5.84616,5.72696,5.7584,3427256.0873835,0
SCCO.US,D,20050414,000000,5.73335,5.80195,5.46978,5.53876,5156665.3545252,0
SCCO.US,D,20050415,000000,5.39449,5.53876,5.25013,5.50751,6356151.6744199,0
SCCO.US,D,20050418,000000,5.50751,5.80195,5.43823,5.75211,3889255.129337,0
SCCO.US,D,20050419,000000,5.9529,6.23495,5.90924,6.19102,5183449.7783926,0
SCCO.US,D,20050420,000000,6.32291,6.32291,5.91506,5.92144,3008293.8836856,0
SCCO.US,D,20050421,000000,5.95927,6.05924,5.85855,6.03445,3515256.5045688,0
SCCO.US,D,20050422,000000,6.16606,6.16606,5.82748,5.87713,4766395.4257543,0
SCCO.US,D,20050425,000000,5.92144,6.04693,5.90924,6.01559,3058030.238533,0
SCCO.US,D,20050426,000000,6.21027,6.21027,6.04084,6.12841,15103629.892469,0
SCCO.US,D,20050427,000000,5.90287,5.90287,5.4449,5.53876,7864601.7753767,0
SCCO.US,D,20050428,000000,5.53876,5.54495,5.29395,5.35685,3152732.271156,0
SCCO.US,D,20050429,000000,5.37572,5.48854,5.19982,5.34427,4149432.2833897,0
SCCO.US,D,20050502,000000,5.35065,5.48235,5.22497,5.35065,3929430.1910035,0
SCCO.US,D,20050503,000000,5.40706,5.43823,5.3316,5.35065,2217240.906279,0
SCCO.US,D,20050504,000000,5.34427,5.43823,5.28176,5.41317,3336378.1522636,0
SCCO.US,D,20050505,000000,5.43222,5.58269,5.43222,5.55762,2068022.3969298,0
SCCO.US,D,20050506,000000,5.5702,5.60765,5.46349,5.50751,2054629.6602847,0
SCCO.US,D,20050509,000000,5.53876,5.54495,5.43823,5.48854,1385054.7439841,0
SCCO.US,D,20050510,000000,5.48854,5.50751,5.35065,5.35685,2123501.19457,0
SCCO.US,D,20050511,000000,5.35685,5.35685,5.08698,5.18113,4114045.7389863,0
SCCO.US,D,20050512,000000,5.10624,5.10624,4.76728,4.89898,8083649.9422332,0
SCCO.US,D,20050513,000000,4.98044,4.99302,4.54783,4.65456,6043366.9441234,0
SCCO.US,D,20050516,000000,4.57242,4.6799,4.49123,4.65456,4719526.0946113,0
SCCO.US,D,20050517,000000,4.65456,4.88011,4.64808,4.83599,3512383.1843263,0
SCCO.US,D,20050518,000000,4.88011,4.99302,4.84247,4.86763,3984912.1369128,0
SCCO.US,D,20050519,000000,4.89898,4.89898,4.71717,4.74213,3842387.8970401,0
SCCO.US,D,20050520,000000,4.75452,4.84247,4.69811,4.84247,3290464.8454965,0
