<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEM.US,D,20090924,000000,7.78217,7.78217,7.78217,7.78217,0,0
SEM.US,D,20090925,000000,7.58753,7.89885,7.2763,7.85223,15376875.378397,0
SEM.US,D,20090928,000000,7.96124,8.21008,7.70441,8.13232,2125655.7499191,0
SEM.US,D,20090929,000000,8.16356,8.17124,7.80553,7.85223,873452.14258548,0
SEM.US,D,20090930,000000,7.92211,7.92989,7.78217,7.83666,493776.28247967,0
SEM.US,D,20091001,000000,7.75102,7.83666,7.62656,7.78217,687869.88117146,0
SEM.US,D,20091002,000000,7.75871,7.78986,7.66548,7.77438,415305.16218425,0
SEM.US,D,20091005,000000,7.7121,7.80553,7.4943,7.77438,318410.0610886,0
SEM.US,D,20091006,000000,7.80553,7.8212,7.58753,7.62656,449144.52638023,0
SEM.US,D,20091007,000000,7.53303,7.66548,7.04294,7.58753,492632.71105477,0
SEM.US,D,20091008,000000,7.5487,7.66548,7.47104,7.61118,850963.25750121,0
SEM.US,D,20091009,000000,7.58753,7.6576,7.47104,7.58753,369983.4073546,0
SEM.US,D,20091012,000000,7.73565,7.73565,7.55659,7.58753,295600.52953558,0
SEM.US,D,20091013,000000,7.58753,7.61118,7.54091,7.58753,413472.60673317,0
SEM.US,D,20091014,000000,7.4398,7.62656,7.36194,7.61118,842246.95001242,0
SEM.US,D,20091015,000000,7.62656,7.64203,7.5487,7.6032,370901.71448817,0
SEM.US,D,20091016,000000,7.37761,7.61118,7.37761,7.59531,348444.28522836,0
SEM.US,D,20091019,000000,7.56407,7.58753,7.5487,7.57206,279009.10418643,0
SEM.US,D,20091020,000000,7.4943,7.58753,7.47104,7.58753,149730.73915631,0
SEM.US,D,20091021,000000,7.5487,7.56407,7.53303,7.5487,172022.77166169,0
SEM.US,D,20091022,000000,7.5487,7.58753,7.50977,7.57206,198136.17948751,0
SEM.US,D,20091023,000000,7.5487,7.78217,7.4943,7.52534,513833.93674403,0
SEM.US,D,20091026,000000,7.50977,7.53303,7.16741,7.47104,406260.0905946,0
SEM.US,D,20091027,000000,7.46305,7.5487,7.39289,7.48642,350922.19243297,0
SEM.US,D,20091028,000000,7.46305,7.46305,7.32302,7.37761,384028.94033012,0
SEM.US,D,20091029,000000,7.34648,7.53303,7.14395,7.4943,459100.80217533,0
SEM.US,D,20091030,000000,7.43182,7.57994,7.09724,7.5487,79508.147798754,0
SEM.US,D,20091102,000000,7.46305,7.62656,7.33081,7.57994,195283.84650137,0
SEM.US,D,20091103,000000,7.4398,7.54091,7.36983,7.50977,130436.14231123,0
SEM.US,D,20091104,000000,7.66548,7.86002,7.63435,7.69662,445386.0627087,0
SEM.US,D,20091105,000000,7.74344,7.80553,7.7121,7.78217,174741.16371785,0
SEM.US,D,20091106,000000,7.21412,7.71989,7.21412,7.70441,264214.71964784,0
SEM.US,D,20091109,000000,7.78217,7.78217,7.48642,7.59531,165420.09263613,0
SEM.US,D,20091110,000000,7.58753,7.63435,7.53303,7.56407,188872.94653465,0
SEM.US,D,20091111,000000,7.51766,7.59531,7.41645,7.58753,402622.37670085,0
SEM.US,D,20091112,000000,7.40068,7.61877,7.40068,7.57994,211569.84594199,0
SEM.US,D,20091113,000000,7.50209,7.50209,7.15953,7.30754,171834.0367149,0
SEM.US,D,20091116,000000,7.30754,7.35416,7.15953,7.31524,217916.81955577,0
SEM.US,D,20091117,000000,7.21412,7.31524,7.19845,7.26842,62022.768212403,0
SEM.US,D,20091118,000000,7.26074,7.28409,7.12069,7.15953,318484.13448169,0
SEM.US,D,20091119,000000,7.08187,7.08187,6.70057,6.98843,335225.73602504,0
SEM.US,D,20091120,000000,6.9572,7.12069,6.84052,7.11301,184889.21857178,0
SEM.US,D,20091123,000000,7.08187,7.17529,7.0661,7.14395,172197.30075227,0
SEM.US,D,20091124,000000,7.09724,7.19076,6.99623,7.18288,150530.32592012,0
SEM.US,D,20091125,000000,7.20633,7.20633,7.07398,7.19076,141044.87278797,0
SEM.US,D,20091127,000000,7.04294,7.09724,6.94941,7.05062,66899.435708456,0
SEM.US,D,20091130,000000,7.04294,7.08187,6.96518,7.04294,177385.48238092,0
SEM.US,D,20091201,000000,7.05851,7.41645,7.03495,7.28409,397896.90010303,0
SEM.US,D,20091202,000000,7.26842,7.2763,7.12069,7.2296,208496.30748059,0
SEM.US,D,20091203,000000,7.2763,7.46305,7.10522,7.34648,90069.187186795,0
SEM.US,D,20091204,000000,7.33869,7.39289,7.15953,7.2296,384737.20373259,0
SEM.US,D,20091207,000000,7.23748,7.33869,7.17529,7.33081,160745.35123905,0
SEM.US,D,20091208,000000,7.26842,7.57206,7.24527,7.55659,130494.99514409,0
SEM.US,D,20091209,000000,7.5487,7.57994,7.3853,7.50977,91645.022522079,0
SEM.US,D,20091210,000000,7.46305,7.63435,7.32302,7.62656,221280.56336547,0
SEM.US,D,20091211,000000,7.61877,7.70441,7.50977,7.66548,161911.24615227,0
SEM.US,D,20091214,000000,7.6576,7.67317,7.45517,7.64203,138887.6120521,0
SEM.US,D,20091215,000000,7.68884,7.78217,7.40068,7.63435,590971.73596377,0
SEM.US,D,20091216,000000,7.66548,7.74344,7.50977,7.62656,458198.730306,0
SEM.US,D,20091217,000000,7.52534,7.8212,7.50977,7.80553,678704.05980403,0
SEM.US,D,20091218,000000,7.8757,8.17124,7.82878,7.99238,5039901.9162419,0
SEM.US,D,20091221,000000,7.95345,8.02343,7.78217,7.97671,386239.9803788,0
SEM.US,D,20091222,000000,8.00006,8.09339,7.79774,7.80553,429782.95907015,0
SEM.US,D,20091223,000000,7.88338,8.17124,7.82878,8.14809,370998.11136959,0
SEM.US,D,20091224,000000,8.14809,8.23333,8.06215,8.11675,87865.250066233,0
SEM.US,D,20091228,000000,8.12463,8.14809,8.04688,8.13232,189480.75423963,0
SEM.US,D,20091229,000000,8.11675,8.4672,7.98449,8.38934,369777.42243955,0
SEM.US,D,20091230,000000,8.37377,8.45911,8.07013,8.21008,175255.61865345,0
SEM.US,D,20091231,000000,8.19451,8.28783,8.13232,8.26468,347351.44900421,0
SEM.US,D,20100104,000000,8.31917,8.41279,8.27246,8.36559,250600.43587869,0
SEM.US,D,20100105,000000,8.37377,8.39693,8.19451,8.21806,106784.40642577,0
SEM.US,D,20100106,000000,8.17124,8.29592,7.90674,7.98449,178891.30313917,0
SEM.US,D,20100107,000000,7.96124,8.09339,7.96124,8.01573,169616.90844213,0
SEM.US,D,20100108,000000,8.00795,8.0858,7.86761,8.03121,179975.00702718,0
SEM.US,D,20100111,000000,8.0858,8.0858,7.92211,8.01573,123545.28734541,0
SEM.US,D,20100112,000000,7.92989,8.00795,7.88338,7.93787,99093.964696139,0
SEM.US,D,20100113,000000,7.94557,8.17914,7.91462,8.0858,143493.35357616,0
SEM.US,D,20100114,000000,8.03889,8.17914,7.97671,8.17124,151985.41147763,0
SEM.US,D,20100115,000000,8.19451,8.19451,8.00006,8.07013,177761.93757048,0
SEM.US,D,20100119,000000,8.04688,8.2491,8.03121,8.17124,217332.35004314,0
SEM.US,D,20100120,000000,8.12463,8.13232,7.83666,7.8757,175857.33813434,0
SEM.US,D,20100121,000000,7.86761,7.92211,7.69662,7.73565,126691.8844959,0
SEM.US,D,20100122,000000,7.74344,7.96124,7.62656,7.70441,265429.32035379,0
SEM.US,D,20100125,000000,7.78217,7.79774,7.63435,7.70441,115504.77273061,0
SEM.US,D,20100126,000000,7.6576,7.8757,7.59531,7.68085,155760.1104134,0
SEM.US,D,20100127,000000,7.6032,7.85223,7.6032,7.80553,103290.78050215,0
SEM.US,D,20100128,000000,7.79774,7.79774,7.47104,7.6032,218903.11185835,0
SEM.US,D,20100129,000000,7.61118,7.79774,7.61118,7.7121,230858.35456299,0
SEM.US,D,20100201,000000,7.7121,7.71989,7.40866,7.48642,221345.50442244,0
SEM.US,D,20100202,000000,7.46305,7.72767,7.42413,7.59531,362396.4654345,0
SEM.US,D,20100203,000000,7.54091,7.57206,7.43182,7.46305,239724.838246,0
SEM.US,D,20100204,000000,7.3853,7.48642,7.23748,7.26074,186707.56816666,0
SEM.US,D,20100205,000000,7.26074,7.26074,7.07398,7.15184,215799.13227649,0
