<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNAV.US,D,20230316,000000,23.3369,24.14,21.5,24.0851,125821,0
SNAV.US,D,20230317,000000,23.96,23.96,23.8949,23.8949,1138,0
SNAV.US,D,20230320,000000,23.9701,24.12,23.97,24.1129,7237,0
SNAV.US,D,20230321,000000,24.3399,24.3793,24.2101,24.3793,6235,0
SNAV.US,D,20230322,000000,24.3921,24.44,24.0927,24.0927,2937,0
SNAV.US,D,20230323,000000,23.22,24.37,23.22,24.1393,14394,0
SNAV.US,D,20230324,000000,23.95,24.2029,23.95,24.2029,753,0
SNAV.US,D,20230327,000000,24.27,24.35,24.27,24.273,6601,0
SNAV.US,D,20230328,000000,24.26,24.2885,24.22,24.2842,3087,0
SNAV.US,D,20230329,000000,24.5201,24.6501,24.5201,24.63,6455,0
SNAV.US,D,20230330,000000,24.8,24.84,24.71,24.8091,23836,0
SNAV.US,D,20230331,000000,24.9307,25.16,23.9501,25.16,3262,0
SNAV.US,D,20230403,000000,25.3,25.3001,25.15,25.2833,7133,0
SNAV.US,D,20230404,000000,25.0901,25.1199,24.96,25.0702,4825,0
SNAV.US,D,20230405,000000,24.87,24.9615,24.84,24.9615,2478,0
SNAV.US,D,20230406,000000,24.8601,24.9702,24.8601,24.9702,13117,0
SNAV.US,D,20230410,000000,24.94,25.06,24.91,25.0512,4614,0
SNAV.US,D,20230411,000000,25.1,25.17,25.1,25.1265,1180,0
SNAV.US,D,20230412,000000,25.1601,25.2151,25.0329,25.0329,1013,0
SNAV.US,D,20230413,000000,25.14,25.335,25.14,25.3266,11349,0
SNAV.US,D,20230414,000000,25.33,25.33,25.195,25.2744,8730,0
SNAV.US,D,20230417,000000,25.25,25.3275,25.219,25.3275,2249,0
SNAV.US,D,20230418,000000,25.37,25.38,25.3,25.373,2362,0
SNAV.US,D,20230419,000000,25,25.39,25,25.3498,5625,0
