<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNPV.US,D,20230403,000000,25.41,25.41,25.29,25.363,601,0
SNPV.US,D,20230404,000000,25.38,25.3946,25.1234,25.1234,398,0
SNPV.US,D,20230405,000000,25.1037,25.1037,25.1037,25.1037,6,0
SNPV.US,D,20230406,000000,25.1089,25.1089,25.1089,25.1089,2,0
SNPV.US,D,20230410,000000,25.1944,25.1944,25.1944,25.1944,1,0
SNPV.US,D,20230411,000000,25.3204,25.3204,25.3204,25.3204,1,0
SNPV.US,D,20230412,000000,25.46,25.46,25.1954,25.1954,600,0
SNPV.US,D,20230413,000000,25.3775,25.3775,25.3775,25.3775,1,0
SNPV.US,D,20230414,000000,25.4078,25.4078,25.4078,25.4078,1,0
SNPV.US,D,20230417,000000,25.5877,25.5877,25.5877,25.5877,1,0
SNPV.US,D,20230418,000000,25.6488,25.6488,25.6488,25.6488,1,0
SNPV.US,D,20230419,000000,25.6102,25.6102,25.6102,25.6102,57,0
SNPV.US,D,20230420,000000,25.4149,25.4149,25.4149,25.4149,37,0
SNPV.US,D,20230421,000000,25.4539,25.4539,25.4539,25.4539,3,0
SNPV.US,D,20230424,000000,25.4,25.4528,25.4,25.4528,452,0
SNPV.US,D,20230425,000000,25.09,25.1,25.0648,25.0648,201,0
SNPV.US,D,20230426,000000,24.793,24.793,24.793,24.793,1,0
SNPV.US,D,20230427,000000,25.2307,25.2307,25.2307,25.2307,2,0
SNPV.US,D,20230428,000000,25.5157,25.5157,25.5157,25.5157,4,0
SNPV.US,D,20230501,000000,25.4677,25.4677,25.4677,25.4677,6,0
SNPV.US,D,20230502,000000,25.1365,25.1835,25.1365,25.1835,2135,0
SNPV.US,D,20230503,000000,24.9489,24.9489,24.9489,24.9489,3,0
SNPV.US,D,20230504,000000,24.82,24.82,24.7539,24.7539,105,0
SNPV.US,D,20230505,000000,25.24,25.24,25.1884,25.2039,300,0
SNPV.US,D,20230508,000000,25.13,25.19,25.13,25.1851,1341,0
SNPV.US,D,20230509,000000,25.0691,25.0691,25.0691,25.0691,8,0
SNPV.US,D,20230510,000000,25.1221,25.1221,25.1221,25.1221,1,0
SNPV.US,D,20230511,000000,24.99,25.0102,24.9699,25.0102,3441,0
SNPV.US,D,20230512,000000,24.9333,24.9333,24.9333,24.9333,1,0
SNPV.US,D,20230515,000000,25.0516,25.0516,25.0516,25.0516,100,0
SNPV.US,D,20230516,000000,24.8151,24.8151,24.8151,24.8151,1,0
SNPV.US,D,20230517,000000,25.1736,25.1736,25.1736,25.1736,100,0
SNPV.US,D,20230518,000000,25.4051,25.4051,25.4051,25.4051,2,0
SNPV.US,D,20230519,000000,25.314,25.314,25.314,25.314,100,0
SNPV.US,D,20230522,000000,25.2936,25.2936,25.2936,25.2936,30,0
SNPV.US,D,20230523,000000,25.0258,25.0258,25.0258,25.0258,30,0
SNPV.US,D,20230524,000000,24.78,24.78,24.78,24.78,100,0
SNPV.US,D,20230525,000000,24.785,24.785,24.785,24.785,8,0
SNPV.US,D,20230526,000000,25.1293,25.1293,25.1293,25.1293,7,0
SNPV.US,D,20230530,000000,25.0819,25.0819,25.0819,25.0819,2,0
SNPV.US,D,20230531,000000,24.964,24.964,24.964,24.964,1,0
SNPV.US,D,20230601,000000,25.1588,25.1588,25.1588,25.1588,1,0
SNPV.US,D,20230602,000000,25.6288,25.6288,25.6288,25.6288,1,0
SNPV.US,D,20230605,000000,25.5516,25.5516,25.5516,25.5516,1,0
SNPV.US,D,20230606,000000,25.6986,25.6986,25.6986,25.6986,1,0
SNPV.US,D,20230607,000000,25.7079,25.7079,25.7079,25.7079,1,0
SNPV.US,D,20230608,000000,25.7993,25.7993,25.7993,25.7993,1,0
SNPV.US,D,20230609,000000,25.8125,25.8125,25.8125,25.8125,19,0
SNPV.US,D,20230612,000000,25.9849,25.9849,25.9849,25.9849,1,0
SNPV.US,D,20230613,000000,26.22,26.22,26.1941,26.1941,220,0
SNPV.US,D,20230614,000000,26.37,26.37,26.2186,26.2186,229,0
SNPV.US,D,20230615,000000,26.5775,26.5775,26.5775,26.5775,9,0
SNPV.US,D,20230616,000000,26.4968,26.4968,26.4968,26.4968,9,0
SNPV.US,D,20230620,000000,26.2677,26.2677,26.2677,26.2677,2,0
SNPV.US,D,20230621,000000,26.1182,26.1182,26.1182,26.1182,2,0
SNPV.US,D,20230622,000000,26.0947,26.0947,26.0947,26.0947,14,0
SNPV.US,D,20230623,000000,25.7,25.7,25.7,25.7,501,0
SNPV.US,D,20230626,000000,25.8034,25.8034,25.8034,25.8034,2,0
SNPV.US,D,20230627,000000,26.0813,26.0813,26.0813,26.0813,1,0
SNPV.US,D,20230628,000000,26.0443,26.0443,26.0443,26.0443,15,0
SNPV.US,D,20230629,000000,26.196,26.196,26.196,26.196,15,0
SNPV.US,D,20230630,000000,26.5023,26.5023,26.5023,26.5023,1,0
SNPV.US,D,20230703,000000,26.5498,26.5498,26.5498,26.5498,1,0
SNPV.US,D,20230705,000000,26.4585,26.4585,26.4585,26.4585,15,0
SNPV.US,D,20230706,000000,26.29,26.29,26.17,26.2323,806,0
SNPV.US,D,20230707,000000,26.2248,26.2248,26.2248,26.2248,5,0
SNPV.US,D,20230710,000000,26.3332,26.3332,26.3332,26.3332,5,0
SNPV.US,D,20230711,000000,26.6141,26.6141,26.6141,26.6141,5,0
SNPV.US,D,20230712,000000,26.7845,26.7845,26.7845,26.7845,2,0
