<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPCZ.US,D,20220713,000000,25.0499,25.0499,25.03,25.03,7009,0
SPCZ.US,D,20220714,000000,25.17,25.17,25.17,25.17,104,0
SPCZ.US,D,20220715,000000,25.06,25.06,25.025,25.025,2363,0
SPCZ.US,D,20220718,000000,24.9875,24.9875,24.9875,24.9875,34,0
SPCZ.US,D,20220719,000000,25.02,25.06,25.02,25.03,128002,0
SPCZ.US,D,20220720,000000,24.91,24.97,24.91,24.97,114,0
SPCZ.US,D,20220721,000000,24.97,24.97,24.97,24.97,1,0
SPCZ.US,D,20220722,000000,25.03,25.03,25.03,25.03,1,0
SPCZ.US,D,20220725,000000,25.0431,25.0431,25.0431,25.0431,1,0
SPCZ.US,D,20220726,000000,24.9949,24.9949,24.9949,24.9949,4,0
SPCZ.US,D,20220727,000000,25.0041,25.0041,25.0041,25.0041,4,0
SPCZ.US,D,20220728,000000,25.0014,25.0014,25.0014,25.0014,4,0
SPCZ.US,D,20220729,000000,25.05,25.05,25.05,25.05,4,0
SPCZ.US,D,20220801,000000,25.06,25.06,25.06,25.06,4,0
SPCZ.US,D,20220802,000000,25.06,25.06,25.06,25.06,1856,0
SPCZ.US,D,20220803,000000,25.06,25.06,25.06,25.06,4,0
SPCZ.US,D,20220804,000000,25.07,25.07,25.07,25.07,4,0
SPCZ.US,D,20220805,000000,25.07,25.07,25.07,25.07,4,0
SPCZ.US,D,20220808,000000,25.11,25.12,25.0786,25.0786,1856,0
SPCZ.US,D,20220809,000000,25.0648,25.0648,25.0648,25.0648,1,0
SPCZ.US,D,20220810,000000,25.0499,25.05,25.025,25.025,736,0
SPCZ.US,D,20220811,000000,25.0779,25.0779,25.0779,25.0779,1,0
SPCZ.US,D,20220812,000000,25.075,25.075,25.075,25.075,1,0
SPCZ.US,D,20220815,000000,25.0841,25.0841,25.0841,25.0841,1,0
SPCZ.US,D,20220816,000000,25.13,25.13,25.0886,25.0886,606,0
SPCZ.US,D,20220817,000000,25.0745,25.0745,25.0745,25.0745,1,0
SPCZ.US,D,20220818,000000,25.065,25.065,25.065,25.065,4,0
SPCZ.US,D,20220819,000000,25.07,25.07,25.07,25.07,1,0
SPCZ.US,D,20220822,000000,25.0652,25.0652,25.0652,25.0652,1,0
SPCZ.US,D,20220823,000000,25.08,25.08,25.08,25.08,1,0
SPCZ.US,D,20220824,000000,25.06,25.06,25.06,25.06,1,0
SPCZ.US,D,20220825,000000,25.0602,25.0602,25.0602,25.0602,1,0
SPCZ.US,D,20220826,000000,25.06,25.06,25.06,25.06,1,0
SPCZ.US,D,20220829,000000,25.065,25.065,25.065,25.065,1,0
SPCZ.US,D,20220830,000000,25.0576,25.0576,25.0576,25.0576,1,0
SPCZ.US,D,20220831,000000,25.07,25.07,25.07,25.07,1,0
SPCZ.US,D,20220901,000000,25.06,25.06,25.06,25.06,1,0
SPCZ.US,D,20220902,000000,25.085,25.085,25.085,25.085,1,0
SPCZ.US,D,20220906,000000,25.075,25.075,25.075,25.075,1,0
SPCZ.US,D,20220907,000000,25.085,25.085,25.085,25.085,1,0
SPCZ.US,D,20220908,000000,25.0814,25.0814,25.0814,25.0814,1,0
SPCZ.US,D,20220909,000000,25.0688,25.0688,25.0688,25.0688,1,0
SPCZ.US,D,20220912,000000,25.075,25.075,25.075,25.075,1,0
SPCZ.US,D,20220913,000000,25.13,25.13,25.0607,25.0607,1,0
SPCZ.US,D,20220914,000000,25.06,25.06,25.06,25.06,1,0
SPCZ.US,D,20220915,000000,25.065,25.065,25.065,25.065,1,0
SPCZ.US,D,20220916,000000,25.1,25.1,25.06,25.06,200,0
SPCZ.US,D,20220919,000000,25.075,25.075,25.075,25.075,1,0
SPCZ.US,D,20220920,000000,25.0751,25.0751,25.0751,25.0751,1,0
SPCZ.US,D,20220921,000000,25.075,25.075,25.075,25.075,1,0
SPCZ.US,D,20220922,000000,24.92,25.06,24.92,25.06,1000,0
SPCZ.US,D,20220923,000000,25.05,25.05,25.05,25.05,1,0
