<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMSL.US,D,20230616,000000,25.2,25.2,25.12,25.1876,3703,0
TMSL.US,D,20230620,000000,25.14,25.14,25,25.1017,4332,0
TMSL.US,D,20230621,000000,25.08,25.08,25.044,25.06,4200,0
TMSL.US,D,20230622,000000,24.9,24.9,24.85,24.8634,764,0
TMSL.US,D,20230623,000000,24.59,24.59,24.5805,24.5831,728,0
TMSL.US,D,20230626,000000,24.72,24.7216,24.72,24.7216,2687,0
TMSL.US,D,20230627,000000,24.82,25.1082,24.82,25.1082,500,0
TMSL.US,D,20230628,000000,25.1019,25.1019,25.1019,25.1019,200,0
TMSL.US,D,20230629,000000,25.3893,25.3893,25.3893,25.3893,31,0
TMSL.US,D,20230630,000000,25.59,25.6369,25.59,25.6189,673,0
TMSL.US,D,20230703,000000,25.6399,25.64,25.6278,25.6278,469,0
TMSL.US,D,20230705,000000,25.39,25.4005,25.39,25.4005,236,0
TMSL.US,D,20230706,000000,25.24,25.24,25.1723,25.1723,132,0
TMSL.US,D,20230707,000000,25.5,25.5,25.3524,25.3524,100,0
TMSL.US,D,20230710,000000,25.6731,25.6731,25.6731,25.6731,60,0
TMSL.US,D,20230711,000000,25.76,25.9539,25.76,25.9539,1468,0
TMSL.US,D,20230712,000000,26.33,26.33,26.081,26.081,331,0
TMSL.US,D,20230713,000000,26.26,26.26,26.2401,26.2519,401,0
TMSL.US,D,20230714,000000,26.24,26.24,26.0555,26.0555,344,0
TMSL.US,D,20230717,000000,26.25,26.26,26.2174,26.2174,2200,0
TMSL.US,D,20230718,000000,26.366,26.45,26.366,26.4275,569,0
TMSL.US,D,20230719,000000,26.501,26.501,26.415,26.4601,3555,0
TMSL.US,D,20230720,000000,26.45,26.45,26.32,26.3546,1684,0
TMSL.US,D,20230721,000000,26.35,26.41,26.3095,26.3095,537,0
TMSL.US,D,20230724,000000,26.3,26.35,26.3,26.3167,2003,0
TMSL.US,D,20230725,000000,26.46,26.46,26.4092,26.4092,2327,0
TMSL.US,D,20230726,000000,26.51,26.51,26.4762,26.4762,1086,0
TMSL.US,D,20230727,000000,26.59,26.59,26.2367,26.2367,16170,0
TMSL.US,D,20230728,000000,26.4838,26.4838,26.4838,26.4838,228,0
TMSL.US,D,20230731,000000,26.64,26.64,26.5633,26.6339,1398,0
TMSL.US,D,20230801,000000,26.42,26.54,26.42,26.529,765,0
TMSL.US,D,20230802,000000,26.13,26.2,26.09,26.1731,1347,0
TMSL.US,D,20230803,000000,26.05,26.18,26.01,26.1344,3116,0
TMSL.US,D,20230804,000000,26.13,26.13,26.13,26.13,502,0
