<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TPL.US,D,20050225,000000,25.1825,25.1825,24.737,25.0557,13180.989622828129,0
TPL.US,D,20050228,000000,24.9189,25.0093,24.6465,25.0093,10436.814137482988,0
TPL.US,D,20050301,000000,24.8461,25.0291,24.563,24.737,15377.14340139237,0
TPL.US,D,20050302,000000,24.9189,24.9189,24.5825,24.8088,38991.89694812073,0
TPL.US,D,20050303,000000,24.8284,24.9189,24.8284,24.9189,10985.8525821238,0
TPL.US,D,20050304,000000,24.911,25.1825,24.911,24.9573,15926.181846033182,0
TPL.US,D,20050307,000000,24.9278,26.0382,24.9012,26.0382,102146.56914974772,0
TPL.US,D,20050308,000000,26.3568,27.2135,26.2664,26.9676,69746.18375090547,0
TPL.US,D,20050309,000000,27.0571,27.2588,26.6391,27.0374,48877.639165242086,0
TPL.US,D,20050310,000000,27.0472,27.0472,26.3036,26.8033,44483.29813239277,0
TPL.US,D,20050311,000000,26.8958,26.9863,26.713,26.8033,17574.313917817533,0
TPL.US,D,20050314,000000,26.8958,27.4319,26.8211,27.4319,21419.61650602504,0
TPL.US,D,20050315,000000,27.5695,27.8872,27.4594,27.7053,23614.753546728363,0
TPL.US,D,20050316,000000,27.7053,27.8872,27.5695,27.7053,24163.791991370177,0
TPL.US,D,20050317,000000,27.54,28.1508,26.8033,28.024,70295.22219554629,0
TPL.US,D,20050318,000000,28.0682,28.0682,27.6148,27.8872,15926.181846033182,0
TPL.US,D,20050321,000000,27.8872,27.8872,27.6148,27.7053,10985.8525821238,0
TPL.US,D,20050322,000000,27.7053,27.842,27.4319,27.5695,19221.429251739963,0
TPL.US,D,20050323,000000,27.3886,27.4407,26.5418,26.7867,59311.40308914332,0
TPL.US,D,20050324,000000,26.6195,26.8033,25.7756,26.0864,82374.06797765012,0
TPL.US,D,20050328,000000,25.9487,26.8958,25.9487,26.886,34600.606128853164,0
TPL.US,D,20050329,000000,26.9863,27.1672,26.8033,26.9863,59858.4080580633,0
