<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRTL-U.US,D,20210721,000000,9.89,9.98,9.89,9.91,2159954,0
TRTL-U.US,D,20210722,000000,9.9,9.93,9.9,9.9,223933,0
TRTL-U.US,D,20210723,000000,9.89,9.93,9.89,9.92,186540,0
TRTL-U.US,D,20210726,000000,9.93,9.93,9.9,9.91,77399,0
TRTL-U.US,D,20210727,000000,9.93,9.93,9.91,9.93,154737,0
TRTL-U.US,D,20210728,000000,9.9,9.94,9.9,9.93,3113,0
TRTL-U.US,D,20210729,000000,9.9,9.92,9.9,9.9,28486,0
TRTL-U.US,D,20210730,000000,9.91,9.93,9.9077,9.92,59205,0
TRTL-U.US,D,20210802,000000,9.92,9.93,9.9,9.93,90446,0
TRTL-U.US,D,20210803,000000,9.9,9.91,9.9,9.91,1100,0
TRTL-U.US,D,20210804,000000,9.91,9.91,9.9,9.9,15612,0
TRTL-U.US,D,20210805,000000,9.91,9.91,9.89,9.91,45234,0
TRTL-U.US,D,20210806,000000,9.91,9.93,9.9,9.93,33216,0
TRTL-U.US,D,20210809,000000,9.905,9.93,9.905,9.93,23404,0
TRTL-U.US,D,20210810,000000,9.9,9.93,9.89,9.93,43059,0
TRTL-U.US,D,20210811,000000,9.93,9.93,9.89,9.9,23316,0
TRTL-U.US,D,20210812,000000,9.9,9.9,9.87,9.88,76446,0
TRTL-U.US,D,20210813,000000,9.88,9.88,9.86,9.86,101400,0
TRTL-U.US,D,20210816,000000,9.93,9.96,9.915,9.95,277379,0
TRTL-U.US,D,20210817,000000,9.94,9.96,9.9,9.9,418726,0
TRTL-U.US,D,20210819,000000,9.94,10.92,9.9,10.44,44603,0
TRTL-U.US,D,20210820,000000,9.95,10.03,9.77,9.975,330452,0
TRTL-U.US,D,20210823,000000,9.97,9.97,9.97,9.97,10100,0
TRTL-U.US,D,20210824,000000,9.95,9.97,9.95,9.97,3050,0
TRTL-U.US,D,20210825,000000,9.97,9.99,9.96,9.99,23442,0
TRTL-U.US,D,20210826,000000,9.89,9.93,9.88,9.93,2620,0
TRTL-U.US,D,20210827,000000,9.94,9.95,9.94,9.95,5193,0
TRTL-U.US,D,20210831,000000,9.99,9.99,9.95,9.95,351227,0
TRTL-U.US,D,20210901,000000,9.925,9.925,9.925,9.925,245,0
TRTL-U.US,D,20210903,000000,9.9,9.9,9.9,9.9,101,0
TRTL-U.US,D,20210907,000000,9.95,9.95,9.915,9.915,410,0
TRTL-U.US,D,20210908,000000,9.9,9.9,9.9,9.9,219,0
TRTL-U.US,D,20210909,000000,9.9,9.915,9.9,9.9,45041,0
TRTL-U.US,D,20210910,000000,9.93,9.93,9.82,9.93,122137,0
TRTL-U.US,D,20210913,000000,9.92,9.98,9.92,9.98,113694,0
TRTL-U.US,D,20210914,000000,9.95,9.97,9.95,9.96,180451,0
TRTL-U.US,D,20210915,000000,9.94,9.94,9.94,9.94,200,0
TRTL-U.US,D,20210916,000000,9.98,11.07,9.98,11.07,37964,0
TRTL-U.US,D,20210917,000000,10.01,10.15,10,10.05,368360,0
TRTL-U.US,D,20210920,000000,10.04,10.04,9.96,9.99,3581,0
TRTL-U.US,D,20210921,000000,9.9899,9.99,9.95,9.95,2200,0
TRTL-U.US,D,20210922,000000,9.95,10.17,9.95,10.05,27719,0
TRTL-U.US,D,20210923,000000,10.05,10.05,9.99,10,5949,0
TRTL-U.US,D,20210924,000000,10,10.05,10,10,1601,0
TRTL-U.US,D,20210929,000000,10,10,9.94,9.95,7902,0
TRTL-U.US,D,20210930,000000,9.92,9.96,9.92,9.96,424,0
TRTL-U.US,D,20211006,000000,9.9003,9.95,9.9003,9.92,400,0
TRTL-U.US,D,20211007,000000,9.9,9.95,9.9,9.95,1109,0
TRTL-U.US,D,20211008,000000,9.97,10,9.97,10,1500,0
TRTL-U.US,D,20211011,000000,10,10.05,10,10.05,3051,0
TRTL-U.US,D,20211012,000000,9.98,10.05,9.98,10,4543,0
TRTL-U.US,D,20211019,000000,9.99,9.99,9.947,9.947,212,0
TRTL-U.US,D,20211020,000000,9.98,9.99,9.98,9.98,752,0
TRTL-U.US,D,20211025,000000,9.99,9.99,9.99,9.99,576,0
TRTL-U.US,D,20211101,000000,9.9675,9.9675,9.9675,9.9675,410,0
TRTL-U.US,D,20211102,000000,9.94,9.95,9.94,9.95,2227,0
TRTL-U.US,D,20211103,000000,9.94,9.95,9.935,9.935,2540,0
TRTL-U.US,D,20211104,000000,10,10,9.9284,9.93,1078,0
TRTL-U.US,D,20211110,000000,9.94,9.94,9.92,9.92,1200,0
TRTL-U.US,D,20211112,000000,9.9268,9.9268,9.9268,9.9268,421,0
TRTL-U.US,D,20211115,000000,10,10,9.9506,9.9506,60208,0
TRTL-U.US,D,20211116,000000,9.9597,10.2413,9.9597,10,172451,0
TRTL-U.US,D,20211117,000000,10.01,10.04,10,10,106038,0
TRTL-U.US,D,20211119,000000,10.02,10.02,10.02,10.02,100,0
TRTL-U.US,D,20211201,000000,9.9755,9.9992,9.95,9.99,1400,0
TRTL-U.US,D,20211202,000000,9.92,9.97,9.92,9.97,300,0
TRTL-U.US,D,20211207,000000,9.95,9.95,9.94,9.95,1200,0
TRTL-U.US,D,20211210,000000,9.925,9.925,9.925,9.925,200,0
TRTL-U.US,D,20211213,000000,10,10,10,10,174,0
TRTL-U.US,D,20211214,000000,9.9993,9.9993,9.9993,9.9993,126,0
TRTL-U.US,D,20211215,000000,9.91,9.91,9.91,9.91,200,0
TRTL-U.US,D,20211221,000000,9.95,9.95,9.9,9.93,2600,0
TRTL-U.US,D,20211227,000000,9.9999,10,9.9999,9.9999,498,0
TRTL-U.US,D,20211231,000000,9.87,9.94,9.85,9.94,1541,0
TRTL-U.US,D,20220110,000000,9.92,9.95,9.92,9.927,856,0
TRTL-U.US,D,20220111,000000,9.92,9.97,9.92,9.97,910,0
TRTL-U.US,D,20220120,000000,9.85,9.9,9.85,9.9,220,0
TRTL-U.US,D,20220209,000000,9.8,9.94,9.8,9.94,1800,0
TRTL-U.US,D,20220222,000000,9.69,9.8,9.69,9.8,892,0
TRTL-U.US,D,20220223,000000,9.8,9.9,9.8,9.9,788,0
TRTL-U.US,D,20220321,000000,9.73,9.76,9.73,9.73,2452,0
TRTL-U.US,D,20220322,000000,9.88,9.88,9.88,9.88,100,0
