<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UAV.US,D,20220429,000000,25.94,25.94,25.1526,25.1526,1203,0
UAV.US,D,20220502,000000,25.21,25.4326,24.8999,25.4326,1327,0
UAV.US,D,20220503,000000,25.6188,25.6188,25.6188,25.6188,359,0
UAV.US,D,20220504,000000,26.0576,26.0576,26.0576,26.0576,389,0
UAV.US,D,20220505,000000,24.8634,24.9035,24.69,24.9035,371,0
UAV.US,D,20220506,000000,24.1503,24.29,24.1503,24.2453,1598,0
UAV.US,D,20220509,000000,23.1257,23.1257,22.7075,22.7075,633,0
UAV.US,D,20220510,000000,22.5099,22.546,22.5099,22.546,119,0
UAV.US,D,20220511,000000,22.53,22.53,21.6321,21.6321,297,0
UAV.US,D,20220512,000000,21.9419,22.35,21.8418,22.1134,435,0
UAV.US,D,20220513,000000,23.31,23.36,23.28,23.3567,635,0
UAV.US,D,20220516,000000,23.53,23.73,23.35,23.35,491,0
UAV.US,D,20220517,000000,24.11,24.186,23.7199,24.186,654,0
UAV.US,D,20220518,000000,24.13,24.13,23.4914,23.4914,232,0
UAV.US,D,20220519,000000,23.55,23.6,23.5189,23.5189,252,0
UAV.US,D,20220520,000000,23.03,23.3307,22.85,23.3307,529,0
UAV.US,D,20220523,000000,23.31,23.4117,23.31,23.4117,230,0
UAV.US,D,20220524,000000,22.741,22.741,22.741,22.741,116,0
UAV.US,D,20220525,000000,23.02,23.02,23.0178,23.0178,164,0
UAV.US,D,20220526,000000,23.6749,23.6749,23.6749,23.6749,36,0
UAV.US,D,20220527,000000,24.5068,24.5657,24.5068,24.5657,517,0
UAV.US,D,20220531,000000,24.54,24.55,24.4641,24.4641,891,0
UAV.US,D,20220601,000000,24.21,24.21,24.01,24.21,537,0
UAV.US,D,20220602,000000,24.19,25.1273,24.19,25.1273,386,0
UAV.US,D,20220603,000000,24.7705,24.7705,24.7705,24.7705,87,0
UAV.US,D,20220606,000000,24.94,24.94,24.46,24.4813,1223,0
UAV.US,D,20220607,000000,24.5,24.7001,24.5,24.7001,423,0
UAV.US,D,20220608,000000,25.86,25.86,24.6602,24.6602,331,0
UAV.US,D,20220609,000000,24.4,24.47,23.9083,23.9083,2685,0
UAV.US,D,20220610,000000,23.4198,23.4198,23.4198,23.4198,126,0
UAV.US,D,20220613,000000,22.7,22.7,22.32,22.3794,1605,0
UAV.US,D,20220614,000000,22.3762,22.3762,22.3762,22.3762,27,0
UAV.US,D,20220615,000000,22.79,22.79,22.7734,22.7734,134,0
UAV.US,D,20220616,000000,22.01,22.01,21.8368,21.8368,835,0
UAV.US,D,20220617,000000,22.3362,22.3362,22.3362,22.3362,51,0
UAV.US,D,20220621,000000,22.862,22.862,22.862,22.862,10,0
UAV.US,D,20220622,000000,22.75,22.75,22.7104,22.7104,121,0
UAV.US,D,20220623,000000,22.7001,22.8424,22.7,22.8424,299,0
UAV.US,D,20220624,000000,23.0705,23.0705,23.0705,23.0705,4,0
UAV.US,D,20220627,000000,23.11,23.11,22.9178,22.9178,405,0
UAV.US,D,20220628,000000,22.95,22.95,22.4045,22.4045,625,0
UAV.US,D,20220629,000000,22.01,22.01,21.9903,21.9903,222,0
UAV.US,D,20220630,000000,21.8701,22.0026,21.87,22.0026,279,0
UAV.US,D,20220701,000000,22.0696,22.0696,22.0696,22.0696,19,0
UAV.US,D,20220705,000000,22.1909,22.1909,22.1909,22.1909,53,0
UAV.US,D,20220706,000000,22.1,22.1,22.0997,22.0997,238,0
UAV.US,D,20220707,000000,22.5452,22.5452,22.5452,22.5452,61,0
UAV.US,D,20220708,000000,22.5923,22.5923,22.5923,22.5923,74,0
UAV.US,D,20220711,000000,22.87,22.87,21.9855,21.9855,529,0
UAV.US,D,20220712,000000,22.0187,22.0187,22.0187,22.0187,10,0
UAV.US,D,20220713,000000,21.94,21.94,21.8988,21.8988,162,0
UAV.US,D,20220714,000000,21.79,21.79,21.7796,21.7796,260,0
UAV.US,D,20220715,000000,22.3458,22.3458,22.3458,22.3458,38,0
UAV.US,D,20220718,000000,22.57,22.57,22.3441,22.3441,214,0
UAV.US,D,20220719,000000,23.0744,23.0744,23.0744,23.0744,113,0
UAV.US,D,20220720,000000,23.18,23.4358,23.18,23.4358,158,0
UAV.US,D,20220721,000000,23.66,23.8528,23.66,23.8528,169,0
UAV.US,D,20220722,000000,23.2131,23.8,23.2131,23.2131,238,0
UAV.US,D,20220725,000000,23.436,23.436,23.436,23.436,54,0
UAV.US,D,20220726,000000,23.1119,23.1119,23.1119,23.1119,13,0
UAV.US,D,20220727,000000,23.25,23.4914,23.226,23.4914,245,0
UAV.US,D,20220728,000000,23.64,23.9304,23.64,23.9304,1677,0
UAV.US,D,20220729,000000,24.1523,24.1523,24.1523,24.1523,46,0
UAV.US,D,20220801,000000,24.55,24.55,24.15,24.2386,433,0
UAV.US,D,20220802,000000,24.5192,24.5192,24.5192,24.5192,56,0
UAV.US,D,20220803,000000,24.94,24.94,24.9381,24.9381,138,0
UAV.US,D,20220804,000000,25.2,25.3739,25.2,25.3739,227,0
UAV.US,D,20220805,000000,25.2,25.2,25.1722,25.1722,258,0
UAV.US,D,20220808,000000,25.3397,25.3397,25.1115,25.1115,108,0
