<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VEMY.US,D,20221214,000000,25.18,25.2999,25.0714,25.1665,25670,0
VEMY.US,D,20221215,000000,25.0599,25.0599,25.0302,25.0302,452,0
VEMY.US,D,20221219,000000,24.94,24.94,24.85,24.8643,551,0
VEMY.US,D,20221220,000000,24.88,24.94,24.83,24.91,24455,0
VEMY.US,D,20221221,000000,25.1468,25.1529,25.1468,25.1529,346,0
VEMY.US,D,20221222,000000,25.075,25.075,25.075,25.075,1,0
VEMY.US,D,20221223,000000,25.01,25.01,25.01,25.01,1,0
VEMY.US,D,20221227,000000,24.9423,24.9423,24.9423,24.9423,1,0
VEMY.US,D,20221228,000000,24.87,24.87,24.835,24.835,165,0
VEMY.US,D,20221229,000000,25.0195,25.0195,25.0195,25.0195,1,0
VEMY.US,D,20221230,000000,24.9095,24.9095,24.9095,24.9095,1,0
VEMY.US,D,20230103,000000,25.28,25.28,25.116,25.116,255,0
VEMY.US,D,20230104,000000,25.4383,25.4383,25.4383,25.4383,5,0
VEMY.US,D,20230105,000000,25.245,25.245,25.245,25.245,5,0
VEMY.US,D,20230106,000000,25.6171,25.6171,25.6171,25.6171,49,0
VEMY.US,D,20230109,000000,25.54,25.63,25.54,25.571,400,0
VEMY.US,D,20230110,000000,25.671,25.671,25.671,25.671,5,0
VEMY.US,D,20230111,000000,25.895,25.92,25.895,25.92,426,0
VEMY.US,D,20230112,000000,26.1275,26.1275,26.1242,26.1242,250,0
VEMY.US,D,20230113,000000,26.1729,26.1729,26.1729,26.1729,5,0
VEMY.US,D,20230117,000000,26.2837,26.2837,26.2837,26.2837,5,0
VEMY.US,D,20230118,000000,26.5515,26.5969,26.4619,26.4619,833,0
VEMY.US,D,20230119,000000,26.44,26.44,26.4116,26.4299,800,0
VEMY.US,D,20230120,000000,26.1866,26.1866,26.1866,26.1866,150,0
VEMY.US,D,20230123,000000,26.245,26.2499,26.239,26.2481,1000,0
VEMY.US,D,20230124,000000,26.2916,26.2916,26.2916,26.2916,19,0
VEMY.US,D,20230125,000000,26.24,26.29,26.24,26.2849,449,0
VEMY.US,D,20230126,000000,26.2,26.29,26.2,26.2753,345,0
VEMY.US,D,20230127,000000,26.265,26.265,26.265,26.265,13,0
VEMY.US,D,20230130,000000,26.0104,26.0104,26.0104,26.0104,1,0
VEMY.US,D,20230131,000000,26.0312,26.0312,26.0312,26.0312,16,0
VEMY.US,D,20230201,000000,26.3752,26.3752,26.3752,26.3752,15,0
VEMY.US,D,20230202,000000,26.5069,26.5069,26.5069,26.5069,500,0
VEMY.US,D,20230203,000000,26.28,26.28,26.28,26.28,876,0
VEMY.US,D,20230206,000000,25.92,25.92,25.92,25.92,2,0
VEMY.US,D,20230207,000000,25.8384,25.8384,25.8384,25.8384,15,0
VEMY.US,D,20230208,000000,25.7598,25.7598,25.7598,25.7598,15,0
VEMY.US,D,20230209,000000,25.77,25.77,25.6388,25.6388,430,0
VEMY.US,D,20230210,000000,25.4388,25.4388,25.4388,25.4388,15,0
VEMY.US,D,20230213,000000,25.4587,25.4587,25.4587,25.4587,4,0
VEMY.US,D,20230214,000000,25.77,25.77,25.5073,25.5073,1,0
VEMY.US,D,20230215,000000,25.45,25.46,25.4103,25.4103,304,0
VEMY.US,D,20230216,000000,25.2418,25.2418,25.2418,25.2418,25,0
VEMY.US,D,20230217,000000,25.215,25.215,25.215,25.215,1,0
VEMY.US,D,20230221,000000,24.6335,24.6335,24.5248,24.5248,168,0
VEMY.US,D,20230222,000000,24.67,24.67,24.67,24.67,1,0
VEMY.US,D,20230223,000000,25.01,25.1455,25.01,25.1455,341,0
VEMY.US,D,20230224,000000,24.9701,24.9701,24.9701,24.9701,4,0
VEMY.US,D,20230227,000000,25.0559,25.0559,25.0559,25.0559,43,0
VEMY.US,D,20230228,000000,24.9229,24.9229,24.9229,24.9229,1,0
VEMY.US,D,20230301,000000,25.01,25.01,24.785,24.785,29,0
VEMY.US,D,20230302,000000,24.717,24.717,24.717,24.717,1,0
VEMY.US,D,20230303,000000,25.0205,25.0205,25.0205,25.0205,18,0
VEMY.US,D,20230306,000000,25.03,25.03,25.03,25.03,79,0
VEMY.US,D,20230307,000000,24.9465,24.9465,24.9465,24.9465,17,0
VEMY.US,D,20230308,000000,24.8861,24.8861,24.8861,24.8861,40,0
VEMY.US,D,20230309,000000,24.8167,24.8167,24.8167,24.8167,40,0
VEMY.US,D,20230310,000000,24.8229,24.8229,24.8229,24.8229,40,0
VEMY.US,D,20230313,000000,24.59,24.59,24.5491,24.5491,115,0
VEMY.US,D,20230314,000000,24.446,24.446,24.446,24.446,40,0
VEMY.US,D,20230315,000000,24.3895,24.3895,24.3895,24.3895,40,0
VEMY.US,D,20230316,000000,24.2793,24.2793,24.2793,24.2793,40,0
VEMY.US,D,20230317,000000,24.0229,24.0229,24.0229,24.0229,40,0
VEMY.US,D,20230320,000000,23.7838,23.7838,23.7838,23.7838,40,0
VEMY.US,D,20230321,000000,24.1287,24.1287,24.1287,24.1287,40,0
VEMY.US,D,20230322,000000,24.1989,24.1989,24.1989,24.1989,1,0
VEMY.US,D,20230323,000000,24.3554,24.3554,24.3554,24.3554,40,0
VEMY.US,D,20230324,000000,24.19,24.19,24.1106,24.1106,291,0
VEMY.US,D,20230327,000000,24.1308,24.1308,24.1308,24.1308,40,0
VEMY.US,D,20230328,000000,24.0322,24.0322,24.0322,24.0322,40,0
VEMY.US,D,20230329,000000,24.2776,24.2776,24.2776,24.2776,1,0
VEMY.US,D,20230330,000000,24.5011,24.5011,24.5011,24.5011,2,0
VEMY.US,D,20230331,000000,24.6488,24.661,24.6488,24.661,200,0
VEMY.US,D,20230403,000000,24.8032,24.8032,24.8032,24.8032,2,0
VEMY.US,D,20230404,000000,24.7852,24.7852,24.7852,24.7852,2,0
VEMY.US,D,20230405,000000,24.5814,24.5814,24.5814,24.5814,2,0
VEMY.US,D,20230406,000000,24.6078,24.6078,24.6078,24.6078,2,0
VEMY.US,D,20230410,000000,24.6048,24.6048,24.6048,24.6048,2,0
VEMY.US,D,20230411,000000,24.5514,24.5514,24.5514,24.5514,2,0
VEMY.US,D,20230412,000000,24.6851,24.6851,24.6851,24.6851,2,0
VEMY.US,D,20230413,000000,24.7542,24.7542,24.7542,24.7542,2,0
VEMY.US,D,20230414,000000,24.7313,24.7313,24.7313,24.7313,31,0
VEMY.US,D,20230417,000000,24.6602,24.6602,24.6602,24.6602,30,0
VEMY.US,D,20230418,000000,24.67,24.67,24.67,24.67,30,0
VEMY.US,D,20230419,000000,24.54,24.54,24.54,24.54,1,0
VEMY.US,D,20230420,000000,24.2291,24.2291,24.2291,24.2291,1,0
VEMY.US,D,20230421,000000,24.1802,24.1802,24.1802,24.1802,1,0
VEMY.US,D,20230424,000000,24.2422,24.2422,24.2422,24.2422,1,0
VEMY.US,D,20230425,000000,24.2841,24.2841,24.2841,24.2841,1,0
VEMY.US,D,20230426,000000,24.33,24.33,24.2149,24.2149,345,0
VEMY.US,D,20230427,000000,24.2814,24.2814,24.2814,24.2814,1,0
VEMY.US,D,20230428,000000,24.4168,24.4168,24.4168,24.4168,1,0
VEMY.US,D,20230501,000000,24.37,24.37,24.301,24.301,201,0
VEMY.US,D,20230502,000000,24.3441,24.3441,24.3441,24.3441,1,0
VEMY.US,D,20230503,000000,24.315,24.315,24.315,24.315,1,0
VEMY.US,D,20230504,000000,24.2058,24.2058,24.2058,24.2058,1,0
VEMY.US,D,20230505,000000,24.3775,24.3775,24.3775,24.3775,1,0
VEMY.US,D,20230508,000000,24.321,24.321,24.321,24.321,1,0
VEMY.US,D,20230509,000000,24.3042,24.3042,24.3042,24.3042,4,0
VEMY.US,D,20230510,000000,24.3751,24.3751,24.3751,24.3751,1,0
VEMY.US,D,20230511,000000,24.435,24.435,24.435,24.435,4,0
VEMY.US,D,20230512,000000,24.29,24.29,24.29,24.29,1,0
VEMY.US,D,20230515,000000,24.1908,24.1908,24.1908,24.1908,1,0
