<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VNT.US,D,20200924,000000,35.7611,35.7611,33.7758,33.7758,7484.219603182,0
VNT.US,D,20200928,000000,34.7685,34.7685,32.7811,32.7811,1515.1054566034,0
VNT.US,D,20200929,000000,30.2986,30.2986,30.2986,30.2986,2217.4722245653,0
VNT.US,D,20200930,000000,30.5466,30.7949,30.5466,30.7949,219.74046026235,0
VNT.US,D,20201001,000000,33.7758,33.7758,33.7758,33.7758,437.47415833052,0
VNT.US,D,20201002,000000,34.7685,34.7685,34.7685,34.7685,640.15713994237,0
VNT.US,D,20201005,000000,34.2313,34.4994,33.4968,34.024,11798.758320662,0
VNT.US,D,20201006,000000,37.6995,38.741,34.2711,34.7685,42729.987400604,0
VNT.US,D,20201007,000000,35.2658,35.2658,34.024,34.024,26193.263539491,0
VNT.US,D,20201008,000000,34.3509,34.3509,32.7811,33.2775,194294.71564019,0
VNT.US,D,20201009,000000,32.2849,32.6824,27.6654,27.9246,20118397.038804,0
VNT.US,D,20201012,000000,28.084,28.8076,27.4372,27.6654,6576125.5953598,0
VNT.US,D,20201013,000000,28.1039,28.2316,26.1895,26.584,4970216.156232,0
VNT.US,D,20201014,000000,26.623,28.0143,26.2552,27.8249,8045457.8096951,0
VNT.US,D,20201015,000000,27.1592,27.9246,26.335,27.5658,7242525.1645154,0
VNT.US,D,20201016,000000,27.9246,28.7578,27.4472,28.074,11108522.430164,0
VNT.US,D,20201019,000000,28.1139,28.3711,27.5757,28.0642,4885025.0875649,0
VNT.US,D,20201020,000000,28.1139,28.6881,27.9146,28.2515,4901188.5536579,0
VNT.US,D,20201021,000000,28.1836,28.8076,27.8648,28.3611,3894738.1137935,0
VNT.US,D,20201022,000000,28.4897,29.7115,28.4608,29.6617,5547599.7679784,0
VNT.US,D,20201023,000000,29.4045,30.2886,29.3159,30.0893,5739837.5523695,0
VNT.US,D,20201026,000000,30.0594,30.1091,29.0567,29.296,4624790.1729862,0
VNT.US,D,20201027,000000,29.306,29.3358,28.074,28.4698,3165049.278558,0
VNT.US,D,20201028,000000,27.9744,29.0368,27.7651,28.074,3420660.6130412,0
VNT.US,D,20201029,000000,28.9272,29.286,27.9545,28.094,3342846.4021999,0
VNT.US,D,20201030,000000,27.9644,28.5594,27.4472,28.5495,2967894.9267911,0
VNT.US,D,20201102,000000,28.7178,29.7614,28.6381,29.7614,2318629.0932493,0
VNT.US,D,20201103,000000,29.8012,30.2986,29.2362,29.6129,1528594.9120727,0
VNT.US,D,20201104,000000,29.4045,30.0294,29.0169,29.306,2323169.3927137,0
VNT.US,D,20201105,000000,29.3657,29.881,28.8873,29.1564,2346670.5847697,0
VNT.US,D,20201106,000000,28.8475,29.1963,27.9146,28.7478,2310502.709744,0
VNT.US,D,20201109,000000,29.9897,30.8646,28.3113,28.3511,3079665.5607202,0
VNT.US,D,20201110,000000,28.3113,28.9073,27.9644,28.074,3149339.3407208,0
VNT.US,D,20201111,000000,28.4109,29.0368,28.4109,28.8175,2981005.1042056,0
VNT.US,D,20201112,000000,29.1166,29.256,27.9146,28.3511,2015913.0297822,0
VNT.US,D,20201113,000000,28.4209,28.7877,28.1039,28.3811,1776093.910386,0
VNT.US,D,20201116,000000,28.5594,29.1066,28.3113,28.9173,1582781.5048398,0
VNT.US,D,20201117,000000,29.2362,30.6763,28.7678,30.4371,4358100.50781,0
VNT.US,D,20201118,000000,30.4669,32.0168,30.0494,30.9842,4035423.1807974,0
VNT.US,D,20201119,000000,30.745,31.1825,29.9407,30.5169,1448000.3322112,0
VNT.US,D,20201120,000000,30.3374,31.2812,30.0304,30.9743,1969595.9549595,0
VNT.US,D,20201123,000000,30.9543,31.7885,30.5966,31.5893,1633949.927267,0
VNT.US,D,20201124,000000,32.0168,32.7424,31.7587,32.543,1870062.5568905,0
VNT.US,D,20201125,000000,32.3347,33.6064,32.2849,33.437,3325784.9100249,0
VNT.US,D,20201127,000000,33.3173,34.1127,33.1389,33.8655,614457.53990265,0
VNT.US,D,20201130,000000,33.9751,34.1426,31.9769,32.9506,3434523.3262786,0
VNT.US,D,20201201,000000,32.9506,33.5964,32.5928,32.7811,2176371.7280664,0
VNT.US,D,20201202,000000,32.7424,33.2376,32.4941,32.8709,1199708.6628313,0
VNT.US,D,20201203,000000,32.831,33.3771,32.7424,32.9606,1154350.8203374,0
VNT.US,D,20201204,000000,32.7622,33.3073,32.5579,32.8509,1367179.991603,0
VNT.US,D,20201207,000000,33.0902,33.1987,32.0865,32.2949,2369042.9730914,0
VNT.US,D,20201208,000000,32.3297,32.553,31.3898,31.7885,1433592.7830381,0
VNT.US,D,20201209,000000,31.7785,32.235,31.1527,31.7487,2837291.8330507,0
VNT.US,D,20201210,000000,31.4397,31.8782,31.0141,31.6988,1625154.2885699,0
VNT.US,D,20201211,000000,31.7587,31.7885,29.9308,30.9743,2056417.5179094,0
VNT.US,D,20201214,000000,31.371,32.2152,30.9643,32.0367,2494077.3017429,0
VNT.US,D,20201215,000000,32.0466,32.8211,31.7087,32.5629,1664375.452274,0
VNT.US,D,20201216,000000,32.5141,33.0004,32.1762,32.4742,2258684.096366,0
VNT.US,D,20201217,000000,32.534,33.4668,32.4642,33.2775,1106332.011174,0
VNT.US,D,20201218,000000,33.5266,34.2014,33.11,33.6861,3521785.3735302,0
VNT.US,D,20201221,000000,33.2974,34.039,32.6974,33.9453,2089503.0062048,0
VNT.US,D,20201222,000000,34.004,34.321,33.4668,33.8157,1814794.3193006,0
VNT.US,D,20201223,000000,34.1227,34.1227,33.716,33.9253,1198248.743335,0
VNT.US,D,20201224,000000,33.9552,34.1714,33.6164,33.7458,777706.64101782,0
VNT.US,D,20201228,000000,33.7958,34.4705,32.8409,33.1589,1316720.9596115,0
VNT.US,D,20201229,000000,32.9506,33.3671,32.1065,32.4642,1305410.8478851,0
VNT.US,D,20201230,000000,32.4344,32.7761,32.4344,32.6427,412628.43560442,0
