<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WDS.US,D,20220603,000000,22.0964,22.4394,21.5533,21.9154,1294312.3237239,0
WDS.US,D,20220606,000000,23.0588,23.7163,22.5538,22.6395,1733045.8278696,0
WDS.US,D,20220607,000000,22.4585,23.297,22.4553,22.973,2377355.7695651,0
WDS.US,D,20220608,000000,23.2779,24.1736,23.1445,23.8401,1993022.642383,0
WDS.US,D,20220609,000000,24.2213,24.3547,23.7067,23.7163,1523279.8214023,0
WDS.US,D,20220610,000000,23.0112,23.2589,22.5926,22.9826,1131083.9060614,0
WDS.US,D,20220613,000000,21.7534,21.9249,21.2103,21.4866,2010493.5225859,0
WDS.US,D,20220614,000000,21.5342,21.5914,20.8958,21.2293,1582651.6382362,0
WDS.US,D,20220615,000000,20.791,21.0769,20.2384,21.0674,1755688.6007642,0
WDS.US,D,20220616,000000,21.3437,21.6772,21.2007,21.3437,1873203.280223,0
WDS.US,D,20220617,000000,20.9625,22.5919,20.4004,20.4004,1658759.6914247,0
WDS.US,D,20220621,000000,20.8387,21.6772,20.7529,21.1531,1775909.1479419,0
WDS.US,D,20220622,000000,20.7815,21.3437,20.7624,20.9911,1226380.8565665,0
WDS.US,D,20220623,000000,20.6481,20.6481,19.7905,19.9621,1202701.1863546,0
WDS.US,D,20220624,000000,20.0955,20.4671,19.9716,20.3146,1654358.1252824,0
WDS.US,D,20220627,000000,20.5338,20.9244,20.4766,20.7815,796465.17758229,0
WDS.US,D,20220628,000000,21.5724,21.8773,21.2674,21.4104,942958.40838139,0
WDS.US,D,20220629,000000,21.2579,21.4104,20.8863,21.0769,771006.61976645,0
WDS.US,D,20220630,000000,20.3718,20.6767,20.1907,20.5433,1304750.5633164,0
WDS.US,D,20220701,000000,19.8191,20.0288,19.4285,19.8954,1017500.6206819,0
WDS.US,D,20220705,000000,20.4289,20.5623,19.781,20.2098,932178.03465378,0
WDS.US,D,20220706,000000,19.4856,19.5237,18.8663,19.457,1222850.36813,0
WDS.US,D,20220707,000000,19.8191,20.2098,19.8191,20.1717,980062.12068337,0
WDS.US,D,20220708,000000,20.1526,20.3337,19.9761,20.1812,446330.77102794,0
WDS.US,D,20220711,000000,19.7048,19.8668,19.4856,19.6381,725782.99395877,0
WDS.US,D,20220712,000000,19.6953,19.7524,18.5804,19.2093,1024112.4153163,0
WDS.US,D,20220713,000000,19.1236,19.5237,19.0473,19.438,729410.03558675,0
WDS.US,D,20220714,000000,19.1236,19.5142,18.6057,19.4952,953211.93752068,0
WDS.US,D,20220715,000000,19.6571,19.9906,19.5619,19.943,743708.30385632,0
WDS.US,D,20220718,000000,20.629,21.5752,20.629,21.1626,1436713.5882882,0
WDS.US,D,20220719,000000,21.1436,21.5914,21.1245,21.5724,561034.91302162,0
WDS.US,D,20220720,000000,21.2484,21.4294,20.8768,21.296,484464.03420869,0
WDS.US,D,20220721,000000,20.2765,20.2765,19.8572,20.2384,549758.12995083,0
WDS.US,D,20220722,000000,20.3527,20.6243,20.2185,20.2574,412674.63735673,0
WDS.US,D,20220725,000000,20.2574,20.6481,20.2193,20.6195,693610.84086104,0
WDS.US,D,20220726,000000,20.8196,21.0007,20.5052,20.6005,512515.88480889,0
WDS.US,D,20220727,000000,20.6481,21.2484,20.4967,21.2103,483648.57953712,0
WDS.US,D,20220728,000000,21.3627,21.3934,20.9125,21.2674,389384.32838446,0
WDS.US,D,20220729,000000,21.3151,21.72,21.1919,21.6391,463748.12717897,0
WDS.US,D,20220801,000000,21.782,21.8106,21.3214,21.5342,596433.20210442,0
WDS.US,D,20220802,000000,21.6676,21.7534,21.4236,21.5628,603573.94030951,0
WDS.US,D,20220803,000000,21.3056,21.4723,21.1626,21.3627,538670.25529816,0
WDS.US,D,20220804,000000,20.8196,20.8196,20.205,20.4861,985063.99579881,0
WDS.US,D,20220805,000000,20.0097,20.5719,19.9621,20.4289,824529.62207703,0
WDS.US,D,20220808,000000,20.8673,21.2055,20.8387,21.1722,663157.75436824,0
WDS.US,D,20220809,000000,21.3437,21.6295,21.0959,21.2198,593220.7095051,0
WDS.US,D,20220810,000000,21.0578,21.6676,21.0578,21.5628,1167178.0078176,0
WDS.US,D,20220811,000000,21.4675,21.6772,21.2865,21.5438,512288.14521593,0
WDS.US,D,20220812,000000,21.9344,22.3823,21.9154,22.287,901270.51846627,0
WDS.US,D,20220815,000000,21.4866,21.8106,21.4294,21.6676,372303.85891241,0
WDS.US,D,20220816,000000,21.4294,21.5724,21.08,21.2293,856856.0503829,0
WDS.US,D,20220817,000000,20.8768,21.1341,20.7148,21.0102,383852.46020706,0
WDS.US,D,20220818,000000,21.3627,21.7105,21.3151,21.6105,657348.82051093,0
WDS.US,D,20220819,000000,21.8773,22.1536,21.8201,21.9535,785899.9495531,0
WDS.US,D,20220822,000000,21.3437,21.7153,21.3151,21.6295,903437.71781864,0
WDS.US,D,20220823,000000,22.2203,23.0874,22.1345,23.0207,1072725.897738,0
WDS.US,D,20220824,000000,22.8301,23.3637,22.8301,23.0874,576520.15585173,0
WDS.US,D,20220825,000000,23.5447,23.7925,23.4399,23.5352,683887.30478372,0
WDS.US,D,20220826,000000,23.8211,23.9449,23.3065,23.4113,652926.2645444,0
WDS.US,D,20220829,000000,23.4018,23.8401,23.2589,23.4971,666990.49627374,0
WDS.US,D,20220830,000000,23.7353,23.7353,22.7634,22.9254,932986.14288687,0
WDS.US,D,20220831,000000,22.0011,22.3918,21.7343,21.7343,1393242.6128042,0
WDS.US,D,20220901,000000,21.5628,21.658,21.2865,21.4485,782204.69099635,0
WDS.US,D,20220902,000000,22.0583,22.306,21.8582,21.9344,566558.38526932,0
WDS.US,D,20220906,000000,22.5824,22.7062,22.2012,22.3632,628818.40191815,0
WDS.US,D,20220907,000000,21.8963,21.944,21.3151,21.62,745852.41440202,0
WDS.US,D,20220908,000000,21.51,21.81,21.43,21.75,464456,0
WDS.US,D,20220909,000000,22.35,22.82,22.35,22.75,471311,0
WDS.US,D,20220912,000000,22.98,23.625,22.94,23.38,1596200,0
WDS.US,D,20220913,000000,22.43,22.74,21.95,21.97,932817,0
WDS.US,D,20220914,000000,22.19,22.46,21.98,22.07,631358,0
WDS.US,D,20220915,000000,22.38,22.6,22.14,22.3,647503,0
WDS.US,D,20220916,000000,21.64,21.805,21.27,21.52,1939044,0
WDS.US,D,20220919,000000,21.3,22,21.29,21.96,598332,0
WDS.US,D,20220920,000000,21.96,21.96,21.62,21.87,434441,0
WDS.US,D,20220921,000000,21.62,21.77,21.14,21.21,484953,0
WDS.US,D,20220922,000000,21.62,21.67,21.16,21.32,679881,0
WDS.US,D,20220923,000000,20.24,20.28,19.58,20.02,1235498,0
WDS.US,D,20220926,000000,19.46,19.93,19.11,19.32,819470,0
WDS.US,D,20220927,000000,20.27,20.48,19.725,19.96,1004346,0
WDS.US,D,20220928,000000,19.88,20.91,19.85,20.85,693535,0
WDS.US,D,20220929,000000,20.62,20.785,20.2549,20.65,830655,0
WDS.US,D,20220930,000000,20.24,20.72,20.13,20.16,498108,0
WDS.US,D,20221003,000000,21.12,21.56,20.94,21.42,577174,0
WDS.US,D,20221004,000000,21.72,22.36,21.72,22.35,854145,0
WDS.US,D,20221005,000000,22.02,22.5,21.75,22.3,367205,0
WDS.US,D,20221006,000000,22.3,23.03,22.24,22.85,1855503,0
WDS.US,D,20221007,000000,22.34,22.75,22.18,22.33,642001,0
WDS.US,D,20221010,000000,21.91,22.17,21.59,21.69,636408,0
WDS.US,D,20221011,000000,21.18,21.49,20.85,21,581446,0
WDS.US,D,20221012,000000,20.59,20.73,20.43,20.6,551853,0
WDS.US,D,20221013,000000,20.37,21.25,20.18,21.06,446265,0
WDS.US,D,20221014,000000,21.3,21.3,20.45,20.46,494543,0
WDS.US,D,20221017,000000,20.87,21.055,20.74,20.87,596006,0
WDS.US,D,20221018,000000,20.62,20.9,20.17,20.44,540415,0
WDS.US,D,20221019,000000,20.37,20.77,20.29,20.71,371783,0
WDS.US,D,20221020,000000,21.82,22.12,21.4,21.56,614739,0
WDS.US,D,20221021,000000,21.9,22.95,21.86,22.84,744457,0
WDS.US,D,20221024,000000,22.16,22.694,22.09,22.65,508630,0
WDS.US,D,20221025,000000,22.6499,22.92,22.44,22.73,379478,0
WDS.US,D,20221026,000000,22.73,23.33,22.73,23.03,558452,0
WDS.US,D,20221027,000000,23.77,23.82,23.3,23.36,591525,0
WDS.US,D,20221028,000000,22.95,23.37,22.9101,23.37,486699,0
WDS.US,D,20221031,000000,23.01,23.49,23.01,23.17,664045,0
WDS.US,D,20221101,000000,23.8,23.99,23.66,23.78,407180,0
WDS.US,D,20221102,000000,23.64,24.265,23.4,23.44,412492,0
WDS.US,D,20221103,000000,22.86,23.53,22.86,23.34,409154,0
WDS.US,D,20221104,000000,24.92,25.44,24.75,25.35,605107,0
WDS.US,D,20221107,000000,25.51,25.78,25.37,25.57,374067,0
