<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WEL.US,D,20220119,000000,9.88,9.88,9.87,9.87,150634,0
WEL.US,D,20220120,000000,9.88,9.89,9.87,9.89,755,0
WEL.US,D,20220124,000000,9.86,9.87,9.86,9.86,217302,0
WEL.US,D,20220125,000000,9.85,9.87,9.85,9.87,200059,0
WEL.US,D,20220126,000000,9.9,9.91,9.86,9.86,2000,0
WEL.US,D,20220127,000000,9.86,9.86,9.85,9.85,53216,0
WEL.US,D,20220128,000000,9.85,9.86,9.85,9.86,2346,0
WEL.US,D,20220131,000000,9.85,9.87,9.85,9.86,81400,0
WEL.US,D,20220201,000000,10,10.035,9.85,10.035,5695,0
WEL.US,D,20220202,000000,9.98,9.98,9.86,9.87,171620,0
WEL.US,D,20220203,000000,9.9,9.9,9.9,9.9,1142,0
WEL.US,D,20220208,000000,9.87,9.93,9.87,9.88,49630,0
WEL.US,D,20220209,000000,9.89,9.89,9.89,9.89,1570,0
WEL.US,D,20220211,000000,9.86,9.87,9.8,9.86,44889,0
WEL.US,D,20220214,000000,9.9,9.9,9.9,9.9,624,0
WEL.US,D,20220216,000000,9.8701,9.8701,9.87,9.87,1800,0
WEL.US,D,20220218,000000,9.91,9.91,9.91,9.91,100,0
WEL.US,D,20220222,000000,9.94,9.94,9.9,9.9,102991,0
WEL.US,D,20220223,000000,9.89,9.9,9.89,9.9,24724,0
WEL.US,D,20220228,000000,9.89,9.89,9.89,9.89,17275,0
WEL.US,D,20220301,000000,9.93,9.9301,9.905,9.93,90655,0
WEL.US,D,20220302,000000,9.92,9.94,9.92,9.94,4444,0
WEL.US,D,20220303,000000,9.93,9.95,9.92,9.93,53946,0
WEL.US,D,20220304,000000,9.93,9.935,9.93,9.935,2619,0
WEL.US,D,20220307,000000,9.93,9.93,9.93,9.93,687,0
WEL.US,D,20220308,000000,9.92,9.94,9.92,9.94,28257,0
WEL.US,D,20220310,000000,9.94,9.94,9.93,9.94,57671,0
WEL.US,D,20220311,000000,9.95,9.96,9.94,9.96,7073,0
WEL.US,D,20220314,000000,9.95,9.955,9.95,9.95,4335,0
WEL.US,D,20220315,000000,9.95,9.95,9.937,9.937,3636,0
WEL.US,D,20220316,000000,9.93,9.95,9.93,9.95,3645,0
WEL.US,D,20220317,000000,9.94,9.94,9.94,9.94,100,0
WEL.US,D,20220318,000000,9.95,9.95,9.95,9.95,6925,0
WEL.US,D,20220322,000000,9.95,9.95,9.95,9.95,283,0
WEL.US,D,20220325,000000,9.96,9.96,9.9599,9.96,14876,0
WEL.US,D,20220328,000000,9.955,9.96,9.95,9.96,22422,0
WEL.US,D,20220329,000000,9.94,9.96,9.94,9.96,85588,0
WEL.US,D,20220330,000000,9.96,9.96,9.95,9.96,185918,0
